,中外合作经营零售业企业固定资产合计,中外合资经营零售业企业固定资产合计,其他外商投资零售业企业固定资产合计,其他有限责任公司零售业企业固定资产合计,其他港澳台商投资零售业企业固定资产合计,其他联营零售业企业固定资产合计,其他零售业企业固定资产合计,内资零售业企业固定资产合计,国有与集体联营零售业企业固定资产合计,国有独资公司零售业企业固定资产合计,国有联营零售业企业固定资产合计,国有零售业企业固定资产合计,外商投资股份有限公司零售业企业固定资产合计,外商投资零售业企业固定资产合计,外资零售业企业固定资产合计,有限责任公司零售业企业固定资产合计,港澳台商合作经营零售业企业固定资产合计,港澳台商合资经营零售业企业固定资产合计,港澳台商投资股份有限公司零售业企业固定资产合计,港澳台商投资零售业企业固定资产合计,港澳台商独资经营零售业企业固定资产合计,私营合伙零售业企业固定资产合计,私营有限责任公司零售业企业固定资产合计,私营独资零售业企业固定资产合计,私营股份有限公司零售业企业固定资产合计,私营零售业企业固定资产合计,联营零售业企业固定资产合计,股份合作零售业企业固定资产合计,股份有限公司零售业企业固定资产合计,集体联营零售业企业固定资产合计,集体零售业企业固定资产合计,零售业固定资产合计
2004年,41.22901,93.5922,0.0,607.99896,0.0,4.25552,3.93281,2199.01535,4.02576,43.61537,6.2285,364.49853,0.32493,161.60807,26.46193,651.61433,4.96787,80.38516,0.16827,86.54601,1.02471,9.34857,284.46688,15.86228,18.56005,328.23778,18.18096,30.58087,705.08593,3.67118,96.88414,1875.59113
2005年,26.85937,85.68124,,532.27852,,4.08342,3.60998,1876.9679,3.3153,41.81558,4.9119,270.9377,0.27841,143.99676,31.17774,574.0939,2.67207,59.43843,0.31617,66.11276,3.68609,9.74193,247.71241,13.88022,18.24631,289.58087,14.54826,28.65158,631.7011,2.23764,63.84441,2087.1
2006年,39.7129,139.232,,749.6879,,2.4043,14.5649,2722.6514,4.5037,109.3274,10.41,366.6219,7.1232,258.9819,72.9137,859.0153,14.591,107.8946,0.181,136.8932,14.2266,7.7961,401.3718,21.9981,30.9055,462.0715,22.2475,33.7375,875.2473,4.9296,89.1456,3118.5265
2007年,41.54406,179.65346,,878.08295,,2.44286,24.3723,2874.27117,4.38618,72.52484,3.32539,358.70193,1.00851,325.1383,102.93227,950.60779,15.30182,109.79542,1.21091,157.62013,31.31198,11.35114,491.97173,37.30465,41.3606,581.98812,16.76951,34.17126,816.31341,6.61508,91.34685,3357.0296
2008年,38.2111,173.6601,,1073.9696,,4.876,38.834,3895.5863,4.0039,52.8267,7.7388,437.2332,23.2721,407.6382,172.4949,1126.7962,12.6398,112.3822,6.3075,238.8342,107.5048,21.9489,791.7551,137.0098,58.5788,1009.2926,18.0118,37.4745,1101.9374,1.3932,126.0065,4542.1
2009年,17.43085,154.91423,,910.9984,,0.79552,37.55693,3108.56876,1.1077,35.30317,3.99382,340.82433,9.24185,333.4918,151.90487,946.30157,7.58877,83.39806,11.09327,205.79143,103.71133,19.19364,620.64086,121.07042,54.52658,815.4315,6.93478,33.31389,833.03601,1.03774,95.16975,3647.9
2010年,15.76646,140.63254,,1131.19795,,4.0572,35.7824,3615.4104,1.73444,47.41973,4.793,408.75786,26.31,361.48497,178.77597,1178.61768,7.49672,75.55118,16.46786,221.65949,122.14373,21.57069,776.96516,157.39014,66.71995,1022.64594,11.84663,34.11504,828.87088,1.26199,94.77397,4198.6
2011年,20.046,154.8973,0.5328,1362.3543,13.3954,2.3439,83.0431,4377.8943,0.9336,47.3432,5.0056,467.396,2.4864,374.5966,196.6341,1409.6975,9.0483,96.6459,11.8396,302.208,171.2788,20.7368,864.1099,147.8294,69.1765,1101.8525,9.473,36.9622,1185.1931,1.1898,84.2771,5054.6989
2012年,11.93601,162.51951,3.20435,1564.3327,18.27803,2.53229,118.47379,4821.15401,2.11233,52.03362,3.63005,482.84628,4.553,406.27123,224.05836,1616.36632,9.43974,92.57394,11.25376,342.55482,211.00935,19.10749,1057.93536,218.76915,67.18426,1362.99626,9.51869,49.15012,1092.27077,1.24402,89.53178,5569.98006
2013年,11.45986,178.51667,2.82006,2177.95138,9.58056,0.70304,51.42904,5883.07792,0.83868,149.40123,1.01177,216.55458,29.50586,486.56449,264.26204,2327.35261,12.45851,98.31202,30.59444,432.51458,281.56905,11.41644,1612.5845,116.04143,97.62874,1837.67111,3.98856,13.58235,1340.87711,1.43507,91.62256,6802.157
2014年,9.98503,173.04613,4.84017,2760.71174,6.28766,0.53934,45.6464,6801.00054,0.73537,172.39226,0.82379,228.03267,22.07179,465.822,255.87888,2933.104,12.5095,116.72993,20.46235,470.76418,314.77474,11.04381,1795.95051,125.4221,97.8442,2030.26062,3.57675,14.07785,1448.86794,1.47825,97.43431,7737.5867
