,01章活动物进口额,02章肉及食用杂碎进口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物进口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品进口额,05章其他动物产品进口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶进口额,07章食用蔬菜、根及块茎进口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮进口额,09章咖啡、茶、马黛茶及调味香料进口额,10章谷物进口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋进口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用植物；稻草、秸秆及饲料进口额,13章虫胶；树胶、树脂及其他植物液、汁进口额,14章编结用植物材料；其他植物产品进口额,15章动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡进口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品进口额,17章糖及糖食进口额,18章可可及可可制品进口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心进口额,20章蔬菜、水果、坚果或植物其他部分的制品进口额,21章杂项食品进口额,22章饮料、酒及醋进口额,23章食品工业的残渣及废料；配制的动物饲料进口额,24章烟草、烟草及烟草代用品的制品进口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥进口额,26章矿砂、矿渣及矿灰进口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡进口额,28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物进口额,29章有机化学品进口额,30章药品进口额,31章肥料进口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨进口额,33章精油及香膏；芳香料制品及化妆盥洗品进口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂进口额,35章蛋白类物质；改性淀粉；胶；酶进口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品进口额,37章照相及电影用品进口额,38章杂项化学产品进口额,39章塑料及其制品进口额,40章橡胶及其制品进口额,41章生皮(毛皮除外)及皮革进口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线(蚕胶丝除外)制品进口额,43章毛皮、人造毛皮及其制品进口额,44章木及木制品；木炭进口额,45章软木及软木制品进口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品进口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品进口额,48章纸及纸板；纸浆，纸或纸板制品进口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸进口额,50章蚕丝进口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物进口额,52章棉花进口额,53章其他植物纺织纤维；纸纱线及其机织物进口额,54章化学纤维长丝进口额,55章化学纤维短纤进口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品进口额,57章地毯及纺织材料的其他铺地制品进口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品进口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品进口额,60章针织物及钩编织物进口额,61章针织或钩编的服装及衣着附件进口额,62章非针织或非钩编的服装及衣着附件进口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物进口额,64章鞋靴、护腿和类似品及其零件进口额,65章帽类及其零件进口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件进口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品进口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品进口额,69章陶瓷产品进口额,70章玻璃及其制品进口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币进口额,72章钢铁进口额,73章钢铁制品进口额,74章铜及其制品进口额,75章镍及其制品进口额,76章铝及其制品进口额,78章铅及其制品进口额,79章锌及其制品进口额,80章锡及其制品进口额,81章其他贱金属，金属陶瓷及其制品进口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件进口额,83章贱金属杂项制品进口额,84章核反应堆、锅炉、机械器具及零件进口额,85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备进口额,87章车辆及其零件，附件，但铁道及电车道车辆除外进口额,88章航空器，航天器及其零件进口额,89章船舶及浮动结构体进口额,90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件进口额,91章钟表及其零件进口额,92章乐器及其零件，附件进口额,93章武器、弹药及其零件，附件进口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋进口额,95章玩具、游戏品、运动用品及其零件、附件进口额,96章杂项制品进口额,97章艺术品、收藏品及古物进口额,98章特殊交易品及未分类商品进口额,第一类活动物；动物产品进口额,第七类塑料及其制品；橡胶及其制品进口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡进口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品进口额,第二十一类艺术品、收藏品及古物进口额,第二十二类特殊交易品及未分类商品进口额,第二十类杂项制品进口额,第二类植物产品进口额,第五类矿产品进口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用品、手提包及类似品；动物肠线(蚕胶丝除外)制品进口额,第六类化学工业及其相关工业的产品进口额,第十一类纺织原料及纺织制品进口额,第十七类车辆、航空器、船舶及有关运输设备进口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制品；陶瓷产品；玻璃及其制品进口额,第十九类武器、弹药及其零件、附件进口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及其制品；人造花；人发制品进口额,第十五类贱金属及其制品进口额,第十八类光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件进口额,第十六类机器、机械器具、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币进口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；纸、纸板及其制品进口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品进口额,进口额
1998年,55.0,143.0,666.0,89.0,,,71.0,242.0,20.0,696.0,,1345.0,,,,7.0,171.0,,15.0,24.0,,75.0,,106.0,256.0,2289.0,6792.0,,3490.0,386.0,2506.0,1069.0,86.0,,,,,,10460.0,1114.0,2253.0,31.0,145.0,,,,1095.0,3605.0,,139.0,1176.0,2581.0,253.0,3342.0,2846.0,347.0,22.0,504.0,953.0,1162.0,292.0,738.0,35.0,291.0,5.0,41.0,40.0,262.0,114.0,772.0,,5845.0,1835.0,2228.0,104.0,1552.0,14.0,158.0,64.0,,,,,,224.0,2003.0,3176.0,188.0,,,,,,,,,,1055.0,11574.0,1488.0,1982.0,,,,2502.0,9337.0,2429.0,11035.0,14390.0,5591.0,1148.0,,377.0,12467.0,4927.0,50985.0,1235.0,5011.0,1947.0,140237.0
1999年,65.0,499.0,883.0,164.0,,,83.0,258.0,19.0,497.0,,1638.0,,,,12.0,182.0,,48.0,43.0,,123.0,,87.0,450.0,2198.0,8930.0,,5525.0,628.0,2248.0,1298.0,128.0,,,,,,11609.0,1469.0,2328.0,30.0,145.0,,,,1660.0,3982.0,,124.0,1262.0,2356.0,199.0,3110.0,2597.0,355.0,23.0,576.0,1047.0,1183.0,334.0,724.0,33.0,306.0,5.0,24.0,45.0,232.0,97.0,977.0,,7163.0,1590.0,3086.0,113.0,2139.0,12.0,185.0,75.0,,,,,,210.0,2373.0,3175.0,253.0,,,,,,,,,,1729.0,13078.0,1359.0,2941.0,,,,2668.0,11578.0,2513.0,16040.0,13923.0,6011.0,1306.0,,380.0,15093.0,5904.0,63070.0,2063.0,5930.0,1286.0,165699.0
2000年,52.0,637.0,1212.0,218.0,,,82.0,368.0,23.0,574.0,,3072.0,,,,12.0,177.0,,71.0,60.0,,161.0,,204.0,707.0,3134.0,20681.0,,8327.0,799.0,1730.0,1655.0,161.0,,,,,,14456.0,1906.0,2955.0,54.0,176.0,,,,2678.0,3963.0,,138.0,1831.0,2789.0,274.0,3642.0,3110.0,393.0,26.0,670.0,1183.0,1339.0,383.0,752.0,34.0,320.0,7.0,19.0,63.0,245.0,126.0,1409.0,,9569.0,1690.0,4660.0,227.0,3213.0,17.0,224.0,93.0,,,,,,258.0,3613.0,2171.0,336.0,,,,,,,,,,2279.0,16362.0,1023.0,3740.0,,,,4321.0,24522.0,3185.0,18100.0,16564.0,6378.0,1780.0,,409.0,20611.0,8191.0,85177.0,2419.0,6962.0,1810.0,225094.0
2001年,35.0,598.0,1331.0,219.0,,,210.0,367.0,21.0,607.0,,3344.0,,,,14.0,376.0,,93.0,85.0,,146.0,,268.0,782.0,4176.0,17546.0,,8977.0,986.0,1556.0,1787.0,176.0,,,,,,15261.0,2071.0,3169.0,83.0,186.0,,,,2735.0,3650.0,,111.0,1897.0,2941.0,269.0,3330.0,2932.0,401.0,33.0,610.0,1151.0,1337.0,475.0,739.0,33.0,329.0,7.0,17.0,77.0,250.0,160.0,1468.0,,10954.0,2084.0,4887.0,367.0,2233.0,22.0,238.0,97.0,,,,,,242.0,4531.0,4545.0,699.0,,,,,,,,,,2356.0,17332.0,776.0,3492.0,,,,4749.0,22504.0,3438.0,19071.0,16259.0,10017.0,1878.0,,430.0,21913.0,10654.0,96442.0,988.0,6759.0,1883.0,243553.0
2002年,53.0,627.0,1565.0,272.0,,,194.0,378.0,23.0,482.0,,2777.0,,,,19.0,280.0,,149.0,110.0,,148.0,,243.0,876.0,4281.0,19321.0,,11156.0,1130.0,2353.0,2088.0,201.0,,,,,,17378.0,2468.0,3261.0,91.0,186.0,,,,2900.0,4137.0,,96.0,1831.484,3327.478,334.562,3332.201,2995.0,434.047,35.213,647.06,1195.0,1432.004,523.287,764.934,44.0,303.697,6.23,11.194,78.478,268.943,147.0,1667.0,,13240.489,2771.405,5667.872,426.943,2441.033,37.01,312.172,111.436,,,,,,386.114,6474.0,4051.771,607.223,,,,,,,,,,2709.0,19846.0,1580.0,4169.0,,,,4063.0,24478.0,3538.0,24302.0,16993.0,11519.0,2082.0,,399.598,26281.0,14421.0,125388.0,1332.0,7374.0,1979.0,295170.0
2003年,117.252,757.636,1865.182,349.843,,,241.77,495.961,27.806,444.335,,5660.241,,,,27.077,215.807,,148.183,134.484,,186.495,,307.0,1280.845,7175.0,29248.0,,16006.0,1391.938,1762.643,2582.928,281.0,,,,,,21030.0,3715.0,3766.322,127.736,228.22,,,,3892.173,4392.843,,110.054,1682.825,4650.001,435.11,3603.422,3261.0,525.0,46.763,707.0,1225.227,1640.395,557.0,784.097,65.596,373.616,7.365,10.954,95.308,342.0,223.518,2063.0,,22222.997,3373.0,7166.0,896.0,3354.221,48.329,418.417,134.494,,,,,,448.0,11787.0,4461.286,812.101,,,,,,,,,,3308.0,24745.0,2925.304,4667.019,,,,7174.471,37703.0,4122.277,31789.0,19292.293,17507.0,2628.0,,487.244,39384.0,26173.0,175409.0,1846.593,8629.776,2106.848,412760.0
2004年,219.909,475.79,2339.944,448.072,,,404.843,618.903,32.396,2217.236,,7371.415,,,,26.228,336.177,,194.939,141.985,,261.072,,292.009,1801.157,17272.58,48026.771,,23846.481,1571.74,2287.685,2975.183,392.849,,,,,,28055.531,4742.207,4600.533,182.599,337.089,,,,5294.714,4637.51,,139.599,2088.764,6897.905,470.77,3807.661,3421.497,618.74,58.704,817.878,1349.827,1812.011,642.249,792.599,88.338,474.837,11.077,11.203,111.05,464.499,307.72,2475.373,,23691.392,4641.312,10476.488,1323.2,4930.81,91.945,653.378,255.691,,,,,,345.599,13102.352,4990.257,1033.425,,,,,,,,,,3734.969,32797.738,4208.544,5235.082,,,,11031.317,67100.508,5120.221,42602.472,23006.543,19471.633,3247.592,,608.167,48548.382,41334.51,233914.477,2655.036,10305.921,2809.768,561229.0
2005年,109.0,587.0,2879.0,462.0,,,524.0,659.0,42.0,1394.0,,8159.0,,,,29.0,451.0,,239.0,157.0,,410.0,,384.0,2171.0,26033.0,64089.0,,28019.0,1959.0,3051.0,3081.0,501.0,,,,,,33308.0,5585.0,4827.0,253.0,344.0,,,,6183.0,4387.0,,136.0,2147.0,7078.0,477.0,3776.0,3257.0,707.0,62.0,846.0,1450.0,1878.0,695.0,815.0,119.0,542.0,13.0,9.0,107.0,536.0,301.0,2547.0,,26210.0,5696.0,12896.0,2177.0,5012.0,80.0,1006.0,405.0,,,,,,483.0,12309.0,6561.0,482.0,,,,,,,,,,4258.0,38893.0,3311.0,5746.0,,,,11161.0,92293.0,5424.0,50583.0,23445.0,19835.0,3384.0,,671.0,56593.0,51188.0,271119.0,3470.0,11003.0,3458.0,659953.0
2006年,63.462187,685.737785,3155.135539,565.242666,192.780888,69.534226,755.534116,738.561758,53.506317,820.610003,246.703154,8117.202038,74.98059,98.916097,3920.275067,44.116724,617.698898,183.234588,359.324865,198.209654,322.020328,585.782015,1297.320917,463.299513,2274.842584,32164.433175,89098.43491,6286.801482,29859.484104,2394.219098,2484.397699,3507.281259,599.58514,1497.047347,1067.867893,16.398689,1060.291833,7410.995202,37832.891786,8439.985739,5567.19322,356.899075,350.891015,6460.065009,26.679149,8.894982,7140.314437,4215.061511,537.660643,127.02494,2140.947266,9109.380965,485.862151,3795.189828,2826.846848,832.578167,75.565894,838.178342,1568.869655,2152.960269,717.046754,868.45852,137.800173,608.183132,14.42596,7.677355,145.265745,640.451835,339.097268,2963.060676,4616.207316,20035.923739,6944.612014,17186.657928,3578.446006,6193.593256,84.381456,1580.253269,385.536936,818.311127,1866.891839,1104.744139,109122.425442,218965.742941,1206.092259,17051.798462,10940.357356,530.756158,58859.708831,1105.734282,132.950149,2.073193,944.844786,760.387208,718.102284,12.36552,2029.291297,4662.359065,46272.877525,3920.275067,6495.63914,12.36552,2029.291297,2423.334278,10975.548299,123537.710669,6274.98331,56184.369746,25676.709772,29729.004235,3942.609779,2.073193,775.552192,59779.351709,60098.393262,328088.168383,4616.207316,11893.036591,4071.007502,791460.868
2007年,73.474248,1519.760348,3442.765762,753.110456,235.084171,83.886246,800.268843,915.016503,77.371504,515.163041,221.420635,12266.500364,89.91866,86.551201,7575.663593,66.86765,485.33331,210.796632,444.688587,272.805281,376.558033,866.159395,1279.255688,540.947321,3050.621836,54044.854179,104986.104873,6416.530489,38426.062209,3450.82573,2906.194009,3805.67377,809.820486,1859.162521,1331.539546,21.439857,1247.629596,8293.997371,45323.377436,9592.841655,5964.673864,508.611024,390.941917,7979.391265,31.372982,9.86795,9589.588831,4287.379066,649.456863,110.841927,2698.303367,7718.198693,500.505044,3757.16248,2807.088255,900.013877,91.002994,767.891524,1707.939728,2328.626261,789.900672,1022.368504,173.0,726.495667,16.812699,6.916104,194.196539,760.254092,438.014018,3273.470105,6256.666895,23015.410799,8045.064074,27165.561233,6521.729088,6744.889168,106.737091,1234.799084,448.462712,969.844381,2180.08574,1262.574459,124173.739855,256829.004648,1422.264233,22132.810767,10467.689883,993.019544,69534.626379,1440.324461,165.203563,2.070065,1299.760504,1294.6363,804.47037,9.719466,2463.22752,6024.194985,54916.219091,7575.663593,8020.632197,9.719466,2463.22752,3398.867174,15056.096997,162081.580888,6864.226805,68568.875584,25372.383022,35015.784427,4471.738215,2.070065,944.421009,77695.157829,71140.154403,381002.744503,6256.666895,14526.42476,4543.411897,956116.0
2008年,104.292065,2319.967548,3648.212273,872.777614,255.232052,90.896019,584.197697,1237.695201,101.158205,698.520295,233.932334,23182.452777,110.459486,78.582474,10800.78282,79.465536,424.06378,312.958479,718.541156,300.71059,466.361941,1137.278824,1864.002677,787.784471,6116.497799,85936.802723,169251.777075,9191.586416,39237.189488,4911.229519,3481.222216,4023.463292,1115.500292,2199.780413,1543.507059,33.188063,1513.87065,9660.494375,48862.558319,11902.861319,5639.531135,700.845945,454.911916,8023.379057,35.357525,7.582775,12260.271854,4363.341269,821.362881,116.648718,2620.072862,7444.854187,412.572819,3651.304218,2520.297736,998.570053,101.289704,737.712523,1727.834926,2311.296246,853.703718,1221.965589,279.822037,1015.343672,24.355603,6.435722,192.942557,882.74372,446.977808,3420.010894,7547.712678,24533.997638,10547.822768,26051.360511,5061.910485,6834.93478,126.691844,897.284906,468.872016,1317.057261,2330.553626,1345.439929,138795.535916,266514.884037,1447.098971,26962.79035,10055.770762,1288.066716,77708.548152,1859.544316,197.220977,2.987044,1526.474715,1193.099918,831.605492,22.071804,4407.628829,7200.481552,60765.419638,10800.78282,8066.319357,22.071804,4407.628829,3551.180125,26317.894488,261305.077597,6795.288996,76911.031783,24997.945336,39753.726799,4749.732422,2.987044,1239.077554,79515.925764,79765.313445,405310.419953,7547.712678,17444.976004,6091.167454,1132567.0
2009年,140.0,1703.0,3604.0,1046.0,275.0,90.0,1052.0,1722.0,86.0,876.0,300.0,21002.0,120.0,103.0,7737.0,53.0,477.0,262.0,1011.0,333.0,484.0,1115.0,1838.0,844.0,2742.0,70099.0,124045.0,6218.0,36174.0,6020.0,1993.0,3592.0,1178.0,2080.0,1546.0,44.0,1543.0,9034.0,48516.0,10374.0,4459.0,712.0,465.0,7252.0,33.0,6.0,10641.0,3880.0,1049.0,109.0,2215.0,6180.0,396.0,3210.0,2509.0,899.0,102.0,620.0,1508.0,2137.0,633.0,1020.0,242.0,880.0,21.0,6.0,180.0,727.0,416.0,3036.0,6545.0,27834.0,8885.0,29557.0,5084.0,8540.0,327.0,1377.0,468.0,1074.0,2114.0,1193.0,123538.0,243727.0,1574.0,28367.0,10526.0,2481.0,66986.0,1571.0,180.0,5.0,1840.0,1027.0,775.0,11.0,3305.0,6769.0,58890.0,7737.0,7290.0,11.0,3305.0,3643.0,25352.0,196886.0,5636.0,69421.0,21780.0,42947.0,4178.0,5.0,1087.0,86453.0,68737.0,367264.0,6545.0,15569.0,6416.0,1005923.196
2010年,269.224413,2225.002746,4365.945457,1999.750478,418.144771,103.97903,1515.544256,2139.505868,150.060355,1501.285748,451.396166,27062.026814,120.600602,201.333427,8884.025291,100.19353,1036.574048,437.169902,1221.483621,462.065734,679.483073,1645.746227,3234.24789,790.705761,4509.353318,109510.283914,189007.977529,9965.111599,48261.367281,7235.84818,2571.769137,4428.017853,1502.136334,2778.137479,2200.066311,74.138251,1929.457813,12260.65009,63704.181287,16925.852186,5939.552094,1122.980009,636.518612,11235.972618,43.605696,9.347024,14180.674954,4611.83804,1272.153075,124.442848,2827.528354,10621.053265,559.671629,3784.356632,3018.558902,1126.73109,130.347508,694.223061,1847.004609,2345.513276,818.221757,1420.040063,262.07032,1116.832523,29.141141,6.164562,217.781158,1065.326836,586.178889,4871.779467,10846.503888,25327.128382,9151.120919,46210.564561,5910.364919,8795.723227,133.873901,1217.949776,553.698964,1494.850923,2764.276906,1533.857523,172156.841104,314314.901226,2021.044453,49505.010406,12391.037629,1678.267078,89919.699154,2187.62453,229.020834,3.009708,3060.483508,1023.362833,949.2794,25.766912,18433.289261,9278.067865,80630.033473,8884.025291,11288.925338,25.766912,18433.289261,5033.125741,33245.732266,303027.614761,7699.050715,93206.700328,29579.763314,65595.359566,6523.285192,3.009708,1369.919384,103093.410001,92336.344518,486471.74233,10846.503888,20064.666069,9607.669786,1396244.006
2011年,376.624348,3411.600651,5589.197042,2657.855226,428.576993,128.733662,1823.631443,3037.005533,232.166015,2015.943093,540.943519,32043.978684,158.386955,243.847864,11540.152947,180.143422,2132.098075,604.971785,1624.484501,592.501184,866.082726,2556.463322,3102.292316,1137.964215,5794.548104,150640.48884,275814.102577,10930.845838,63131.457099,10347.319284,3449.555245,4539.677908,1938.2034,3290.808113,2667.921481,91.450634,2166.979492,15408.130226,70196.942706,23061.609738,6845.412224,1687.122837,823.988856,15858.668948,47.681156,11.501425,18907.460702,5054.948768,1412.222737,112.136554,3840.637478,14730.04615,761.017111,4062.863354,3598.568637,1189.263689,137.000014,732.435698,1994.379102,2446.827487,1187.153248,2384.859201,410.636,1553.629006,35.724843,9.617312,319.945177,1344.317536,743.134565,6266.871714,14911.511347,28379.220035,10225.17755,54241.661433,7373.896599,9772.498345,138.304559,1276.502647,846.737258,1509.416222,3255.091892,1817.760733,199295.140653,350951.002357,1982.595207,65465.014489,13542.010879,2040.255707,99138.014183,3263.77076,271.850413,7.947559,2780.393568,1436.253484,1015.162998,42.160556,49498.448835,12463.85426,93258.552444,11540.152947,15917.851529,42.160556,49498.448835,5231.81005,40224.636768,432249.139521,9356.523917,117962.34872,37587.823723,83029.876282,8354.323815,7.947559,1918.916338,118836.267273,102673.635356,550246.14301,14911.511347,25374.632207,12797.001546,1743483.5925
2012年,499.523,4108.025,5489.359,3251.4,446.695,136.593,2406.847,3808.433,306.327,4750.662,579.729,38596.147,203.308,193.857,13041.04,182.694,2543.314,623.936,1945.551,623.618,966.1,3102.418,3045.604,1316.016,6346.644,133870.665,313132.399,9772.7,60864.037,12993.951,4024.45,4166.296,2151.261,3410.14,2979.469,110.444,2278.593,15310.095,69420.266,20652.16,7125.633,1876.26,936.499,14938.272,45.062,14.491,17248.802,4600.238,1536.662,95.45,3585.727,18680.691,603.239,3778.652,3383.454,1154.436,147.008,736.681,1934.408,2357.759,1344.884,2670.797,394.49,1785.253,46.831,20.742,310.401,1344.655,657.163,7267.02,13220.216,23280.072,10067.394,54495.531,4785.772,9598.225,114.672,1469.479,920.506,1483.283,3175.598,1796.113,181980.392,381520.188,1180.149,70598.283,17613.977,1783.59,106154.171,4149.099,302.923,9.06,2872.338,1418.26,1286.045,87.929,68769.316,13795.002,90072.426,13041.04,14997.826,87.929,68769.316,5576.642,50981.904,453349.708,9938.393,118061.435,40867.676,91175.998,9268.838,9.06,2163.226,111186.645,110606.192,563500.58,13220.216,23385.702,14349.25,1818405.003
2013年,432.743045,5929.655818,5993.592804,5245.216234,498.148432,173.378018,2549.351815,4100.715902,256.358722,5053.758663,802.303605,42626.754882,223.937643,185.308935,10822.944692,197.43636,2363.616602,714.385062,2583.89197,661.646262,1205.242969,3058.234316,3654.224037,1459.65927,5986.589923,148772.299941,315232.251704,9460.464717,65876.607482,15096.014504,3374.943102,4312.108245,2384.841702,3692.43147,3099.359069,121.281591,2321.811338,15720.16913,72390.445117,19898.396293,8025.6287,1917.130531,1204.390818,18768.808212,37.008495,12.66948,17305.500669,4372.83317,1898.320547,86.283481,3674.376317,17229.073175,692.468375,3713.278762,3391.698173,1194.818157,152.673983,734.111459,1978.189246,2321.973412,1667.713904,3148.793486,430.252012,1955.25808,44.944817,19.413124,338.460015,1452.560694,688.538717,7460.585173,18339.649296,21335.561944,10429.877182,49828.688214,4524.505893,8702.562163,83.539679,1671.741851,552.206197,1541.434392,3210.031657,1787.11292,170570.774484,439416.832631,999.362454,74147.799378,23181.18915,2034.917589,107588.247069,3903.174128,292.308532,4.885501,3063.718978,1351.289446,1471.539146,770.753725,104735.488097,18099.356333,92288.84141,10822.944692,18818.486187,770.753725,104735.488097,5886.54757,55971.868185,469991.141568,11147.150049,125460.03235,40415.703942,100363.268571,9601.684584,4.885501,2358.076036,103667.262092,111783.729729,609987.607115,18339.649296,23576.654386,15898.336848,1949989.468
2014年,835.234,5844.331,6583.348,6490.639,479.41,189.271,2579.931,5144.604,342.297,6174.89,963.921,45887.757,234.637,199.516,9118.711,248.949,1786.013,870.943,2814.458,765.862,1406.882,3159.323,3980.566,2092.563,6243.944,134660.947,316787.667,10384.983,60312.892,17752.095,3351.122,4460.916,3372.164,3953.108,3241.692,149.776,2273.232,16807.073,75190.305,17370.613,8260.979,2051.667,1287.259,22797.546,41.16,11.418,17413.803,4308.836,1909.708,69.092,3384.212,12756.184,889.43,3527.135,3067.482,1310.779,164.037,670.628,2015.814,2039.465,2065.514,3559.322,483.373,2293.381,51.943,22.031,281.794,1668.111,778.195,7330.714,42333.152,21167.203,11787.462,47278.407,4097.085,8039.03,70.557,1639.344,428.722,1565.855,3558.848,1935.169,179377.721,424319.488,1644.07,89509.494,28438.496,1318.015,105806.107,3561.232,318.107,6.073,3373.789,2072.457,1723.166,524.116,82323.882,20232.963,92560.918,9118.711,22850.124,524.116,82323.882,7169.411,61716.826,457692.558,11599.905,126059.053,36002.468,120910.076,9777.021,6.073,2649.149,101567.683,109685.445,603697.208,42333.152,23632.348,17125.559,1959234.648
