,交通运输、仓储和邮政业实际利用外商直接投资金额,住宿和餐饮业实际利用外商直接投资金额,信息传输、计算机服务和软件业实际利用外商直接投资金额,公共管理和社会组织实际利用外商直接投资金额,农、林、牧、渔业实际利用外商直接投资金额,制造业实际利用外商直接投资金额,卫生、社会保障和社会福利业实际利用外商直接投资金额,国际组织实际利用外商直接投资金额,实际利用外商直接投资金额,居民服务和其他服务业实际利用外商直接投资金额,建筑业实际利用外商直接投资金额,房地产业实际利用外商直接投资金额,批发和零售业实际利用外商直接投资金额,教育实际利用外商直接投资金额,文化、体育和娱乐业实际利用外商直接投资金额,水利、环境和公共设施管理业实际利用外商直接投资金额,电力、燃气及水的生产和供应业实际利用外商直接投资金额,科学研究、技术服务和地质勘查业实际利用外商直接投资金额,租赁和商务服务业实际利用外商直接投资金额,采矿业实际利用外商直接投资金额,金融业实际利用外商直接投资金额
2003年,86737.0,0.0,0.0,0.0,100084.0,3693570.0,0.0,0.0,5350500.0,0.0,61176.0,523560.0,0.0,0.0,0.0,0.0,129538.0,0.0,0.0,33635.0,23199.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6063000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,181230.0,56017.0,101454.0,0.0,71826.0,4245291.0,3926.0,0.0,6032500.0,26001.0,49020.0,541807.0,103854.0,1775.0,30543.0,13906.0,139437.0,34041.0,374507.0,35495.0,21969.0
2006年,198485.0,82764.0,107049.0,0.0,59945.0,4007671.0,1517.0,0.0,6302100.0,50402.0,68801.0,822950.0,178941.0,2940.0,24136.0,19517.0,128136.0,50413.0,422266.0,46052.0,29369.0
2007年,200676.0,104165.0,148524.0,0.0,92407.0,4086482.0,1157.0,0.0,7476800.0,72270.0,43424.0,1708873.0,267652.0,3246.0,45109.0,27283.0,107255.0,91668.0,401881.0,48944.0,25729.0
2008年,285131.0,93851.0,277479.0,0.0,119102.0,4989483.0,1887.0,6.0,9239500.0,56992.0,109256.0,1858995.0,443297.0,3641.0,25818.0,34027.0,169602.0,150555.0,505884.0,57283.0,57255.0
2009年,252728.0,84412.0,224694.0,1.0,142873.0,4677146.0,4283.0,0.0,9003300.0,158596.0,69171.0,1679619.0,538980.0,1349.0,31756.0,55613.0,211206.0,167363.0,607806.0,50059.0,45617.0
2010年,224373.0,93494.0,248667.0,0.0,191195.0,4959058.0,9017.0,0.0,10573500.0,205268.0,146062.0,2398556.0,659566.0,818.0,43612.0,90859.0,212477.0,196692.0,713023.0,68440.0,112347.0
2011年,319079.0,84289.0,269918.0,66.0,200888.0,5210054.0,7751.0,0.0,11601100.0,188357.0,91694.0,2688152.0,842455.0,395.0,63455.0,86427.0,211843.0,245781.0,838247.0,61279.0,190970.0
2012年,347376.0,70157.0,335809.0,5.0,206220.0,4886649.0,6430.0,0.0,11171600.0,116451.0,118176.0,2412487.0,946187.0,3437.0,53655.0,85028.0,163897.0,309554.0,821105.0,77046.0,211945.0
2013年,421738.0,77181.0,288056.0,5.0,180003.0,4555498.0,6435.0,0.0,11758600.0,65693.0,121983.0,2879807.0,1151099.0,1822.0,82079.0,103586.0,242910.0,275026.0,1036158.0,36495.0,233046.0
2014年,445559.0,65021.0,275511.0,930.0,152227.0,3993872.0,7757.0,0.0,11956156.0,71813.0,123949.0,3462611.0,946340.0,2097.0,82338.0,57349.0,220290.0,325466.0,1248588.0,56222.0,418216.0
