,涉外亲属关系公证办证件数,涉外公司章程公证办证件数,涉外公证文书办证件数,涉外其他公证办证件数,涉外其他法律文书公证办证件数,涉外其他经济合同公证办证件数,涉外出生公证办证件数,涉外副本等与原本相符公证办证件数,涉外受、未受刑事处分公证办证件数,涉外商标注册公证办证件数,涉外国籍公证办证件数,涉外声明书公证办证件数,涉外委托书公证办证件数,涉外婚姻状况公证办证件数,涉外学历公证办证件数,涉外担保公证办证件数,涉外收养公证办证件数,涉外死亡公证办证件数,涉外法人资格公证办证件数,涉外生存、居住公证办证件数,涉外签名印鉴属实公证办证件数,涉外经历公证办证件数,涉外继承权公证办证件数,涉外职称公证办证件数,涉外营业证书公证办证件数,涉外贷款公证办证件数,涉外遗嘱公证办证件数
1998年,,2111.0,1740219.0,164714.0,27822.0,7602.0,284251.0,256117.0,212128.0,228.0,34013.0,20446.0,12454.0,178443.0,164395.0,2543.0,7614.0,11461.0,2714.0,15615.0,80844.0,54244.0,4165.0,14380.0,8327.0,1269.0,280.0
1999年,209972.0,1919.0,2074490.0,171706.0,40042.0,5579.0,326589.0,294102.0,251570.0,122.0,30389.0,29340.0,13005.0,203830.0,227108.0,4868.0,7740.0,11461.0,2574.0,13868.0,119838.0,68687.0,3587.0,17002.0,10133.0,1470.0,7989.0
2000年,262172.0,3296.0,2514485.0,267002.0,34111.0,20761.0,396150.0,331506.0,286396.0,1765.0,34422.0,39320.0,14578.0,239209.0,282585.0,3384.0,8803.0,13467.0,3351.0,14362.0,151132.0,66897.0,3046.0,20876.0,13523.0,1354.0,1026.0
2001年,317088.0,3828.0,2932209.0,314583.0,37454.0,15486.0,458437.0,367503.0,,148.0,34599.0,42180.0,21807.0,256551.0,344684.0,4060.0,11545.0,12901.0,2712.0,9302.0,211986.0,70103.0,11101.0,19972.0,13684.0,1647.0,2533.0
2002年,276811.0,2497.0,2463540.0,334492.0,34620.0,31025.0,339100.0,299892.0,266089.0,109.0,36941.0,39289.0,24740.0,217511.0,263055.0,3346.0,14745.0,15278.0,2625.0,6683.0,171969.0,46746.0,2413.0,12371.0,11011.0,7689.0,2493.0
2003年,276811.0,2497.0,2463540.0,334492.0,34620.0,31025.0,339100.0,299892.0,266089.0,109.0,36941.0,39289.0,24740.0,217511.0,263055.0,3346.0,14745.0,15278.0,2625.0,6683.0,171969.0,46746.0,2413.0,12371.0,11011.0,7689.0,2493.0
2004年,304515.0,2977.0,2592005.0,342080.0,57046.0,22081.0,381714.0,352779.0,276506.0,335.0,48358.0,61615.0,34037.0,201330.0,211498.0,1413.0,22285.0,11812.0,2599.0,9176.0,161250.0,43850.0,2989.0,12690.0,15134.0,8643.0,3293.0
2005年,313478.0,3248.0,2717454.0,342115.0,25210.0,27462.0,368510.0,459239.0,282106.0,243.0,58612.0,77590.0,33769.0,194409.0,203673.0,5320.0,17554.0,15392.0,3354.0,12551.0,194776.0,36623.0,4311.0,11386.0,15732.0,6526.0,4265.0
2006年,367488.0,3878.0,3013979.0,424172.0,36334.0,12022.0,421970.0,459194.0,307506.0,181.0,58782.0,77772.0,31044.0,215049.0,250500.0,1912.0,12929.0,17707.0,3182.0,14467.0,204280.0,49562.0,3488.0,16927.0,17453.0,5352.0,828.0
2007年,421401.0,3340.0,3201449.0,427894.0,35755.0,12376.0,442150.0,542647.0,316015.0,123.0,57754.0,73857.0,31705.0,195526.0,278934.0,1723.0,11047.0,13848.0,3446.0,13941.0,227595.0,40022.0,3109.0,17203.0,24062.0,5079.0,897.0
2008年,329447.0,3410.0,3111631.0,458030.0,32378.0,9962.0,437755.0,524422.0,324046.0,225.0,47269.0,67712.0,31691.0,187438.0,298023.0,1840.0,7743.0,10711.0,5477.0,14606.0,244500.0,34088.0,5738.0,13236.0,17692.0,2672.0,1520.0
2009年,311480.0,3367.0,3082560.0,494922.0,33908.0,4909.0,444828.0,550533.0,345678.0,148.0,41935.0,59395.0,28527.0,175394.0,264292.0,1058.0,12138.0,10221.0,3313.0,19237.0,213853.0,25555.0,9757.0,10379.0,16092.0,1030.0,611.0
2010年,336600.0,3198.0,3099102.0,503057.0,43187.0,4427.0,436985.0,544695.0,345164.0,472.0,32072.0,69336.0,35304.0,172279.0,256296.0,803.0,10195.0,11377.0,3657.0,17444.0,209498.0,27138.0,5166.0,8662.0,19471.0,826.0,1793.0
2011年,321082.0,6487.0,3073979.0,548438.0,32064.0,5383.0,444349.0,555216.0,338292.0,896.0,27244.0,66207.0,41386.0,174406.0,216028.0,2952.0,8911.0,13770.0,6292.0,15950.0,187624.0,25968.0,4831.0,8939.0,19270.0,750.0,1244.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,
