,交通运输、仓储和邮政业外商投资企业注册资本,住宿和餐饮业外商投资企业注册资本,信息传输、计算机服务和软件业外商投资企业注册资本,其他外商投资企业注册资本,农、林、牧、渔业外商投资企业注册资本,制造业外商投资企业注册资本,卫生、社会保障和社会福利业外商投资企业注册资本,外商投资企业注册资本,居民服务和其他服务业外商投资企业注册资本,建筑业外商投资企业注册资本,房地产业外商投资企业注册资本,批发和零售业外商投资企业注册资本,教育外商投资企业注册资本,文化、体育和娱乐业外商投资企业注册资本,水利、环境和公共设施管理业外商投资企业注册资本,电力、燃气及水的生产和供应业外商投资企业注册资本,科学研究、技术服务和地质勘查业外商投资企业注册资本,租赁和商务服务业外商投资企业注册资本,采矿业外商投资企业注册资本,金融业外商投资企业注册资本
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67692.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245631.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312275.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399123.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441484.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,12789.0,0.0,0.0,0.0,8811.0,268428.0,0.0,459814.0,0.0,12633.0,75912.0,0.0,0.0,0.0,0.0,17873.0,0.0,0.0,4647.0,1283.0
1998年,14178.0,0.0,0.0,0.0,6528.0,273821.0,0.0,467287.0,0.0,13131.0,77913.0,0.0,0.0,0.0,0.0,19489.0,0.0,0.0,2407.0,1665.0
1999年,14996.0,0.0,0.0,0.0,6285.0,271535.0,0.0,463549.38,0.0,12600.0,75962.0,0.0,0.0,0.0,0.0,19740.0,0.0,0.0,2190.0,1654.0
2000年,17267.0,0.0,0.0,0.0,6301.0,289030.0,0.0,483950.0,0.0,12033.0,74303.0,0.0,0.0,0.0,0.0,19658.0,0.0,0.0,1980.0,1886.0
2001年,20432.0,0.0,0.0,9079.0,6180.0,305250.0,0.0,505793.0,0.0,11862.0,72244.0,0.0,0.0,0.0,0.0,20039.0,0.0,0.0,2317.0,1965.0
2002年,22788.0,0.0,0.0,14247.0,6847.0,339340.0,0.0,552119.0,0.0,12367.0,69384.0,0.0,0.0,0.0,0.0,21394.0,0.0,0.0,2520.0,2372.0
2003年,30287.9481,0.0,0.0,13835.423,7787.4702,385077.3389,0.0,622641.0,0.0,13988.5037,74816.5065,0.0,0.0,0.0,0.0,22646.9333,0.0,0.0,2702.2371,3350.82
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,24710.0,0.0,0.0,17210.0,11540.0,511670.0,0.0,812030.0,0.0,15830.0,90560.0,0.0,0.0,0.0,0.0,29870.0,0.0,0.0,4200.0,3760.0
2006年,30600.0,15300.0,20700.0,11400.0,12700.0,592400.0,1200.0,946500.0,6500.0,17100.0,113400.0,22300.0,300.0,7800.0,6000.0,33200.0,18800.0,26500.0,5200.0,5000.0
2007年,38963.798123,19840.582086,41757.748306,4152.0965,14746.254,674943.187426,1227.7072,1155400.0,5144.7151,18969.2836,145979.41156,29744.882125,378.2625,8094.57116785,5918.5134,39681.713951,26732.21861,54784.419511,5887.919721,18471.3558
2008年,45100.4723,21476.5209,48094.6771,5869.6759,16260.1978,721740.645,1289.7996,1300553.4816,5194.7825,23278.0327,172952.4839,43016.1733,512.8617,8047.4253,7371.1028,44909.8513,34664.0368,70551.6834,6966.6729,23256.3865
2009年,48434.1663,23129.5341,60896.7861,5750.7809,17876.7866,745058.1235,1322.2582,1403500.0,4801.4642,23533.4503,183889.0689,49287.6523,571.2949,7607.8684,8822.6186,52963.6623,42530.8279,88727.7062,8839.1139,29438.1379
2010年,52100.0,20900.0,64100.0,5800.0,20700.0,798200.0,1200.0,1573800.0,5600.0,44200.0,217100.0,60400.0,500.0,8200.0,9300.0,57300.0,55200.0,104500.0,9400.0,39000.0
2011年,59997.7103,20948.9423,56427.3176,6845.8503,23255.7502,854870.6205,1438.1992,1729429.6158,6032.4094,47030.2987,246620.9481,74994.9547,547.6351,11749.1311,10415.6606,61319.6925,64276.7075,122659.3835,10205.3198,49793.0842
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881414.8401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,76291.0624,21106.7219,55719.605,5121.53,27904.084,923868.4995,1905.8986,2028029.804,7104.9237,50205.579,312312.7241,110897.9373,648.0366,12300.5438,11357.1984,69385.2148,83413.5229,165854.0115,10644.6286,81988.0819
2014年,78049.766,21167.4069,43497.8929,775.4457,31356.2298,968276.4377,2281.6362,2183510.3793,7782.0791,37068.457,350325.2748,133138.2076,623.9826,13574.6601,12777.0217,69241.4071,98674.3743,210273.6955,10967.9754,93658.4289
