,成人本科毕业生数,成人高等学校办农学成人本科毕业生数,成人高等学校办医学成人本科毕业生数,成人高等学校办历史学成人本科毕业生数,成人高等学校办外语成人本科毕业生数,成人高等学校办工学成人本科毕业生数,成人高等学校办师范成人本科毕业生数,成人高等学校办成人本科毕业生数,成人高等学校办教育学成人本科毕业生数,成人高等学校办文学成人本科毕业生数,成人高等学校办法学成人本科毕业生数,成人高等学校办理学成人本科毕业生数,成人高等学校办管理学成人本科毕业生数,成人高等学校办经济学成人本科毕业生数,成人高等学校办艺术成人本科毕业生数,普通高等学校办农学成人本科毕业生数,普通高等学校办医学成人本科毕业生数,普通高等学校办历史学成人本科毕业生数,普通高等学校办哲学成人本科毕业生数,普通高等学校办外语成人本科毕业生数,普通高等学校办工学成人本科毕业生数,普通高等学校办师范成人本科毕业生数,普通高等学校办成人本科毕业生数,普通高等学校办教育学成人本科毕业生数,普通高等学校办文学成人本科毕业生数,普通高等学校办法学成人本科毕业生数,普通高等学校办理学成人本科毕业生数,普通高等学校办管理学成人本科毕业生数,普通高等学校办经济学成人本科毕业生数,普通高等学校办艺术成人本科毕业生数
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,54.0356,0.0,0.1441,0.1225,0.7978,0.1792,4.4345,5.4446,0.7419,2.1668,0.4571,1.182,0.34,0.111,0.2812,0.3093,5.0773,0.4991,0.0024,4.1576,8.6469,15.2872,48.591,2.1414,11.8815,4.6682,4.8684,7.9255,2.571,2.4539
2005年,55.5799,0.0,0.0078,0.09,0.6904,0.1232,3.6089,4.5586,0.7066,1.9173,0.4642,0.9665,0.2309,0.0521,0.2141,0.5149,4.1629,0.4823,0.0,3.8754,9.4428,40.1351,51.0213,2.6835,12.0141,5.603,5.1221,8.5375,2.4582,2.2052
2006年,21.8303,0.0,0.1777,0.0158,0.3773,0.1045,1.2614,1.8893,0.0918,0.8228,0.2213,0.2988,0.131,0.0256,0.0861,0.1105,3.2423,0.0372,0.0,1.9438,4.356,3.0727,19.941,0.4625,4.2548,1.8116,0.5842,3.8256,1.2563,1.3213
2007年,67.489,0.0042,0.0726,0.0841,0.8502,0.1675,3.8027,4.8006,0.7716,2.1516,0.375,0.865,0.2602,0.0488,0.2656,0.8316,6.6682,0.5463,0.0,5.457,10.4226,18.1288,62.6884,3.7175,15.3239,6.2459,5.8238,10.7146,2.394,3.0495
2008年,68.4506,0.0024,0.1638,0.0712,0.7154,0.1824,3.6365,4.8222,0.9736,1.9845,0.3104,0.7426,0.3504,0.0409,0.1726,0.9076,7.2456,0.3436,0.0,5.1482,11.5074,16.3895,63.6284,4.0016,14.5911,5.8258,4.8921,12.0183,2.2953,2.6357
2009年,86.5421,0.0024,0.1129,0.0521,0.5183,0.1483,2.7819,4.0266,0.9576,1.6272,0.3065,0.4027,0.363,0.0539,0.1443,1.4482,9.9734,0.3973,0.0094,5.7228,16.2967,19.4961,82.5155,5.0736,17.9251,7.2187,4.7622,16.6706,2.7403,2.7338
2010年,80.3915,0.0035,0.1298,0.0274,0.4332,0.096,2.0029,3.0558,0.6528,1.3951,0.2573,0.2377,0.217,0.0392,0.0938,1.446,10.7672,0.3308,0.0079,4.788,15.7468,17.0521,77.3357,4.6037,16.0703,5.6231,4.1228,15.8938,2.7233,2.1791
2011年,75.5402,0.004,0.114,0.0089,0.1755,0.0804,0.8217,1.878,0.4968,0.7095,0.1508,0.0809,0.1851,0.0476,0.0567,1.0845,10.2048,0.2949,0.0024,4.0744,16.1206,13.6693,73.6622,4.3626,14.0292,4.9,3.2127,16.7233,2.7272,1.7666
2012年,80.1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,81.1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,89.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
