,中学国家财政性教育经费,中等专业学校国家财政性教育经费,中等职业学校国家财政性教育经费,其它类别学校国家财政性教育经费,农村普通初中国家财政性教育经费,农村普通小学国家财政性教育经费,国家财政性教育经费,小学国家财政性教育经费,幼儿园国家财政性教育经费,成人中专学校国家财政性教育经费,成人中学国家财政性教育经费,成人小学国家财政性教育经费,成人高等学校国家财政性教育经费,技工学校国家财政性教育经费,教育事业单位国家财政性教育经费,教育行政单位国家财政性教育经费,普通中学国家财政性教育经费,普通初中国家财政性教育经费,普通小学国家财政性教育经费,普通高中国家财政性教育经费,普通高等学校国家财政性教育经费,特殊教育学校国家财政性教育经费,职业高中国家财政性教育经费,高等学校国家财政性教育经费
2003年,11922063.3,1395181.7,0.0,1898208.2,0.0,7664065.8,38506236.6,12686976.9,462390.0,228877.7,13041.7,6236.5,362957.4,228395.4,0.0,0.0,11909021.6,0.0,12680740.4,0.0,8405779.1,147470.8,0.0,8768736.5
2004年,14001339.4,1412520.2,0.0,2321525.5,0.0,9253266.8,44658574.8,14735197.7,545001.4,253472.2,13142.0,3660.5,400483.0,233524.6,0.0,0.0,13988197.4,0.0,14731537.2,0.0,9697908.7,170527.6,0.0,10098391.7
2005年,16440048.4,1439488.1,0.0,3249126.7,0.0,10794943.0,51610759.3,16695144.0,657237.9,262664.3,15824.9,4754.0,376987.4,275104.6,0.0,0.0,16424223.5,0.0,16690390.0,0.0,10908368.7,211484.7,0.0,11285356.1
2006年,0.0,0.0,0.0,0.0,0.0,0.0,63483647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,25360850.0,1951637.7,5121956.9,2633417.9,10323297.1,18069990.5,82802142.1,26742621.1,1028269.3,370500.1,22028.5,3757.8,498000.9,518893.8,3558279.7,1587423.9,25338821.5,17390626.6,26738863.3,7948194.9,15983187.1,288135.3,2280925.3,16481188.0
2008年,32146828.1,2658848.3,6822714.4,3178274.0,13572233.7,22236241.0,104496295.6,32984118.0,1329444.0,433543.4,26572.4,5166.3,589444.6,640771.4,4669139.7,2358725.0,32120255.7,22507835.7,32978951.7,9612420.0,20035115.8,382492.0,3089551.3,20624560.4
2009年,38343767.0,3307110.0,8141848.0,3924163.0,16313520.0,26425549.0,122310935.4,39730251.0,1662739.0,490497.0,31917.0,4536.0,628760.0,878354.0,4639216.0,2140294.0,38311850.0,27218443.0,39725715.0,11093407.0,22645083.0,454816.0,3465887.0,23273842.0
2010年,44774411.6,4151335.8,9682825.8,5227142.9,18421822.3,30419739.6,146700669.6,46429953.1,2443526.4,532957.0,32367.9,3968.9,635180.8,1070922.1,5200421.2,2605377.7,44742043.7,31523693.6,46425984.2,13218350.1,29018025.6,683804.5,3927610.9,29653206.4
2011年,57114549.6,5671922.2,12590643.7,1972570.6,22308622.4,37249144.3,185867009.2,57599831.0,4156986.1,619836.6,90922.0,3289.1,728287.7,1236387.7,7712372.9,2989851.9,57023627.6,39024010.6,57596541.9,17999617.0,40234989.2,766926.5,5062497.2,40963276.9
2012年,0.0,0.0,0.0,0.0,0.0,0.0,231475697.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,244882177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
