,中学教育经费,中等专业学校教育经费,中等职业学校教育经费,其它类别学校教育经费,农村普通初中教育经费,农村普通小学教育经费,小学教育经费,幼儿园教育经费,成人中专学校教育经费,成人中学教育经费,成人小学教育经费,成人高等学校教育经费,技工学校教育经费,教育事业单位教育经费,教育经费,教育行政单位教育经费,普通中学教育经费,普通初中教育经费,普通小学教育经费,普通高中教育经费,普通高等学校教育经费,特殊教育学校教育经费,职业高中教育经费,高等学校教育经费
2004年,22265210.3,2650781.5,0.0,3337863.2,0.0,10703844.7,18051062.0,875169.0,454385.6,35039.6,5411.7,1278846.1,488899.0,0.0,72425989.2,0.0,22230170.7,0.0,18045650.3,0.0,21297613.2,193181.2,0.0,22576459.3
2005年,25930835.1,2711219.7,0.0,4389346.6,0.0,12394754.4,20321074.5,1045524.0,470959.4,34702.8,5898.6,1076247.5,584840.5,0.0,84188390.5,0.0,25896132.3,0.0,20315175.9,0.0,25502370.8,235841.9,0.0,26578618.3
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98153086.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,34524461.6,3473353.1,8517982.6,2934498.6,11043073.1,18834664.1,29487236.8,1571389.2,570862.2,42136.8,4262.2,1281156.0,994454.2,4598097.6,121480663.0,1912362.1,34482324.8,20547280.7,29482974.6,13935044.1,36341851.2,311627.3,3479313.1,37623007.2
2008年,41291005.6,4378242.8,10492435.1,3486622.9,14282394.8,22981914.8,35512328.0,1988415.7,623202.3,51091.3,5291.5,1366410.2,1148414.6,5698155.6,145007374.2,2659506.7,41239914.3,25217558.5,35507036.5,16022355.8,42102369.3,410125.1,4342575.4,43468779.5
2009年,47680923.0,5134365.0,11988675.0,4227524.0,16975027.0,27230002.0,42173872.0,2447892.0,684014.0,46619.0,4631.0,1377670.0,1462059.0,5733982.0,165027065.0,2463587.0,47634304.0,29839869.0,42169241.0,17794435.0,46450089.0,482851.0,4708237.0,47827760.0
2010年,54210867.7,6065511.5,13573099.0,5494252.0,19009184.5,31165811.2,48874754.9,7280142.5,718185.8,45912.5,4035.9,1312121.7,1696443.6,6269454.7,195618470.7,2906046.4,54164955.2,34131495.2,48870719.0,20033460.0,54978648.9,719082.9,5092958.1,56290770.6
2011年,66709034.2,7560390.2,16385030.1,2230510.3,22879621.2,37975039.5,60124182.6,10185760.6,792130.9,101882.9,3341.8,1406423.4,1854711.7,8777740.4,238692935.6,3281499.1,66607151.3,41663540.2,60120840.8,24943611.1,68802316.4,790438.5,6177797.3,70208739.8
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286553051.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303647181.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
