,中学国家财政预算内教育经费,中等专业学校国家财政预算内教育经费,中等职业学校国家财政预算内教育经费,其它类别学校国家财政预算内教育经费,农村普通初中国家财政预算内教育经费,农村普通小学国家财政预算内教育经费,国家财政预算内教育经费,小学国家财政预算内教育经费,幼儿园国家财政预算内教育经费,成人中专学校国家财政预算内教育经费,成人中学国家财政预算内教育经费,成人小学国家财政预算内教育经费,成人高等学校国家财政预算内教育经费,技工学校国家财政预算内教育经费,教育事业单位国家财政预算内教育经费,教育行政单位国家财政预算内教育经费,普通中学国家财政预算内教育经费,普通初中国家财政预算内教育经费,普通小学国家财政预算内教育经费,普通高中国家财政预算内教育经费,普通高等学校国家财政预算内教育经费,特殊教育学校国家财政预算内教育经费,职业高中国家财政预算内教育经费,高等学校国家财政预算内教育经费
2002年,9003381.6,1273760.2,0.0,1418423.9,0.0,6709476.9,31142383.3,10473153.2,397252.8,207118.7,8278.2,4142.1,305397.5,137485.3,0.0,0.0,8995103.4,0.0,10469011.1,0.0,7243458.6,116767.4,0.0,7548856.1
2003年,10225505.0,1304068.7,0.0,1468736.6,0.0,7374990.0,34538582.6,11566847.3,441207.8,209389.6,8545.9,3518.0,314854.5,164876.3,0.0,0.0,10216959.1,0.0,11563329.3,0.0,8074147.8,129882.2,0.0,8389002.3
2004年,12120586.8,1314425.7,0.0,1825025.5,0.0,8857400.5,40278158.0,13525941.6,519700.3,230088.4,9475.4,3364.2,348394.5,178255.7,0.0,0.0,12111111.4,0.0,13522577.4,0.0,9309881.9,150002.5,0.0,9658276.4
2005年,14364813.4,1317102.4,0.0,2567697.9,0.0,10296328.1,46656939.0,15444844.2,620820.8,236614.8,11301.4,4627.9,338196.8,217779.9,0.0,0.0,14353512.0,0.0,15440216.3,0.0,10463734.0,178192.4,0.0,10801930.8
2006年,0.0,0.0,0.0,0.0,0.0,0.0,57956138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,22934511.8,1756231.9,4408752.1,2623181.8,9726061.7,17349039.8,76549081.9,25179147.6,954946.7,344122.9,18993.0,3685.0,456108.4,453350.6,2945770.2,1242309.6,22915518.8,16016420.7,25175462.6,6899098.1,15543042.3,261311.4,1855046.7,15999150.7
2008年,29285707.6,2385191.9,5855492.1,3163802.3,12837203.5,21363735.3,96855601.9,31129001.6,1227864.5,405044.4,22404.9,5139.7,539564.8,570951.5,3897287.1,1976316.9,29263302.7,20884380.3,31123861.9,8378922.4,19446803.7,333761.3,2494304.3,19986368.5
2009年,35350376.0,2968624.0,7086185.0,3909851.0,15497859.0,25449025.0,114193032.4,37701029.0,1524543.0,456397.0,24208.0,4455.0,580840.0,801627.0,3911935.0,1808729.0,35326169.0,25472473.0,37696574.0,9853696.0,21912629.0,406915.0,2859537.0,22493469.0
2010年,41159888.0,3694266.0,8325193.5,4357012.0,17469914.9,29227117.4,134895628.5,43896248.6,2187410.5,485247.1,28515.1,3962.0,589949.8,964151.2,4313650.0,2258371.1,41131372.9,29372793.3,43892286.6,11758579.6,27188006.4,619898.6,3181529.2,27777956.2
2011年,50782295.4,4728780.9,10379262.7,1955901.9,20740121.3,35088711.1,168045616.5,53147915.1,3516392.2,560317.8,71434.3,3264.2,670706.7,1064615.0,6676854.8,2628782.0,50710861.1,35334457.5,53144650.9,15376403.6,37632641.0,654864.7,4025549.0,38303347.7
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
