,中央艺术表演团体到农村演出场次,乐团、合唱团到农村演出场次,京剧剧团到农村演出场次,其他艺术表演团体到农村演出场次,其他部门艺术表演团体到农村演出场次,县、市艺术表演团体到农村演出场次,国有艺术表演团体到农村演出场次,地、市艺术表演团体到农村演出场次,戏曲剧团到农村演出场次,执行事业会计制度的艺术表演团体到农村演出场次,执行企业会计制度的艺术表演团体到农村演出场次,文化部门艺术表演团体到农村演出场次,文工团、文宣队、乌兰牧骑到农村演出场次,曲艺、杂技、木偶、皮影团到农村演出场次,歌剧、舞剧、歌舞剧团到农村演出场次,歌舞团、轻音乐团到农村演出场次,省、区、市艺术表演团体到农村演出场次,综合性艺术表演团体到农村演出场次,艺术表演团体到农村演出场次,话剧、儿童剧、滑稽剧团到农村演出场次,集体艺术表演团体到农村演出场次
2004年,0.0,0.0,0.37,0.0,0.0,0.0,15.5,0.0,16.7,0.0,0.0,0.0,1.82,1.95,0.32,1.24,0.0,0.0,23.48,0.62,7.09
2005年,0.0,0.0,0.8,0.0,0.0,0.0,15.9,0.0,20.3,0.0,0.0,0.0,2.4,1.8,0.4,1.2,0.0,0.7,26.9,0.1,7.1
2006年,0.0,0.0,0.3,0.0,0.0,0.0,17.0,0.0,19.8,0.0,0.0,0.0,2.2,1.3,0.3,1.7,0.0,3.4,29.0,0.3,7.1
2007年,0.0,0.01,1.4,0.0,0.0,0.0,19.086,0.0,29.398,0.0,0.0,0.0,2.188,5.443,0.714,3.798,0.0,7.46,50.29,1.277,8.334
2008年,0.057,0.103,0.497,19.172,21.418,40.044,21.806,5.617,24.882,0.0,0.0,25.804,3.561,8.643,0.524,2.843,1.504,4.723,47.222,1.943,6.244
2009年,0.078,0.074,1.11,47.74,47.848,67.109,19.782,5.353,35.881,0.0,0.0,26.211,2.268,22.009,0.844,7.597,1.519,5.127,74.059,0.261,6.537
2010年,0.072,0.186,1.145,59.037,58.619,77.977,20.663,4.739,37.418,0.0,0.0,26.052,2.366,22.662,1.309,6.746,1.884,13.647,84.671,0.338,4.971
2011年,0.078,0.223,1.207,74.267,74.747,93.468,21.527,5.152,71.539,24.523,76.148,25.924,2.247,4.94,0.991,7.791,1.975,12.553,100.671,0.387,4.878
2012年,0.007,0.266,1.475,52.594,58.254,74.075,24.601,5.498,38.911,19.701,61.454,22.901,2.099,18.66,1.193,7.919,1.576,9.656,81.155,2.452,3.961
2013年,0.066,0.0,0.0,83.432,81.405,98.63,18.159,4.651,0.0,18.238,86.835,23.669,0.0,0.0,0.0,0.0,1.728,0.0,105.073,0.0,3.483
2014年,0.013,0.0,0.0,92.397,90.492,107.388,18.276,5.011,0.0,18.044,95.993,23.545,0.0,0.0,0.0,0.0,1.626,0.0,114.037,0.0,3.365
