,国有农场农作物播种面积,国有农场农场数,国有农场农用化肥施用量(折纯量)数,国有农场农用排灌动力机械数,国有农场农用机械总动力,国有农场农用载重汽车数,国有农场大中型农用拖拉机数,国有农场大牲畜年末数,国有农场小型及手扶拖拉机数,国有农场干胶产量,国有农场果园年末实有面积,国有农场桑园年末实有面积,国有农场棉花总产量,国有农场棉花播种面积,国有农场橡胶园年末实有面积,国有农场水产品产量,国有农场水果产量,国有农场油料总产量,国有农场油料播种面积,国有农场牛奶产量,国有农场猪年末数,国有农场猪牛羊肉产量,国有农场猪肉产量,国有农场禽蛋产量,国有农场粮食作物播种面积,国有农场粮食总产量,国有农场糖料总产量,国有农场糖料播种面积,国有农场绵羊年末数,国有农场羊年末数,国有农场羊毛产量,国有农场耕地面积,国有农场职工人数,国有农场联合收割机数,国有农场茶叶产量,国有农场茶园年末实有面积,国有农场麻类总产量,国有农场麻类播种面积,按当年价格计算国有农场农业总产值
1995年,4472.7,2129.0,112.9,9.3104,101.6,1.9188,6.0853,235.5,14.3403,33.6,168.9,,53.8,396.2,377.2,35.9,99.7,47.8,351.3,102.9,450.3,53.4,42.5,24.0,3153.8,1251.9,661.3,163.7,760.5,926.1,18000.0,4560.0,502.1,1.4584,4.0,41.8,0.8,2.5,583.0
1996年,4606.0,2128.0,118.0,10.81,107.6,1.89,6.06,245.4,18.4,31.4,168.4,1.6,50.9,413.5,377.5,38.3,92.4,33.0,329.6,103.9,444.5,57.3,45.1,22.9,3357.0,1551.3,767.3,171.1,801.0,993.5,21000.0,4700.0,488.3,1.49,4.2,39.5,0.5,1.9,650.0
1997年,4774.1,2115.0,126.1,11.7612,109.6,1.6726,6.0445,245.4,19.4908,34.4,169.2,1.3,62.2,447.8,381.7,44.2,111.6,34.3,230.6,115.1,459.0,63.7,49.1,24.2,3503.6,1692.8,933.9,180.5,811.4,1014.6,20000.0,4764.2,473.1,1.4142,4.1,38.7,0.7,2.5,698.2
1998年,4885.6,2101.0,131.1,12.6009,112.7,1.6226,6.3044,240.6,19.4616,34.7,175.4,1.8,72.1,510.0,380.9,47.8,100.4,46.5,304.2,113.1,482.8,65.6,50.0,23.2,3439.9,1645.9,995.7,195.1,865.7,1069.2,21000.0,4816.7,437.5,1.4544,4.4,36.9,0.6,1.3,680.7
1999年,4858.1,2051.0,125.5,13.2,114.0,1.4177,6.5566,223.8,20.8,36.3,182.6,1.2,73.4,490.5,384.4,49.7,122.3,64.1,415.5,108.8,478.9,66.3,49.1,21.4,3376.1,1697.2,808.7,146.1,887.9,1094.5,30000.0,4835.8,417.7,1.4,4.1,34.9,0.7,2.2,633.2
2000年,4755.8,2026.0,131.7,13.9,115.9,1.2524,6.6562,214.6,21.4,34.7,193.6,3.9,83.2,527.3,382.3,49.1,118.6,71.2,461.2,116.5,478.1,68.3,51.4,20.4,3163.9,1465.2,589.5,103.6,888.4,1104.7,21000.0,4801.0,391.9,1.5,3.9,34.1,3.0,9.4,644.0
2001年,4750.4,1961.0,133.7,15.7,120.1,1.3,6.7302,217.4,21.6,34.7,210.9,3.9,84.9,605.4,383.6,55.3,127.6,52.8,354.6,134.4,500.0,72.4,54.4,19.5,3096.0,1480.2,824.9,138.4,890.2,1119.9,21000.0,4814.6,366.0,1.5,3.9,32.7,12.0,37.6,652.8
2002年,4792.6,1945.0,134.24,16.86,124.4,4.6,7.2,232.6,23.2,37.8,230.0,2.3,99.0,571.6,385.3,63.1,147.8,67.3,405.4,159.2,569.8,78.5,58.6,19.9,3073.7,1498.9,913.3447,148.9,945.5,1240.0,21428.0,4740.66,355.69,1.63,4.7,31.228,18.0449,44.1,726.38
2003年,4674.7,1967.0,143.9,17.7,129.9,5.0,7.0,260.2,24.5,39.5,224.4,2.6,103.4,627.6,404.3,65.7,146.4,71.9,446.9,176.8,588.3,87.7,64.2,21.3,2831.1,1342.6,721.7,115.1,431.8,1509.6,24000.0,4690.1,353.7,1.8,3.8,29.6,19.4,67.0,846.3
2004年,5019.0,1928.0,152.19,18.56,136.397,5.4954,7.38,281.9,26.35,39.0,231.3,2.1,116.2787,666.4,412.4,70.8,163.1,65.2104,394.6,210.2,652.3,102.2,74.1,21.4,3199.0,1666.2,688.7232,101.7,1154.9,1575.8,27356.0,4820.06,339.6,1.9,3.9,30.6,26.6825,70.0,977.9
2005年,5145.0,1923.0,159.6,19.2,146.3,5.7299,8.0,305.0,27.0,31.9851,241.3,1.6,124.6856,649.4,424.2,75.9,178.7932,66.9441,371.2,245.5,722.8,121.4,88.2,22.4,3375.8,1858.9931,667.518,100.5,1220.6,1591.6,29000.0,5038.1,335.9,2.0,4.6,30.3,24.4871,53.6,1118.6
2006年,5509.0,1896.0,173.1,20.4,153.9,6.1775,9.03,319.4,28.6,32.4,263.6,1.9,141.7,674.0,446.1,87.1,209.6,64.6,361.7,271.7,786.9,139.6,102.8,22.6,3677.3,2055.55,820.8541,116.53,1263.1,1625.1,32158.0,5187.02,329.3,2.3,4.8,30.9,21.9907,41.1,1252.7
2007年,5633.38,1885.0,194.23,21.66,168.2,6.9307,10.36,300.0,30.11,33.5,270.6,2.0,157.556761,803.8,465.8,95.0,239.6,60.441866,338.89,291.2,878.2,145.1,109.3,24.0,3725.45,2162.34,864.34428,121.18,983.8,1345.7,29243.0,5308.11,330.1,2.59,5.1,31.8,13.7611,39.5,1452.32
2008年,5831.0,1893.0,204.6,22.0,180.0,7.35,11.72,306.9,31.5,28.2,296.7,1.86,163.5659,756.0,471.8,97.1,250.63,78.4293,409.6,320.8,968.7,157.1,120.6,25.6,3948.8,2421.5,846.0304,117.62,1026.3,1452.3,25056.0,5498.9,334.45,2.9,4.97,31.5,11.7024,31.0,1667.65
2009年,6073.3,1818.0,210.8,24.7,197.1,7.35,13.19,317.16,32.36,31.7,322.56,1.87,141.2208,656.16,465.2,107.72,307.77,81.1445,371.06,344.65,1053.39,172.61,136.9,31.34,4384.3,2773.15,758.2235,101.92,949.4355,1268.87,25202.0,5598.3,339.7,3.2,4.7,31.3,3.6048,7.89,1906.6
2010年,6310.4,1807.0,227.8,24.8,212.6,7.35,14.6,319.2,33.0,32.8,371.9,1.5,143.9318,665.4,469.4,115.2,323.4,80.335,375.4,366.1,1134.2,190.4,148.9,39.7,4557.6,2953.3,766.8551,103.9,979.9,1298.7,27201.0,5989.27,330.73,3.9,4.6,31.3,1.8699,3.4,2342.34
2011年,6414.64,1785.0,241.2,26.2,228.4,7.35,16.17,340.82,34.7,32.1,380.0,1.6,163.7974,719.32,462.4,126.74,337.2,82.7445,377.47,405.94,1216.57,207.31,162.1,44.04,4613.53,3198.65,818.5414,112.5,1010.56,1319.16,27735.0,6116.33,329.32,4.0,4.5,30.4,1.6169,2.95,2803.86
2012年,6510.45,1786.0,248.3,27.7,245.7,7.35,17.4,344.6,32.8,33.17,391.53,1.883,172.2665,732.49,443.03,137.8,409.39,78.2621,379.16,435.0,1328.4,220.3,173.5,47.7,4725.86,3371.36,850.64753,112.04,1039.0,1320.4,27771.0,6123.7,317.5,4.6,4.4,28.91,1.3352,2.55,3100.42
2013年,6665.0,1779.0,260.97,28.84,262.101,7.35,17.68,295.6,33.3,33.1,402.1,2.0,176.1834,770.0,447.8,151.0,484.2,80.4248,356.54,402.1,1313.5,212.5,165.7,47.8,4839.8,3419.9,846.1616,111.2,1070.8,1302.5,32377.0,6210.51,323.96,4.84,4.4,30.2,1.1057,2.4,3356.34
2014年,6907.3,1789.0,273.2,29.3,272.6,7.35,19.3,276.08,32.1,31.3376,406.905986,2.06926666667,211.3874383,905.26,444.235,153.43,547.1147013,82.5739766,364.41,375.1405,1256.85,192.4198,151.8258,46.7249,4923.6,3538.07,706.816495,84.33,1203.59881,1434.7,31704.0,6242.72,299.15,5.3,4.9579061,28.53629,1.38206,3326.64,3415.23
