,中稻和一季晚稻单位面积产量,亚麻单位面积产量,其他谷物单位面积产量,冬小麦单位面积产量,双季晚稻单位面积产量,向日葵单位面积产量,夏收粮食单位面积产量,大豆单位面积产量,大麦单位面积产量,大麻单位面积产量,小麦单位面积产量,早稻单位面积产量,春小麦单位面积产量,棉花单位面积产量,油料单位面积产量,油菜籽单位面积产量,烟叶单位面积产量,烤烟单位面积产量,玉米单位面积产量,甘蔗单位面积产量,甜菜单位面积产量,秋粮单位面积产量,稻谷单位面积产量,粮食单位面积产量,糖料单位面积产量,红小豆单位面积产量,绿豆单位面积产量,胡麻籽单位面积产量,芝麻单位面积产量,花生单位面积产量,苎麻单位面积产量,蔬菜单位面积产量,薯类单位面积产量,谷子单位面积产量,谷物单位面积产量,豆类单位面积产量,马铃薯单位面积产量,高粱单位面积产量,麻类单位面积产量,黄红麻单位面积产量
1988年,5859.93449176,2512.23104857,,3078.73912003,4675.51354933,1421.54013015,2944.7733627,1434.14862435,,1204.56741573,2967.95530975,5098.9848449,2279.82563092,749.57114465,1243.32486832,1021.86638036,1758.40272298,1792.65944882,3928.08173961,53119.0245038,17196.6648917,3658.05194545,5286.66436021,3578.5660709,37081.769867,,,690.590363572,574.89056282,1912.51259827,1170.85130659,,2978.30745102,1755.34454406,,,2301.92433692,3136.23621753,2460.19893935,3887.31782107
1989年,6142.44218416,2506.92016518,,3174.02464066,4997.45779271,1486.12569832,2987.1277454,1269.2890062,,1105.12605042,3042.98725931,5124.0140103,2308.40749103,727.983920564,1233.09449913,1088.8184161,1574.10904305,1599.8421076,3877.90330135,50856.0627432,16242.8719541,3720.01601012,5508.49530893,3632.1929569,37969.7143231,,,571.364806867,467.378183832,1820.19596307,1239.75806452,,3001.47303467,1566.27344054,,,2211.70107232,2721.6380968,1995.76686391,2309.59421642
1990年,6434.11539514,2775.27565084,,3286.74142455,5073.43621733,1878.45603368,3124.8452593,1455.10344463,,1524.19354839,3194.10662955,5370.2261706,2696.28912998,806.662570685,1479.94253893,1264.31964095,1649.55544393,1683.05409299,4523.94228433,57117.510904,21667.5977137,4104.40430338,5726.11685858,3932.8391269,42965.413507,,,760.909090909,701.501893562,2190.69107462,1103.69268897,,3007.76253371,2007.92930918,,,2263.01828843,3674.1034825,2216.20506261,2421.32947977
1991年,6268.70530138,2737.60897031,,3203.02133306,5284.25605536,1798.83116883,3054.5507596,1379.4915495,,988.021978022,3100.47219194,5064.2396723,2544.85761681,867.944166318,1420.95270173,1212.42244565,1680.18569159,1709.37073233,4578.27844284,58344.9421402,20791.4372022,4095.51057371,5640.165695,3875.6927032,43235.0821693,,,703.489336493,640.148140881,2188.68017778,1070.51470588,,2991.65038847,1645.41551868,4205.91455572,1360.95772312,2111.99611012,3561.92352037,1954.46375958,1902.21508035
1992年,6416.18293259,2863.2278481,,3430.70254076,5333.223972,1826.14678899,3260.5819897,1426.96893739,,1331.36612022,3331.18003135,5301.7118483,2788.76456778,659.60380395,1428.40418125,1280.67539074,1671.65177505,1686.54626075,4532.65854064,58605.45834,22831.9242424,4177.21446776,5803.08006806,4003.7916166,46216.6811838,,,746.347838575,691.812943856,2000.49060788,1150.58270677,,3140.50681831,1776.26646675,4341.72070904,1393.71270817,2534.47757705,3596.11979367,2159.95165746,2233.0
1993年,6505.07662283,2744.12280702,,3640.87586705,5617.38670636,1773.40571191,3419.8880214,1619.08589924,,1399.17948718,3518.81619072,5144.453751,2818.29529244,750.05516107,1619.00433483,1309.24306171,1652.30121116,1654.14623515,4962.96045733,59012.4618496,20124.0136963,4334.56531901,5847.89426523,4130.7878927,45206.342201,,,760.426184271,747.108161911,2491.89027638,1340.75396825,,3450.10466037,2182.97942027,4557.00430877,1575.87705832,2982.69595807,4107.47559067,2288.50536353,2449.017
1994年,6470.92337445,2706.10810811,,3555.52276778,5606.87687347,1698.90916771,3373.6673911,1734.91075495,,1294.29411765,3426.32657709,5106.7286542,2596.78245722,785.271345876,1646.89062901,1295.4615092,1502.21976104,1490.72597373,4693.3874178,57668.506389,17934.7107675,4246.86337616,5831.11821129,4063.2277346,41857.9775473,,,765.739742438,793.628062038,2564.34488969,1403.51025332,,3263.54055424,2210.8,4499.69955699,1645.41457286,2730.64812794,4626.68030392,2010.49233253,2020.0
1995年,6737.77136934,3118.7079646,,3669.51218048,5856.25545775,1561.8836122,3469.4,1661.43699164,,1399.12554653,3541.45154919,5149.1572554,2715.63185749,879.356831932,1717.60388044,1415.49339819,1574.26734694,1583.54424576,4916.90705445,58133.2569093,20132.4834437,4468.8545174,6024.76572741,4239.7,43629.5274466,,,585.809048462,907.700576414,2686.67847955,1514.86096807,27039.0,3427.5328823,1982.3,4659.2527567,1591.43518519,2662.86146947,3914.40329218,2386.2330407,2533.67235495
1996年,7082.07632612,2880.1,2285.58194591,3846.84961377,5684.95649578,1918.86729514,3637.1825068,1770.1775639,,1376.5,3734.1129206,5309.3,3042.25216322,890.109271102,1760.69411214,1366.46167326,1745.09089732,1749.9028734,5203.29086074,56470.4607944,24149.6796328,4753.58701919,6212.35384772,4482.84606237,45293.0783775,,,858.457958424,969.024402567,2804.04823476,1515.5380634,28714.0904801,3609.09500106,2359.86447126,4894.09152948,1698.09352177,2839.30229882,4393.08550992,2274.83832198,2487.34237612
1997年,7167.09034391,2510.26436031,2397.57085442,4268.31405167,5579.09225791,1643.67933362,3986.90473663,1765.05898507,,1314.08065619,4101.86550814,5609.23726176,3045.07711718,1024.79516227,1742.47434804,1479.14259372,1806.93968632,1808.57699534,4387.31041607,60158.1430282,24475.0245274,4409.88439885,6319.39623867,4376.59914216,48810.3528249,,,653.376537055,919.249703488,2592.42389637,1629.90576166,31858.6732045,3262.46897001,1603.61785065,4822.4893571,1680.01361568,2994.98425716,3358.03882115,2289.38258769,2648.82516189
1998年,7322.0444107,2549.45278697,2178.36898624,3772.581611,5760.19063094,1647.21681938,3556.18455887,1782.5290553,,1389.47368421,3685.29306561,5189.86693306,3058.47117657,1009.33058559,1791.0344582,1271.77070438,1736.82215251,1739.97200677,5267.83322847,59549.6977483,24805.9262308,4836.05669608,6366.19059519,4502.21465646,49339.1309826,,,915.261676196,1041.92564831,2942.77812989,1573.78440957,31312.4790528,3604.26766828,2212.51551143,4952.91203705,1714.22206228,2768.46233718,4215.06019746,2205.73007174,2677.22611981
1999年,7150.0045424,3161.75209692,2151.62591919,4027.84494538,5723.5813163,1560.42674354,3810.47759551,1789.1587677,,1460.61946903,3946.6059901,5407.95353289,3333.42220405,1027.71338845,1870.53076523,1468.63720832,1797.52640659,1796.53783226,4944.70869231,57338.320899,25334.491759,4684.28755182,6344.79401115,4492.58922996,50700.3364156,,,731.547554299,1065.97047896,2961.09343517,1613.13267647,30354.3653371,3515.83233218,1744.09679895,4944.95438279,1692.62557331,2539.98148345,3310.82806451,2301.08780488,2540.13899614
2000年,7003.44872315,2228.45114345,2018.77866308,3832.21241086,5459.6619667,1589.99288054,3609.29829611,1655.71026091,,1324.33063512,3738.21908598,5501.54013993,2865.96419232,1093.07705632,1918.68301267,1518.58490566,1775.85842358,1763.36370455,4597.47179055,57626.0810194,24518.0115886,4411.42570641,6271.59324983,4261.15043959,50426.3,,,690.338815241,1034.2141431,2973.25260014,1684.5377008,,3496.93292285,1700.08746293,4752.56271006,1587.67187272,2806.38215436,2904.00935616,2023.47703126,2516.17223733
2001年,6768.75176069,2440.60666054,2159.4732388,3806.12688414,5605.57321793,1454.90924393,3642.75545192,1624.77173714,,1639.77579204,3806.12688414,5322.55236819,,1106.80485675,1958.12034161,1597.19293547,1753.94690037,1732.44715538,4698.43773487,60625.1923015,26806.7047687,4415.87213173,6163.33397465,4266.9358764,52321.2,,,628.127591865,1061.14491761,2888.17502454,1730.58141577,29521.4163614,3487.51699925,1713.40215166,4800.28167097,1547.20855875,2736.53028425,3445.64569837,2108.9401768,2045.54753542
2002年,6914.86844551,3784.08144411,2317.13771568,3824.11986937,5368.40181072,1720.75052505,3597.19369187,1892.91878595,3632.85094594,2022.41719852,3776.51170611,5157.68938676,3202.15294664,1174.95928614,1962.03849306,1477.2025926,1842.77722494,1791.75581536,4924.45514703,64663.4487476,30231.8263283,4647.81959843,6188.95736412,4399.40189779,56630.0,1408.5851724,1226.11143395,903.313245294,1180.04465892,3011.34902248,1906.95635765,30462.0345667,3709.88656749,1908.88990278,4885.2928177,1786.81506167,3007.52016089,3945.43973941,2852.88916423,2868.12116373
2003年,6670.74195664,2993.2181048,2614.04674124,3996.92800952,5285.37107946,1486.23740592,3745.0096252,1652.88760875,3559.81886967,2645.49393705,3931.84470826,5273.95214133,2995.89213939,950.921676344,1875.24897412,1581.50999716,1785.34389035,1768.27900067,4812.58987808,64022.7817601,24925.3194126,4477.25471388,6060.68485084,4332.49834041,58172.4649873,1487.57296346,1270.1689799,1003.97506946,862.645811344,2653.82455308,1919.70780035,30095.2744965,3621.27351096,1894.37948938,4872.89198809,1649.42832811,3011.52757551,3962.03913632,2528.37470137,2462.3300348
2004年,7089.40680049,4374.41009216,2526.22043302,4320.80906527,5178.7075111,1660.20209719,4017.43060137,1814.78123586,4102.16580298,1804.33691396,4251.91592098,5417.68826914,3430.67952257,1110.77804092,2124.56874058,1812.82292435,1901.0506255,1888.65504573,5120.20486159,65198.9521653,30829.3453202,4768.63241604,6310.61334517,4620.48831135,61034.4773489,1381.41274838,1132.23240112,1029.6479995,1127.96635883,3022.44125677,2025.14643587,31357.2641732,3762.02066073,1979.61707252,5186.77005621,1743.95765471,3141.71075646,4102.00931253,3232.7425787,2719.17878215
2005年,7012.04819766,4405.40112005,2454.76190476,4329.02369047,5287.1287754,1889.27500441,4039.48368847,1704.54009401,4145.17313178,3808.06778412,4275.30158947,5287.37457781,3598.6495595,1128.88302752,2149.17661279,1793.27402638,1968.63666483,1956.02602653,5287.3439391,63969.9556788,37523.4608224,4808.05865545,6260.1752407,4641.63237765,60419.307089,1493.60453811,1419.77519205,910.681144915,1054.06595239,3076.09571524,2099.24403533,31856.229213,3649.91255854,2100.3014815,5224.62027995,1672.42256702,2904.59799874,4469.53415713,3300.66748346,2670.12263531
2006年,6884.48315586,4905.43222412,2314.33623172,4653.60091691,5537.16313401,1843.14584995,4341.70227396,1620.93427237,3762.70911959,4324.41454128,4593.40412242,5332.60615862,3786.52696845,1295.25615719,2249.29268835,1832.63983325,2065.66575995,2072.30536067,5326.32275933,70450.2479765,39766.871765,4847.25773742,6279.59803935,4745.17153231,66753.4451905,1649.89097056,1297.67541497,1015.05605951,1173.0498214,3254.22104476,2028.52020976,32425.378101,3429.22171298,1911.31220745,5310.0,1649.23687874,3062.52921875,2977.57120029,3147.08345442,2780.97681104
2007年,7060.59375791,4254.95473892,2268.38387669,4691.18691025,5550.08784965,1650.14452638,4384.91519572,1453.65168539,3604.9616667,2685.33355776,4607.72220308,5488.22709747,3489.00781302,1286.43899948,2270.04552473,1873.82363271,2058.30329088,2043.5067214,5166.66692873,71228.2114476,41359.7544358,4823.20792485,6432.97721299,4748.30157956,67648.3587393,1494.8850702,1052.0473758,789.386450417,1146.97717844,3302.40424047,2039.87169341,32577.3438643,3474.11227346,1796.65794629,5319.90012541,1460.24668962,2924.85579448,3837.15864665,2767.50505853,2968.82642417
2008年,7239.97157598,4530.93485099,2276.94667406,4825.79536324,5590.5090546,1858.07003699,4501.08531754,1702.79468567,3556.93092549,2555.30090824,4761.95927764,5535.33770826,3861.29904195,1301.99900802,2302.30765764,1835.3407611,2140.36036984,2132.67346824,5555.70436478,71209.6625439,40754.3997111,5068.33554013,6562.53885157,4950.80112104,67437.8414305,1550.99472244,1150.34302175,1035.10206394,1243.23783055,3364.76771728,1985.74194684,33139.7098069,3536.62185136,1602.74028261,5547.66341891,1686.1534106,3035.5102547,3749.82429281,2821.52187805,3216.51466676
2009年,7223.36126345,4826.53003613,2288.10794974,4815.40363353,5641.21111269,2039.11530378,4509.68257964,1630.23361494,3701.07493602,2086.86254644,4739.04902277,5682.1894493,3822.69822409,1288.57154574,2310.17021257,1876.51629383,2203.23434778,2224.61888493,5258.49091929,68093.388902,38536.2072927,4938.11783291,6585.32761027,4870.55222837,65166.8710501,1449.97110467,1109.17792173,936.693253321,1306.83344869,3360.64157144,1927.10214858,33618.4743372,3468.65616159,1554.77855322,5447.47897696,1615.46999051,2882.62743825,2997.25397561,2429.48218598,3139.0762714
2010年,7234.01236677,5147.55689038,2228.21288252,4827.30458079,5667.22412463,2335.28623167,4487.94272763,1681.96445534,3402.33729134,2125.03912363,4748.44432856,5406.77219662,3705.4025268,1229.42349024,2325.57408842,1775.09911031,2233.89192534,2219.1995632,5453.67745298,65700.0439701,42498.0529663,5114.69335038,6552.9567997,4973.57651735,63035.8260198,1549.44771106,1285.50077549,1087.52381187,1312.14743734,3455.45194998,1939.44111466,34263.0402464,3559.09229437,1945.5986375,5524.39855097,1681.96445534,3132.84937129,4484.89285752,2393.07193527,3685.63399504
2011年,7352.36330311,6472.31140087,2415.75147374,4909.25597436,5665.42010734,2459.74886373,4586.27535441,1791.70975123,3199.75828572,2765.88482409,4837.20778367,5696.86429398,3861.40735517,1310.0,2386.67154623,1827.25793079,2143.41281168,2124.09277547,5747.51021824,66485.1185136,47361.1036932,5333.10947263,6687.31643583,5165.89381604,64260.5317529,1601.68602453,1219.34140191,1113.48254791,1385.33183797,3502.47364293,1886.15747326,34588.8944986,3675.18531893,2102.5095004,5706.63016581,1791.70975123,3475.45615848,4100.05494954,2498.03403207,3896.31214691
2012年,7412.7567635,5523.61858569,2271.50942172,5080.08564408,5882.81633884,2614.11675788,4709.73181383,1814.36476941,3318.62946219,2751.8234819,4986.22950033,5774.78652949,3791.07264575,1458.14657989,2467.20584226,1884.76540462,2133.68866667,2111.64754338,5869.68737771,68600.2963453,49792.7523629,5476.53315688,6776.8909089,5301.75644252,66416.2743667,1773.53875529,1247.9418362,1228.54965191,1463.15897568,3598.46428004,1888.15320062,34827.5710846,3705.62886428,2439.70281528,5823.69814821,1782.31928671,3353.69432658,4100.945314,2580.72050521,3898.71935526
2013年,,,,,,,4779.2,1759.9,,,5055.6,5880.9,,1449.49955263,,1919.81425374,,2062.04042426,6015.9,70576.5041575,50922.351382,5549.1,6717.3,,,,,,1490.00086566,3663.326269,,,3714.4,,5894.20984606,1729.5,3417.6,,,3580.87554109
2014年,,,,,,,,,,,,,,1463.24968533,,1946.81049613,,2027.03522801,,71351.8992482,57646.9692348,,,,,,,,1467.8494735,3579.97598221,,,,,5892.03612704,,,,,3885.3008764
