,中稻和一季晚稻产量,亚麻产量,其他谷物产量,冬小麦产量,双季晚稻产量,向日葵产量,夏收粮食产量,大豆产量,大麦产量,大麻产量,小麦产量,早稻产量,春小麦产量,棉花产量,油料产量,油菜籽产量,烟叶产量,烤烟产量,玉米产量,甘蔗产量,甜菜产量,秋粮产量,稻谷产量,粮食产量,糖料产量,红小豆产量,绿豆产量,胡麻籽产量,芝麻产量,花生产量,苎麻产量,蔬菜产量,薯类产量,谷子产量,谷物产量,豆类产量,马铃薯产量,高粱产量,麻类产量,黄红麻产量
2000年,10906.41,21.4377,697.27,9220.51,4132.46,195.4141,10679.27,1540.9,,1.7015,9963.6,3751.9,743.07,441.7343,2954.8294,1138.0579,255.234364,223.8033,10599.98,6827.9818,807.3487,31786.35,18790.77,46217.52,7635.3305,,,34.3748,81.119,1443.6628,16.0966,44467.9383,3685.16,212.52,40522.36,2010.0,1325.502,258.24,52.9463,12.5869
2001年,10403.812875,34.5175,627.72,9387.34,3953.947125,147.784841,10173.4,1540.559818,,2.018564,9387.3,3400.27,,532.351,2864.8965,1133.1445,234.962679,204.524996,11408.77,7566.2665,1088.861541,31690.0,17758.03,45263.67,8655.128,,,25.264548,80.4111,1441.5748,19.7044,48422.3605,3563.06708,196.69,39648.209678,2052.808466,1291.311174,269.659678,68.136764,10.5988
2002年,10900.73,52.42807,634.81,8442.99,3524.15,194.595983,9861.33,1650.54,332.2,3.010368,9029.0,3028.97,586.01,491.6219,2897.2049,1055.2249,244.652645,213.515394,12130.76,9010.6882,1281.989665,32815.45,17453.85,45705.75,10292.6779,38.36,119.0,40.890642,89.52279,1481.7644,23.84907,52860.556974,3665.87,217.56,39798.66,2241.22,1403.746,332.69,96.366678,15.89964
2003年,9926.74,46.4746,650.98958382,8220.27,3190.5723912,174.3462,9637.61,1539.319905,324.945178062,2.6253,8648.8,2948.25,428.57735,485.9709,2811.0004,1141.9983,225.7415,201.476,11583.01832,9023.4797,618.1662,30483.66616,16065.5623912,43069.52616,9641.6459,33.6037238759,118.450455,45.0497,59.2801,1341.986,24.4924,54032.3195,3513.2678214,194.074166726,37428.7303027,2127.51457921,1361.8940019,286.190390944,85.3018,9.9781
2004年,11391.2234,66.9241,610.5799,8620.9604,3295.89,155.1537,10114.1307,1740.14866,322.18,3.5946,9195.1807,3221.65,574.2203,632.350958,3065.9095,1318.172073,240.6021,216.2731,13028.70685,8984.9372,585.7144,33611.1687,17908.7634,46946.9494,9570.6516,30.0252009549,79.1332274801,42.5987,70.3848,1434.1785,25.481,55064.660423,3557.6721,181.2556,41157.2112,2232.06608,1444.1439,232.72475,107.3602,8.692
2005年,11410.11702,69.4604,603.135,9141.2025,3461.472635,192.7854,10639.86,1634.78213157,344.41,4.1348,9744.5125,3187.250545,603.31,571.41786035,3077.135038,1305.225462,268.302,243.500586456,13936.539775,8663.8008,788.109,34575.0799447,18058.8402,48402.1904897,9451.9098,35.3348,100.5428,36.2136,62.5393,1434.153176,27.705207,56451.48764,3468.50705,178.345,42776.0108,2157.67263,1417.39444522,254.6383,110.4898,8.2824
2006年,11593.4900824,42.5144,538.386750792,10225.836952,3438.56761065,144.00189,11655.9618149,1508.18458914,312.960675336,8.2912,10846.586952,3139.77584133,620.75,753.278600239,2640.31472535,1096.6082903,245.558804486,225.500525834,15160.3016728,9709.21857679,750.751189835,35008.4893657,18171.8335384,49804.2270219,10459.9697666,36.4603212851,70.9862180885,37.3633,66.1735,1288.69175112,28.7419,53953.05398,2701.26081095,163.943193653,45099.2420447,2003.72416787,1289.73109664,218.189986808,89.0881,8.6803
2007年,12100.5800478,28.39076,526.350023742,10355.2095906,3351.27791587,118.67683,11737.0949929,1272.5029453,278.512754712,4.78607,10929.8044657,3151.54691312,574.594875169,762.359730377,2568.74116996,1057.25608563,239.548147209,217.839405335,15230.0495594,11295.0526659,893.124439835,35271.6353046,18603.4048768,50160.2772106,12188.1771058,29.466582238,83.1743534321,26.83006137,55.724355,1302.74779919,29.1259,56452.036839,2807.80394513,150.737208195,45632.3701985,1720.1030733,1295.81009018,192.024107593,72.8322,9.914
2008年,12613.9904236,25.6991,505.798057633,10642.8551,3416.06901179,179.172115465,12074.89,1554.15860031,282.321077111,3.0104,11246.4051,3159.50600038,603.55,749.18811,2952.819964,1210.16606,283.82223,262.31932,16591.3963559,12415.236135,1004.38403,37636.5197354,19189.5654358,52870.9157358,13419.620165,31.4379495662,90.4297993378,34.9655444865,58.6293209582,1428.61462153,25.04382,59240.34818,2980.23437156,130.578947812,47847.3955358,2043.28578952,1415.57938673,183.651594555,62.493004,8.4316
2009年,12660.5542028,8.54875,446.972285556,10797.29838,3514.25122274,195.56414,12348.500092,1498.15001891,231.82618,1.23584,11511.50838,3335.49049,714.21,637.677581104,3154.289256,1365.71476,306.57768,281.42077,16397.3620124,11558.670639,717.89563,37398.0870631,19510.2959156,53082.0776451,12276.566269,22.36361,76.9037124474,31.81345,62.19568,1470.792856,21.16729,61823.805347,2995.4786762,122.5076152,48156.3031895,1930.29578843,1464.60402732,167.656996,38.79747,7.5292
2010年,12914.7456498,4.45624,415.39660687,10886.2952496,3527.67658985,229.79791,12315.0380257,1508.32645486,197.22280944,1.08632,11518.0772496,3133.68162514,631.782,596.1132296,3230.130755,1308.185975,300.36887,273.1342,17724.514591,11078.873716,929.61516,39198.9923505,19576.1038648,54647.7120014,12008.488876,25.043661376,95.4105739826,35.28123,58.664896,1564.387114,18.93616,65099.4077295,3114.11548977,157.3333631,49637.0593164,1896.53719522,1630.66702989,245.633665,31.746939,6.931449
2011年,13308.1155717,3.93797,459.26117,11095.701214,3516.5493,231.2750664,12638.6766809,1448.53380033,163.7071,1.58015,11740.088214,3275.4296057,644.387,659.8,3306.757119,1342.556605,313.2407775,286.95471,19278.1082,11443.4620355,1073.0801023,41206.742777,20100.0944513,57120.8490636,12516.5421378,25.0796696,95.2245236849,35.8641,60.54478,1604.636339,15.844632,67929.6746371,3273.05719692,156.7226,51939.3661353,1908.41570846,1765.8142,205.0915,29.55081,7.518238
2012年,13356.8574387,3.81126,412.253013819,11437.1341282,3737.63118,232.26552,12995.0,1301.0927256,162.5765097,1.45377,12102.3632182,3329.0,665.18909,683.5975136,3436.7659878,1400.730684,340.6523998,312.622929,20561.4065528,12311.3919855,1174.03559,42633.0,20423.5924277,58957.9660612,13485.4275755,27.3608586797,86.6631030333,39.05054,63.9369112,1669.1581926,13.0318194,70883.0560087,3292.78177612,179.552812154,53934.6822443,1730.53359078,1855.24651496,255.554219679,26.1215024,6.846723
2013年,,,,,,,13184.8,,,,12192.643425,3413.5,,629.898887665,3516.99497216,1445.81872316,337.366266,314.854657,21848.8954558,12820.145033,925.982222,43595.5,20361.2201281,60193.8400271,13746.073055,,,,62.34922,1697.215486,,73511.990266,3329.34835665,,55269.2082839,1595.27338661,,,22.93744,6.12173147541
2014年,,,,,,,,,,,12620.8381377,,,617.83184005,3507.42617718,1477.22475818,299.447085,279.468705,21564.6285997,12561.125391,800.03809,,20650.7430275,60702.6062391,13361.163481,,,,62.9869425785,1648.168818,,76005.4809948,3336.4029391,,55740.7162005,1625.48709955,,,23.088341,5.60443819672
