,农业总产值,农业总产值指数(1952=100),农业总产值指数(上年=100),农林牧渔业总产值,农林牧渔业总产值指数(1952=100),农林牧渔业总产值指数(上年=100),林业总产值,林业总产值指数(1952=100),林业总产值指数(上年=100),渔业总产值,渔业总产值指数(1952=100),渔业总产值指数(上年=100),牧业总产值,牧业总产值指数(1952=100),牧业总产值指数(上年=100)
2003年,14870.1148073,591.61865478,100.5,29691.8,918.9,104.0,1239.92902265,3194.58164395,106.9,3137.60554849,16293.8557288,105.3,9538.80564481,2183.3,107.3
2004年,18138.3554489,641.9,108.495139815,36238.9897623,987.8,107.454506322,1327.12491614,3258.5,102.002274384,3605.60213711,17271.5,106.047875409,12173.8016296,2340.5,107.194753427
2005年,19613.3723826,668.2,104.146662572,39450.8873407,1044.1,105.662915509,1425.53988101,3362.8,103.187364691,4016.11889514,18394.1,106.546162852,13310.7835169,2523.1,107.84452365
2006年,21522.2757657,704.2,105.391681827,40810.8266141,1100.7,105.419391152,1610.81100129,3550.5,105.581195138,3970.524923,19496.5,105.993084036,12083.8553468,2649.3,105.000250039
2007年,24658.1,731.7,103.975640614,48892.9592031,1143.2,103.862490181,1861.63713345,3795.6,106.903859886,4457.5231308,20451.8,104.830995815,16124.9,2718.2,102.279254936
2008年,28044.1522346,766.7,104.779518539,58002.1546513,1208.7,105.726426441,2152.90398836,4102.1,108.073819909,5203.38057783,21671.7,105.962404742,20583.5555481,2901.7,106.7520736
2009年,30777.5,796.0,103.822126318,60361.0144712,1264.3,104.6,2193.0,4395.3,107.147891161,5626.44213804,22927.1,105.792769185,19468.3566503,3069.9,105.796720104
2010年,36941.1108981,828.345065067,104.066731967,69319.755811,1320.18657168,104.423619587,2595.46621675,4681.9242301,106.52198541,6422.3695557,24198.3816675,105.545071593,20825.7271152,3195.53184807,104.091009023
2011年,41988.6377207,875.017911053,105.63446901,81303.9197129,1379.04297442,104.458188259,3120.68456433,5037.48786739,107.594391105,7567.95242971,25286.636913,104.497223246,25770.691573,3250.1617777,101.709572373
2012年,46940.457966,913.5,104.39861017,89453.0484196,1446.8,104.912193607,3447.07630595,5374.0,106.680200002,8706.01300649,26588.4,105.148189052,27189.3911307,3420.0,105.224723942
2013年,51497.3688295,953.5,104.377403665,96995.2675906,1504.2,103.971903833,3902.42762893,5768.5,107.341543207,9634.57635784,27971.3,105.200870904,28435.4941915,3488.6,102.0066943
2014年,54771.5491899,0.0,104.381130508,102226.091788,0.0,104.206210118,4255.99957959,0.0,106.079520792,10334.2621088,0.0,104.37305906,28956.2968087,0.0,103.014057467
