,不提供住宿的社会服务机构职工人数,儿童收养救助服务机构职工人数,儿童福利机构职工人数,光荣院职工人数,公墓职工人数,其他提供住宿的服务机构职工人数,其他收养机构职工人数,其他社会服务机构职工人数,军休管理单位职工人数,军供站职工人数,农村养老服务机构职工人数,城市养老服务机构职工人数,基金会职工人数,复员军人疗养院职工人数,复退军人精神病院职工人数,婚姻登记服务机构职工人数,婚姻职工人数,成员组织和其他社会服务机构职工人数,成员组织职工人数,捐赠、救助等其他事业单位职工人数,提供住宿的社会服务机构职工人数,救灾储备仓库职工人数,智障与精神疾病服务机构职工人数,村民委员会职工人数,殡仪馆职工人数,殡葬管理机构职工人数,殡葬职工人数,民办非企业单位职工人数,民政行政机关职工人数,流浪儿童救助保护中心职工人数,烈士纪念建筑物管理单位职工人数,生活无着人员救助管理站职工人数,社会团体职工人数,社会工作职工人数,社会服务机构职工人数,社会福利企业职工人数,社会福利医院职工人数,社会福利院职工人数,社会组织职工人数,社区养老服务机构职工人数,社区居委会职工人数,社区服务中心(站)职工人数,福利彩票发行单位职工人数,老年人与残疾人服务机构职工人数,老龄机构职工人数,自治组织职工人数,荣誉军人康复医院职工人数,行政机关职工人数
2004年,,,,,,,,,,,,,,,,,,,,,,,,292.1,,,,,,,,,,,,,,,,,42.5,,,,,334.6,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,265.7,,,6.8588,,,,,,,,,,,,,,45.4,,,,,311.1,,
2006年,,,,,,,,,,,,,1.5391,,,,,,,,,,,243.0,,,7.05,154.0476,,,,,269.5983,,,,,,425.185,,44.3,,,,,287.3,,
2007年,,,,,,,,,,,,,1.8269,,,,,,,,,,,241.11,,,7.3227,166.4959,,,,,288.5287,,,,,,456.8515,,41.62,,,,,282.72,,
2008年,,,,,,,,8.2272,,,,,1.0414,,,,0.7541,,751.8657,2.631,32.6,0.1097,,233.88,,,7.4731,189.206,8.6579,,,,285.5858,,967.3279,154.256,,,475.8332,,42.15,,0.7088,,0.8928,276.03,,8.6579
2009年,159.5,0.9,0.8,1.3,2.1,4.1,0.03,8.209,1.9,0.7,13.6,6.4,1.2,0.3,0.9,0.8,0.804,,821.7794,2.4461,33.0,0.1083,2.2,234.0,4.5,0.8,7.405,207.816,8.7542,0.1,0.9,1.6,335.6506,199.4,1038.0336,154.4329,1.3,3.7,544.6666,,43.1,6.8,0.739,25.8,0.8692,277.1,0.5,8.7542
2010年,190.8,1.0,0.9,1.2,2.2,4.1,0.1,8.4,1.9,0.6,14.2,7.3,1.3164,0.3,1.0,0.9,0.9,903.9,895.5,2.7,34.8,0.1,2.3,233.4,4.5,0.8,7.523,220.805,8.9,0.1,0.9,1.5,396.0704,225.6,1138.4,157.5,1.3,3.9,618.1918,,43.9,27.9,0.8,27.4,0.9,277.3,0.5,8.9
2011年,198.3,1.2,1.0,1.2,2.2,2.7,0.6,8.5,1.9,0.5,15.2,8.1,1.4141,0.3,1.0,0.9,0.9,885.1,876.6,2.7,37.4,0.2,2.3,231.9,4.5,0.9,7.5254,234.8326,9.0,0.2,0.9,1.6,363.0298,235.7,1120.8,158.9,1.3,3.9,599.2765,0.1,45.4,33.7,0.9,31.2,1.0,277.3,0.5,9.0
2012年,201.6,1.3,1.1,1.2,2.3,3.1,0.6,8.6,1.7,0.7,15.9,9.3,1.8686,0.3,1.0,0.9,0.9,901.1,892.5,2.8,39.8,0.2,2.3,232.3,4.5,0.9,7.7254,264.4621,,0.2,1.0,1.7,346.9467,241.4,1144.7,150.0,1.3,4.2,613.2774,,46.9,47.6,0.9,33.1,1.1,279.2,0.5,9.3
2013年,226.9,1.4,1.2,1.2,2.5,2.9,0.4,9.1,1.7,0.6,16.4,11.0,1.8646,0.3,1.1,1.0,,926.5,917.4,,42.4,0.2,2.5,232.31,4.6,0.9,8.0768,281.5532,,0.2,1.0,1.8,353.1635,269.3,1197.8,137.3,1.4,4.5,636.5813,,48.4,,1.1,35.6,1.0,280.71,0.5,9.4
2014年,222.5333,,1.3,,2.7,,0.5,9.3,,0.5,,,2.0394,,1.2,1.0,,971.8,962.5,,54.6667,0.2,,230.5,4.6,0.95,8.2651,306.5964,,0.2,1.0,1.8,373.6265,277.3,1251.0,125.4,1.4,,682.2623,,49.7,,1.1,33.4,1.0,280.2,,
