,万州港口生产用码头长度,万州港口码头长度,万州港口非生产用码头长度,上海(内河)港口生产用码头长度,上海(内河)港口码头长度,上海(内河)港口非生产用码头长度,九江港口生产用码头长度,九江港口码头长度,九江港口非生产用码头长度,内河主要港口码头长度,内河港口生产用码头长度,内河港口非生产用码头长度,南京港口生产用码头长度,南京港口码头长度,南京港口非生产用码头长度,南通港口生产用码头长度,南通港口码头长度,南通港口非生产用码头长度,安庆港口生产用码头长度,安庆港口码头长度,安庆港口非生产用码头长度,宜昌港口生产用码头长度,宜昌港口码头长度,宜昌港口非生产用码头长度,常州港口生产用码头长度,常州港口码头长度,常州港口非生产用码头长度,扬州港口生产用码头长度,扬州港口码头长度,扬州港口非生产用码头长度,武汉港口生产用码头长度,武汉港口码头长度,武汉港口非生产用码头长度,江阴港口生产用码头长度,江阴港口码头长度,江阴港口非生产用码头长度,池州港口生产用码头长度,池州港口码头长度,池州港口非生产用码头长度,泰州港口生产用码头长度,泰州港口码头长度,泰州港口非生产用码头长度,芜湖港口生产用码头长度,芜湖港口码头长度,芜湖港口非生产用码头长度,重庆港口生产用码头长度,重庆港口码头长度,重庆港口非生产用码头长度,铜陵港口生产用码头长度,铜陵港口码头长度,铜陵港口非生产用码头长度,镇江港口生产用码头长度,镇江港口码头长度,镇江港口非生产用码头长度,马鞍山港口生产用码头长度,马鞍山港口码头长度,马鞍山港口非生产用码头长度,黄石港口生产用码头长度,黄石港口码头长度,黄石港口非生产用码头长度
1988年,771,771,0,0,0,0,374,439,65,76005,73062,2943,3759,4267,508,1290,1380,90,1034,1092,58,1467,1467,0,3168,3168,0,1346,1346,0,2899,3966,1067,648,648,0,855,855,0,0,0,0,1619,1730,111,2600,2924,324,507,642,135,1707,1747,40,695,695,0,1082,1082,0
1989年,771,771,0,0,0,0,374,439,65,121205,117244,3961,3335,3973,638,1290,1380,90,1074,1148,74,1467,1467,0,3198,3198,0,1346,1346,0,3056,4145,1089,635,635,0,855,855,0,0,0,0,1619,1795,176,2600,2924,324,477,708,231,1707,1747,40,745,745,0,1082,1082,0
1990年,766,766,0,0,0,0,605,670,65,151476,147730,3746,4499,5148,649,1160,1250,90,727,801,74,938,938,0,10130,10130,0,1346,1346,0,2276,3365,1089,559,559,0,855,855,0,0,0,0,1469,1726,257,2403,2707,304,481,542,61,1609,1649,40,718,718,0,673,702,29
1991年,766,766,0,0,0,0,605,605,0,31268,28068,3200,4499,5148,649,1778,1980,202,727,801,74,938,938,0,3512,3512,0,1346,1346,0,2556,3653,1097,559,559,0,855,855,0,0,0,0,1469,1741,272,2534,2868,334,481,542,61,1609,1649,40,718,718,0,947,976,29
1992年,766,766,0,0,0,0,605,605,0,32997,29412,3585,4644,5293,649,2798,3178,380,727,801,74,1207,1317,110,8046,8046,0,1481,1481,0,2258,3355,1097,609,609,0,626,626,0,0,0,0,1469,1701,232,2534,2868,334,536,597,61,1585,1649,64,746,746,0,885,914,29
1993年,766,766,0,0,0,0,605,605,0,37844,34360,3484,4644,5293,649,3158,3538,380,1074,1148,74,739,739,0,3834,3834,0,1481,1481,0,3406,4441,1035,609,609,0,610,610,0,0,0,0,1762,1994,232,2534,2868,334,561,622,61,2985,3189,204,746,746,0,923,952,29
1994年,1870,3000,1130,0,0,0,861,861,0,196216,190991,5225,4718,5288,570,3158,3538,380,727,801,74,828,933,105,2438,2438,0,1849,1849,0,3038,4179,1141,609,609,0,570,570,0,0,0,0,1685,1867,182,2255,2589,334,481,542,61,3075,3279,204,746,746,0,833,913,80
1995年,2120,3250,1130,0,0,0,961,961,0,192769,186599,6170,4872,5564,692,3023,3403,380,727,801,74,828,933,105,2438,2438,0,2019,2019,0,3288,4429,1141,789,789,0,570,635,65,0,0,0,1734,1866,132,2441,2775,334,481,542,61,3075,3279,204,746,746,0,869,949,80
1996年,2120,3250,1130,0,0,0,861,861,0,223528,217419,6109,4998,5730,732,3193,3573,380,727,801,74,828,933,105,2790,2790,0,2019,2019,0,3701,4750,1049,724,724,0,520,555,35,0,0,0,2112,2267,155,2389,2769,380,481,542,61,3035,3099,64,746,746,0,869,949,80
1997年,2120,3250,1130,0,0,0,890,1020,130,331183,325680,5503,4801,5583,782,3355,3517,162,727,801,74,828,933,105,2870,2870,0,1832,1832,0,3775,4824,1049,724,724,0,620,655,35,0,0,0,2249,2451,202,2366,2815,449,776,837,61,3029,3093,64,746,746,0,944,1049,105
1998年,2120,3250,1130,0,0,0,890,1020,130,405049,399538,5511,4779,5601,822,3371,3573,202,727,801,74,828,933,105,8410,8410,0,6432,6432,0,3775,4824,1049,724,724,0,620,655,35,786,810,24,2249,2404,155,2792,3241,449,865,926,61,3033,3097,64,746,746,0,944,1024,80
1999年,8930,9050,120,0,0,0,890,1020,130,326350,321763,4587,4824,5718,894,3751,3953,202,1074,1148,74,1249,1354,105,4021,4021,0,2081,2081,0,4509,5459,950,844,844,0,895,895,0,1379,1403,24,2194,2349,155,2791,3240,449,856,917,61,3033,3097,64,878,878,0,1221,1326,105
2000年,7050,9080,2030,0,0,0,890,1020,130,259116,251540,7576,4888,5815,927,3757,3959,202,1074,1148,74,1209,1314,105,4143,4143,0,2176,2176,0,4517,5407,890,630,630,0,895,895,0,1351,1375,24,1494,1714,220,2748,3289,541,856,917,61,3033,3097,64,878,878,0,1221,1326,105
2001年,10230,10350,120,0,0,0,890,1020,130,299461,294065,5396,4888,5782,894,3579,3781,202,1074,1148,74,1023,1208,185,4136,4136,0,2216,2216,0,3756,4645,889,540,540,0,1023,1023,0,1351,1375,24,1494,1729,235,2854,3348,494,856,917,61,2783,2783,0,722,722,0,1389,1494,105
2002年,10230,10350,120,0,0,0,890,1020,130,310790,305540,5250,5003,5897,894,3609,3811,202,1074,1148,74,955,1140,185,4596,4596,0,2216,2216,0,2953,3543,590,925,925,0,1023,1023,0,1351,1375,24,2041,2261,220,4471,5005,534,856,941,85,2783,2783,0,784,784,0,1341,1446,105
2003年,7405,9655,2250,73744,73744,0,890,1020,130,283699,275026,8673,5169,6088,919,10189,10436,247,1979,2340,361,920,1140,220,4461,4461,0,2478,2478,0,19495,20085,590,5046,5046,0,1210,1210,0,5155,5179,24,2175,2420,245,4067,4067,0,856,921,65,2744,2744,0,1775,1999,224,3151,3256,105
2004年,7405,9655,2250,76242,76242,0,1010,1140,130,351643,342856,8787,17893,19675,1782,8124,8371,247,2252,2732,480,920,1140,220,3558,3558,0,2739,2739,0,20134,20724,590,5010,5010,0,1805,1960,155,5032,5056,24,2306,2591,285,3508,4011,503,856,921,65,12530,12530,0,1779,1779,0,3080,3207,127
2005年,7405,9655,2250,75717,75717,0,1010,1140,130,366387,354147,12240,18338,20120,1782,8724,8971,247,2342,2807,465,920,1140,220,6186,6186,0,2739,2739,0,21905,22495,590,7842,7842,0,2055,2210,155,5831,5855,24,1835,2080,245,3571,4060,489,856,921,65,15831,15831,0,2007,2007,0,3378,3725,347
2006年,7405,9655,2250,76843,76843,0,1010,1140,130,389353,379669,9684,19829,21611,1782,9908,10155,247,2342,2807,465,2489,2925,436,7110,7110,0,3039,3039,0,22140,22730,590,9452,9452,0,1995,1995,0,6488,6512,24,1835,2080,245,4131,4654,523,3936,4001,65,15576,15726,150,2454,2499,45,3045,3347,302
2007年,7405,9655,2250,76714,76714,0,1010,1140,130,471029,455492,15537,21440,23222,1782,13346,13593,247,4609,5104,495,3413,3988,575,3169,3169,0,3039,3039,0,22390,22980,590,9856,9856,0,3975,3975,0,7343,7367,24,12980,18749,5769,3374,3897,523,3936,4001,65,15574,15814,240,2674,2719,45,3045,3347,302
2008年,6490,7480,990,90103,90103,0,1110,1240,130,573806,542315,31491,28019,29611,1592,14122,14466,344,8701,10460,1759,2216,2466,250,3144,3144,0,3039,3039,0,17877,20879,3002,11163,11163,0,6705,6705,0,5831,5855,24,10111,11931,1820,3603,4126,523,4760,4825,65,16148,16388,240,5766,5811,45,3045,3347,302
2009年,5890,6880,990,90993,91850,857,14299,16324,2025,885120,840273,44847,27064,28656,1592,15246,15710,464,8907,10616,1709,2716,2966,250,2631,2631,0,4092,4092,0,19394,22396,3002,11351,11351,0,8034,8034,0,9451,9451,0,10644,12464,1820,70127,88789,18662,4760,4825,65,14617,14737,120,6727,6772,45,7854,8374,520
2010年,0,0,0,92345,93202,857,11485,13510,2025,886203,843985,42218,29008,30600,1592,16064,16528,464,9372,11081,1709,6222,7870,1648,3111,3111,0,4092,4092,0,19919,22921,3002,11351,11501,150,8032,8032,0,13149,13173,24,10278,10278,0,73008,91730,18722,5131,5196,65,15756,15876,120,6669,6719,50,7588,8018,430
2011年,0,0,0,91661,92328,667,11485,13510,2025,904494,854821,49673,30303,31895,1592,15858,16413,555,9372,11081,1709,6222,7870,1648,3281,3281,0,5187,5187,0,20169,23171,3002,11351,11501,150,8032,8032,0,15021,15021,0,10278,10278,0,73938,94710,20772,5431,5496,65,17237,17357,120,6455,6505,50,7588,8018,430
2012年,0,0,0,87972,88679,707,11591,13616,2025,909992,862832,47160,31669,33261,1592,16250,16805,555,9372,11081,1709,5708,7412,1704,4161,4161,0,6015,6015,0,20169,23171,3002,11872,12022,150,8662,8662,0,16686,16686,0,12887,12887,0,73632,94554,20922,6023,6088,65,19440,19560,120,9060,9110,50,7588,8018,430
2013年,0,0,0,88133,88840,707,11591,13616,2025,919926,877067,42859,32500,34092,1592,17260,17815,555,9522,11231,1709,5708,7412,1704,4388,4388,0,7308,7308,0,21013,24015,3002,11872,12022,150,8752,8752,0,16686,16686,0,13527,13527,0,73204,94286,21082,6651,6716,65,20503,20623,120,9507,9557,50,7867,8297,430
2014年,0,0,0,95879,96671,792,16803,18828,2025,938553,896513,42040,32195,33307,1112,17540,18095,555,10026,11735,1709,5708,7412,1704,4388,4388,0,7657,7657,0,21783,24785,3002,11872,12022,150,10223,10223,0,16926,16926,0,13452,13452,0,70501,91322,20821,6533,6598,65,21438,21558,120,10699,10749,50,7982,8412,430
