,万州港口泊位数,万州港口生产用泊位数,万州港口非生产用泊位数,上海(内河)港口泊位数,上海(内河)港口生产用泊位数,上海(内河)港口非生产用泊位数,九江港口泊位数,九江港口生产用泊位数,九江港口非生产用泊位数,内河港口泊位数,内河港口生产用泊位数,内河港口非生产用泊位数,南京港口泊位数,南京港口生产用泊位数,南京港口非生产用泊位数,南通港口泊位数,南通港口生产用泊位数,南通港口非生产用泊位数,安庆港口泊位数,安庆港口生产用泊位数,安庆港口非生产用泊位数,宜昌港口泊位数,宜昌港口生产用泊位数,宜昌港口非生产用泊位数,常州港口泊位数,常州港口生产用泊位数,常州港口非生产用泊位数,扬州港口泊位数,扬州港口生产用泊位数,扬州港口非生产用泊位数,武汉港口泊位数,武汉港口生产用泊位数,武汉港口非生产用泊位数,江阴港口泊位数,江阴港口生产用泊位数,江阴港口非生产用泊位数,池州港口泊位数,池州港口生产用泊位数,池州港口非生产用泊位数,泰州港口泊位数,泰州港口生产用泊位数,泰州港口非生产用泊位数,芜湖港口泊位数,芜湖港口生产用泊位数,芜湖港口非生产用泊位数,重庆港口泊位数,重庆港口生产用泊位数,重庆港口非生产用泊位数,铜陵港口泊位数,铜陵港口生产用泊位数,铜陵港口非生产用泊位数,镇江港口泊位数,镇江港口生产用泊位数,镇江港口非生产用泊位数,马鞍山港口泊位数,马鞍山港口生产用泊位数,马鞍山港口非生产用泊位数,黄石港口泊位数,黄石港口生产用泊位数,黄石港口非生产用泊位数
1988年,12.0,12.0,,,,,8.0,7.0,1.0,1939.0,1880.0,59.0,50.0,40.0,10.0,13.0,12.0,1.0,22.0,20.0,2.0,21.0,21.0,,105.0,105.0,,43.0,43.0,,65.0,46.0,19.0,12.0,12.0,,17.0,17.0,,,,,43.0,40.0,3.0,57.0,51.0,6.0,12.0,9.0,3.0,22.0,21.0,1.0,13.0,13.0,,24.0,24.0,
1989年,12.0,12.0,,,,,8.0,7.0,1.0,3068.0,2984.0,84.0,50.0,38.0,12.0,13.0,12.0,1.0,23.0,21.0,2.0,21.0,21.0,,111.0,111.0,,43.0,43.0,,70.0,51.0,19.0,12.0,12.0,,17.0,17.0,,,,,44.0,40.0,4.0,57.0,51.0,6.0,13.0,9.0,4.0,22.0,21.0,1.0,14.0,14.0,,24.0,24.0,
1990年,12.0,12.0,,,,,9.0,8.0,1.0,3766.0,3690.0,76.0,57.0,45.0,12.0,11.0,10.0,1.0,14.0,12.0,2.0,10.0,10.0,,370.0,370.0,,43.0,43.0,,52.0,34.0,18.0,11.0,11.0,,17.0,17.0,,,,,32.0,26.0,6.0,50.0,45.0,5.0,9.0,8.0,1.0,21.0,20.0,1.0,14.0,14.0,,13.0,12.0,1.0
1991年,12.0,12.0,,,,,8.0,8.0,,493.0,433.0,60.0,57.0,45.0,12.0,23.0,21.0,2.0,15.0,13.0,2.0,10.0,10.0,,121.0,121.0,,43.0,43.0,,58.0,40.0,18.0,11.0,11.0,,17.0,17.0,,,,,32.0,26.0,6.0,55.0,49.0,6.0,9.0,8.0,1.0,21.0,20.0,1.0,14.0,14.0,,16.0,15.0,1.0
1992年,12.0,12.0,,,,,8.0,8.0,,505.0,437.0,68.0,58.0,46.0,12.0,35.0,31.0,4.0,15.0,13.0,2.0,18.0,16.0,2.0,247.0,247.0,,45.0,45.0,,51.0,34.0,17.0,11.0,11.0,,10.0,10.0,,,,,31.0,26.0,5.0,55.0,49.0,6.0,11.0,10.0,1.0,21.0,19.0,2.0,14.0,14.0,,14.0,13.0,1.0
1993年,12.0,12.0,,,,,8.0,8.0,,564.0,501.0,63.0,58.0,46.0,12.0,37.0,33.0,4.0,23.0,21.0,2.0,7.0,7.0,,87.0,87.0,,45.0,45.0,,70.0,53.0,17.0,13.0,13.0,,10.0,10.0,,,,,40.0,35.0,5.0,55.0,49.0,6.0,11.0,10.0,1.0,32.0,29.0,3.0,14.0,14.0,,17.0,16.0,1.0
1994年,20.0,11.0,9.0,,,,12.0,12.0,,4631.0,4551.0,80.0,58.0,47.0,11.0,38.0,33.0,5.0,15.0,13.0,2.0,18.0,16.0,2.0,84.0,84.0,,50.0,50.0,,60.0,41.0,19.0,15.0,15.0,,9.0,9.0,,,,,36.0,32.0,4.0,50.0,44.0,6.0,9.0,8.0,1.0,33.0,30.0,3.0,14.0,14.0,,16.0,14.0,2.0
1995年,22.0,13.0,9.0,,,,12.0,12.0,,5011.0,4924.0,87.0,61.0,49.0,12.0,36.0,31.0,5.0,15.0,13.0,2.0,18.0,16.0,2.0,83.0,83.0,,51.0,51.0,,65.0,46.0,19.0,11.0,11.0,,10.0,9.0,1.0,,,,36.0,33.0,3.0,52.0,46.0,6.0,9.0,8.0,1.0,33.0,30.0,3.0,14.0,14.0,,15.0,13.0,2.0
1996年,22.0,13.0,9.0,,,,12.0,12.0,,5229.0,5142.0,87.0,62.0,49.0,13.0,39.0,34.0,5.0,15.0,13.0,2.0,18.0,16.0,2.0,90.0,90.0,,51.0,51.0,,69.0,51.0,18.0,11.0,11.0,,10.0,9.0,1.0,,,,41.0,38.0,3.0,51.0,44.0,7.0,9.0,8.0,1.0,32.0,30.0,2.0,14.0,14.0,,15.0,13.0,2.0
1997年,22.0,13.0,9.0,,,,13.0,11.0,2.0,7489.0,7409.0,80.0,61.0,48.0,13.0,38.0,36.0,2.0,15.0,13.0,2.0,18.0,16.0,2.0,91.0,91.0,,42.0,42.0,,70.0,52.0,18.0,16.0,16.0,,10.0,9.0,1.0,,,,44.0,40.0,4.0,51.0,44.0,7.0,12.0,11.0,1.0,32.0,30.0,2.0,14.0,14.0,,17.0,15.0,2.0
1998年,22.0,13.0,9.0,,,,13.0,11.0,2.0,8575.0,8493.0,82.0,61.0,47.0,14.0,39.0,36.0,3.0,15.0,13.0,2.0,18.0,16.0,2.0,222.0,222.0,,158.0,158.0,,70.0,52.0,18.0,16.0,16.0,,10.0,9.0,1.0,13.0,12.0,1.0,43.0,40.0,3.0,70.0,62.0,8.0,14.0,13.0,1.0,32.0,30.0,2.0,14.0,14.0,,17.0,15.0,2.0
1999年,57.0,56.0,1.0,,,,13.0,11.0,2.0,7908.0,7826.0,82.0,64.0,48.0,16.0,47.0,44.0,3.0,23.0,21.0,2.0,28.0,26.0,2.0,131.0,131.0,,42.0,42.0,,82.0,66.0,16.0,14.0,14.0,,17.0,17.0,,19.0,18.0,1.0,41.0,38.0,3.0,62.0,54.0,8.0,14.0,13.0,1.0,32.0,30.0,2.0,15.0,15.0,,24.0,22.0,2.0
2000年,57.0,44.0,13.0,,,,13.0,11.0,2.0,6306.0,6184.0,122.0,64.0,48.0,16.0,47.0,44.0,3.0,23.0,21.0,2.0,27.0,25.0,2.0,132.0,132.0,,44.0,44.0,,82.0,66.0,16.0,10.0,10.0,,16.0,16.0,,15.0,14.0,1.0,28.0,23.0,5.0,65.0,55.0,10.0,14.0,13.0,1.0,32.0,30.0,2.0,15.0,15.0,,24.0,22.0,2.0
2001年,63.0,62.0,1.0,,,,13.0,11.0,2.0,7070.0,6982.0,88.0,64.0,48.0,16.0,44.0,41.0,3.0,23.0,21.0,2.0,23.0,19.0,4.0,122.0,122.0,,45.0,45.0,,65.0,51.0,14.0,4.0,4.0,,18.0,18.0,,15.0,14.0,1.0,28.0,23.0,5.0,66.0,59.0,7.0,14.0,13.0,1.0,24.0,24.0,,13.0,13.0,,26.0,24.0,2.0
2002年,63.0,62.0,1.0,,,,13.0,11.0,2.0,6677.0,6593.0,84.0,65.0,49.0,16.0,43.0,40.0,3.0,23.0,21.0,2.0,21.0,17.0,4.0,126.0,126.0,,45.0,45.0,,46.0,38.0,8.0,8.0,8.0,,18.0,18.0,,15.0,14.0,1.0,37.0,33.0,4.0,73.0,64.0,9.0,14.0,13.0,1.0,24.0,24.0,,14.0,14.0,,26.0,24.0,2.0
2003年,73.0,56.0,17.0,2123.0,2123.0,,13.0,11.0,2.0,5887.0,5759.0,128.0,66.0,50.0,16.0,85.0,81.0,4.0,35.0,27.0,8.0,21.0,16.0,5.0,124.0,124.0,,49.0,49.0,,315.0,307.0,8.0,44.0,44.0,,20.0,20.0,,45.0,44.0,1.0,39.0,35.0,4.0,77.0,77.0,,14.0,13.0,1.0,23.0,23.0,,30.0,26.0,4.0,68.0,66.0,2.0
2004年,73.0,56.0,17.0,2176.0,2176.0,,14.0,12.0,2.0,6938.0,6792.0,146.0,317.0,285.0,32.0,69.0,65.0,4.0,39.0,29.0,10.0,21.0,16.0,5.0,93.0,93.0,,50.0,50.0,,321.0,313.0,8.0,42.0,42.0,,33.0,31.0,2.0,43.0,42.0,1.0,44.0,39.0,5.0,79.0,66.0,13.0,14.0,13.0,1.0,214.0,214.0,,29.0,29.0,,76.0,73.0,3.0
2005年,73.0,56.0,17.0,2138.0,2138.0,,14.0,12.0,2.0,7011.0,6833.0,178.0,301.0,269.0,32.0,73.0,69.0,4.0,43.0,33.0,10.0,21.0,16.0,5.0,105.0,105.0,,50.0,50.0,,335.0,327.0,8.0,50.0,50.0,,38.0,36.0,2.0,47.0,46.0,1.0,30.0,26.0,4.0,82.0,66.0,16.0,14.0,13.0,1.0,230.0,230.0,,28.0,28.0,,74.0,66.0,8.0
2006年,73.0,56.0,17.0,2154.0,2154.0,,15.0,13.0,2.0,7044.0,6880.0,164.0,283.0,251.0,32.0,73.0,69.0,4.0,43.0,33.0,10.0,50.0,40.0,10.0,157.0,157.0,,51.0,51.0,,334.0,326.0,8.0,62.0,62.0,,67.0,67.0,,51.0,50.0,1.0,30.0,26.0,4.0,85.0,69.0,16.0,83.0,82.0,1.0,244.0,243.0,1.0,35.0,34.0,1.0,66.0,59.0,7.0
2007年,73.0,56.0,17.0,2150.0,2150.0,,15.0,13.0,2.0,8161.0,7951.0,210.0,300.0,268.0,32.0,134.0,130.0,4.0,76.0,65.0,11.0,61.0,48.0,13.0,16.0,16.0,,51.0,51.0,,336.0,328.0,8.0,62.0,62.0,,74.0,74.0,,54.0,53.0,1.0,173.0,130.0,43.0,77.0,60.0,17.0,83.0,82.0,1.0,244.0,242.0,2.0,36.0,35.0,1.0,66.0,59.0,7.0
2008年,52.0,44.0,8.0,1869.0,1869.0,,16.0,14.0,2.0,9291.0,8772.0,519.0,320.0,297.0,23.0,114.0,110.0,4.0,149.0,129.0,20.0,39.0,33.0,6.0,14.0,14.0,,51.0,51.0,,247.0,213.0,34.0,63.0,63.0,,89.0,89.0,,47.0,46.0,1.0,159.0,129.0,30.0,82.0,65.0,17.0,95.0,94.0,1.0,251.0,249.0,2.0,105.0,104.0,1.0,65.0,59.0,6.0
2009年,55.0,47.0,8.0,1912.0,1895.0,17.0,146.0,118.0,28.0,14719.0,13935.0,784.0,285.0,262.0,23.0,126.0,121.0,5.0,157.0,129.0,28.0,44.0,38.0,6.0,15.0,15.0,,35.0,35.0,,259.0,225.0,34.0,66.0,66.0,,100.0,100.0,,95.0,95.0,,151.0,121.0,30.0,1184.0,833.0,351.0,95.0,94.0,1.0,166.0,164.0,2.0,112.0,111.0,1.0,143.0,134.0,9.0
2010年,,,,1942.0,1925.0,17.0,146.0,118.0,28.0,14804.0,14065.0,739.0,294.0,271.0,23.0,120.0,115.0,5.0,162.0,134.0,28.0,50.0,39.0,11.0,21.0,21.0,,35.0,35.0,,263.0,229.0,34.0,68.0,66.0,2.0,100.0,100.0,,106.0,105.0,1.0,114.0,114.0,,1205.0,853.0,352.0,99.0,98.0,1.0,171.0,169.0,2.0,108.0,107.0,1.0,138.0,132.0,6.0
2011年,,,,1919.0,1906.0,13.0,146.0,118.0,28.0,14912.0,14170.0,742.0,301.0,278.0,23.0,94.0,88.0,6.0,162.0,134.0,28.0,50.0,39.0,11.0,22.0,22.0,,39.0,39.0,,265.0,231.0,34.0,68.0,66.0,2.0,100.0,100.0,,114.0,114.0,,114.0,114.0,,1244.0,880.0,364.0,102.0,101.0,1.0,179.0,177.0,2.0,95.0,94.0,1.0,138.0,132.0,6.0
2012年,,,,1859.0,1845.0,14.0,146.0,118.0,28.0,14735.0,14014.0,721.0,308.0,285.0,23.0,96.0,90.0,6.0,162.0,134.0,28.0,47.0,35.0,12.0,30.0,30.0,,42.0,42.0,,265.0,231.0,34.0,70.0,68.0,2.0,105.0,105.0,,123.0,123.0,,160.0,160.0,,1242.0,877.0,365.0,106.0,105.0,1.0,189.0,187.0,2.0,144.0,143.0,1.0,138.0,132.0,6.0
2013年,,,,1856.0,1842.0,14.0,146.0,118.0,28.0,14618.0,13904.0,714.0,311.0,288.0,23.0,103.0,97.0,6.0,163.0,135.0,28.0,47.0,35.0,12.0,31.0,31.0,,47.0,47.0,,274.0,240.0,34.0,70.0,68.0,2.0,106.0,106.0,,123.0,123.0,,164.0,164.0,,1236.0,869.0,367.0,104.0,103.0,1.0,192.0,190.0,2.0,150.0,149.0,1.0,139.0,133.0,6.0
2014年,,,,1978.0,1962.0,16.0,191.0,163.0,28.0,14593.0,13894.0,699.0,298.0,281.0,17.0,105.0,99.0,6.0,168.0,140.0,28.0,47.0,35.0,12.0,31.0,31.0,,47.0,47.0,,280.0,246.0,34.0,70.0,68.0,2.0,117.0,117.0,,124.0,124.0,,144.0,144.0,,1185.0,824.0,361.0,88.0,87.0,1.0,202.0,200.0,2.0,161.0,160.0,1.0,140.0,134.0,6.0
