,万州港口万吨级泊位数,万州港口生产用万吨级泊位数,上海(内河)港口万吨级泊位数,上海(内河)港口生产用万吨级泊位数,九江港口万吨级泊位数,九江港口生产用万吨级泊位数,内河主要港口万吨级泊位数,内河港口生产用万吨级泊位数,南京港口万吨级泊位数,南京港口生产用万吨级泊位数,南通港口万吨级泊位数,南通港口生产用万吨级泊位数,安庆港口万吨级泊位数,安庆港口生产用万吨级泊位数,宜昌港口万吨级泊位数,宜昌港口生产用万吨级泊位数,常州港口万吨级泊位数,常州港口生产用万吨级泊位数,扬州港口万吨级泊位数,扬州港口生产用万吨级泊位数,武汉港口万吨级泊位数,武汉港口生产用万吨级泊位数,江阴港口万吨级泊位数,江阴港口生产用万吨级泊位数,池州港口万吨级泊位数,池州港口生产用万吨级泊位数,泰州港口万吨级泊位数,泰州港口生产用万吨级泊位数,芜湖港口万吨级泊位数,芜湖港口生产用万吨级泊位数,重庆港口万吨级泊位数,重庆港口生产用万吨级泊位数,铜陵港口万吨级泊位数,铜陵港口生产用万吨级泊位数,镇江港口万吨级泊位数,镇江港口生产用万吨级泊位数,马鞍山港口万吨级泊位数,马鞍山港口生产用万吨级泊位数,黄石港口万吨级泊位数,黄石港口生产用万吨级泊位数
1988年,0,0,0,0,0,0,25,25,11,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1989年,0,0,0,0,0,0,23,23,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1990年,0,0,0,0,0,0,28,28,13,13,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1991年,0,0,0,0,0,0,27,27,13,13,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1992年,0,0,0,0,0,0,30,30,13,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1993年,0,0,0,0,0,0,37,37,13,13,7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
1994年,0,0,0,0,0,0,42,42,13,13,7,7,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
1995年,0,0,0,0,0,0,44,44,14,14,7,7,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
1996年,0,0,0,0,0,0,44,44,14,14,7,7,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
1997年,0,0,0,0,0,0,47,47,14,14,7,7,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
1998年,0,0,0,0,0,0,47,47,14,14,7,7,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,8,8,0,0,0,0
1999年,0,0,0,0,0,0,52,52,14,14,9,9,0,0,0,0,1,1,3,3,0,0,2,2,0,0,2,2,0,0,0,0,0,0,8,8,0,0,0,0
2000年,0,0,0,0,0,0,55,55,14,14,9,9,0,0,0,0,1,1,3,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0,8,8,0,0,0,0
2001年,0,0,0,0,0,0,59,59,14,14,9,9,0,0,0,0,1,1,3,3,0,0,2,2,0,0,3,3,2,2,0,0,0,0,8,8,0,0,0,0
2002年,0,0,0,0,0,0,62,62,15,15,10,10,0,0,0,0,2,2,3,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0,8,8,0,0,0,0
2003年,0,0,0,0,0,0,121,121,17,17,30,30,0,0,0,0,1,1,3,3,0,0,11,11,0,0,6,6,0,0,0,0,0,0,10,10,0,0,0,0
2004年,0,0,0,0,0,0,150,150,32,32,23,23,0,0,0,0,2,2,4,4,0,0,14,14,0,0,5,5,0,0,0,0,0,0,21,21,0,0,0,0
2005年,0,0,0,0,0,0,186,186,32,32,24,24,0,0,0,0,3,3,4,4,0,0,23,23,0,0,8,8,0,0,0,0,0,0,23,23,0,0,0,0
2006年,0,0,0,0,0,0,225,225,37,37,29,29,0,0,0,0,5,5,5,5,0,0,27,27,0,0,10,10,0,0,0,0,0,0,28,28,0,0,0,0
2007年,0,0,0,0,0,0,250,250,42,42,33,33,0,0,0,0,6,6,5,5,0,0,27,27,0,0,14,14,0,0,0,0,0,0,28,28,0,0,0,0
2008年,0,0,0,0,0,0,259,259,43,43,36,36,0,0,0,0,6,6,5,5,0,0,27,27,0,0,8,8,3,3,0,0,0,0,27,27,0,0,0,0
2009年,0,0,0,0,0,0,293,293,44,44,42,42,0,0,0,0,5,5,9,9,0,0,27,27,0,0,35,35,3,3,0,0,0,0,28,28,0,0,0,0
2010年,0,0,0,0,0,0,318,318,49,49,45,45,0,0,0,0,5,5,9,9,0,0,27,27,0,0,44,44,3,3,0,0,0,0,32,32,0,0,0,0
2011年,0,0,0,0,0,0,340,340,52,52,47,47,0,0,0,0,5,5,13,13,0,0,27,27,0,0,51,51,3,3,0,0,0,0,35,35,0,0,0,0
2012年,0,0,0,0,0,0,369,369,56,56,49,49,0,0,0,0,7,7,16,16,0,0,29,29,0,0,56,56,3,3,0,0,1,1,36,36,0,0,0,0
2013年,0,0,0,0,0,0,394,394,59,59,50,50,0,0,0,0,8,8,21,21,0,0,29,29,0,0,56,56,6,6,0,0,1,1,42,42,0,0,0,0
2014年,0,0,0,0,0,0,406,406,58,58,51,51,0,0,0,0,8,8,23,23,0,0,29,29,0,0,57,57,11,11,0,0,1,1,44,44,0,0,0,0
