,国内实物交易资金来源_其他经常转移,国内实物交易资金来源_其他财产收入,国内实物交易资金来源_其他资本转移,国内实物交易资金来源_其他非金融资产获得减处置,国内实物交易资金来源_净出口,国内实物交易资金来源_净金融投资,国内实物交易资金来源_初次分配总收入,国内实物交易资金来源_利息,国内实物交易资金来源_劳动者报酬,国内实物交易资金来源_单位社会保险付款,国内实物交易资金来源_可支配总收入,国内实物交易资金来源_固定资本形成总额,国内实物交易资金来源_地租,国内实物交易资金来源_增加值,国内实物交易资金来源_存货增加,国内实物交易资金来源_居民消费,国内实物交易资金来源_工资及工资性收入,国内实物交易资金来源_总储蓄,国内实物交易资金来源_投资性补助,国内实物交易资金来源_收入税,国内实物交易资金来源_政府消费,国内实物交易资金来源_最终消费,国内实物交易资金来源_生产税,国内实物交易资金来源_生产税净额,国内实物交易资金来源_生产补贴,国内实物交易资金来源_社会保险福利,国内实物交易资金来源_社会保险缴款,国内实物交易资金来源_社会补助,国内实物交易资金来源_红利,国内实物交易资金来源_经常转移,国内实物交易资金来源_财产收入,国内实物交易资金来源_资本形成总额,国内实物交易资金来源_资本转移
2005年,4768.51639543,393.646701483,480.691176799,,,,183617.408976,15451.939,93147.9949233,,185572.364121,,306.0631,184937.4,,,,86214.8341206,1781.96573482,6949.2665,,,,23685.681399,,5400.8,6975.2,2241.91,4289.42149281,26335.6928954,20441.0702943,,2262.65691162
2006年,5588.64938889,1180.90136641,558.51150064,,,,215904.359777,24986.86,106368.998961,,218141.812917,,579.864,216314.380142,,,,105037.912917,1965.08540191,8814.8529,,,,27656.6856117,,6477.4,8643.2,2807.754,5590.46521857,32331.8562889,32338.090585,,2523.59690255
2007年,7278.11963309,2387.234,655.149788,,,,266421.999212,31292.06,127918.919044,,269243.210698,,965.6565,265810.305844,,,,137010.310698,2507.65918761,11964.83,,,,35304.8632,,7887.9,10812.3,3364.59583,7861.60420737,41307.7454631,42506.5547074,,3162.80897561
2008年,8807.30606801,2058.48412313,768.03287929,,,,316030.337527,43471.4971,150511.68624,,319027.49338,,1337.06,314045.425794,,,,165604.99338,3162.56915715,14897.94,,,,39556.3366667,,9925.1,13696.1,5156.87594,9709.27320979,52483.322008,56576.3144329,,3930.60203644
2009年,8824.58999747,2301.97622114,1006.462,,,,340319.951542,41421.256,166957.943999,,342482.489269,,1733.808814,340902.812581,,,,173207.689269,3817.29234894,15486.184512,,,,41962.7575439,,12302.6,16115.6,6246.031731,10027.6751469,58975.0062405,55484.716182,,4823.75434894
2010年,10868.2212616,2748.03668278,1604.27782605,,,,399759.544314,56457.645715,190869.46553,,402513.713616,,2428.67602574,401512.8,,,,208398.713616,5174.52257057,17680.81,,,,52672.5909182,,16207.243134,20584.5011,6137.51478654,4475.13035488,71478.2902821,66109.4887784,,6778.80039662
2011年,12020.1947589,3211.54652427,2425.62904999,,,,468562.377316,82429.577452,222423.840816,,470145.44467,,3075.524,473104.048647,,,,238033.94467,6219.44472476,22823.75,,,,62270.8052059,,20363.89,27217.5839,7588.84553155,4706.28073978,90014.2641904,93422.9287161,,8645.07377475
2012年,12962.8474535,4093.77579032,3006.18954808,,,,518214.742565,103402.66,256563.937218,,518431.549566,,4411.21098258,519470.09917,,,,256437.949566,6622.54401218,25818.161912,,,,68866.0282854,,23930.6977,31411.0283,8708.279533,6425.10629775,102831.014899,118332.753071,,9628.73356025
2013年,13968.8314444,3305.0494405,3857.89863268,,,,583196.724839,86991.670668,298966.094366,,582656.905328,,5127.9177,588018.755872,,,,281648.505328,7707.34359611,29030.3639,,,,73536.4115246,,28743.9264,35993.5842,10090.9631663,8322.38552704,117827.669111,103747.023336,,11565.2422288
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
