,中型工业企业应交所得税,中外合作经营工业企业应交所得税,中外合资经营工业企业应交所得税,其他外商投资工业企业应交所得税,其他工业企业应交所得税,其他有限责任公司工业企业应交所得税,其他港澳台商投资工业企业应交所得税,其他联营工业企业应交所得税,内资工业企业应交所得税,合作经营(港或澳、台资)工业企业应交所得税,合资经营(港或澳、台资)工业企业应交所得税,国有与集体联营工业企业应交所得税,国有工业企业应交所得税,国有独资公司工业企业应交所得税,国有联营工业企业应交所得税,外商投资工业企业应交所得税,外商投资股份有限公司工业企业应交所得税,外资工业企业应交所得税,大型工业企业应交所得税,小型工业企业应交所得税,工业企业应交所得税,有限责任公司工业企业应交所得税,港、澳、台商投资工业企业应交所得税,港澳台商投资股份有限公司工业企业应交所得税,港澳台商独资经营工业企业应交所得税,私营合伙工业企业应交所得税,私营工业企业应交所得税,私营有限责任公司工业企业应交所得税,私营独资工业企业应交所得税,私营股份有限公司工业企业应交所得税,联营工业企业应交所得税,股份合作工业企业应交所得税,股份有限公司工业企业应交所得税,轻工业企业应交所得税,重工业企业应交所得税,集体工业企业应交所得税,集体联营工业企业应交所得税
2003年,470.40316,11.20196,116.64067,,1.25946,288.50389,,1.45077,1138.26254,8.99014,58.98448,1.82421,242.00585,86.62634,6.08329,192.08555,17.68337,46.55955,633.31479,330.51418,1434.23213,375.13023,103.88404,5.63097,30.27845,7.14097,162.01738,108.84948,35.59266,10.43427,11.81864,33.06709,230.49199,463.14343,971.0887,82.4719,2.46037
2004年,629.45,17.91,132.49,,0.72,377.77,,1.67,1698.29,9.43,61.94,1.66,332.46,203.58,10.0,276.36,34.11,91.85,970.84,502.29,2102.58,581.35,127.94,12.15,44.41,9.45,276.55,202.0,48.16,16.95,15.2,26.29,385.24,554.23,1548.36,80.47,1.87
2005年,704.28234,18.17495,146.85273,,4.91686,485.81451,,1.77797,2130.07943,10.45472,65.14633,1.30923,469.37274,283.37336,9.29922,311.47157,28.26078,118.18311,1245.78833,636.33655,2586.40722,769.18787,144.85622,10.80707,58.4481,14.32853,378.74752,266.48928,73.26066,24.66905,14.35199,28.31547,371.95565,673.02803,1913.37919,93.23133,1.96557
2006年,910.5,17.78,204.95,,4.8,605.59,,2.52,2600.56,13.41,81.36,1.54,523.87,355.13,10.98,406.88,26.77,157.38,1463.09,815.58,3189.17,960.72,181.73,6.65,80.31,20.38,551.81,382.05,111.53,37.85,17.83,27.98,422.35,820.02,2369.15,91.2,2.79
2007年,1265.16055,25.99924,256.79266,,12.25597,974.50056,,3.11662,3397.00175,18.12008,110.19627,6.21892,670.63705,274.08659,16.18737,521.43875,27.58505,211.0618,1806.09196,1103.87599,4175.1285,1248.58715,256.688,16.25816,112.11349,26.77551,795.82852,556.09045,159.54416,53.4184,27.72047,34.19935,510.61431,1101.33312,3073.79538,97.15893,2.19756
2008年,1518.80281,21.17437,328.79468,,13.94535,867.21011,,2.44447,3573.70208,14.83226,139.9179,1.02815,668.68202,265.00131,9.77934,688.25378,34.35109,303.93364,1649.74762,1461.00244,4629.55287,1132.21142,367.59701,-8.45825,221.3051,42.09134,1124.00846,750.23653,258.43315,73.24744,15.09718,23.64138,514.06797,1243.96755,3385.58532,82.0483,1.84522
2009年,1538.94132,21.85462,469.84899,,15.68668,965.62119,,2.28808,3535.10445,19.52322,150.9941,0.55425,401.03009,263.94007,4.4932,886.27905,48.96384,345.6116,1755.50836,1567.57708,4862.02676,1229.56126,440.64326,21.5395,248.58644,41.29262,1206.91998,811.1227,265.11124,89.39342,9.08667,29.08396,572.61792,1416.74322,3445.28354,71.11789,1.75114
2010年,2285.7285,33.71351,719.09998,,24.7914,1384.40359,,1.24915,4990.35373,23.62547,228.45556,1.36356,546.79764,365.30267,7.04672,1323.9585,58.73269,512.41232,2568.54123,2138.15187,6992.4216,1749.70626,678.10937,30.56642,395.46192,61.89737,1733.922,1159.26197,389.28541,123.47725,11.94539,32.5277,804.92086,1897.11794,5095.30366,85.74248,2.28596
2011年,2124.07338,35.85653,848.07586,1.32327,102.03375,1746.21976,0.57848,3.02481,6131.4158,27.09796,265.57326,1.79877,608.3935,466.03967,4.02657,1536.23987,55.4514,595.53281,3908.69131,2415.70086,8448.46555,2212.25943,780.80988,28.8221,458.73808,62.9126,2058.42318,1429.41959,413.8719,152.21909,10.95856,42.39199,999.05842,2350.16491,6098.30064,97.89697,2.10841
2012年,2093.80071,43.36864,780.69894,2.24652,112.70752,1703.66596,0.62449,0.73166,6465.313,24.54752,255.99335,1.36279,724.81412,377.26931,2.90855,1494.40776,39.64011,628.45355,3936.24541,2642.80563,8672.85175,2080.93527,713.13099,24.48236,407.48327,66.51097,2317.01176,1636.74076,453.54522,160.21481,6.55415,42.7382,1085.12602,2620.18775,6052.664,95.42596,1.55115
2013年,2411.4,42.31,950.74,4.38,22.75,2187.96,0.37,0.35,6830.72,32.59,293.14,0.22,544.04,387.77,0.9,1823.47,56.1,769.94,4123.1,2941.92,9476.42,2575.72,822.23,36.06,460.07,38.62,2584.46,2150.09,206.73,189.03,1.91,10.76,1028.93,2965.72,6510.7,62.14,0.44
2014年,2592.68,39.3,1026.56,2.66,22.18,2222.75,0.48,0.5,7005.19,34.32,336.03,0.15,590.63,414.65,2.74,1954.87,59.6,826.76,4333.45,2963.62,9889.75,2637.4,929.69,40.41,518.46,28.15,2674.9,2271.33,177.96,197.47,3.62,10.44,995.67,3069.7,6820.05,70.34,0.23
