,中型工业企业实收资本,中外合作经营工业企业实收资本,中外合资经营工业企业实收资本,其他外商投资工业企业实收资本,其他工业企业实收资本,其他有限责任公司工业企业实收资本,其他港澳台商投资工业企业实收资本,其他联营工业企业实收资本,内资工业企业实收资本,合作经营(港或澳、台资)工业企业实收资本,合资经营(港或澳、台资)工业企业实收资本,国有与集体联营工业企业实收资本,国有工业企业实收资本,国有独资公司工业企业实收资本,国有联营工业企业实收资本,外商投资工业企业实收资本,外商投资股份有限公司工业企业实收资本,外资工业企业实收资本,大型工业企业实收资本,小型工业企业实收资本,工业企业实收资本,有限责任公司工业企业实收资本,港、澳、台商投资工业企业实收资本,港澳台商投资股份有限公司工业企业实收资本,港澳台商独资经营工业企业实收资本,私营合伙工业企业实收资本,私营工业企业实收资本,私营有限责任公司工业企业实收资本,私营独资工业企业实收资本,私营股份有限公司工业企业实收资本,联营工业企业实收资本,股份合作工业企业实收资本,股份有限公司工业企业实收资本,轻工业企业实收资本,重工业企业实收资本,集体工业企业实收资本,集体联营工业企业实收资本
2002年,4969.62456,423.93979,3700.04892,,20.56986,5150.68825,,34.7724,27708.35482,502.2092,2130.48977,100.9534,8868.61224,3733.14841,127.00195,6635.06918,264.22695,2246.85352,21476.19076,12709.81639,39155.63171,8883.83666,4812.20771,254.47744,1925.0313,110.65839,2257.99738,1425.00009,566.10216,156.23674,309.40185,594.83329,5094.9238,12435.72925,26719.90246,1678.17974,46.6741
2003年,15200.93356,475.04305,4105.65804,,32.82022,6246.31538,,32.24512,30262.73858,475.22637,2305.04534,69.09256,9262.63741,3675.93328,124.29561,7792.85338,372.42616,2839.72613,15034.03424,13244.59148,43479.55928,9922.24866,5423.96732,284.80065,2358.89496,160.99262,3483.66211,2323.1529,746.45218,253.06441,259.20363,587.89682,5187.97675,13056.46301,30423.09627,1526.29298,33.57034
2004年,20986.17,608.35,5433.26,,33.05,9689.21,,30.9,39640.08,451.02,2595.67,50.19,11726.88,5097.98,131.33,11573.34,623.7,4908.02,17837.77,19226.23,58050.18,14787.2,6836.76,425.26,3364.82,178.09,5701.54,4408.1,729.11,386.25,235.27,417.01,5651.08,16001.13,42049.05,1088.05,22.85
2005年,22072.54571,673.51713,5831.24796,,106.06414,10284.87563,,28.25983,41544.25628,430.743,2660.58783,47.30879,11185.9585,5141.12696,115.63433,12990.97693,575.11205,5911.09979,20340.8753,19552.80416,61966.22517,15426.00259,7430.99196,399.34765,3940.31348,227.31429,7115.71847,5488.42293,966.05318,433.92807,213.30708,439.15055,6024.23335,17158.52282,44807.70235,1033.8216,22.10413
2006年,25289.41,654.48,6721.65,,87.9,11855.73,,54.92,47298.5,435.98,2883.55,32.91,11920.13,6016.14,167.47,15458.79,592.63,7490.03,23399.86,22623.66,71312.93,17871.87,8555.64,421.15,4814.96,293.0,9149.78,7001.06,1288.92,566.81,280.08,419.8,6590.16,19369.15,51943.77,978.78,24.78
2007年,29193.61697,765.03528,7909.12891,,269.41195,13837.19876,,70.70852,53600.76127,500.78845,3454.86918,37.12867,12189.97017,5955.64004,179.32577,18934.93846,830.12884,9430.64543,26584.89104,26953.84706,82732.35507,19792.8388,10196.65534,480.45835,5760.53936,366.25574,11680.93786,8960.19071,1638.75454,715.73687,306.54407,469.32796,7884.76775,22214.93979,60517.41528,1006.96271,19.38111
2008年,35864.22182,635.3042,9382.05152,,215.69418,17309.05159,,25.99413,69616.36594,413.32946,3839.73626,34.03552,15437.06473,5761.52817,292.9216,22503.90395,825.63701,11660.91122,32671.01192,35550.82433,104086.05807,23070.57976,11965.78818,474.95462,7237.76784,484.69865,16883.01813,12427.03263,2840.81213,1130.47472,377.42034,472.65115,12292.81653,26434.33905,77651.71902,867.12112,24.46909
2009年,37544.77,575.49944,9493.99261,,273.88039,19915.33066,,22.20612,74678.8378,427.38603,4244.12366,25.65326,13161.1379,7194.62061,218.53699,23747.75155,1034.95683,12643.30267,34403.39803,39240.75186,111188.91989,27109.95127,12762.33054,608.56044,7482.26041,540.33855,19638.23404,14798.8251,2991.87162,1307.19877,283.94801,489.74232,12839.05645,28155.8637,83033.05619,882.88742,17.55164
2010年,42101.44148,602.77851,10153.19817,,350.36021,23872.0164,,24.17786,83051.98161,450.20052,4577.65514,30.18429,14333.84999,7373.45408,194.80716,25590.87903,1209.44847,13625.45388,37258.20179,43134.89996,122494.54323,31245.47048,13851.68259,640.02256,8183.80437,659.09672,23422.79196,17625.50221,3517.41919,1620.77384,267.78078,527.53692,12050.23633,30985.34345,91509.19978,853.95494,18.61147
2011年,35248.67289,611.32908,10785.74193,30.96513,1232.77144,36680.22073,15.25245,29.69321,103715.07979,377.1331,4917.11878,30.48446,14972.18573,7857.6817,160.52031,26564.28786,1165.19581,13971.05591,56825.88731,52609.57241,144684.13261,44537.90243,14404.76496,678.03787,8417.22276,628.19157,25276.48958,19033.13463,3838.46318,1776.7002,237.27093,560.90183,16119.73548,32750.84239,111933.29022,777.82237,16.57295
2012年,40962.90878,627.39828,11283.26983,63.10102,1633.75256,39398.11202,37.49382,27.47662,116883.11544,372.61808,5566.42398,31.49788,16618.64804,7718.65917,116.48858,28106.55038,1322.79208,14809.98917,61478.08609,58588.5752,161029.57007,47116.77119,16039.90425,770.42706,9292.94131,692.15687,30515.03428,23358.15462,4410.65779,2054.065,194.44854,766.79098,19191.58237,36597.54712,124432.02295,846.08748,18.98546
2013年,43926.95,645.71,11986.31,48.13,369.53,44368.13,16.81,15.14,125110.3,383.68,6103.37,8.24,9751.1,11267.11,40.83,29683.99,1355.37,15648.46,66511.33,63235.07,173673.36,55635.23,18879.07,875.36,11499.85,410.24,36729.07,31270.28,2040.13,3008.42,73.73,186.06,21696.07,43839.87,129833.49,669.5,9.53
2014年,47259.4,664.97,12777.24,73.59,301.31,49985.71,21.48,20.08,138866.86,398.98,6561.98,5.31,8935.7,12917.72,35.43,30950.8,1165.65,16269.37,70445.38,70590.2,188294.97,62903.43,18477.3,877.4,10617.45,474.9,42631.54,36587.16,1863.83,3705.65,69.34,165.41,23167.87,46372.7,141922.27,692.27,8.52
