,中型工业企业资产总计,中外合作经营工业企业资产总计,中外合资经营工业企业资产总计,其他外商投资工业企业资产总计,其他工业企业资产总计,其他有限责任公司工业企业资产总计,其他港澳台商投资工业企业资产总计,其他联营工业企业资产总计,内资工业企业资产总计,合作经营(港或澳、台资)工业企业资产总计,合资经营(港或澳、台资)工业企业资产总计,国有与集体联营工业企业资产总计,国有工业企业资产总计,国有独资公司工业企业资产总计,国有联营工业企业资产总计,外商投资工业企业资产总计,外商投资股份有限公司工业企业资产总计,外资工业企业资产总计,大型工业企业资产总计,小型工业企业资产总计,工业企业资产总计,有限责任公司工业企业资产总计,港、澳、台商投资工业企业资产总计,港澳台商投资股份有限公司工业企业资产总计,港澳台商独资经营工业企业资产总计,私营合伙工业企业资产总计,私营工业企业资产总计,私营有限责任公司工业企业资产总计,私营独资工业企业资产总计,私营股份有限公司工业企业资产总计,联营工业企业资产总计,股份合作工业企业资产总计,股份有限公司工业企业资产总计,轻工业企业资产总计,重工业企业资产总计,集体工业企业资产总计,集体联营工业企业资产总计
1998年,16645.56,,,,,,,,,,,,,,,10951.54,,,59450.19,32726.11,108821.87,,10375.41,,,,,,,,,,1969.94,35883.63,72938.24,11275.66,
1999年,16273.20028,,,,,,,,,,,,,,,12076.6941,,,65870.38549,34825.30744,116969.0,,10942.22862,,,,,,,,,,9190.91348,37477.17299,79491.72022,10502.01086,
2000年,16239.86665,779.16309,8854.94799,,147.77616,9650.80312,,121.10178,100497.18417,1328.53334,6324.22988,391.44288,47330.34165,11362.70417,513.86986,13849.29669,527.87696,3687.30865,71069.96674,38901.40757,126211.24,21013.50729,11864.7601,834.39578,3377.6011,246.11956,3873.82723,2102.32913,1301.22591,224.15263,1205.18291,2365.02109,14930.12943,39433.35048,86777.89048,9631.39841,178.76839
2001年,18072.4549,980.97126,9333.76789,,89.78663,14968.4792,,144.55339,107048.02185,1336.86537,6206.622,342.30142,41996.17882,13972.98775,513.89011,15719.95942,798.5855,4606.63477,79299.76485,38030.26544,135403.0,28941.46695,12634.50392,904.6345,4186.38205,284.72824,5901.98409,3632.26357,1572.16359,412.82869,1136.14592,2364.16414,18604.70393,41596.22299,93806.2622,8013.59137,135.401
2002年,19274.33079,1043.65706,9824.2923,,81.8287,18997.22047,,150.17107,114704.02147,1355.62483,6555.38224,343.77469,40293.29426,15423.94368,500.14914,17886.06195,1116.5204,5901.59219,84242.11387,42701.33665,146217.78,34421.16415,13627.69789,872.42617,4844.26465,379.99462,8759.61513,5763.10043,2028.94216,587.57792,1132.17345,2580.60734,20089.21641,45134.97182,101082.80949,7346.12203,138.07855
2003年,58854.47053,1249.90586,12225.74124,,125.56794,25116.97563,,112.55483,129547.44005,1340.11645,7474.69202,266.15771,41636.66847,15331.53187,526.11906,23041.68872,1393.71381,8172.32781,66277.24674,43675.97908,168807.7,40448.5075,16218.56758,1028.21204,6375.54707,544.37006,14525.28987,10150.83887,2829.11885,1000.96209,1028.68776,2621.26599,22259.10883,49128.09134,119679.60501,6902.34369,123.85616
2004年,75407.38,1655.55,16321.4,,98.88,38218.69,,105.48,159756.68,1307.06,9089.61,161.94,44418.42,18872.66,798.04,34683.42,2377.17,14329.31,78771.1,61179.99,215358.0,57091.35,20918.37,1422.6,9099.1,579.21,23724.8,18810.35,2794.45,1540.79,1146.72,2000.94,25990.12,58523.41,156835.06,5285.44,81.26
2005年,83738.55894,1942.64796,18429.07043,,456.40106,44808.29244,,122.08076,180475.77776,1245.08897,9928.08739,170.44444,45754.12254,22348.61069,924.59213,40433.70429,2316.46323,17745.52267,95078.32279,65967.36332,244784.25,67156.90313,23874.763,1533.02242,11168.56422,768.28077,30325.12102,23945.25269,3801.28199,1810.30557,1314.82483,2185.89615,27900.25663,65285.7778,179498.46725,5382.2524,97.7075
2006年,98633.78,1836.69,22217.65,,382.31,56139.24,,147.06,214105.86,1344.55,10719.46,144.48,48941.61,26883.27,1048.93,49817.98,2679.41,23084.23,113776.66,78804.07,291214.51,83022.51,27290.67,1576.01,13650.65,1003.38,40514.83,31998.41,5105.3,2407.75,1460.82,2107.05,32172.73,74748.78,216465.73,5504.0,120.35
2007年,118284.41537,2458.25426,27552.69572,,789.25567,69735.28811,,182.93148,256670.33822,1485.11018,13806.82558,203.82979,54722.83126,30029.37975,1287.77553,62296.28453,3504.25097,28781.08358,138731.14617,96021.81258,353037.37,99764.66786,34070.75137,2099.29527,16679.52034,1258.39817,53304.94767,42444.1505,6363.58517,3238.81383,1771.34306,2443.41223,38135.13711,88077.52913,264959.84499,5738.74336,96.80626
2008年,141042.70845,2043.01489,33386.34821,,1111.14481,86019.52367,,126.28003,319160.54029,1303.00848,14954.88177,138.06856,67101.56263,29868.84417,1326.87891,73015.76671,3856.55576,33729.84785,164286.12711,125976.71246,431305.55,115888.36784,39129.24102,1910.64832,20960.70245,1697.2248,75879.58719,58915.51796,10350.30841,4916.53602,1687.93679,2369.8126,50132.00333,103082.92597,328222.62205,4990.1251,96.70929
2009年,157956.50225,2045.66602,37232.5774,,1500.27428,101075.36863,,99.21826,369215.30492,1466.24942,17694.08354,101.39969,68684.85777,39278.67136,1356.95054,79963.21275,4213.74276,36471.22657,193124.0098,142612.34854,493692.86,140354.03999,44514.34292,2531.27115,22822.73881,1982.62244,91175.60114,70659.45046,12104.16582,6429.36242,1655.92867,2468.94897,58359.57549,115492.71136,378200.14923,5016.07861,98.36018
2010年,191194.5537,2204.15427,43252.51823,,1812.40637,124650.5005,,113.34094,444329.5674,1624.68385,20368.65204,179.52741,79887.92827,43488.41829,1022.68138,96056.96193,5479.82399,45120.46544,236256.9961,165430.33797,592881.89,168138.91879,52495.35844,3051.34898,27450.67357,2526.15603,116867.83054,90447.04795,15275.17521,8619.45135,1421.7337,2628.50546,68098.80033,137815.15809,455066.72968,5473.44394,106.18397
2011年,162942.05173,2340.65412,46949.85999,89.74385,7027.95577,148972.05871,116.31265,153.04885,513809.12503,1522.70951,23422.87508,300.48679,88753.6282,47365.96113,947.79642,102033.59021,5326.79325,47326.539,342998.91072,169855.9009,675796.86,196338.01984,59954.14811,3260.96612,31631.28475,2346.8257,127749.85731,99631.94171,15322.15713,10448.93277,1507.82264,2750.2013,84259.03461,154148.17519,521648.68816,5422.60536,106.49058
2012年,184741.97411,2743.27683,48725.70544,261.60251,8858.06058,175673.78271,177.62378,137.65429,596100.91215,1563.15675,25497.89278,203.45879,102035.45033,49088.72451,590.35671,106107.44978,5595.44106,48781.42394,379618.3888,204060.8329,768421.2,224762.50722,66212.83388,3951.55134,35022.60923,2735.91397,152548.13423,119629.0205,17474.88321,12708.31655,1035.7458,3138.30837,98056.53442,175820.58335,592600.61246,5666.1712,104.27601
2013年,207021.79,2509.45,54086.41,279.53,2458.08,231097.41,81.19,54.54,682089.65,1668.84,27792.6,29.7,69825.76,70377.51,268.71,115608.86,5962.54,52770.93,419709.73,244019.55,870751.07,301474.92,73052.56,4203.3,39306.63,1678.23,187704.4,160847.35,8478.09,16700.72,400.46,1270.11,114741.98,202031.23,668719.84,4213.94,47.52
2014年,229069.82,2573.44,56454.77,380.95,2177.52,266934.25,96.01,54.54,758615.15,1822.5,29690.89,21.35,66954.56,76809.0,215.89,119703.16,5739.01,54554.99,450366.93,277340.46,956777.2,343743.25,78458.89,4029.4,42820.11,1556.6,213114.42,183564.23,8565.06,19428.53,329.14,1266.88,125744.34,224054.01,732723.19,5285.04,37.37
