,中型工业企业利润总额,中外合作经营工业企业利润总额,中外合资经营工业企业利润总额,其他外商投资工业企业利润总额,其他工业企业利润总额,其他有限责任公司工业企业利润总额,其他港澳台商投资工业企业利润总额,其他联营工业企业利润总额,内资工业企业利润总额,合作经营(港或澳、台资)工业企业利润总额,合资经营(港或澳、台资)工业企业利润总额,国有与集体联营工业企业利润总额,国有工业企业利润总额,国有独资公司工业企业利润总额,国有联营工业企业利润总额,外商投资工业企业利润总额,外商投资股份有限公司工业企业利润总额,外资工业企业利润总额,大型工业企业利润总额,小型工业企业利润总额,工业企业利润总额,有限责任公司工业企业利润总额,港、澳、台商投资工业企业利润总额,港澳台商投资股份有限公司工业企业利润总额,港澳台商独资经营工业企业利润总额,私营合伙工业企业利润总额,私营工业企业利润总额,私营有限责任公司工业企业利润总额,私营独资工业企业利润总额,私营股份有限公司工业企业利润总额,联营工业企业利润总额,股份合作工业企业利润总额,股份有限公司工业企业利润总额,轻工业企业利润总额,重工业企业利润总额,集体工业企业利润总额,集体联营工业企业利润总额
1999年,148.40723,,,,,,,,,,,,,,,430.55263,,,1440.16978,699.66417,2288.0,,323.38175,,,,,,,,,,378.42618,908.82977,1379.41141,454.49951,
2000年,350.68458,24.23583,479.12694,,-2.22368,278.2254,,5.57983,3111.00084,62.94346,277.56517,7.8494,716.63927,87.99962,13.75321,748.45973,17.50113,227.59583,2832.59286,1210.20689,4393.48,366.22502,534.02376,21.45554,172.05959,15.13496,189.68333,90.4882,73.0725,10.98767,36.99405,102.36451,1250.09965,1313.20035,3080.28398,451.21869,9.81161
2001年,470.28445,49.87211,541.31884,,4.04672,567.91374,,4.97619,3290.48552,38.26851,278.35737,8.32202,458.35877,102.25464,24.86035,894.64807,25.40217,278.05495,2970.2746,1292.8737,4733.0,670.16838,548.29916,27.82084,203.85244,17.58253,312.55878,174.57102,100.81439,19.59084,45.17809,120.44241,1292.71755,1436.66873,3296.76402,387.01482,7.01953
2002年,577.6078,68.78075,727.63153,,4.10295,746.43214,,4.39362,3907.25751,65.21024,332.9875,9.05458,563.55414,124.11854,22.97335,1172.0563,61.18825,314.45577,3431.3636,1775.50674,5784.48,870.55068,705.16433,35.33816,271.62843,25.84826,490.23124,300.12564,132.96839,31.28895,45.1183,141.30189,1377.33924,1848.94733,3935.53081,415.05907,8.69675
2003年,2687.04936,109.25948,1114.14309,,5.66482,1133.94282,,5.47549,5559.80062,63.51921,447.0167,6.50001,776.53943,230.7456,21.83935,1851.42393,98.8213,529.20006,3835.92615,1814.2603,8337.24,1364.68842,926.01126,64.88356,350.59179,42.07473,859.64081,540.41743,215.67663,61.47202,42.54387,146.26598,1914.70957,2354.72701,5982.5088,449.74772,8.72902
2004年,3645.76,151.86,1322.3,,5.33,2208.45,,6.54,8053.33,78.63,509.74,5.19,1070.56,638.67,27.53,2622.62,232.3,916.16,5538.15,2745.39,11929.3,2847.12,1253.35,122.31,542.67,58.68,1429.74,996.07,274.39,100.6,46.94,120.77,2137.58,2748.26,9181.03,395.28,7.69
2005年,4210.33261,140.38675,1204.6767,,33.06313,3080.93979,,8.91031,10661.73053,75.09447,541.01513,3.69349,1829.75048,918.37737,33.67681,2748.93621,205.31149,1198.56127,6801.42318,3790.7832,14802.54,3999.31716,1391.87225,66.34173,709.42092,94.55622,2120.65201,1434.28546,446.54874,145.26159,56.08806,135.04127,2002.94666,3661.95935,11140.57964,484.87176,9.80745
2006年,5759.09,153.37,1656.5,,31.98,4043.43,,11.56,14120.39,92.7,633.78,5.08,2011.73,1336.66,48.62,3587.6,186.18,1591.55,8604.14,5141.21,19504.44,5380.09,1796.45,77.02,992.95,147.58,3191.05,2177.9,655.27,210.3,77.75,147.03,2751.38,4654.99,14849.45,529.36,12.5
2007年,8214.80386,224.93563,2403.30424,,86.22821,5855.5072,,15.02304,19627.80395,123.72182,1140.65331,15.9815,2629.8531,1372.91856,64.12631,5011.28382,228.6458,2154.39815,11411.8439,7528.53688,27155.18,7228.42576,2516.09687,108.17909,1143.54265,227.51021,5053.74173,3469.68957,1025.17512,331.36683,108.26392,195.14373,3685.78034,6713.49872,20441.68592,640.36716,13.13307
2008年,9410.42572,139.18454,2407.94253,,95.78031,6064.08756,,17.98593,22319.73978,71.97072,1137.0919,6.51098,2531.96637,1150.9871,21.00626,5266.24927,296.29748,2422.82472,10518.80547,10633.13442,30562.37,7215.07466,2976.37656,-1.42086,1768.7348,329.53343,8302.06235,5497.61581,1917.6956,557.21751,56.15224,194.87783,3306.46011,8467.94128,22094.42433,617.36591,10.64907
2009年,11368.03131,171.113,3558.62455,,135.03215,6536.35494,,13.81216,24435.16283,123.75939,1237.3136,1.62538,1973.23328,1148.30266,24.28275,6659.29715,267.27037,2662.28923,10897.64875,12276.53687,34542.22,7684.6576,3447.75695,181.37851,1905.30545,372.89644,9677.68941,6415.03318,2182.34478,707.41501,52.3325,241.55466,4032.58729,10388.0389,24154.17803,638.07594,12.61221
2010年,17346.83278,214.54356,5238.17935,,240.22403,10076.41024,,15.28583,38030.11604,158.3956,1846.66348,10.33062,3302.7661,1910.42066,27.5581,9906.11138,432.28646,4021.10201,17630.35402,18072.4773,53049.66,11986.8309,5113.43668,259.06532,2849.31228,574.278,15102.50338,10233.13599,3192.0697,1103.01969,69.89742,319.02198,6203.21573,15018.54026,38031.12384,805.6565,16.72287
2011年,15310.06079,185.09037,5462.94452,7.10391,920.77237,12160.17539,11.35102,35.01684,45902.11435,166.28686,2008.19463,29.13821,3567.45131,2099.7916,25.19112,9973.13594,424.35793,3893.63921,26433.71456,19652.55572,61396.33,14259.96699,5521.08078,234.46697,3100.7813,629.55449,18155.52172,12472.96786,3687.90334,1365.09603,111.3409,375.05324,7647.56419,17220.6039,44175.72717,864.44363,21.99473
2012年,15400.33238,234.6582,4736.68629,22.62388,1040.35248,12283.62283,13.25324,20.76061,47944.11703,146.01372,1825.67905,12.32074,3881.70654,1633.0778,17.65618,9018.95428,424.68834,3600.29757,25169.83644,21339.889,61910.06,13916.70063,4946.98651,205.53806,2756.50244,616.04132,20191.90056,14104.2248,4029.24886,1442.38558,67.2555,302.02637,7649.55535,19075.07861,42834.97921,894.6196,16.51797
2013年,17449.82,242.68,5589.37,34.19,301.04,15282.23,4.48,12.55,52576.32,196.9,1978.16,2.68,2944.29,1934.21,7.4,10346.75,412.1,4068.41,26557.4,24371.68,68378.91,17216.45,5455.83,243.87,3032.43,340.83,23327.08,19200.8,1988.04,1797.42,29.21,135.67,8042.91,21592.26,46786.65,579.67,6.58
2014年,17802.13,203.37,5755.41,24.53,205.95,15364.46,6.1,9.01,51577.58,200.6,2105.2,0.64,2708.44,1656.44,6.29,10647.15,399.12,4264.72,26350.78,24001.98,68154.89,17020.9,5930.16,283.39,3334.86,261.61,23550.42,19731.92,1693.77,1863.11,20.61,117.5,7413.04,22318.62,45836.27,540.72,4.67
