,中型工业企业主营业务成本,中外合作经营工业企业主营业务成本,中外合资经营工业企业主营业务成本,其他外商投资工业企业主营业务成本,其他工业企业主营业务成本,其他有限责任公司工业企业主营业务成本,其他港澳台商投资工业企业主营业务成本,其他联营工业企业主营业务成本,内资工业企业主营业务成本,合作经营(港或澳、台资)工业企业主营业务成本,合资经营(港或澳、台资)工业企业主营业务成本,国有与集体联营工业企业主营业务成本,国有工业企业主营业务成本,国有独资公司工业企业主营业务成本,国有联营工业企业主营业务成本,外商投资工业企业主营业务成本,外商投资股份有限公司工业企业主营业务成本,外资工业企业主营业务成本,大型工业企业主营业务成本,小型工业企业主营业务成本,工业企业主营业务成本,有限责任公司工业企业主营业务成本,港、澳、台商投资工业企业主营业务成本,港澳台商投资股份有限公司工业企业主营业务成本,港澳台商独资经营工业企业主营业务成本,私营合伙工业企业主营业务成本,私营工业企业主营业务成本,私营有限责任公司工业企业主营业务成本,私营独资工业企业主营业务成本,私营股份有限公司工业企业主营业务成本,联营工业企业主营业务成本,股份合作工业企业主营业务成本,股份有限公司工业企业主营业务成本,轻工业企业主营业务成本,重工业企业主营业务成本,集体工业企业主营业务成本,集体联营工业企业主营业务成本
2002年,11379.53988,608.17142,7967.69215,,104.98348,10753.82131,,92.13748,64336.41263,1079.68042,4843.84408,273.10367,16084.23529,5524.44175,220.44552,14971.43558,447.04894,5948.52307,42459.59749,36404.62484,90243.76,16278.26306,10935.914,538.59719,4473.79231,574.21861,10433.79991,6269.74869,2990.06934,599.76327,722.70961,2532.01503,10628.77101,33405.29937,56838.46284,7551.63524,137.02294
2003年,38701.85789,801.58613,11245.62556,,153.2986,15476.37954,,126.02789,82034.38315,1119.00865,5999.65456,198.98274,18205.89929,6405.28971,271.49308,22305.38331,618.6029,9639.56872,42743.86673,37192.7498,118638.47,21881.66925,14298.70796,741.18179,6438.86296,851.10994,17194.65387,11038.95287,4296.61378,1007.97728,730.06679,2645.42733,13699.00261,39598.39739,79040.07703,7524.36541,133.56308
2004年,52532.05,1183.8,16159.26,,121.92,26620.97,,114.17,111596.86,1235.22,7962.28,138.86,19645.0,8353.42,402.98,35685.32,1274.83,17067.43,58636.15,56078.21,167246.4,34974.4,19964.22,1136.92,9629.8,1041.85,29452.27,22161.62,4698.79,1550.01,751.77,2184.63,17963.17,51349.24,115897.17,6503.71,95.75
2005年,63622.19871,1479.4083,19373.88227,,537.19772,34671.68077,,128.97376,141999.53668,1248.59928,9127.51837,141.57497,22595.3178,11201.86557,557.41498,43986.05972,1392.83653,21739.93262,78258.01964,67982.3008,209862.52,45873.54634,23876.92275,1349.18798,12151.61712,1451.937,39914.49934,29538.44258,6692.70093,2231.41883,956.22246,2449.34895,22508.69878,63219.99303,146642.52612,7164.70529,128.25875
2006年,79438.15,1488.62,24389.15,,459.94,45426.01,,166.27,179793.28,1359.66,10718.35,136.86,25577.2,13296.71,618.98,56508.65,1667.56,28963.32,97154.14,88104.3,264696.6,58722.72,28394.66,1463.99,14852.66,1981.57,56316.16,41906.84,9312.49,3115.26,1085.23,2599.22,27384.04,76778.93,187917.67,7648.78,163.12
2007年,99001.74935,1969.39132,30547.44143,,1164.18399,58699.71044,,226.43529,227617.22254,1494.98681,13896.42629,157.63563,29225.02511,16029.21748,760.04143,71578.0177,2473.98255,36587.2024,120423.73775,115173.15737,334598.64,74728.92792,35403.40423,1767.11397,18244.87716,2527.77931,77335.74788,57889.15822,12670.40686,4248.40349,1288.54051,2944.03044,32523.60362,95662.36334,238936.28113,8407.16307,144.42816
2008年,122929.3589,1811.33419,36521.80104,,1456.10793,74619.11456,,205.74289,297364.13234,1382.10464,15099.95623,123.42193,39597.30625,15498.48064,942.03203,82681.07412,2556.03136,41791.90753,146003.85754,154362.53746,423295.75,90117.5952,43250.54744,1969.50538,24798.98119,3190.33388,112220.27465,82533.03367,20145.45326,6351.45384,1421.268,2708.21805,42495.6761,116654.48366,306641.27024,7347.68616,150.07115
2009年,129368.55987,1635.68327,37485.34891,,1803.73581,83215.50369,,117.35728,330262.20923,1435.06681,15417.82974,90.515,39559.45353,19820.37095,632.84629,83473.00485,2829.76209,41522.21058,151604.06954,176537.3774,457510.01,103035.87464,43774.79273,1817.21896,25104.67722,3906.03945,134374.5817,97642.53988,24321.64876,8504.35361,998.22202,2957.21777,39535.352,129720.75998,327789.24683,7997.77176,157.50345
2010年,167138.16235,1994.77159,46519.48789,,2321.12563,109012.02147,,117.29564,425983.69691,1654.49409,19191.40462,132.7977,49734.4729,24093.87062,609.21709,104022.91671,3787.78116,51720.87607,198078.38133,220040.25789,585256.8,133105.89209,55250.18795,2468.72469,31935.56455,4956.3979,177049.47897,129488.98855,31617.72857,10986.36395,1032.97619,3105.50934,50971.99752,161815.55463,423441.24694,8662.24427,173.66576
2011年,163486.07344,2434.72106,52466.52303,110.94057,8466.85007,140168.52676,103.69573,293.33841,524160.31209,1647.2208,22967.4315,304.95808,58468.50589,25888.70021,591.70058,118384.95969,4156.15811,59216.61692,299600.94708,245004.97447,708091.99,166057.22697,65546.72321,2779.62738,38048.7478,5440.22629,210191.51868,155011.05478,36458.63645,13281.60116,1383.91546,3201.68223,67001.3418,192194.4265,515897.56849,9389.27099,193.91839
2012年,183959.37153,2470.15831,52738.23469,355.67981,11552.06782,161169.33798,199.96764,195.58017,594982.69089,1626.62774,24019.15112,147.47924,65768.27585,27565.98327,433.78982,120040.87522,4123.05967,60353.74274,322644.59349,277937.2272,784541.19,188735.32125,69517.62611,2860.34548,40811.53413,5601.8822,243192.10189,181351.51475,40477.38866,15761.31628,967.58091,3361.65461,72194.83656,215757.4078,568783.78442,9210.852,190.73168
2013年,208738.86,2619.18,58537.3,408.88,3051.9,200552.1,101.92,116.4,673423.94,1794.15,26025.44,43.45,45184.09,40376.46,190.59,130718.91,4507.76,64645.79,352336.92,319603.91,880679.68,240928.56,76536.83,3117.74,45497.58,3203.28,293764.75,250661.16,20126.33,19773.99,451.06,1397.61,82118.07,248580.98,632098.7,6527.88,100.63
2014年,228113.79,2567.11,61057.05,512.77,2579.72,225836.95,99.57,108.91,728365.38,1895.86,27883.17,28.24,42324.86,41630.61,135.36,133374.77,4295.86,64941.97,367371.93,347883.86,943369.58,267467.56,81629.43,2894.22,48856.61,2929.73,322482.84,278504.22,19347.95,21700.94,340.17,1372.07,85284.08,270051.08,673318.5,6514.08,67.65
