,中型工业企业主营业务税金及附加,中外合作经营工业企业主营业务税金及附加,中外合资经营工业企业主营业务税金及附加,其他外商投资工业企业主营业务税金及附加,其他工业企业主营业务税金及附加,其他有限责任公司工业企业主营业务税金及附加,其他港澳台商投资工业企业主营业务税金及附加,其他联营工业企业主营业务税金及附加,内资工业企业主营业务税金及附加,合作经营(港或澳、台资)工业企业主营业务税金及附加,合资经营(港或澳、台资)工业企业主营业务税金及附加,国有与集体联营工业企业主营业务税金及附加,国有工业企业主营业务税金及附加,国有独资公司工业企业主营业务税金及附加,国有联营工业企业主营业务税金及附加,外商投资工业企业主营业务税金及附加,外商投资股份有限公司工业企业主营业务税金及附加,外资工业企业主营业务税金及附加,大型工业企业主营业务税金及附加,小型工业企业主营业务税金及附加,工业企业主营业务税金及附加,有限责任公司工业企业主营业务税金及附加,港、澳、台商投资工业企业主营业务税金及附加,港澳台商投资股份有限公司工业企业主营业务税金及附加,港澳台商独资经营工业企业主营业务税金及附加,私营合伙工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,私营有限责任公司工业企业主营业务税金及附加,私营独资工业企业主营业务税金及附加,私营股份有限公司工业企业主营业务税金及附加,联营工业企业主营业务税金及附加,股份合作工业企业主营业务税金及附加,股份有限公司工业企业主营业务税金及附加,轻工业企业主营业务税金及附加,重工业企业主营业务税金及附加,集体工业企业主营业务税金及附加,集体联营工业企业主营业务税金及附加
2002年,218.10726,2.42428,84.81972,,1.08449,148.35144,,1.22296,1609.73883,5.22872,21.62363,1.68451,913.04578,98.91747,5.93642,99.05391,2.10684,9.70307,1252.89858,290.60192,1761.61,247.26891,52.81502,7.11218,18.85049,6.28136,95.66529,53.25394,31.25448,4.87551,10.19133,21.04138,249.78942,1082.34847,679.25929,71.65223,1.34744
2003年,724.85716,1.66097,142.14175,,1.16973,190.8334,,0.82957,1825.55295,1.98387,22.34428,1.06999,1004.35824,84.18322,7.68897,163.14553,3.16076,16.18205,1045.42708,278.92285,2049.21,275.01662,60.50861,9.18324,26.99722,9.5544,146.1369,84.37058,44.506,7.70592,10.95441,19.92683,297.33223,1192.25772,856.94937,70.65799,1.36588
2004年,827.76,2.38,172.71,,1.51,269.74,,0.93,2319.36,4.87,30.05,1.25,1117.95,239.33,4.0,212.02,10.94,25.98,1363.32,425.17,2616.25,509.07,84.88,10.15,39.81,14.13,257.14,173.23,55.72,14.06,7.21,17.64,347.83,1438.15,1178.11,61.0,1.04
2005年,818.39426,3.7914,196.66472,,9.5747,343.85336,,0.94133,2670.4392,4.18995,27.18647,0.96461,1173.00335,290.03278,4.03044,241.9533,10.6499,30.84728,1650.63974,528.30359,2997.34,633.88614,84.94509,9.94188,43.62679,20.94949,352.22304,229.98457,77.74128,23.5477,7.59964,21.00508,402.319,1629.99064,1367.34695,70.82825,1.66326
2006年,927.83,3.09,312.61,,6.09,468.81,,1.35,3268.8,4.63,33.78,0.88,1360.46,358.72,4.77,375.06,16.19,43.17,2133.2,685.32,3746.35,827.53,102.49,8.49,55.6,25.65,476.64,316.16,106.07,28.75,9.55,17.88,498.35,1872.75,1873.6,72.31,2.54
2007年,1080.37677,5.07331,427.29757,,14.0486,724.53312,,1.51969,4118.18946,6.31267,56.615,3.26809,1580.73087,414.73938,8.52012,524.74462,24.17093,68.20281,2769.03441,922.66812,4772.08,1139.2725,129.14522,17.62317,48.59438,34.60202,656.62476,429.11841,150.26388,42.64045,15.0204,23.40285,606.42904,2273.77077,2498.30853,82.66044,1.7125
2008年,1456.57948,5.6177,481.67135,,19.41006,902.41211,,1.52866,5392.38819,9.47338,65.90491,0.61143,1752.65339,767.476,10.38369,646.96668,28.22141,131.45622,3343.96777,1476.73078,6277.28,1669.88811,237.92316,15.79297,146.7519,60.24738,1123.37665,705.21032,294.90625,63.0127,14.40542,28.17214,691.32371,2865.31901,3411.95902,93.15871,1.88164
2009年,1941.35994,30.22908,714.92578,,25.24189,1191.74652,,2.70125,7833.14741,5.15925,95.41979,0.4975,2147.19378,962.08817,3.81991,925.73265,21.82425,158.75354,5362.52727,1692.06532,8995.95,2153.83469,237.07247,49.70402,86.78941,66.38916,1311.37603,832.92214,336.04526,76.01947,9.26174,73.64559,2028.51085,3463.2574,5532.69513,84.08284,2.24308
2010年,2326.95547,47.32177,960.83616,,28.78492,1698.80986,,1.16156,9694.13387,4.04546,107.45671,0.68377,2702.88303,1193.91309,5.05914,1174.83024,26.68087,139.99144,6973.88638,1882.26888,11183.11,2892.72295,314.14662,61.59834,141.04611,83.20591,1628.84459,1016.98702,430.82808,97.82358,8.57669,34.03696,2320.54366,4106.87318,7076.23755,77.74107,1.67222
2011年,1807.6819,63.95177,945.49267,0.50762,65.91709,1951.59614,0.18227,2.37933,11004.24894,7.56404,147.66948,1.15932,2859.61811,1637.40598,4.39165,1242.37104,27.71498,204.704,8940.8618,1920.986,12669.53,3589.00212,422.90972,71.04147,196.45246,73.59284,1553.56516,1027.30118,363.76419,88.90695,10.17046,28.63182,2819.78133,4907.43849,7762.09121,77.56285,2.24016
2012年,2072.75996,54.65524,1088.63897,1.23598,113.07384,2667.16125,0.69126,1.76522,12527.93243,11.0731,173.6709,0.71509,2967.52941,1671.23021,3.42164,1447.36803,46.67828,256.15956,10034.37853,2355.59579,14462.73,4338.39146,487.43382,68.81508,233.18348,76.54719,1873.00651,1267.07304,414.06483,115.32145,7.45171,33.55523,3118.64083,5761.96885,8700.76543,76.28344,1.54976
2013年,2137.3,62.65,1257.05,2.68,49.64,3804.23,0.29,0.9,13627.33,12.48,178.45,0.23,2141.93,1924.68,1.3,1659.76,44.72,292.67,10901.8,2796.14,15835.24,5728.91,548.15,113.39,243.53,52.38,2323.3,1893.34,225.66,151.92,3.76,13.32,3307.45,6526.51,9308.73,59.0,1.33
2014年,2227.61,66.62,1263.14,2.08,67.38,4496.4,1.35,0.66,14747.66,14.11,187.1,0.16,1891.42,2047.55,1.05,1662.68,33.2,297.63,11669.37,3064.14,16961.12,6543.94,550.79,108.17,240.04,47.5,2505.6,2079.98,217.78,160.34,2.86,11.34,3668.79,7059.95,9901.17,56.33,1.0
