,中型工业企业所有者权益合计,中外合作经营工业企业所有者权益合计,中外合资经营工业企业所有者权益合计,其他外商投资工业企业所有者权益合计,其他工业企业所有者权益合计,其他有限责任公司工业企业所有者权益合计,其他港澳台商投资工业企业所有者权益合计,其他联营工业企业所有者权益合计,内资工业企业所有者权益合计,合作经营(港或澳、台资)工业企业所有者权益合计,合资经营(港或澳、台资)工业企业所有者权益合计,国有与集体联营工业企业所有者权益合计,国有工业企业所有者权益合计,国有独资公司工业企业所有者权益合计,国有联营工业企业所有者权益合计,外商投资工业企业所有者权益合计,外商投资股份有限公司工业企业所有者权益合计,外资工业企业所有者权益合计,大型工业企业所有者权益合计,小型工业企业所有者权益合计,工业企业所有者权益合计,有限责任公司工业企业所有者权益合计,港、澳、台商投资工业企业所有者权益合计,港澳台商投资股份有限公司工业企业所有者权益合计,港澳台商独资经营工业企业所有者权益合计,私营合伙工业企业所有者权益合计,私营工业企业所有者权益合计,私营有限责任公司工业企业所有者权益合计,私营独资工业企业所有者权益合计,私营股份有限公司工业企业所有者权益合计,联营工业企业所有者权益合计,股份合作工业企业所有者权益合计,股份有限公司工业企业所有者权益合计,轻工业企业所有者权益合计,重工业企业所有者权益合计,集体工业企业所有者权益合计,集体联营工业企业所有者权益合计
2003年,22753.71962,566.56873,5430.94725,0.0,42.33965,9420.65559,0.0,47.39059,51656.26343,566.71239,3150.4578,113.15713,15362.9052,6047.95733,204.58877,10253.20533,782.0431,3473.64625,29543.49733,16832.34719,69129.56,15468.61292,7220.09538,538.34284,2964.58235,247.4153,5743.95328,3883.86105,1183.40164,429.27529,413.82062,1042.85535,10921.81892,20813.55773,48316.00641,2659.95749,48.68413
2004年,31696.98,708.69,7311.13,0.0,44.77,14189.91,0.0,41.38,65987.91,568.11,3592.53,59.98,18768.71,8117.09,249.25,15252.92,1289.19,5943.91,34566.48,24023.23,90286.7,22307.0,9045.88,807.93,4077.31,263.17,9195.48,7059.58,1177.51,695.22,384.84,777.12,12504.74,24704.18,65582.52,2005.24,34.22
2005年,35630.69135,844.46441,7950.4643,0.0,178.62187,16924.00512,0.0,44.10357,75111.29607,534.9248,3873.34702,60.3997,20356.9756,8939.07606,270.63123,17574.11218,1303.86638,7475.31709,40297.90773,26953.42136,102882.02,25863.08118,10196.61219,822.27309,4966.06728,379.93821,12286.21729,9306.43605,1777.08259,822.76044,415.76494,899.39518,12878.72326,28556.05797,74325.96247,2232.51675,40.63044
2006年,41974.5,847.35,9524.56,0.0,163.69,20952.98,0.0,74.67,89738.89,609.47,4181.67,46.08,22095.01,11135.67,337.44,21752.31,1371.34,10009.06,48929.89,32498.15,123402.54,32088.64,11911.35,798.36,6321.84,490.47,16567.96,12536.66,2436.76,1104.07,505.29,864.29,15098.13,33258.69,90143.86,2355.89,47.09
2007年,50267.84667,1038.9929,11732.56365,0.0,416.36135,26099.71767,0.0,95.36298,108677.3817,662.93865,5357.97913,80.46844,25166.08195,12598.73855,430.22499,26667.90552,1744.18204,12152.16693,59339.51094,40268.78827,149876.15,38698.45622,14530.85866,1039.40957,7470.53131,645.45588,22184.60084,16862.57767,3185.79118,1490.77611,645.64035,1083.17524,17886.24504,39608.15671,110267.98917,2596.82071,39.58394
2008年,58801.81767,885.2674,14125.54098,0.0,460.8318,31291.03519,0.0,47.43151,133046.17225,601.97277,6026.31499,48.8283,28076.92273,12654.1197,491.73484,32192.97374,1991.2073,15190.95806,69059.63016,54491.92868,182353.38,43945.15489,17114.23052,849.88834,9636.05442,895.81405,33051.47562,24393.25417,5466.6274,2295.78,636.15604,990.1316,23655.16446,48009.83099,134343.54552,2230.33511,48.16139
2009年,64298.17534,957.9957,15511.76073,0.0,618.63201,37370.47792,0.0,45.71024,152437.36005,712.41037,6875.15778,35.92456,26615.1096,16200.51967,433.39175,35146.93936,2124.95779,16552.22514,79592.025,62798.62545,206688.83,53570.99759,19104.52638,1124.54973,10392.4085,1072.51672,40383.66656,29804.55266,6498.04531,3008.55187,559.60675,1085.13996,27312.17995,54314.76343,152374.06236,2292.02763,44.5802
2010年,79401.37976,1027.88857,18022.50302,0.0,747.04401,46576.46702,0.0,47.24522,184901.4231,763.7053,8145.35948,92.90999,30979.92704,17961.85551,353.26777,43467.93181,2745.74872,21671.7915,97415.22453,74343.74176,251160.35,64538.32253,22790.99114,1343.08473,12538.84163,1348.45494,52295.5084,38509.23495,8277.96771,4159.8508,542.02701,1155.22942,32183.41154,64933.11008,186227.23597,2459.95315,48.60403
2011年,67445.47123,1009.16826,19472.92016,40.4355,3153.50636,54250.63922,40.07356,71.70774,212301.47204,783.33843,9028.66881,133.42563,33070.24282,19755.74404,329.57242,44572.07698,2880.74457,21168.80849,138604.63389,75953.70276,282003.81,74006.38326,25130.25886,1603.02987,13675.14819,1318.70415,57479.12095,42024.937,8859.27855,5276.20125,584.57687,1206.32275,40267.75406,73009.62941,208994.17847,2533.56497,49.87108
2012年,76659.51915,1122.32143,20684.45771,132.1865,4000.25602,64214.24274,75.84232,63.47105,246128.21874,746.27486,9924.67694,100.80305,38117.83823,19509.92422,145.75189,46902.12905,2837.14462,22126.01879,152762.41606,91192.13455,320614.07,83724.16696,27583.72197,1937.57566,14899.35219,1528.33065,68946.34886,50846.32791,10231.24428,6340.44602,361.08523,1391.13285,46903.24363,83584.29664,237029.77312,2684.14696,51.05924
2013年,86524.99,1082.91,22733.1,144.62,1180.24,84449.6,36.79,28.7,279418.25,784.99,10968.56,10.02,27426.0,25681.08,102.02,51113.22,3072.48,24080.11,168048.24,106690.15,361263.38,110130.68,30731.91,2079.89,16861.68,909.6,84938.19,70601.78,4993.34,8433.46,163.8,544.86,53242.81,97135.07,264128.31,1791.69,23.06
2014年,98589.22,1192.29,24043.61,144.89,1060.97,98711.35,53.64,31.96,318386.39,868.17,11940.22,5.41,28218.57,28349.35,89.89,54126.71,2897.08,25848.86,182322.71,125069.78,405981.71,127060.71,33468.61,2263.22,18343.35,893.22,99880.35,83600.16,4998.28,10388.69,147.76,554.0,59044.28,109877.63,296104.08,2419.75,20.5
