,中型工业企业主营业务收入,中外合作经营工业企业主营业务收入,中外合资经营工业企业主营业务收入,其他外商投资工业企业主营业务收入,其他工业企业主营业务收入,其他有限责任公司工业企业主营业务收入,其他港澳台商投资工业企业主营业务收入,其他联营工业企业主营业务收入,内资工业企业主营业务收入,合作经营(港或澳、台资)工业企业主营业务收入,合资经营(港或澳、台资)工业企业主营业务收入,国有与集体联营工业企业主营业务收入,国有工业企业主营业务收入,国有独资公司工业企业主营业务收入,国有联营工业企业主营业务收入,外商投资工业企业主营业务收入,外商投资股份有限公司工业企业主营业务收入,外资工业企业主营业务收入,大型工业企业主营业务收入,小型工业企业主营业务收入,工业企业主营业务收入,有限责任公司工业企业主营业务收入,港、澳、台商投资工业企业主营业务收入,港澳台商投资股份有限公司工业企业主营业务收入,港澳台商独资经营工业企业主营业务收入,私营合伙工业企业主营业务收入,私营工业企业主营业务收入,私营有限责任公司工业企业主营业务收入,私营独资工业企业主营业务收入,私营股份有限公司工业企业主营业务收入,联营工业企业主营业务收入,股份合作工业企业主营业务收入,股份有限公司工业企业主营业务收入,轻工业企业主营业务收入,重工业企业主营业务收入,集体工业企业主营业务收入,集体联营工业企业主营业务收入
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,8986.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.1,0.0,0.0,28144.5,27018.25,64148.86,0.0,7594.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.01,26649.19,37499.67,11596.53,0.0
1999年,9364.28245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9608.59209,0.0,0.0,32041.28734,28446.16464,69852.0,0.0,8357.95749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4977.24293,28433.36962,41418.36481,10912.62614,0.0
2000年,10365.1496,590.82391,7833.82487,0.0,103.29523,5982.85032,0.0,126.68725,61606.0103,1100.86633,5025.2403,293.28964,21765.1294,4848.24997,214.95413,12503.77762,260.17401,3818.95483,39755.14702,34031.454,84151.75,10831.10029,10041.9627,511.02988,3404.82619,393.58225,4791.4976,2215.8556,1923.49311,258.56664,863.81501,2632.46242,9815.56476,32343.28632,51808.4643,10803.14559,228.88399
2001年,12106.13745,685.84431,8877.74342,0.0,92.66412,9767.31074,0.0,97.76688,67711.26425,1129.20103,5098.93372,289.46006,19109.75973,5704.20108,271.66744,14879.4766,356.9591,4958.92977,46374.30791,35252.89683,93733.0,15471.51182,11142.60134,566.06369,4348.4029,482.26595,7982.42828,4465.92711,2544.4333,489.80192,833.1775,2736.35025,12428.18968,35346.33398,58387.00821,9057.18287,174.28312
2002年,13805.33758,800.1607,9960.56208,0.0,121.74188,13205.35841,0.0,109.01483,78296.49425,1263.48397,5777.43296,313.43492,19867.47421,6726.85904,284.10143,18291.98814,591.51767,6939.74769,53171.79748,42508.63213,109485.77,19932.21745,12897.2848,643.68693,5212.68094,659.38372,11971.63006,7210.0243,3400.57178,701.65026,866.95971,2961.44212,13774.62466,40929.48732,68556.27987,8800.40416,160.40853
2003年,47157.77912,1068.64191,13921.64964,0.0,176.83797,18852.04162,0.0,144.89145,99563.89995,1307.8917,7119.22242,228.45797,22551.17085,7817.15276,368.73921,26853.79627,825.78813,11037.71659,52552.28742,43461.45993,143171.53,26669.19438,16753.83025,894.9354,7431.78073,974.09062,19733.77353,12653.34685,4916.29059,1190.04547,901.16307,3065.82729,17698.86285,48347.67252,94823.85395,8767.07001,159.07444
2004年,62888.07,1552.84,19359.68,0.0,137.95,32151.94,0.0,132.73,133803.02,1410.87,9238.44,158.42,24077.58,10412.25,492.19,42038.76,1689.53,19436.71,71150.97,64869.83,198908.87,42564.19,23067.09,1358.87,11058.9,1198.74,33487.25,25092.19,5397.18,1799.14,896.33,2513.0,22609.62,61782.92,137125.95,7517.11,112.98
2005年,75549.23353,1870.79464,22735.95056,0.0,634.61668,41959.2602,0.0,152.98165,169979.54484,1430.08311,10530.51797,160.94247,28218.28838,13901.57711,656.31406,51109.42834,1785.3329,24717.35024,93688.64154,79306.12524,248544.0,55860.83731,27455.02713,1520.62575,13973.8003,1704.84025,45801.43189,33693.1919,7797.4232,2605.97654,1121.08252,2819.56899,27169.4758,76126.77134,172417.22897,8354.24327,150.84434
2006年,94575.41,1888.25,28847.67,0.0,549.04,54846.86,0.0,193.93,214656.33,1568.54,12358.22,156.23,31437.09,16552.01,736.48,65980.08,2091.88,33152.29,116301.72,102715.32,313592.45,71398.87,32956.04,1643.66,17385.62,2349.34,64817.7,47944.13,10900.99,3623.23,1280.55,2962.57,33291.43,92515.14,221077.31,8919.09,193.91
2007年,118919.85337,2500.12867,36496.23219,0.0,1349.06166,71713.65743,0.0,261.09536,274219.09209,1775.46068,16361.04818,192.86622,36451.63787,19594.08022,908.87125,84042.28195,3010.14292,42035.77817,145095.96194,135701.24173,399717.06,91307.73765,41455.683,2036.79378,21282.38036,3069.7955,90277.8072,67068.13617,15082.48163,5057.3939,1538.22163,3433.45319,39976.58718,116235.05728,283481.99976,9884.58571,175.3888
2008年,146074.76715,2170.0358,43062.65643,0.0,1710.20018,89333.32908,0.0,231.9405,353406.44866,1622.50755,17605.84751,143.71662,47556.59157,19289.17927,1041.80441,96502.98053,3180.79712,48089.49118,172737.69277,181207.61092,500020.07,108622.50835,50110.64165,2115.66005,28766.62654,3920.36398,131525.40053,95929.98998,24108.16304,7566.88353,1599.82529,3211.15442,50381.642,141207.09738,358812.97346,8799.12632,182.36376
2009年,155050.41838,2041.14285,45333.73164,0.0,2140.27332,98929.93463,0.0,144.16513,392259.37699,1662.69399,18057.66886,103.06516,47035.38359,23674.34709,703.30527,99132.88029,3509.0241,48248.9817,180700.71847,206771.29556,542522.43,122604.28172,51130.17513,2208.45848,29201.3538,4752.63758,156603.56623,112883.30754,28982.21043,9985.41068,1143.50314,3529.08532,49752.73623,157799.12941,384723.303,9450.54744,192.96758
2010年,200996.90102,2443.41259,56515.28327,0.0,2803.56974,130496.12344,0.0,140.95888,509014.58538,1934.5098,22623.57952,155.87364,58956.90162,29213.29428,688.57542,123836.11177,4789.74017,60087.67574,238016.82095,258730.27453,697744.0,159709.41772,64893.29935,2946.89503,37388.315,6105.83756,207838.22472,150787.62275,37812.10158,13132.66283,1201.16463,3755.8019,64414.19577,197073.87081,500670.12569,10335.30928,215.75669
2011年,195162.67525,2887.2654,63535.0039,128.3372,10189.3033,166860.02498,116.43361,357.44542,625525.9437,1962.55464,26851.28708,336.82875,69029.96688,31911.60871,681.21973,139936.7685,5046.39688,68339.76512,358893.1553,287774.40814,841830.24,198771.63369,76367.52649,3275.73664,44161.51452,6754.19933,247277.8909,181021.53991,43559.28749,15942.86417,1618.47019,3936.21764,83554.20368,233984.30898,607845.92971,11148.25742,242.97629
2012年,218356.88243,2990.53832,63255.38781,412.60057,13759.90335,191041.21657,228.33872,232.16989,707342.72709,1937.17297,28080.8643,170.6124,77520.5678,33113.78752,499.33119,141270.58,5080.26193,69531.79137,384664.50884,326270.11769,929291.51,224155.00409,80678.20187,3361.82389,47070.00199,6878.5101,285621.48469,211677.99525,48318.30847,18746.67087,1130.11849,4073.73851,90111.6539,263864.49783,665427.01113,10970.25626,228.00501
2013年,247068.24,3151.42,70618.65,473.15,3736.85,237748.46,116.37,141.17,795695.29,2167.78,30475.4,50.67,53126.18,47394.67,213.56,154152.77,5367.61,74541.95,418215.09,373376.13,1038659.45,285143.14,88811.39,3770.98,52280.86,3931.64,342002.6,290754.52,23840.87,23475.57,524.37,1660.01,101784.95,301863.69,736795.77,7717.2,118.98
2014年,268281.4,3076.03,73747.54,565.93,3108.12,266025.79,116.6,132.5,854402.45,2273.43,32680.02,32.38,49586.34,48587.77,153.84,157835.19,5090.39,75355.31,436745.72,402005.4,1107032.52,314613.56,94794.89,3601.47,56123.36,3502.05,372175.7,320657.47,22471.96,25544.21,396.2,1593.85,105261.09,326378.03,780654.49,7667.6,77.47
