,准货币供应量,准货币供应量储蓄存款,准货币供应量储蓄存款同比增长率,准货币供应量其他存款,准货币供应量其他存款同比增长率,准货币供应量同比增长率,准货币供应量定期存款,准货币供应量定期存款同比增长率,流通中现金(M0)供应量,流通中现金(M0)供应量同比增长率,货币(M1)供应量,货币(M1)供应量同比增长率,货币供应量中活期存款供应量,货币供应量中活期存款供应量同比增长率,货币和准货币(M2)供应量,货币和准货币(M2)供应量同比增长率
1998年,65544.9,53407.5,15.4,3835.5,21.7,16.7,8301.9,23.2,11204.2,10.0868574124,38953.7,11.851388175,27749.5,12.6,104498.5,14.8394477517
1999年,74060.6,59621.8,11.6,4962.0,29.3,13.0,9476.8,14.2,13455.5,20.0933578479,45837.3,17.6712353384,32381.8,16.7,119897.9,14.736479471
2000年,81463.1,64332.4,7.9,5869.7,18.3,10.0,11261.1,18.8,14652.7,8.89747686819,53147.2,16.0,38494.5,18.9,134610.3,12.2708571209
2001年,98430.3,73762.4,14.66,10487.8,9.07,15.5,14180.1,25.92,15688.8,7.07,59871.59,12.65,44182.8,14.78,158301.9,14.42
2002年,114125.2,86910.7,17.82,10780.7,2.77,16.8,16433.8,21.81,17278.03,10.13,70881.79,16.82,53603.8,19.15,185006.97,16.78
2003年,137104.3,103617.7,19.22,12546.2,16.38,20.13,20940.4,27.42,19745.9,14.283283453,84118.57,18.6744437464,64372.6,20.29,221222.8,19.5753868084
2004年,158137.2,119555.4,15.38,13199.7,5.21,15.34,25382.2,21.21,21468.3,8.72,95969.7,13.58,74501.4,15.06,254107.0,14.67
2005年,191476.91,141050.99,17.98,17325.93,31.26,21.08,33099.99,30.41,24031.7,11.94,107278.8,11.7839276355,83247.09,11.74,298755.7,17.5708264629
2006年,219549.9,161587.3,14.559493698,19246.7,36.2,16.6,38715.9,17.1,27072.62,12.6537864571,126028.1,17.49,98955.4,18.8780412625,345577.9,16.9
2007年,250882.1,172534.19,6.77459800368,31415.43,63.2046693092,14.3,46932.51,21.200291299,30375.23,12.1990778875,152560.08,21.1,122184.9,23.4658458036,403442.21,16.7355379613
2008年,308949.47,217885.35,26.29,30961.06,-1.45,23.15,60103.06,28.06,34218.96,12.65,166217.13,9.06,131998.17,8.17,475166.6,17.82
2009年,388778.7,260752.7,19.68,43206.5,39.6,26.0,84819.5,42.0,38247.0,11.77,221445.8,33.2,183198.8,38.8,610224.5,28.5
2010年,459230.3,303302.5,16.31,50069.1,15.99,18.9,105858.65,28.65,44628.2,16.6873,266621.5,21.1908,221993.4,22.14,725851.8,19.7331
2011年,561743.22,352797.5,16.17,42329.7,17.68,16.83,166616.04,18.05,50748.46,13.76,289847.7,7.85,239099.2,6.67,851590.9,13.61
2012年,665484.6,411362.6,16.6,58181.9,25.14,17.6,195940.1,17.6,54659.81,7.71,308664.2,6.49,254004.5,6.24,974148.8,13.84
2013年,769233.929427,467031.116114,13.53,69506.2304127,19.45,15.59,232696.5829,18.77,58574.4440209,7.2,337291.05,9.26,278716.606477,9.72,1106524.98,13.59
2014年,880318.4,508878.12,8.96,107384.57,54.5,14.44,264055.71,13.48,60259.53,2.88,348056.41,3.19,287796.88,3.26,1228374.81,12.16
