,专用设备制造业中型工业企业研究与试验发展人员全时当量,交通运输设备制造业中型工业企业研究与试验发展人员全时当量,仪器仪表及文化、办公用机械制造业中型工业企业研究与试验发展人员全时当量,农副食品加工业中型工业企业研究与试验发展人员全时当量,化学原料及化学制品制造业中型工业企业研究与试验发展人员全时当量,化学纤维制造业中型工业企业研究与试验发展人员全时当量,医药制造业中型工业企业研究与试验发展人员全时当量,印刷业和记录媒介的复制中型工业企业研究与试验发展人员全时当量,塑料制品业中型工业企业研究与试验发展人员全时当量,大中型工业企业研究与试验发展人员全时当量,家具制造业中型工业企业研究与试验发展人员全时当量,工艺品及其他制造业中型工业企业研究与试验发展人员全时当量,文教体育用品制造业中型工业企业研究与试验发展人员全时当量,有色金属冶炼及压延加工业中型工业企业研究与试验发展人员全时当量,有色金属矿采选业中型工业企业研究与试验发展人员全时当量,木材加工及木、竹、藤、棕、草制品业中型工业企业研究与试验发展人员全时当量,橡胶制品业中型工业企业研究与试验发展人员全时当量,水的生产和供应业中型工业企业研究与试验发展人员全时当量,烟草制品业中型工业企业研究与试验发展人员全时当量,煤炭开采和洗选业中型工业企业研究与试验发展人员全时当量,燃气生产和供应业中型工业企业研究与试验发展人员全时当量,电力、热力的生产和供应业中型工业企业研究与试验发展人员全时当量,电气机械及器材制造业中型工业企业研究与试验发展人员全时当量,皮革、毛皮、羽毛(绒)及其制品业中型工业企业研究与试验发展人员全时当量,石油加工、炼焦及核燃料加工业中型工业企业研究与试验发展人员全时当量,石油和天然气开采业中型工业企业研究与试验发展人员全时当量,纺织业中型工业企业研究与试验发展人员全时当量,纺织服装、鞋、帽制造业中型工业企业研究与试验发展人员全时当量,通信设备、计算机及其他电子设备制造业中型工业企业研究与试验发展人员全时当量,通用设备制造业中型工业企业研究与试验发展人员全时当量,造纸及纸制品业中型工业企业研究与试验发展人员全时当量,金属制品业中型工业企业研究与试验发展人员全时当量,非金属矿物制品业中型工业企业研究与试验发展人员全时当量,非金属矿采选业中型工业企业研究与试验发展人员全时当量,食品制造业中型工业企业研究与试验发展人员全时当量,饮料制造业中型工业企业研究与试验发展人员全时当量,黑色金属冶炼及压延加工业中型工业企业研究与试验发展人员全时当量,黑色金属矿采选业中型工业企业研究与试验发展人员全时当量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438164.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606376.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,42822.44,92906.81,13237.96,5728.84,43549.96,5953.86,25391.04,1603.93,5206.88,695668.23,872.26,4618.3,2206.16,19237.49,980.07,1303.56,5767.73,741.37,2687.73,38248.65,204.92,10617.99,64143.8,2010.76,7456.54,21140.25,19724.17,4141.62,122066.18,49864.72,5236.54,9883.05,14662.63,1155.37,5712.25,6061.36,37932.76,588.28
2007年,51296.0,112912.0,17859.0,8212.0,54725.0,7276.0,30778.0,2309.0,10350.0,857649.74,1187.0,4696.0,3234.0,22891.0,1842.0,2531.0,7089.0,765.0,3265.0,36051.0,204.0,12760.0,70910.0,3513.0,8130.0,26335.0,20408.0,4996.0,170923.0,59700.0,5626.0,12515.0,15369.0,1591.0,6260.0,9535.0,49075.0,528.0
2008年,62240.24,121060.16,22473.98,8771.8,62953.18,8175.62,40191.65,3020.56,15397.91,1014223.11,1617.87,4898.67,3360.19,27228.06,2348.41,1940.23,10036.91,392.38,3572.68,45954.71,413.11,12369.8,88195.91,3031.85,9906.95,26085.73,26851.48,5259.29,201455.71,72752.62,7434.65,18344.68,22432.29,1709.79,7103.67,14249.94,48874.14,2107.61
2009年,75524.2,143758.2,26350.9,11162.5,72701.4,9098.2,51108.3,3799.5,12562.3,1158839.0,2143.0,7833.2,4881.2,28323.5,2068.8,1324.6,10002.6,826.2,4022.6,46104.7,98.0,13622.5,108093.9,4181.2,9469.4,23088.2,30893.7,7330.3,216503.8,84218.9,9612.3,22700.2,28291.5,1841.7,9508.8,14065.3,60363.0,1299.5
2010年,86737.523,176921.063,32578.491,13362.285,77221.115,11248.437,55233.682,5216.404,21681.498,1369908.313,2252.336,7399.366,3822.646,30745.396,2229.715,1454.135,14403.373,667.127,4028.644,44636.468,277.271,16707.481,137964.989,4907.993,11560.237,26472.64,33367.301,7421.71,278582.812,98089.732,9283.147,26406.122,30460.02,1949.18,11010.176,13802.692,68281.993,1412.83
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587164.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976735.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037661.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
