,中外合作经营大中型工业企业研究与试验发展经费支出,中外合资经营大中型工业企业研究与试验发展经费支出,其他大中型工业企业研究与试验发展经费支出,内资大中型工业企业研究与试验发展经费支出,合作经营大中型工业企业研究与试验发展经费支出,合资经营大中型工业企业研究与试验发展经费支出,国有及国有控股大中型工业企业研究与试验发展经费支出,国有大中型工业企业研究与试验发展经费支出,国有独资公司大中型工业企业研究与试验发展经费支出,国有联营大中型工业企业研究与试验发展经费支出,外商投资大中型工业企业研究与试验发展经费支出,外商投资股份有限公司大中型工业企业研究与试验发展经费支出,外资大中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出,投资股份有限公司大中型工业企业研究与试验发展经费支出,有限责任公司大中型工业企业研究与试验发展经费支出,港、澳、台商投资大中型工业企业研究与试验发展经费支出,独资经营大中型工业企业研究与试验发展经费支出,私营大中型工业企业研究与试验发展经费支出,联营大中型工业企业研究与试验发展经费支出,股份合作大中型工业企业研究与试验发展经费支出,股份有限公司大中型工业企业研究与试验发展经费支出,集体大中型工业企业研究与试验发展经费支出
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4423496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5601718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7207749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9544905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12502918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,23088.0,1498878.0,9090.0,11857649.0,36221.0,560266.0,7890315.0,1649808.0,1945024.0,130032.0,2987327.0,368866.0,1096495.0,16301909.0,159719.0,5648069.0,1456934.0,700728.0,1052648.0,137099.0,62517.0,2916028.0,382390.0
2007年,51671.5,2363226.2,178758.3,14972444.0,38313.9,766590.1,10055350.5,1820904.9,2501970.7,110253.7,4318702.7,436120.9,1467684.1,21124560.5,219505.9,7095938.4,1833413.8,809003.9,1476612.0,118523.7,113940.1,3777022.9,390743.7
2008年,25508.2,2966217.6,80074.8,19520725.4,14816.5,987192.6,12526410.1,2691952.4,2363456.2,107210.5,5056433.4,415328.4,1649379.2,26813109.5,211749.5,8734621.6,2235950.7,1022192.1,2339684.7,109446.8,107764.9,5070522.6,386657.6
2009年,57508.9,2909318.0,98445.7,23436581.5,37646.3,1433201.8,14324038.4,3217947.8,3111621.7,66430.5,5542359.6,543951.8,2031580.9,32102300.0,228222.1,10787751.6,3123358.4,1424288.2,3215234.3,73115.9,96938.2,5510393.6,436754.4
2010年,81526.2,3582737.8,64714.2,29671163.2,44994.0,1479474.8,18057731.0,3922823.3,3696350.5,73863.0,6907815.4,590691.6,2652859.8,40153965.2,454662.1,13533642.1,3574986.6,1595855.7,4124653.9,82453.3,209567.5,7269784.9,463524.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50306960.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59923237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67440645.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73196923.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
