,贷方经常项目,贷方经常项目中专有权利使用费和特许费,贷方经常项目中保险服务,贷方经常项目中其它商业服务,贷方经常项目中其它部门经常转移,贷方经常项目中别处未提及的政府服务,贷方经常项目中各级政府经常转移,贷方经常项目中咨询服务,贷方经常项目中广告、宣传服务,贷方经常项目中建筑服务,贷方经常项目中投资收益,贷方经常项目中收益,贷方经常项目中旅游服务,贷方经常项目中服务,贷方经常项目中电影、音像服务,贷方经常项目中经常转移,贷方经常项目中职工报酬收益,贷方经常项目中计算机和信息服务,贷方经常项目中货物,贷方经常项目中货物和服务,贷方经常项目中运输服务,贷方经常项目中通讯服务,贷方经常项目中金融服务
1992年,8561800.0,0.0,48600.0,260400.0,82100.0,14100.0,38500.0,0.0,0.0,6000.0,559500.0,559500.0,394700.0,924900.0,0.0,120600.0,0.0,0.0,6956800.0,7881700.0,166200.0,34900.0,0.0
1993年,9223700.0,0.0,45200.0,340900.0,90100.0,20000.0,38900.0,0.0,0.0,4700.0,439000.0,439000.0,468300.0,1089800.0,0.0,129000.0,0.0,0.0,7565900.0,8655700.0,163600.0,47100.0,0.0
1994年,12643500.0,0.0,170000.0,342900.0,109500.0,26600.0,67500.0,0.0,0.0,11700.0,573800.0,573800.0,732300.0,1636600.0,0.0,177000.0,0.0,0.0,10256100.0,11892700.0,282500.0,70600.0,0.0
1995年,15425700.0,0.0,185200.0,297700.0,117000.0,70000.0,65600.0,0.0,0.0,76300.0,519100.0,519100.0,873000.0,1913000.0,0.0,182600.0,0.0,0.0,12811000.0,14724000.0,335200.0,75600.0,0.0
1996年,18136300.0,0.0,12300.0,642200.0,198900.0,3400.0,37900.0,0.0,0.0,43700.0,731800.0,731800.0,1020000.0,2060000.0,0.0,236800.0,0.0,0.0,15107700.0,17167700.0,306900.0,31500.0,0.0
1997年,21842687.0,5485.0,17431.0,767887.0,499373.0,6509.0,48297.0,34641.0,23820.0,59013.0,554442.0,571083.0,1207414.0,2456936.0,1004.0,547670.0,16641.0,8359.0,18266998.0,20723934.0,295474.0,27166.0,2733.0
1998年,21767026.641,6268.6,38441.3,621228.0,447766.5,1661.3,18298.3,68588.0,21095.5,59412.1,548761.3,558414.0,1260174.0,2389633.241,1536.3,466064.8,9652.7,13350.0,18352914.6,20742547.841,230082.241,81891.0,2696.2
1999年,23466122.3341,7454.2,20392.2,690932.5341,516674.0,8323.7,120212.0,28036.7,22055.8,98522.8,818437.3,833002.6,1409845.0,2624813.3341,665.5,536725.1,14565.3,26533.6,19471581.3,22096394.6341,242011.9,58964.7,11074.7
2000年,29897281.3793,9008.5,10780.2,708386.502,671341.7,28453.5,14741.8,35571.6,25523.1,60231.3,1234898.31695,1255085.41694,1623100.0,3043048.6624,1130.2,686083.5,20187.1,35594.7,24913063.8,27956112.4624,367096.7,134545.2,7780.3604
2001年,31792446.4533,11009.6082467,22732.7385294,728175.148128,898666.693685,43259.5789588,13804.4,88927.2984744,27728.8112044,83019.3922397,909209.02157,938958.027055,1779200.0,3333513.47537,2789.54861947,912471.093685,29749.0054855,46145.8251331,26607503.8572,29941017.3326,463505.86983,27112.0720266,9907.58398414
2002年,38753497.0628,13282.2320487,20894.4337174,876108.329438,1370888.13001,36325.7841576,8649.2,128493.730458,37284.6210062,124644.834084,767051.743906,834426.94328,2038500.0,3974450.51928,2967.41375055,1379537.33001,67375.1993743,63816.7390664,32565082.2703,36539532.7895,572020.768083,55010.7053205,5100.92815332
2003年,51960646.4116,10697.8898265,33886.1912173,1505582.77265,1836870.28072,35877.8740409,11377.4,188494.538191,48626.0940406,128965.477247,1481209.83151,1609469.27481,1740600.0,4675969.99948,3344.3167718,1848247.68072,128259.4433,110217.576916,43826959.4566,48502929.4561,790640.820435,63840.9928004,15195.4553499
2004年,70318922.0117,23635.9258211,38078.2500241,1831900.67008,2422879.88767,37849.8312531,9753.6,315251.485067,84862.7896196,146748.856121,1854310.31344,2055746.19607,2573900.0,6491291.17816,4099.25911523,2432633.48767,201435.88263,163714.786771,59339251.1498,65830542.328,1206749.28966,55105.5270007,9394.50762295
2005年,90389552.0224,15740.1785777,54941.7543577,1688478.04839,2768591.75213,49466.1148215,4893.7994,532213.180035,107572.858415,259294.851544,3593577.17278,3927283.35571,2929600.0,7440409.84791,13385.8826736,2773485.55153,333706.18293,184018.427466,76248373.2673,83688783.1152,1542652.3204,48523.0915544,14523.1396838
2006年,114782913.747,20450.3785235,55495.3242917,1969333.37138,3145332.29829,57868.4864671,12430.73221,783414.217088,144503.212262,275263.908195,5024369.31203,5456318.57291,3394900.0,9200601.42404,13743.3193433,3157763.0305,431949.260879,295771.079849,96968230.7192,106168832.143,2101528.51614,73787.0919858,14542.5185119
2007年,146838869.575,34263.4074969,90369.5844191,2691485.22339,4200311.56415,55233.8935988,64261.180456,1158055.19711,191226.517061,537709.703826,7664304.18007,8347617.15029,3723300.0,12220633.2769,31628.4695988,4264572.7446,683312.970214,434475.230327,122006046.404,134226679.68,3132382.26895,117455.135847,23048.6452245
2008年,174616079.863,57053.6223223,138271.600384,2600369.70053,5113080.49919,66618.6745918,143439.584987,1814086.59393,220232.385284,1032850.57426,10265069.9515,11178724.6415,4084300.0,14710978.7596,41794.3230025,5256520.08417,913654.689983,625206.223056,143469856.378,158180835.137,3841755.59313,156966.346307,31473.1227584
2009年,148416965.856,42945.252,160301.5295,2468827.68353,4173969.74912,94951.6351,90550.05092,1862250.0332,231255.1508,946279.1887,9904138.6473,10825087.6294,3967500.0,12947571.4968,9726.3302,4264519.80004,920948.9821,651170.9446,120379786.93,133327358.426,2356894.26986,119826.3118,35643.1675
2010年,193552775.687,83048.3814,172690.5784,2654855.74681,4833352.36441,95462.967,118720.401736,2276960.0894,288524.5976,1449468.6429,12878843.3618,14242447.456,4581400.0,16216507.2688,12291.4773,4952072.76615,1363604.0942,925634.4959,158141748.196,174358255.465,3421051.14567,122006.8028,133112.34358
2011年,228966729.404,74330.1698,301772.0866,3544704.30065,5555429.10335,75277.0074,1582.4,2839141.8729,401793.8052,1472434.4474,12769921.6954,14426758.8407,4846400.0,18600900.5854,12277.6176,5557011.50335,1656837.1453,1218205.8938,190382058.474,208982959.06,3556989.85376,172637.4653,84936.065013
2012年,245992560.126,104410.2041,332923.0463,2842453.49575,5030372.75285,99004.341,86340.300184,3344709.9618,475090.1986,1224591.8921,14337586.7486,16044149.0773,5002800.0,19143041.8304,12557.892,5116713.05304,1706562.3287,1445350.7907,205688656.165,224831697.996,3891216.45115,179336.132,188597.424881
2013年,266212900.0,88667.0295,399616.6614,3406228.23942,5203741.34491,122763.2156,112422.822143,4053562.7763,490609.93,1066303.5032,16618300.0,18397300.0,5166400.0,20601785.3093,14715.9448,5316164.16706,1779010.5219,1543251.5183,221897667.812,242499453.121,3764565.88633,166592.4717,318508.1328
2014年,279917714.468,67638.192365,457414.646242,136366.224081,3948432.36979,105429.070026,164237.50908,4292292.08478,496352.056172,1535496.50368,18305072.1004,21296122.1597,5691300.0,19094433.2803,17483.671917,4112669.87887,2991050.0593,1836053.85551,235414489.149,254508922.429,3824277.80064,181237.62204,453091.552879
