,贷方资本和金融项目,贷方资本项目,贷方金融项目,贷方金融项目中其它投资,贷方金融项目中其它投资的中长期其它资产,贷方金融项目中其它投资的其它负债,贷方金融项目中其它投资的其它资产,贷方金融项目中其它投资的短期其它负债,贷方金融项目中其它投资的短期其它资产,贷方金融项目中其它投资的短期贷款资产,贷方金融项目中其它投资的短期贸易信贷资产,贷方金融项目中其它投资的负债,贷方金融项目中其它投资的货币和存款资产,贷方金融项目中其它投资的贷款资产,贷方金融项目中其它投资的贸易信贷负债,贷方金融项目中其它投资的贸易信贷资产,贷方金融项目中其它投资的长期其它负债,贷方金融项目中其它投资的长期贸易信贷资产,贷方金融项目中其它投资的长期资产贷款,贷方金融项目中其它投资短期贷款负债,贷方金融项目中其它投资短期贸易信贷负债,贷方金融项目中其它投资货币和存款负债,贷方金融项目中其它投资贷款负债,贷方金融项目中其它投资资产,贷方金融项目中其它投资长期贷款负债,贷方金融项目中其它投资长期贸易信贷负债,贷方金融项目中外国在华直接投资,贷方金融项目中我国在外直接投资,贷方金融项目中直接投资,贷方金融项目中证券投资,贷方金融项目中证券投资的(中)长期债券证券负债,贷方金融项目中证券投资的(中)长期债务证券资产,贷方金融项目中证券投资的债务证券负债,贷方金融项目中证券投资的债务证券资产,贷方金融项目中证券投资的股本证券负债,贷方金融项目中证券投资的股本证券资产,贷方金融项目中证券投资的货币市场工具债券证券负债,贷方金融项目中证券投资的货币市场工具债务证券资产,贷方金融项目中证券投资负债,贷方金融项目中证券投资资产
1991年,2032300.0,0.0,2032300.0,1539200.0,0.0,100900.0,500.0,0.0,500.0,0.0,586200.0,895600.0,0.0,6300.0,130900.0,636800.0,100900.0,50600.0,6300.0,55800.0,104000.0,0.0,663800.0,643600.0,608000.0,26900.0,436600.0,0.0,436600.0,56500.0,56500.0,0.0,56500.0,0.0,0.0,0.0,0.0,0.0,56500.0,0.0
1992年,3022300.0,0.0,3022300.0,1820200.0,0.0,107300.0,0.0,0.0,0.0,0.0,0.0,1204200.0,0.0,700.0,187700.0,615300.0,107300.0,615300.0,700.0,258100.0,0.0,0.0,909200.0,616000.0,651100.0,187700.0,1115600.0,0.0,1115600.0,86500.0,86500.0,0.0,86500.0,0.0,0.0,0.0,0.0,0.0,86500.0,0.0
1993年,5082800.0,0.0,5082800.0,1827100.0,0.0,216000.0,0.0,0.0,0.0,0.0,0.0,1270900.0,0.0,3500.0,358600.0,552700.0,216000.0,552700.0,3500.0,47500.0,0.0,0.0,696300.0,556200.0,648800.0,358600.0,2751500.0,0.0,2751500.0,504200.0,504200.0,0.0,504200.0,0.0,0.0,0.0,0.0,0.0,504200.0,0.0
1994年,6179300.0,0.0,6179300.0,2351300.0,0.0,158800.0,0.0,0.0,0.0,0.0,0.0,1816000.0,0.0,9700.0,557300.0,525600.0,158800.0,525600.0,9700.0,100400.0,0.0,0.0,1099900.0,535300.0,999500.0,557300.0,3378700.0,0.0,3378700.0,449300.0,449300.0,0.0,449300.0,0.0,0.0,0.0,0.0,0.0,449300.0,0.0
1995年,6771200.0,0.0,6771200.0,2817300.0,0.0,145700.0,49000.0,0.0,49000.0,0.0,0.0,2154100.0,0.0,9400.0,633700.0,604800.0,145700.0,604800.0,9400.0,115400.0,0.0,0.0,1374700.0,663200.0,1259300.0,633700.0,3773600.0,0.0,3773600.0,180300.0,172400.0,0.0,172400.0,7900.0,0.0,0.0,0.0,7900.0,172400.0,7900.0
1996年,7097700.0,0.0,7097700.0,2527300.0,0.0,201500.0,0.0,0.0,0.0,0.0,0.0,2060200.0,0.0,1600.0,786700.0,465500.0,201500.0,465500.0,1600.0,125600.0,0.0,0.0,1072000.0,467100.0,946400.0,786700.0,4235000.0,0.0,4235000.0,335400.0,335400.0,0.0,335400.0,0.0,0.0,0.0,0.0,0.0,335400.0,0.0
1997年,9263716.0,0.0,9263716.0,3796771.0,0.0,1411217.0,45106.0,845459.0,45106.0,7408.0,0.0,3738103.0,6154.0,7408.0,0.0,0.0,565758.0,0.0,0.0,1259043.0,0.0,0.0,2326886.0,58668.0,1067843.0,0.0,4527797.0,16112.0,4543909.0,923036.0,345660.0,3650.0,353686.0,3650.0,565700.0,0.0,8026.0,0.0,919386.0,3650.0
1998年,8932679.0,0.0,8932679.0,4178254.9,0.0,852544.6,631099.5,178195.7,631099.5,105093.9,379923.6,3415178.8,543523.1,99193.9,1209567.2,379923.6,676908.0,0.0,0.0,1060820.2,1209567.2,93588.4,2545045.8,1120449.7,1484225.6,0.0,4546275.0,40660.5,4564499.4,189924.7,109027.2,3504.7,109920.0,3504.7,76500.0,0.0,1870.0,0.0,186420.0,3504.7
1999年,9175393.83,0.0,9175393.83,4893091.13,0.0,637041.98,63941.0,230528.11,69745.3,208884.6,0.0,3467430.33,1872554.9,215384.6,1326668.5,0.0,406513.87,0.0,10800.0,250318.43,1326668.5,101619.0,1502194.85,1775112.3,1251876.42,0.0,4041200.0,60276.3,4101476.3,180826.4,106740.0,110730.1,106740.0,110730.1,61200.0,0.0,0.0,0.0,167940.0,110730.1
2000年,9198639.19595,791.7,9198639.19595,4207633.37595,0.0,699128.58,398988.2,158125.71,438928.38,9107.5,1004220.40561,3743281.57595,784073.7,9107.5,2242823.22,1004220.40561,541002.87,0.0,16100.0,345809.3,2242823.22,878.5,1220036.9,1059061.70436,874227.6,0.0,4077200.0,132357.5,4209557.5,781448.32,84756.82,37072.0,84756.82,37072.0,691200.0,0.0,0.0,0.0,775956.82,37072.0
2001年,9953113.50932,1449.7,9953113.50932,6947715.67839,0.0,623130.27,1692741.94759,357902.11,1692741.94759,1573629.02266,2158050.08786,3160361.7,78990.1040108,1573629.02266,1868300.8,2158050.08786,379760.86,0.0,3300.0,317712.7,1868033.3,56752.87,1030454.1,5034055.84052,758276.66,1505.1,4684600.0,20642.0806921,4705242.08069,912983.4,150138.0,1016243.47074,150138.0,76608.2264951,835038.0,3158.6,0.0,0.0,836611.0,79766.8264951
2002年,12832130.6408,0.0,12832130.6408,7296107.17852,236594.997296,866460.06,1146249.64155,297253.09,1097009.37651,516007.709396,354334.042,5918768.85238,267963.361422,510607.709396,504467.065431,354334.042,612970.09,0.0,3200.0,3370738.14,504467.065431,410250.22,5207723.65,1504176.31609,1836985.51,0.0,5274300.0,33061.8897404,5307361.88974,228661.572513,22107.38,3227.39398715,22972.05,1473.40251344,224900.0,0.0,2294.67,208068.0,247817.55,1473.40251344
2003年,24319120.2366,0.0,24319120.2366,16798422.3635,0.0,744153.07,3434089.92543,351140.06,3434089.92543,2179192.12313,243790.876776,10506862.3609,434487.077259,2179192.12313,569116.060934,243790.876776,393013.01,0.0,0.0,6346860.84,569116.060934,879914.75,8313678.48,6291560.0026,1966817.64,0.0,5588512.83694,201580.909799,5790093.74674,1730604.12636,153056.93,798952.106357,157752.02,798952.106357,773900.0,0.0,4695.09,0.0,931652.02,798952.106357
2004年,39842347.9487,0.0,39842347.9487,29556936.1762,0.0,756830.04,4103801.33888,511567.89,4103801.33888,728461.48129,0.0,22561634.22,2163039.13606,728461.48129,2002500.0,0.0,245262.15,0.0,0.0,15348857.22,1716300.0,1453893.59,18348410.59,6995301.95623,2999553.37,286200.0,6780155.97458,31571.2435401,6811727.21812,3473684.55439,276431.86,2103673.51439,277191.04,2103673.51439,1092820.0,0.0,759.18,0.0,1370011.04,2103673.51439
2005年,48507982.0015,415514.7,48092467.3015,34366001.0339,0.0,729867.230726,1385171.29422,601282.58,1385171.29422,710427.297872,0.0,31320836.2921,949566.149723,710427.297872,2541152.37619,0.0,128584.650726,0.0,0.0,21321930.0123,2424259.36689,4790067.07559,23259749.6096,3045164.74181,1937819.59729,116893.009305,11064536.8301,56485.7448508,11121022.5749,2605443.6927,126332.381412,314165.311285,157698.381412,390845.311285,2056900.0,0.0,31366.0,76680.0,2214598.38141,390845.311285
2006年,73459530.0675,410247.7,73049282.3675,54750270.2418,0.0,1523173.06278,1232084.66136,1093464.31,1232084.66136,2268411.29434,153264.0,50249327.1868,835647.099289,2268411.29434,1322704.69252,164800.0,429708.752784,11536.0,0.0,42425071.9634,1239300.27667,3607599.80484,43795849.6267,4500943.05499,1370777.66326,83404.4158561,13255477.7518,71777.0954119,13327254.8472,4971757.27847,0.0,273137.278466,0.0,663237.278466,4286120.0,22400.0,0.0,390100.0,4286120.0,685637.278466
2007年,99364162.2494,331469.886364,99032692.363,74386267.1299,0.0,608162.479238,1358984.55116,488866.365,1358984.55116,1473432.96171,43338.9941796,68832712.4633,2674536.08474,1473432.96171,2910000.0,46601.0690103,119296.114238,3262.07483072,0.0,52807734.24,2706300.0,10418511.954,54896038.03,5553554.66663,2088303.79,203700.0,16745986.0302,192998.245571,16938984.2758,7707440.95731,281639.67,4938469.24081,281639.67,5402669.24081,1847812.0465,175320.0,0.0,464200.0,2129451.7165,5577989.24081
2008年,98452651.5032,331988.636364,98120662.8668,70719804.1512,0.0,171458.736633,4420598.76192,113384.46,4420598.76192,1853930.48523,2146052.1562,53504509.1766,7452582.7638,3034530.48523,2067839.72703,2307582.96366,58074.2766333,161530.807456,1180600.0,42350858.9,1923090.94614,6854419.19292,44410791.52,17215294.9746,2059932.62,144748.780892,18462176.5058,217578.54865,18679755.0544,8721103.66121,131463.0,7006075.46191,131591.84,7063406.77211,873689.049097,652416.0,128.84,57331.310203,1005280.8891,7715822.77211
2009年,86340899.4232,420430.555756,85920468.8674,58198253.5097,0.0,1299644.1179,5658697.74077,157718.44,5658697.74077,4535532.03105,0.0,42184631.7856,5819391.95228,4535532.03105,3783089.22911,0.0,1141925.6779,0.0,0.0,31103884.87,3518272.98307,4648476.49856,32453421.94,16013621.7241,1349537.07,264816.246038,16290002.0906,417078.7793,16707080.8699,11015134.4878,219581.0,5286028.3921,219648.29,6354837.20791,2980567.92763,1460081.06229,67.29,1068808.81581,3200216.21763,7814918.2702
2010年,116665184.154,481538.699768,116183645.454,82526533.3324,0.0,222426.918465,2448022.94886,215339.7451,2448022.94886,1970054.81428,43179.939022,75029946.3117,3032079.21557,1970054.81428,5826955.14438,46430.0419591,7087.17336477,3250.10293714,0.0,55961834.01,5419068.28428,10382092.5588,58598471.69,7496587.02066,2636637.68,407886.860107,26537974.0889,760682.1384,27298656.2273,6358455.89454,223218.0,1280995.4575,223233.0,1535483.86011,3452780.38767,1146958.64676,15.0,254488.402606,3676013.38767,2682442.50687
2011年,144947429.809,562053.396959,144385376.412,106031506.063,0.0,855456.406595,5258836.27247,612080.1322,5258836.27247,530390.8105,0.0,96023596.0121,4141956.4657,607117.312619,4542691.0,0.0,243376.274395,0.0,76726.5021192,68046233.2864,4465175.635,17194554.4091,73430894.1964,10007910.0508,5384660.91,77515.365,31418426.5881,1740744.4861,33159171.0742,5194699.27461,614962.926942,1374149.70385,1125757.41864,1426494.86158,1519553.50147,1122893.49293,510794.491695,52345.157728,2645310.9201,2549388.35451
2012年,137832172.033,454978.578235,137377193.455,98294379.0471,0.0,1055314.20464,1271471.09438,581382.27,1271471.09438,2434136.4834,40180.0,84277578.0561,10265852.0392,2438477.85748,5030000.0,41000.0,473931.93464,820.0,4341.37408436,59372020.2242,4941975.0,13394119.5273,64798144.3242,14016800.991,5426124.1,88025.0,28453272.09,2335394.2347,30788666.3247,8294148.08277,1745503.38783,1096683.33258,2442611.76455,1168483.96375,3484652.02199,1198400.33248,697108.37672,71800.631165,5927263.78654,2366884.29623
2013年,175275300.0,445220.788948,174830100.0,126192200.0,1000000.0,1180135.4176,1098825.95299,967048.718179,98825.952993,2739213.7793,635040.0,112676228.709,8902860.02638,3739213.7793,4493653.7,648000.0,213086.699418,12960.0,1000000.0,89233832.6646,4415014.76025,12075960.9034,94926478.6884,14388899.7587,5692646.02383,78638.93975,31144709.5601,3640164.47959,38056100.0,10581700.0,2038747.83604,1219623.82605,3770298.18105,1219713.90605,4068432.82187,1356293.31289,1731550.345,90.08,7838731.00291,2576007.21894
2014年,257298723.937,193949.788672,257104774.149,196937136.429,0.0,870751.768276,215467.467755,233249.688119,215467.467755,1770437.29952,2764215.6654,186988419.199,5142184.23266,1770437.29952,1535822.8957,2820628.23,637502.080157,56412.5646,0.0,169527020.112,1508945.99503,9940539.63354,174641304.901,9948717.22994,5114284.78945,26876.9006747,37970093.3901,5552935.07611,43523028.4662,16644609.2537,4971290.42125,1227886.39095,5944640.58413,1229103.84597,7767338.61455,1703526.20906,973350.162878,1217.455018,13711979.1987,2932630.05502
