,城镇居民人均可支配收入,城镇居民人均工资性收入,城镇居民人均总收入,城镇居民人均经营净收入,城镇居民人均财产性收入,城镇居民人均转移性收入,城镇居民家庭人均交通和通信消费支出,城镇居民家庭人均其他消费支出,城镇居民家庭人均医疗保健消费支出,城镇居民家庭人均家庭设备及用品消费支出,城镇居民家庭人均居住消费支出,城镇居民家庭人均文教娱乐服务消费支出,城镇居民家庭人均现金消费支出,城镇居民家庭人均衣着消费支出,城镇居民家庭人均食品消费支出,城镇居民家庭平均每一就业者负担人数,城镇居民家庭平均每户家庭人口,城镇居民家庭平均每户就业人口,城镇居民家庭调查户数
1991年,1700.6,0.0,1713.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.81,0.0,782.5,1.75,3.43,1.96,36730.0
1992年,2026.6,0.0,2031.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1671.73,0.0,884.82,1.73,3.37,1.95,36290.0
1993年,2577.4,0.0,2583.16,0.0,0.0,0.0,80.63,95.5,56.89,184.96,140.01,194.01,2110.81,300.61,1058.2,1.72,3.31,1.92,35390.0
1994年,3496.2,0.0,3502.31,0.0,0.0,0.0,132.68,127.56,82.89,251.42,193.16,250.75,2851.34,390.38,1422.49,1.74,3.28,1.88,34940.0
1995年,4283.0,0.0,4288.09,0.0,0.0,0.0,183.22,114.92,110.11,263.36,283.76,331.01,3537.57,479.2,1771.99,1.73,3.23,1.87,35520.0
1996年,4838.9,0.0,4844.78,0.0,0.0,0.0,199.12,170.45,143.28,298.15,300.85,374.95,3919.47,527.95,1904.71,1.72,3.2,1.86,36370.0
1997年,5160.3,0.0,5188.54,0.0,0.0,0.0,232.9,185.65,179.68,316.89,358.64,448.38,4185.64,520.91,1942.59,1.74,3.19,1.83,37890.0
1998年,5425.1,0.0,5458.34,0.0,0.0,0.0,257.15,196.95,205.16,356.83,408.39,499.39,4331.61,480.86,1926.9,1.75,3.16,1.8,39080.0
1999年,5854.02,0.0,5888.77,0.0,0.0,0.0,310.55,228.79,245.59,395.48,453.99,567.05,4615.91,482.37,1932.1,0.0,3.14,1.77,40044.0
2000年,6280.0,4480.5,6295.91,246.24,128.38,1440.78,426.95,171.83,318.07,374.49,565.29,669.58,4998.0,500.46,1971.32,1.86,3.13,1.68,42220.0
2001年,6859.6,4829.86,6907.08,274.05,134.62,1668.55,457.02,284.13,343.28,438.92,547.96,690.0,5309.01,533.66,2014.02,1.88,3.1,1.65,43840.0
2002年,7702.8,5739.96,8177.4,332.16,102.12,2003.16,626.04,195.84,430.08,388.68,624.36,902.28,6029.88,590.88,2271.84,1.92,3.04,1.58,45317.0
2003年,8472.2,6410.22,9061.22,403.82,134.98,2112.2,721.12,215.1,475.98,410.34,699.38,934.38,6510.94,637.72,2416.92,1.91,3.01,1.58,48028.0
2004年,9421.6,7152.76,10128.51,493.87,161.15,2320.73,843.62,240.24,528.15,407.37,733.53,1032.8,7182.1,686.79,2709.6,1.91,2.98,1.56,50430.0
2005年,10493.0,7797.54,11320.77,679.62,192.91,2650.7,996.72,277.75,600.85,446.52,808.66,1097.46,7942.88,800.51,2914.39,1.96,2.96,1.51,54496.0
2006年,11759.45,8766.96,12719.19,809.56,244.01,2898.66,1147.12,309.49,620.54,498.48,904.19,1203.03,8696.55,901.78,3111.92,1.93,2.95,1.53,56094.0
2007年,13785.79,10234.76,14908.61,940.72,348.53,3384.6,1357.41,357.7,699.09,601.8,982.28,1329.16,9997.47,1042.0,3628.03,1.89,2.91,1.54,59305.0
2008年,15780.76,11298.96,17067.78,1453.57,387.02,3928.23,1417.12,418.31,786.2,691.83,1145.41,1358.26,11242.85,1165.91,4259.81,1.96621621622,2.91,1.48,64675.0
2009年,17174.65,12382.11,18858.09,1528.68,431.84,4515.45,1682.57,474.21,856.41,786.94,1228.91,1472.76,12264.55,1284.2,4478.54,1.94,2.89,1.49,65506.0
2010年,19109.44,13707.68,21033.42,1713.51,520.33,5091.9,1983.7,499.15,871.77,908.01,1332.14,1627.64,13471.45,1444.34,4804.71,1.93288590604,2.88,1.49,65607.42
2011年,21809.78,15411.91,23979.2,2209.74,648.97,5708.58,2149.69,581.26,968.98,1023.17,1405.01,1851.74,15160.89,1674.7,5506.33,1.93918918919,2.87,1.48,65654.83
2012年,24564.72,17335.62,26958.99,2548.29,706.96,6368.12,2455.47,657.1,1063.68,1116.06,1484.26,2033.5,16674.32,1823.39,6040.85,1.91946308725,2.86,1.49,65980.58
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
