,不使用“中国标准书号”部分图书出版印数,交通运输图书出版印数,使用“中国标准书号”部分图书出版印数,军事图书出版印数,农业科学图书出版印数,医学、卫生图书出版印数,历史、地理图书出版印数,哲学图书出版印数,国标(GB)、部标(BB)等标准类文件印品出版印数,图书出版印数,图片出版印数,天文学、地球科学图书出版印数,工业技术图书出版印数,政治、法律图书出版印数,数理科学、化学图书出版印数,文化、科学、教育、体育图书出版印数,文学图书出版印数,活页文选、活页歌篇、小件印品等出版印数,环境科学图书出版印数,生物科学图书出版印数,社会科学总论图书出版印数,经济图书出版印数,综合性图书出版图书出版印数,自然科学总论图书出版印数,航空、航天图书出版印数,艺术图书出版印数,语言、文字图书出版印数,马列主义、毛泽东思想图书出版印数
1992年,1.4908,0.1375,61.8842,0.0388,0.3244,0.3639,0.7784,0.0909,0.0,63.375,0.0,0.0546,0.8599,1.1097,0.1935,53.0671,1.4298,0.0,0.0101,0.0188,0.0798,0.6592,0.4348,0.1196,0.0029,1.3607,0.6749,0.0749
1993年,0.7858,0.0913,58.5514,0.0337,0.221,0.3644,0.6516,0.0744,0.0,59.3372,0.0,0.0616,1.735,0.7233,0.2806,50.0659,1.1594,0.0,0.011,0.0192,0.0792,0.7913,0.3139,0.1025,0.004,1.0837,0.6507,0.0337
1994年,0.6243,0.096,59.4532,0.0365,0.1628,0.3688,0.5612,0.0735,0.0,60.0775,0.0,0.0393,1.727,0.7123,0.2962,51.2493,1.2247,0.0,0.0126,0.0186,0.0672,0.8217,0.3102,0.1002,0.0032,0.7809,0.7657,0.0253
1995年,0.4945,0.1343,62.7234,0.0319,0.2205,0.3711,0.571,0.0904,0.0,63.22,0.0,0.0197,0.9307,0.7013,0.2433,55.1988,1.2969,0.0,0.0088,0.0145,0.071,0.7264,0.3266,0.154,0.0051,0.7902,0.807,0.0099
1996年,0.479,0.0981,71.0986,0.0269,0.2046,0.4467,0.85,0.1071,0.0,71.6,0.0,0.0197,0.998,0.6365,0.2809,62.7265,1.3547,0.0,0.0088,0.0162,0.1087,0.7205,0.3395,0.2759,0.0052,0.9957,0.8645,0.0139
1997年,0.389,0.1067,72.6638,0.0366,0.3048,0.4279,0.6691,0.1019,0.0,73.1,0.0,0.0281,1.0095,1.0121,0.2341,64.299,1.5674,0.0,0.0142,0.0203,0.0923,0.7778,0.2003,0.0264,0.0062,0.885,0.8321,0.012
1998年,0.3214,0.0732,72.0645,0.0378,0.3067,0.4978,0.4688,0.0925,0.0,72.4,0.0,0.0255,1.095,0.9035,0.2575,63.3769,1.4996,0.0,0.0212,0.0244,0.0925,0.7802,0.1452,0.0238,0.0019,1.2993,1.0336,0.0076
1999年,0.4824,0.1239,72.6805,0.0346,0.2984,0.4663,0.4046,0.0935,0.0,73.2,0.0,0.02,1.0512,0.7946,0.238,64.0207,0.9839,0.0,0.0559,0.02,0.1023,0.6807,0.3053,0.4326,0.0026,1.5056,1.0158,0.03
2000年,0.4484,0.1153,62.2965,0.0318,0.2821,0.4639,0.3564,0.1099,0.0,62.74,0.0,0.0188,1.1014,0.7475,0.2613,53.9671,1.0594,0.0,0.0251,0.0299,0.1251,0.8842,0.2684,0.3883,0.0038,0.997,1.0067,0.0531
2001年,0.3741,0.1192,62.7278,0.0307,0.204,0.5282,0.4134,0.1313,0.0,63.1,0.0,0.0198,1.2354,1.0124,0.3138,52.093,1.2291,0.0,0.0271,0.0301,0.1201,0.8848,0.2499,0.3927,0.0041,2.4837,1.1722,0.0328
2002年,0.4126,0.1479,68.2839,0.0406,0.1954,0.5774,0.6786,0.1798,0.0,68.7,0.0,0.0169,1.3735,1.1162,0.3741,56.311,1.2191,0.0,0.0461,0.0431,0.1532,1.0101,0.2872,0.3631,0.0034,2.6819,1.3973,0.068
2003年,0.4157,0.1335,66.2843,0.0474,0.233,0.7427,0.9899,0.2061,0.0,66.7,0.0,0.0207,1.5818,1.0039,0.4019,53.5055,1.4731,0.0,0.0508,0.063,0.1786,1.0776,0.2607,0.359,0.0082,2.4856,1.3692,0.0921
2004年,0.2936,0.1463,63.8399,0.0446,0.2208,0.6509,2.4032,0.2698,0.0,64.1,0.0,0.0345,1.8813,1.1054,0.439,49.5267,1.3657,0.0,0.0703,0.0574,0.1733,1.1638,0.182,0.3009,0.0036,2.0562,1.5841,0.1601
2005年,0.1922,0.1702,64.4675,0.0574,0.2185,0.6515,2.9402,0.3242,0.0,64.6597,0.0,0.0361,1.9698,1.1934,0.4281,48.9649,1.3974,0.0,0.3248,0.0745,0.1966,1.4299,0.1767,0.3389,0.0044,1.7976,1.6986,0.0738
2006年,0.1929,0.1747,63.888,0.0447,0.2221,0.7217,1.5806,0.3116,0.0,64.0809,0.1929,0.0549,1.962,1.2403,0.3791,49.8318,1.588,0.0,0.1242,0.068,0.199,1.3418,0.225,0.2791,0.0103,1.7564,1.7169,0.0558
2007年,0.28,0.1814,62.6531,0.0513,0.2439,0.7359,1.9504,0.3746,0.0,62.9331,0.28,0.0618,2.0216,1.4007,0.3299,47.8766,1.6536,0.0,0.1803,0.0784,0.2033,1.4847,0.1704,0.1592,0.0131,1.6621,1.6864,0.1335
2008年,0.2265,0.1929,69.1305,0.0458,0.3781,0.9811,1.5552,0.4036,0.0,70.6185,0.2265,0.0835,2.1676,1.5037,0.4161,52.6339,2.3708,0.0,0.1614,0.105,0.215,1.5673,0.2543,0.1804,0.0133,1.6792,2.0422,0.1801
2009年,0.1337,0.2336,70.2338,0.0681,0.5357,1.073,1.5406,0.4962,0.0,70.3675,0.1337,0.129,2.1501,1.9423,0.3672,53.0481,2.6989,0.0,0.2065,0.1028,0.2609,1.5468,0.1954,0.1216,0.0122,1.402,2.022,0.0808
2010年,0.4447,0.2436,71.2604,0.0813,0.5397,1.1642,1.4306,0.5237,0.185,71.7051,0.0985,0.1403,2.0834,1.2832,0.4419,53.5339,3.3548,0.1612,0.1943,0.1417,0.4871,1.5956,0.2405,0.1922,0.013,1.3984,2.0209,0.1561
2011年,0.4579,0.2452,76.5939,0.0933,0.6246,1.1401,1.113,0.6301,0.1555,77.0518,0.0975,0.098,2.1547,1.4017,0.4313,57.8433,3.9762,0.2049,0.0992,0.1375,0.4414,1.6523,0.3326,0.0791,0.0148,1.7468,2.1919,0.1468
2012年,0.3513,0.2586,78.8951,0.0948,0.3806,1.5254,1.2583,0.5853,0.1683,79.2464,0.0848,0.1213,2.0423,1.5551,0.4163,59.3715,4.8661,0.0982,0.0906,0.1653,0.3338,1.5285,0.2509,0.0736,0.02,1.6761,2.1211,0.1596
2013年,0.3026,0.3144,82.8022,0.0999,0.2296,1.2693,1.2743,0.4799,0.19,83.1048,0.0786,0.1103,1.9757,1.6438,0.4232,62.6091,5.0254,0.034,0.0954,0.1733,0.2815,1.4444,0.2424,0.0565,0.0173,1.868,3.0309,0.1376
2014年,0.3001,0.3111,81.5464,0.0772,0.235,1.134,1.2703,0.5387,0.2193,81.8465,0.0461,0.1158,1.8764,1.7712,0.3863,62.4367,5.0864,0.0347,0.0849,0.163,0.2675,1.4784,0.2275,0.0559,0.0165,1.8477,1.9741,0.1918
