,不使用“中国标准书号”部分图书出版印张数,交通运输图书出版印张数,使用“中国标准书号”部分图书出版印张数,军事图书出版印张数,农业科学图书出版印张数,医学、卫生图书出版印张数,历史、地理图书出版印张数,哲学图书出版印张数,国标(GB)、部标(BB)等标准类文件印品出版印张数,图书出版印张数,图片出版印张数,天文学、地球科学图书出版印张数,工业技术图书出版印张数,政治、法律图书出版印张数,数理科学、化学图书出版印张数,文化、科学、教育、体育图书出版印张数,文学图书出版印张数,活页文选、活页歌篇、小件印品等出版印张数,环境科学图书出版印张数,生物科学图书出版印张数,社会科学总论图书出版印张数,经济图书出版印张数,综合性图书出版图书出版印张数,自然科学总论图书出版印张数,航空、航天图书出版印张数,艺术图书出版印张数,语言、文字图书出版印张数,马列主义、毛泽东思想图书出版印张数
1992年,7.6,1.3,272.8,0.4,2.3,5.2,4.8,1.0,0.0,280.3764,0.0,0.3,12.0,7.3,2.1,190.4,15.1,0.0,0.1,0.3,0.8,7.8,5.0,0.8,0.1,5.1,9.5,1.1
1993年,4.47925,0.96109,277.78129,0.35177,1.67074,5.25307,3.92449,0.99632,0.0,282.26054,0.0,0.31264,24.12063,6.5593,2.78506,189.79452,13.0127,0.0,0.16344,0.23343,0.82228,9.08441,4.35611,0.49166,0.04261,4.19576,8.23693,0.41233
1994年,3.19593,1.1658,293.96361,0.43684,1.31065,5.79158,3.87858,0.85923,0.0,297.15954,0.0,0.26976,24.1,6.60588,3.27123,201.2426,13.55491,0.0,0.14207,0.24596,0.71955,9.81828,4.64195,0.73282,0.06113,4.27083,10.50471,0.33925
1995年,3.91278,1.5849,312.8693,0.36676,1.64651,5.76728,4.3101,1.13004,0.0,316.78208,0.0,0.15026,14.56175,6.14369,2.85937,225.39915,17.08715,0.0,0.09372,0.19566,0.7266,9.63792,4.17422,0.79055,0.04498,4.61169,11.44641,0.14059
1996年,5.10213,1.09571,355.34929,0.29423,1.53415,6.33616,5.69678,1.32785,0.0,360.45142,0.0,0.16842,14.77058,6.24804,3.09065,263.47619,17.0603,0.0,0.11683,0.21975,1.1023,9.37623,4.94471,0.98709,0.05246,5.284,11.92206,0.2448
1997年,3.05859,1.04176,360.94341,0.39924,2.27065,6.14075,5.06854,1.29984,0.0,364.002,0.0,0.19218,15.74017,7.9135,2.80536,270.973,16.84506,0.0,0.15335,0.28257,1.1648,9.64997,2.22616,0.22107,0.03843,4.84913,11.4937,0.17418
1998年,1.75391,0.86764,371.09809,0.4063,2.13334,7.12893,3.94755,1.16848,0.0,373.61708,0.0,0.20498,16.67929,8.56231,3.24215,275.75827,16.90868,0.0,0.16983,0.33819,1.1441,10.07703,1.77327,0.22181,0.02271,6.03371,14.19081,0.11871
1999年,1.56487,1.41081,389.29416,0.39475,1.95785,6.91727,4.23464,1.06855,0.0,391.35314,0.0,0.22762,17.25902,8.50887,2.93283,295.37878,11.81695,0.0,0.33118,0.29909,1.29584,9.54793,3.74448,1.73137,0.03568,6.50644,13.4069,0.28731
2000年,1.18004,1.43705,374.48385,0.35666,2.22177,7.23488,4.04239,1.40523,0.0,376.2144,0.0,0.20847,18.58094,8.598,3.45437,275.29245,12.90704,0.0,0.23725,0.41728,1.58815,11.16981,3.1994,2.00574,0.0534,5.53507,14.00103,0.53747
2001年,1.21021,1.56192,404.25736,0.31567,1.74678,8.45448,4.55945,1.51749,0.0,406.08276,0.0,0.17934,20.84135,10.43832,4.08122,290.31505,14.32723,0.0,0.31263,0.49788,1.64882,12.17107,3.13611,1.5834,0.05305,9.49533,16.64315,0.37762
2002年,1.14314,1.91845,454.15114,0.48062,1.79305,9.60916,5.45452,2.07858,0.0,456.44889,0.0,0.20535,23.80967,11.67071,5.3151,323.16095,14.19922,0.0,0.48974,0.6737,2.02809,15.72725,3.14102,1.72505,0.04804,10.1892,19.73023,0.70344
2003年,1.06054,1.59861,460.12398,0.52414,2.03938,9.00703,6.99482,2.50701,0.0,462.22401,0.0,0.2679,27.10545,11.98205,5.75273,319.76461,15.81246,0.0,0.56034,0.84562,2.09615,17.34366,2.67532,1.67377,0.09843,10.27502,19.92237,1.27711
2004年,0.72295,1.80659,464.17879,0.54233,1.85252,10.08921,15.89121,3.33899,0.0,465.58511,0.0,0.37634,31.78763,12.04802,6.63282,301.67903,15.90654,0.0,0.84045,0.99174,2.23361,18.82263,2.29298,1.52343,0.06032,10.16052,23.34893,1.95295
2005年,0.43328,2.18739,491.56871,0.70111,1.82772,11.38234,18.668,4.45533,0.0,493.29119,0.0,0.48593,32.86998,14.84954,6.83236,312.38319,17.11974,0.0,1.52938,1.30411,3.04955,21.27093,2.17997,2.14868,0.07046,9.40943,25.90649,0.93708
2006年,1.52909,2.28129,510.42867,0.65279,1.95915,13.16053,15.00679,4.95278,0.85121,511.95776,0.4432,0.59955,33.03697,17.75622,6.48662,324.56421,20.506,0.23468,0.88674,1.22043,3.14793,22.18432,2.5783,1.7409,0.1021,9.86852,26.83028,0.90625
2007年,1.80803,2.39365,484.69886,0.73554,2.11907,12.40725,15.73639,5.65244,0.69475,486.50689,0.64019,0.61374,33.41573,17.2325,5.72282,298.15139,20.68252,0.47309,1.08651,1.27935,3.43988,24.8589,1.98403,1.17315,0.11514,8.83189,24.94094,2.12603
2008年,1.74547,2.60165,558.98463,0.75172,3.61854,16.14064,16.12482,6.0546,0.92852,561.1,0.56006,0.90532,35.85322,18.1285,6.63457,341.90504,30.93643,0.25689,1.37654,1.53246,3.63886,25.02376,2.87235,1.09326,0.18111,9.91317,30.78095,2.91712
2009年,1.68546,2.99844,563.81725,0.90575,3.98899,16.32983,16.19602,7.76395,0.81433,565.50271,0.27747,1.00964,34.41338,20.42712,5.90508,345.85687,32.85112,0.59366,1.37979,1.28422,4.27242,25.59192,2.31357,0.8979,0.15615,9.60446,28.2985,1.37213
2010年,1.83067,3.09626,604.50103,1.11133,4.19399,17.53177,16.16533,7.78053,0.94168,606.3317,0.23527,1.06347,43.38502,17.32522,6.89448,359.24318,42.22487,0.65372,1.41155,1.67994,6.05462,26.76238,2.99417,1.38488,0.16192,9.88489,31.08708,3.06415
2011年,1.63422,3.34312,632.87867,1.41684,4.679,17.51178,14.05607,9.03294,0.71545,634.51289,0.26252,1.10365,34.73871,19.30263,6.69626,388.86613,43.81331,0.65625,1.0448,1.82891,5.40512,27.63968,3.64744,0.76957,0.19683,12.54779,32.44175,2.79634
2012年,2.17115,3.52218,664.82327,1.29515,3.3895,17.88489,14.92909,8.40613,1.56117,666.99442,0.21914,1.34489,33.06328,19.88298,6.84962,410.77233,55.17309,0.39084,1.00547,1.86112,5.17049,25.82612,2.9103,0.69844,0.25344,15.21605,33.19899,2.16972
2013年,1.43109,4.19855,711.15034,1.36176,2.37767,17.74656,15.10386,7.07561,1.07297,712.58143,0.16818,1.26398,32.80858,21.76822,6.57308,447.92997,55.99793,0.18994,0.98884,2.06686,4.75262,24.7199,2.76239,0.60952,0.23359,13.96195,44.26106,2.58784
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
