,丹麦实用新型专利申请授权数,以色列实用新型专利申请授权数,俄罗斯联邦实用新型专利申请授权数,列支敦士登实用新型专利申请授权数,加拿大实用新型专利申请授权数,匈牙利实用新型专利申请授权数,南非实用新型专利申请授权数,卢森堡实用新型专利申请授权数,印度实用新型专利申请授权数,塞普路斯实用新型专利申请授权数,奥地利实用新型专利申请授权数,巴西实用新型专利申请授权数,德国实用新型专利申请授权数,意大利实用新型专利申请授权数,挪威实用新型专利申请授权数,捷克实用新型专利申请授权数,摩纳哥实用新型专利申请授权数,新加坡实用新型专利申请授权数,新西兰实用新型专利申请授权数,日本实用新型专利申请授权数,比利时实用新型专利申请授权数,法国实用新型专利申请授权数,波兰实用新型专利申请授权数,泰国实用新型专利申请授权数,澳大利亚实用新型专利申请授权数,爱尔兰实用新型专利申请授权数,瑞典实用新型专利申请授权数,瑞士实用新型专利申请授权数,美国实用新型专利申请授权数,芬兰实用新型专利申请授权数,英国实用新型专利申请授权数,荷兰实用新型专利申请授权数,西班牙实用新型专利申请授权数,韩国实用新型专利申请授权数,马来西亚实用新型专利申请授权数
2002年,,,,,9.0,,,1.0,2.0,,,,12.0,12.0,,,7.0,2.0,1.0,78.0,,,,9.0,3.0,,8.0,7.0,104.0,1.0,16.0,,4.0,100.0,1.0
2003年,3.0,1.0,,1.0,3.0,,,,,2.0,2.0,,14.0,12.0,1.0,7.0,,3.0,,205.0,1.0,,,3.0,5.0,,2.0,7.0,177.0,,19.0,,3.0,113.0,2.0
2004年,1.0,,,1.0,5.0,,,,3.0,,,,19.0,3.0,,,,3.0,,252.0,,,,6.0,,1.0,,4.0,197.0,,13.0,2.0,1.0,76.0,2.0
2005年,23.0,,10.0,,12.0,,,,,1.0,3.0,1.0,32.0,15.0,,,,5.0,,577.0,1.0,6.0,2.0,2.0,5.0,7.0,2.0,10.0,290.0,2.0,16.0,5.0,5.0,127.0,4.0
2006年,21.0,2.0,6.0,0.0,22.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,41.0,24.0,1.0,3.0,,9.0,0.0,582.0,1.0,28.0,0.0,4.0,21.0,2.0,3.0,7.0,318.0,3.0,21.0,9.0,16.0,130.0,6.0
2007年,4.0,2.0,9.0,,27.0,,6.0,,,,9.0,4.0,124.0,24.0,,5.0,,10.0,,574.0,2.0,33.0,,,13.0,6.0,10.0,12.0,468.0,3.0,34.0,11.0,7.0,145.0,3.0
2008年,4.0,1.0,14.0,1.0,23.0,,,10.0,,,5.0,2.0,132.0,31.0,,,,30.0,5.0,402.0,3.0,37.0,2.0,6.0,29.0,1.0,18.0,16.0,430.0,3.0,49.0,8.0,8.0,119.0,16.0
2009年,11.0,2.0,23.0,,21.0,1.0,5.0,17.0,2.0,,13.0,8.0,146.0,26.0,,2.0,,27.0,3.0,374.0,2.0,33.0,,3.0,25.0,1.0,22.0,19.0,612.0,9.0,29.0,20.0,19.0,93.0,13.0
2010年,8.0,2.0,20.0,,21.0,1.0,3.0,13.0,2.0,1.0,13.0,6.0,194.0,35.0,1.0,1.0,,22.0,6.0,437.0,4.0,60.0,,3.0,25.0,3.0,22.0,75.0,797.0,20.0,30.0,36.0,13.0,201.0,19.0
2011年,15.0,17.0,25.0,,32.0,3.0,1.0,5.0,5.0,,19.0,8.0,281.0,53.0,2.0,5.0,,22.0,4.0,780.0,9.0,60.0,1.0,3.0,33.0,5.0,46.0,103.0,929.0,41.0,73.0,34.0,16.0,243.0,7.0
2012年,10.0,64.0,15.0,1.0,32.0,4.0,1.0,17.0,3.0,,14.0,8.0,393.0,37.0,3.0,4.0,,52.0,2.0,1808.0,15.0,200.0,,,49.0,3.0,71.0,133.0,1020.0,36.0,,36.0,11.0,176.0,16.0
2013年,20.0,47.0,26.0,,51.0,1.0,2.0,1.0,3.0,1.0,44.0,11.0,580.0,57.0,1.0,15.0,,58.0,7.0,3056.0,10.0,242.0,4.0,3.0,46.0,4.0,66.0,128.0,1406.0,90.0,122.0,61.0,14.0,267.0,8.0
2014年,43.0,31.0,39.0,,40.0,,3.0,9.0,14.0,4.0,54.0,15.0,813.0,76.0,15.0,6.0,,42.0,10.0,3420.0,22.0,263.0,5.0,9.0,58.0,9.0,68.0,245.0,1838.0,77.0,105.0,72.0,20.0,280.0,17.0
