,丹麦发明专利申请授权数,以色列发明专利申请授权数,俄罗斯联邦发明专利申请授权数,列支敦士登发明专利申请授权数,加拿大发明专利申请授权数,匈牙利发明专利申请授权数,南非发明专利申请授权数,卢森堡发明专利申请授权数,印度发明专利申请授权数,塞普路斯发明专利申请授权数,奥地利发明专利申请授权数,巴西发明专利申请授权数,德国发明专利申请授权数,意大利发明专利申请授权数,挪威发明专利申请授权数,捷克发明专利申请授权数,摩纳哥发明专利申请授权数,新加坡发明专利申请授权数,新西兰发明专利申请授权数,日本发明专利申请授权数,比利时发明专利申请授权数,法国发明专利申请授权数,波兰发明专利申请授权数,泰国发明专利申请授权数,澳大利亚发明专利申请授权数,爱尔兰发明专利申请授权数,瑞典发明专利申请授权数,瑞士发明专利申请授权数,美国发明专利申请授权数,芬兰发明专利申请授权数,英国发明专利申请授权数,荷兰发明专利申请授权数,西班牙发明专利申请授权数,韩国发明专利申请授权数,马来西亚发明专利申请授权数
2005年,194,68,37,28,225,22,37,37,38,3,145,21,2894,388,62,3,7,47,23,13883,116,1328,1,2,266,24,690,867,6160,402,638,1179,65,2509,10
2006年,160,60,31,27,194,12,28,23,49,3,122,25,2628,389,67,8,2,43,25,15099,126,1181,8,2,210,15,454,820,5870,317,600,1129,52,2752,10
2007年,190,105,24,43,253,0,37,20,62,0,125,28,2913,458,77,9,0,42,22,16174,142,1171,0,0,264,29,498,871,6891,338,599,1214,86,3127,4
2008年,206,143,35,27,350,16,38,30,82,0,155,31,3598,512,80,0,5,58,25,21999,184,1388,5,4,272,29,582,941,8661,472,698,1449,87,4675,11
2009年,280,161,49,41,461,13,47,29,81,16,215,37,5054,757,139,9,6,134,62,27897,229,2200,9,3,322,38,895,1245,12158,674,825,2128,108,6476,23
2010年,257,125,46,41,440,13,34,42,51,10,205,37,4609,719,97,10,2,230,46,23890,249,1926,5,8,314,59,902,1317,10985,539,734,1712,102,5168,27
2011年,334,151,49,43,490,18,44,33,58,11,239,34,5442,793,109,15,4,196,43,25387,328,2006,6,9,280,76,1020,1471,12334,545,857,1817,150,4882,23
2012年,449,197,59,52,605,15,72,104,95,12,308,55,7058,898,151,23,4,237,60,28847,461,2632,6,6,353,127,1397,1898,16776,783,0,2091,152,5320,34
2013年,431,243,41,35,570,29,47,97,99,7,302,54,6589,830,153,17,3,168,46,22609,410,2602,17,4,366,110,1158,1745,16674,606,1047,1862,170,4271,30
2014年,512,244,70,36,576,23,52,108,128,12,431,60,7250,879,142,14,5,238,41,26501,388,2678,27,7,311,124,1155,1950,17401,645,1018,1919,195,4627,39
