,丹麦实用新型专利申请受理数,以色列实用新型专利申请受理数,俄罗斯联邦实用新型专利申请受理数,列支敦士登实用新型专利申请受理数,加拿大实用新型专利申请受理数,匈牙利实用新型专利申请受理数,南非实用新型专利申请受理数,卢森堡实用新型专利申请受理数,印度实用新型专利申请受理数,塞普路斯实用新型专利申请受理数,奥地利实用新型专利申请受理数,巴西实用新型专利申请受理数,德国实用新型专利申请受理数,意大利实用新型专利申请受理数,挪威实用新型专利申请受理数,捷克实用新型专利申请受理数,摩纳哥实用新型专利申请受理数,新加坡实用新型专利申请受理数,新西兰实用新型专利申请受理数,日本实用新型专利申请受理数,比利时实用新型专利申请受理数,法国实用新型专利申请受理数,波兰实用新型专利申请受理数,泰国实用新型专利申请受理数,澳大利亚实用新型专利申请受理数,爱尔兰实用新型专利申请受理数,瑞典实用新型专利申请受理数,瑞士实用新型专利申请受理数,美国实用新型专利申请受理数,芬兰实用新型专利申请受理数,英国实用新型专利申请受理数,荷兰实用新型专利申请受理数,西班牙实用新型专利申请受理数,韩国实用新型专利申请受理数,马来西亚实用新型专利申请受理数
2002年,4.0,,,,4.0,,,,2.0,,1.0,,19.0,12.0,1.0,,,4.0,,305.0,1.0,142.0,,5.0,18.0,,2.0,5.0,218.0,,21.0,,9.0,156.0,1.0
2003年,13.0,,1.0,1.0,14.0,,,,3.0,1.0,3.0,1.0,40.0,11.0,,,,4.0,,627.0,,2.0,,9.0,,7.0,1.0,10.0,310.0,,28.0,7.0,4.0,139.0,4.0
2004年,15.0,,10.0,,11.0,,,,,,2.0,,24.0,15.0,,,,5.0,1.0,603.0,1.0,8.0,2.0,5.0,10.0,6.0,2.0,12.0,288.0,3.0,22.0,7.0,6.0,128.0,5.0
2005年,17.0,4.0,3.0,,22.0,,1.0,,,,3.0,6.0,83.0,27.0,1.0,5.0,,14.0,,566.0,,65.0,,5.0,20.0,3.0,7.0,9.0,360.0,3.0,20.0,8.0,14.0,143.0,7.0
2006年,0.0,1.0,4.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,78.0,19.0,0.0,4.0,,21.0,0.0,478.0,3.0,28.0,2.0,7.0,12.0,5.0,5.0,8.0,397.0,2.0,29.0,12.0,7.0,132.0,2.0
2007年,4.0,1.0,8.0,,26.0,,2.0,11.0,,,3.0,2.0,109.0,31.0,1.0,13.0,,22.0,5.0,352.0,2.0,29.0,,,25.0,,19.0,14.0,366.0,3.0,43.0,11.0,5.0,119.0,12.0
2008年,9.0,3.0,10.0,,12.0,,4.0,13.0,1.0,,13.0,7.0,125.0,26.0,,5.0,,27.0,5.0,362.0,3.0,31.0,,3.0,26.0,2.0,13.0,14.0,602.0,7.0,44.0,19.0,15.0,111.0,16.0
2009年,10.0,2.0,15.0,1.0,23.0,,2.0,17.0,1.0,1.0,11.0,4.0,179.0,34.0,3.0,1.0,,21.0,2.0,328.0,4.0,65.0,,2.0,29.0,3.0,33.0,70.0,720.0,8.0,23.0,32.0,20.0,134.0,16.0
2010年,9.0,11.0,21.0,,37.0,,3.0,11.0,6.0,,16.0,9.0,216.0,43.0,,3.0,,16.0,8.0,548.0,2.0,51.0,1.0,2.0,31.0,6.0,32.0,66.0,892.0,32.0,65.0,39.0,16.0,242.0,16.0
2011年,16.0,39.0,17.0,1.0,27.0,7.0,1.0,17.0,4.0,,15.0,14.0,388.0,46.0,4.0,4.0,,43.0,3.0,1465.0,22.0,148.0,1.0,2.0,45.0,6.0,74.0,156.0,1076.0,41.0,81.0,30.0,13.0,210.0,10.0
2012年,16.0,67.0,23.0,,54.0,1.0,1.0,3.0,1.0,1.0,33.0,4.0,521.0,46.0,,15.0,,64.0,4.0,2595.0,11.0,246.0,3.0,3.0,51.0,1.0,71.0,115.0,1261.0,71.0,66.0,61.0,13.0,241.0,9.0
2013年,47.0,30.0,36.0,2.0,36.0,1.0,4.0,7.0,8.0,4.0,55.0,15.0,727.0,70.0,4.0,4.0,,46.0,6.0,3048.0,19.0,246.0,1.0,7.0,48.0,5.0,57.0,183.0,1658.0,83.0,145.0,66.0,18.0,253.0,14.0
2014年,40.0,42.0,43.0,1.0,61.0,,1.0,14.0,14.0,1.0,35.0,9.0,901.0,65.0,15.0,6.0,,43.0,19.0,3009.0,19.0,250.0,5.0,4.0,71.0,12.0,55.0,230.0,1705.0,69.0,95.0,64.0,23.0,346.0,20.0
