,丹麦外观设计专利申请受理数,以色列外观设计专利申请受理数,俄罗斯联邦外观设计专利申请受理数,列支敦士登外观设计专利申请受理数,加拿大外观设计专利申请受理数,匈牙利外观设计专利申请受理数,南非外观设计专利申请受理数,卢森堡外观设计专利申请受理数,印度外观设计专利申请受理数,塞普路斯外观设计专利申请受理数,奥地利外观设计专利申请受理数,巴西外观设计专利申请受理数,德国外观设计专利申请受理数,意大利外观设计专利申请受理数,挪威外观设计专利申请受理数,捷克外观设计专利申请受理数,摩纳哥外观设计专利申请受理数,新加坡外观设计专利申请受理数,新西兰外观设计专利申请受理数,日本外观设计专利申请受理数,比利时外观设计专利申请受理数,法国外观设计专利申请受理数,波兰外观设计专利申请受理数,泰国外观设计专利申请受理数,澳大利亚外观设计专利申请受理数,爱尔兰外观设计专利申请受理数,瑞典外观设计专利申请受理数,瑞士外观设计专利申请受理数,美国外观设计专利申请受理数,芬兰外观设计专利申请受理数,英国外观设计专利申请受理数,荷兰外观设计专利申请受理数,西班牙外观设计专利申请受理数,韩国外观设计专利申请受理数,马来西亚外观设计专利申请受理数
2005年,82,13,1,32,37,2,2,5,19,0,21,15,1008,559,25,60,1,65,7,4679,40,481,4,10,141,13,79,321,2035,96,262,245,180,1026,15
2006年,120,30,9,37,41,2,4,10,11,0,39,8,1096,517,21,47,1,90,15,4569,49,632,0,24,179,29,169,430,2561,88,306,206,124,1277,24
2007年,113,48,4,44,110,0,3,13,29,0,73,6,1213,593,29,96,0,70,23,4966,35,677,0,0,174,20,180,420,2655,89,341,268,214,1015,43
2008年,125,21,12,122,108,0,7,11,12,0,55,41,1334,541,29,60,9,72,35,4782,23,653,17,10,229,23,289,479,2527,215,394,344,133,1187,70
2009年,145,34,16,42,159,1,4,17,23,1,45,44,1251,391,16,41,0,69,18,3760,26,548,10,24,166,5,158,391,2110,139,264,251,140,1072,60
2010年,114,50,15,28,160,0,5,24,15,21,59,40,1214,400,26,25,0,63,24,3811,46,437,19,14,183,11,184,357,2364,94,285,292,137,1362,38
2011年,140,63,33,44,131,8,6,42,22,9,84,59,1286,524,37,44,1,126,13,4532,55,454,34,9,201,15,159,472,2490,71,318,444,124,1521,44
2012年,136,87,21,25,187,2,18,44,15,8,62,48,1372,686,28,113,0,90,34,4805,87,567,19,11,249,4,254,506,2785,115,333,345,125,1567,51
2013年,174,109,45,24,164,2,19,81,15,7,85,35,1486,604,27,37,1,122,35,4296,37,737,3,12,187,15,267,531,2771,100,461,276,137,1797,42
2014年,138,66,38,19,113,0,14,70,26,1,83,88,1528,552,33,44,0,79,47,4078,56,635,21,5,184,22,262,708,3329,99,529,336,134,2120,58
