,丹麦专利申请受理数,以色列专利申请受理数,俄罗斯联邦专利申请受理数,列支敦士登专利申请受理数,加拿大专利申请受理数,匈牙利专利申请受理数,南非专利申请受理数,卢森堡专利申请受理数,印度专利申请受理数,塞普路斯专利申请受理数,奥地利专利申请受理数,巴西专利申请受理数,德国专利申请受理数,意大利专利申请受理数,挪威专利申请受理数,捷克专利申请受理数,摩纳哥专利申请受理数,新加坡专利申请受理数,新西兰专利申请受理数,日本专利申请受理数,比利时专利申请受理数,法国专利申请受理数,波兰专利申请受理数,泰国专利申请受理数,澳大利亚专利申请受理数,爱尔兰专利申请受理数,瑞典专利申请受理数,瑞士专利申请受理数,美国专利申请受理数,芬兰专利申请受理数,英国专利申请受理数,荷兰专利申请受理数,西班牙专利申请受理数,韩国专利申请受理数,马来西亚专利申请受理数
2001年,273.0,133.0,43.0,71.0,308.0,14.0,32.0,27.0,64.0,9.0,178.0,43.0,3454.0,495.0,109.0,,7.0,84.0,52.0,13736.0,160.0,1521.0,5.0,33.0,308.0,28.0,967.0,1020.0,8994.0,475.0,913.0,1397.0,95.0,2498.0,32.0
2002年,254.0,147.0,56.0,69.0,356.0,31.0,52.0,32.0,64.0,4.0,176.0,44.0,4015.0,627.0,92.0,10.0,8.0,106.0,41.0,18275.0,156.0,1932.0,10.0,42.0,477.0,34.0,952.0,1110.0,10012.0,596.0,1025.0,2147.0,134.0,3626.0,32.0
2003年,315.0,163.0,57.0,79.0,407.0,12.0,56.0,42.0,118.0,14.0,185.0,58.0,4522.0,765.0,120.0,13.0,6.0,142.0,43.0,24241.0,189.0,1941.0,6.0,61.0,450.0,54.0,694.0,1374.0,12221.0,598.0,1314.0,1376.0,164.0,5015.0,32.0
2004年,406.0,251.0,65.0,87.0,607.0,33.0,69.0,28.0,171.0,9.0,223.0,63.0,5917.0,1167.0,159.0,25.0,4.0,156.0,44.0,30444.0,275.0,2465.0,12.0,51.0,637.0,77.0,899.0,1744.0,16187.0,817.0,1401.0,2960.0,213.0,6660.0,66.0
2005年,478.0,237.0,50.0,84.0,724.0,33.0,84.0,53.0,217.0,17.0,284.0,82.0,7502.0,1632.0,168.0,77.0,4.0,208.0,84.0,36221.0,380.0,3190.0,22.0,25.0,707.0,82.0,1101.0,2106.0,20395.0,851.0,1613.0,3988.0,373.0,9300.0,46.0
2006年,558.0,338.0,85.0,85.0,821.0,45.0,85.0,69.0,183.0,23.0,309.0,77.0,8676.0,1699.0,184.0,70.0,12.0,417.0,96.0,37848.0,465.0,3614.0,13.0,44.0,753.0,121.0,1492.0,2370.0,23494.0,988.0,1813.0,3721.0,391.0,10596.0,76.0
2007年,637.0,428.0,78.0,109.0,953.0,,82.0,98.0,175.0,,422.0,88.0,9388.0,1852.0,248.0,127.0,,416.0,118.0,38188.0,562.0,3697.0,,,816.0,139.0,1726.0,2800.0,25908.0,1065.0,2012.0,3760.0,520.0,9601.0,84.0
2008年,765.0,464.0,107.0,207.0,1016.0,43.0,102.0,100.0,197.0,32.0,447.0,122.0,10145.0,1761.0,216.0,96.0,19.0,363.0,141.0,38408.0,561.0,3854.0,26.0,27.0,864.0,168.0,2068.0,2830.0,27656.0,1201.0,2233.0,3624.0,491.0,9320.0,129.0
2009年,739.0,366.0,122.0,111.0,989.0,40.0,99.0,101.0,146.0,17.0,413.0,121.0,9694.0,1423.0,211.0,67.0,4.0,304.0,92.0,34381.0,516.0,3624.0,24.0,36.0,720.0,171.0,1844.0,2823.0,24629.0,1049.0,1911.0,3372.0,416.0,7113.0,114.0
2010年,857.0,511.0,147.0,83.0,1137.0,36.0,99.0,136.0,189.0,29.0,550.0,166.0,11297.0,1627.0,261.0,68.0,7.0,437.0,127.0,38241.0,611.0,3994.0,50.0,31.0,822.0,157.0,1996.0,3067.0,28636.0,1215.0,2087.0,3329.0,480.0,8782.0,129.0
2011年,937.0,634.0,170.0,155.0,1191.0,55.0,82.0,215.0,228.0,34.0,697.0,203.0,13096.0,1815.0,275.0,72.0,7.0,645.0,111.0,45228.0,669.0,4575.0,58.0,25.0,867.0,176.0,1963.0,3293.0,32023.0,1076.0,2275.0,3473.0,525.0,9860.0,141.0
2012年,884.0,686.0,183.0,135.0,1352.0,36.0,94.0,187.0,264.0,36.0,759.0,159.0,14552.0,2020.0,262.0,154.0,7.0,651.0,132.0,49678.0,693.0,5128.0,72.0,32.0,957.0,213.0,1988.0,3545.0,33556.0,1255.0,2273.0,3035.0,548.0,10793.0,135.0
2013年,1061.0,669.0,233.0,105.0,1237.0,33.0,90.0,227.0,302.0,28.0,951.0,165.0,15925.0,1992.0,268.0,74.0,8.0,680.0,157.0,48537.0,698.0,5126.0,81.0,34.0,876.0,213.0,2119.0,3926.0,34421.0,1222.0,2455.0,2888.0,533.0,12916.0,113.0
2014年,1025.0,764.0,211.0,112.0,1183.0,32.0,94.0,324.0,307.0,33.0,1062.0,234.0,16026.0,1978.0,271.0,92.0,10.0,696.0,191.0,47547.0,732.0,5460.0,99.0,31.0,919.0,244.0,2337.0,4276.0,38997.0,1333.0,2674.0,3324.0,497.0,13994.0,165.0
