,农村传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村其他疾病死亡人数占总死亡人数的比重,"农村内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村呼吸系统疾病死亡人数占总死亡人数的比重,农村呼吸道结核死亡人数占总死亡人数的比重,农村围生期疾病死亡人数占总死亡人数的比重,农村女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村女性其他疾病死亡人数占总死亡人数的比重,"农村女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村女性呼吸系统疾病死亡人数占总死亡人数的比重,农村女性呼吸道结核死亡人数占总死亡人数的比重,农村女性围生期疾病死亡人数占总死亡人数的比重,"农村女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村女性寄生虫病死亡人数占总死亡人数的比重,农村女性心脏病死亡人数占总死亡人数的比重,农村女性恶性肿瘤死亡人数占总死亡人数的比重,农村女性损伤和中毒外部原因死亡人数占总死亡人数的比重,农村女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村女性消化系统疾病死亡人数占总死亡人数的比重,农村女性神经系统疾病死亡人数占总死亡人数的比重,农村女性精神障碍死亡人数占总死亡人数的比重,农村女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村女性脑血管病死亡人数占总死亡人数的比重,"农村女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村女性诊断不明死亡人数占总死亡人数的比重,"农村妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村寄生虫病死亡人数占总死亡人数的比重,农村心脏病死亡人数占总死亡人数的比重,农村恶性肿瘤死亡人数占总死亡人数的比重,农村损伤和中毒外部原因死亡人数占总死亡人数的比重,农村泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村消化系统疾病死亡人数占总死亡人数的比重,农村男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村男性其他疾病死亡人数占总死亡人数的比重,"农村男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村男性呼吸系统疾病死亡人数占总死亡人数的比重,农村男性呼吸道结核死亡人数占总死亡人数的比重,农村男性围生期疾病死亡人数占总死亡人数的比重,农村男性寄生虫病死亡人数占总死亡人数的比重,农村男性心脏病死亡人数占总死亡人数的比重,农村男性恶性肿瘤死亡人数占总死亡人数的比重,农村男性损伤和中毒外部原因死亡人数占总死亡人数的比重,农村男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村男性消化系统疾病死亡人数占总死亡人数的比重,农村男性神经系统疾病死亡人数占总死亡人数的比重,农村男性精神障碍死亡人数占总死亡人数的比重,农村男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村男性脑血管病死亡人数占总死亡人数的比重,"农村男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村男性诊断不明死亡人数占总死亡人数的比重,农村神经系统疾病死亡人数占总死亡人数的比重,农村精神障碍死亡人数占总死亡人数的比重,农村肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村脑血管病死亡人数占总死亡人数的比重,"农村血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村诊断不明死亡人数占总死亡人数的比重
1998年,,,,4.0,22.89,,,,,,1.32,13.93,,,,,14.36,18.68,9.72,1.39,3.53,,,,24.72,,,,,12.9,17.01,11.15,1.48,,,,,1.58,21.41,,,,11.72,19.49,12.31,,4.37,,,,17.84,,,,,,18.21,,
1999年,,,,3.98,22.04,,,,,,1.33,15.3,,,,,13.69,18.66,9.79,1.43,3.48,,,,23.98,,,,,12.37,18.4,11.03,1.52,1.05,,,,1.49,20.5,,,,11.31,20.87,12.02,,4.38,,,,18.2,,,,,,18.4,,
2000年,,,,3.98,23.11,,,,,,1.37,15.12,,,,,13.39,18.93,9.01,1.46,3.48,,,,25.18,,,,,12.37,18.4,11.03,1.51,1.11,,,,1.36,21.46,,,,10.78,20.82,11.77,,4.2,,,,18.57,,,,,,18.4,,
2001年,,,,4.06,22.46,,,,,,1.43,14.68,,,,,14.8,18.84,9.23,1.48,3.55,,,,24.85,,,,,13.08,17.73,10.72,1.53,1.11,,,,1.4,20.09,,,,11.75,20.61,11.87,0.86,4.46,,,,19.04,,,,,,18.95,,
2002年,,,,3.56,15.63,,1.07,,,,1.46,16.53,,1.26,,,16.02,17.97,8.3,1.33,3.01,,0.97,,17.04,,,,,14.34,20.67,10.16,1.44,1.21,,,,1.28,14.56,,0.93,,13.05,23.83,11.59,1.01,3.98,,,,16.8,,,,,,17.31,,
2003年,,,,1.892955094,18.71799,,1.11,,,,2.723508,18.50102,,0.81,,,18.04304,21.34795,4.987414,1.703614,3.023955,,0.477467,,21.34633,,,,,12.02831,25.28,5.690001,3.56,2.780046,,,,1.835522,18.20521,,0.8,,14.872,23.33248,8.197041,1.601356,3.412486,,,,20.93715,,,,,,23.74607,,
2004年,,,,1.61,13.3,,0.68,,,,2.24,14.22,,0.72,,,14.32,20.83,5.49,1.65,3.37,,0.69,,15.63,,,,,12.54,23.7,6.63,2.52,2.52,,,,1.98,13.32,,0.655,,11.84,24.6,7.94,1.66,3.43,,,,15.06,,,,,,14.85,,
2005年,,,,3.24,23.45,,,,,,1.54,15.93,,,,,13.75,21.95,6.49,1.39,2.39,,0.54,,26.6,,,,,11.77,20.29,8.47,1.32,1.17,,,,0.67,21.2,,,,10.35,23.05,9.89,0.91,3.85,,,,20.6,,,,,,21.17,,
2006年,,,,3.28,16.4,,,,,,2.06,21.79,,,,,15.98,20.03,7.01,1.2,2.96,,0.9,,18.2,,,,,13.87,25.14,8.9,1.28,1.57,,,,0.73,15.06,,,,12.31,28.93,10.31,1.21,3.52,,,,19.31,,,,,,20.36,,
2007年,,,,2.69,17.24,,,,,,1.17,20.26,,,,,16.92,21.92,7.05,2.02,2.31,,,,19.22,,,,,14.8,24.8,8.96,1.22,1.52,,,,,15.83,,,,13.28,28.05,10.33,1.16,2.96,,,,19.64,,,,,,20.59,,
2008年,0.76,,,1.79,16.88,,,,,,2.33,18.3,,,,,16.12,20.06,7.1,0.89,2.22,0.81,0.92,,23.85,,,,,14.11,25.39,8.59,0.92,2.65,0.88,,,,15.84,,,,12.63,29.32,9.69,1.39,2.96,0.63,,,20.17,,,0.71,,,21.73,,
2009年,0.759871857973,0.33546615548,1.16873472701,1.71575611567,14.9642946576,0.345828044453,0.377345456743,0.573250392033,0.354127506672,1.67821129262,2.303386539,16.3750220681,0.190044966924,0.349973518324,0.06957930483,,19.3825096321,19.7189826883,6.41064251815,1.08211396467,1.89006469837,0.845336628831,0.624136749296,0.266893751363,25.170053898,0.166159533923,0.464208197896,,,17.209802347,24.2610677927,8.24892711275,1.10008721257,2.21873947621,0.892665804545,0.322187326806,0.806207278773,1.29761684833,13.9604655459,0.456678366895,0.396822464437,,15.6637723998,27.4930722335,9.55699242564,1.11287640865,2.45261407722,0.724182523554,0.358396452984,0.148531313505,21.7735082209,0.147792351746,0.399778311472,0.774551200684,0.468875475999,0.197739381223,23.1855900664,0.155428334585,0.426564429362
2010年,0.662927418118,0.343468430916,2.02813106489,1.65731854529,14.1549009277,0.340133785956,0.40282511121,0.554298642534,0.339366515837,2.81835811248,2.23012281836,15.3555268261,0.231092436975,0.38138332256,0.0517129928895,0.00646412411118,20.3199741435,18.8106011635,6.31706528765,1.00193923723,1.91014867485,0.701357466063,0.606011635423,0.198771816419,24.9919198449,0.153522947641,0.76276664512,0.0213417277462,0.00333464496035,17.8576906917,23.1137580782,8.48933914006,1.01239820996,2.36759792185,0.739260285484,0.346350824996,1.47284268859,1.25481200531,13.3112274446,0.416756566471,0.417892142946,0.0011355764754,16.1274571036,26.1375637342,10.015784513,1.01974767491,2.68904509374,0.555296896469,0.389502731061,0.099930729835,22.2311806589,0.137404753523,0.712006450074,0.615575459681,0.478855016306,0.140722017327,23.3705257401,0.144056662287,0.732954962285
2011年,0.70917636704,0.296512194154,1.38191997057,1.65318173456,13.3058945326,0.327534151207,0.355670344813,0.563853818271,0.301188996095,1.98574605565,2.20638450628,14.3773968165,0.210131857741,0.321326632462,0.0674173043585,0.0148843399233,22.1049958849,19.149141086,6.81965433309,0.976237589087,1.78787188961,0.884304901326,0.633022221444,0.294184600837,23.416568897,0.157598893306,0.341464268829,0.027775473175,0.0205610645581,19.3685228138,23.6178094891,8.84739000732,1.01831377627,2.16720834851,0.810998165745,0.293235342834,0.958842763283,1.26557429344,12.5551349925,0.409793324295,0.379733634339,0.0245385224129,17.451183677,26.7488298192,10.2681447037,1.04779490703,2.43299449724,0.671128587992,0.396297136968,0.146617671417,20.5246336092,0.123919538185,0.337404683177,0.758955786497,0.493826269826,0.207414247736,21.7160913777,0.137795204583,0.339077204994
2012年,0.862304279621,0.319993159447,4.44734583269,1.61608056066,15.7490569575,0.315717814049,0.412406394601,0.642764287663,0.338634868157,5.23279141055,2.0791538943,16.9148919097,0.184564027669,0.389189362692,0.0553692083006,0.00962942753053,20.9977691826,18.7075703349,6.94682951099,0.997448201704,2.08557351265,1.07448362195,0.5544945353,0.292895087387,21.9879953137,0.174132147844,0.333820154392,0.0230210906077,0.00756407262825,18.1136518356,22.9595914085,8.92231697411,1.00273293233,2.5444882576,1.01476168982,0.30704760631,3.90190079743,1.29450379212,14.9394542243,0.406796284222,0.428529236393,0.00612980702253,16.1108046208,25.9123660498,10.2941750116,1.00640286206,2.86317713471,0.861516514257,0.410139815326,0.155474196299,19.6477032728,0.134298499312,0.304261330391,0.948797805761,0.469301375675,0.211794033591,20.6068359484,0.150623707119,0.316375559495
2013年,1.211645017,0.324499151,1.169344409,1.794809958,11.4945826,,0.381094448,0.905039619,0.341761554,1.600658383,2.379998055,12.37622706,,0.376862672,0.056683561,0.009486788,25.0187957,18.61805952,6.397415799,1.034297112,1.913010893,1.205059304,0.50185111,0.341524385,24.15217757,0.20562614,0.320179111,0.023241024,0.00875185,21.90286613,22.38052266,8.719370956,1.061404925,2.317878863,1.424721657,0.312502575,0.869601048,1.388131165,10.88188029,,0.384035338,0.008241102,19.7374385,24.99526137,10.33302292,1.080243607,2.599243467,0.922838565,0.35420255,0.175370644,22.0586272,0.15806433,0.303272541,1.038552872,0.414740449,0.243495917,22.91701107,0.177565313,0.310204463
2014年,1.1913229951,0.3170336556,0.9711121869,1.98067388,12.0720963195,,0.3674549398,0.8656209301,0.3306028226,1.359500195,2.6173256342,12.793114253,,0.3453104917,0.0511571099,0.0083130304,24.919267686,19.2271865934,6.1795657188,1.0730203797,1.7930567013,1.1678741876,0.4849267707,0.3397684714,24.1165273701,0.1773446476,0.4124541984,0.0209724579,0.0076899012,21.6821134645,23.0206805912,8.3414455966,1.0701196653,2.1896119921,1.417622535,0.3076057256,0.7012581178,1.5383248299,11.5711291959,,0.382841021,0.0072569478,19.4329213658,25.6564205475,9.8435313197,1.0681042335,2.465140733,0.8902349622,0.352776523,0.179498382,22.0858541353,0.1586161445,0.3723258518,1.0040564229,0.4069530689,0.2452029872,22.9183524736,0.1662941143,0.3887769387
