,人均原油产量,人均原煤产量,人均发电量,人均布产量,人均机制纸及纸板产量,人均水泥产量,人均粗钢产量,人均纱产量,棉花人均占有量,水产品人均占有量,水果人均占有量,油料人均占有量,猪牛羊肉人均占有量,粮食人均占有量,糖料人均占有量,茶叶人均产量
2001年,128.913551126,1.15699689429,1164.28981405,22.8014309864,29.6974485985,519.746746865,119.223493336,5.98089397335,4.2,29.85,52.3489405197,22.5,37.99,355.888430239,68.051484381,0.55171521799
2002年,130.427991253,1.21087183693,1291.78381756,25.1788503593,36.449468916,566.229303343,142.42900656,6.63855045298,3.83959540769,30.89,54.2953787879,22.6273424867,38.49,356.964620431,80.3864250625,0.582141518276
2003年,131.635982614,1.42416850357,1482.90515368,27.4386836386,37.6383886992,669.109826141,172.567525613,7.63411983856,3.77189459795,31.64,112.677829867,21.8177615647,39.5,334.286915244,74.8342587706,0.596196833282
2004年,135.696853963,1.63772219972,1699.98572613,37.1969214745,41.766641591,745.959840287,218.282815423,9.96346662037,4.8789688714,32.76,118.364153309,23.6553401616,40.39,362.2240179,73.8433470285,0.644431070733
2005年,139.104178811,1.80216449851,1917.78909582,37.1544503421,47.597797073,819.844675237,270.94759611,11.1261620593,4.38297993703,33.9,123.646909612,23.6027294051,41.98,371.262161275,72.4995382444,0.71706907158
2006年,140.93278516,1.92869002761,2185.87512014,45.6552912999,52.348705588,943.360742018,319.711751156,13.2946865799,5.74575237551,34.96,130.447799591,20.1394206611,42.65,379.88966583,79.784974803,0.784171103416
2007年,141.376675507,2.04239573256,2490.01468262,51.2381581094,59.128300269,1032.84618916,371.267599221,14.860337331,5.78472905484,36.02,137.616615919,19.4914173561,40.09,380.61246078,92.4828578045,0.884371451227
2008年,143.758639042,2.11526774896,2638.99732383,54.5840237647,63.4451989386,1074.66268576,379.764919923,15.5189018143,5.65572250888,36.9575368681,145.095808124,22.2912378242,42.4,399.129703476,101.306530115,0.949379060963
2009年,142.338536424,2.23322266124,2790.32720881,56.5945044544,67.3431936662,1234.90362514,429.805071887,17.0248478612,4.78959862026,38.4293282158,153.204523662,23.6918780213,44.4329722744,398.699677366,92.2176454562,1.02056833376
2010年,151.314377983,2.41832093025,3145.05814062,59.8039179042,73.5037246628,1406.82116012,476.360557821,19.2330976634,4.45781315207,40.2,159.986041332,24.1,45.7897102875,408.662779476,89.7693353617,1.10268631724
2011年,150.934433425,2.61879431305,3506.37140753,60.5700341485,81.9183412319,1561.79729639,509.833944633,20.2202167945,4.90418708961,41.7048970246,169.389736087,24.6123186076,45.3558268379,425.152645235,93.1195650889,1.20763153118
2012年,153.608327565,2.70231251319,3692.58270742,62.8520872588,81.117794913,1636.07683452,535.933130722,22.0923302448,5.06107976708,43.7380459689,178.107094548,25.4444266678,47.427050996,436.500957368,99.8406566656,1.32506051329
2013年,,,,,,,,,4.64054934996,45.4699708262,184.9,25.9101723332,48.6442832348,443.456069981,101.3,1.32
2014年,,,,,,,,,4.52866250852,47.3624531801,,25.7091791008,49.7617236612,444.945694321,,
