,专利申请受理数,专利申请授权数,出版科技著作,发明专利申请受理数,发明专利申请授权数,发表科技论文,国家技术发明奖,国家科学技术进步奖,技术市场成交额,来源于企业资金的科技经费筹集额,来源于政府资金的科技经费筹集额,来源于金融机构贷款的科技经费筹集额,研究与试验发展人员全时当量,研究与试验发展人员全时当量中研究人员,研究与试验发展人员全时当量中科学家和工程师,研究与试验发展企业资金经费支出,研究与试验发展基础研究人员全时当量,研究与试验发展基础研究经费支出,研究与试验发展应用研究人员全时当量,研究与试验发展应用研究经费支出,研究与试验发展政府资金经费支出,研究与试验发展经费支出,研究与试验发展试验发展人员全时当量,研究与试验发展试验发展经费支出,科学家和工程师人员,科技成果登记数,科技活动人员,科技经费内部支出,科技经费内部支出中劳务费,科技经费内部支出中固定资产构建费,科技经费筹集额,高技术产品出口额,高技术产品进出口额,高技术产品进口额
2002年,252631.0,132399.0,,80232.0,21473.0,,21.0,218.0,884.1713,1676.6868,776.1912,201.8777,103.51,,,708.0,8.4,73.77,24.73,246.68,397.5,1287.64,70.39,967.2,,26697.0,,2671.5385,654.5592,722.6289,2937.9898,679.0,1507.0,828.0
2003年,308487.0,182226.0,,105318.0,37154.0,,19.0,216.0,1084.6728,2053.5424,839.2833,259.3378,109.48,,,925.4,8.97,87.65,26.03,311.45,460.6,1539.63,74.49,1140.52,,30486.0,,3121.5698,751.4508,852.3507,3459.0986,1103.0,2296.0,1193.0
2004年,353807.0,190238.0,,130133.0,49360.0,,28.0,244.0,1334.363,2771.2063,985.51911,265.0049,115.26169,,,1291.3,11.07,117.18,27.86,400.49,523.6,1966.33,76.33,1448.67,,31720.0,,4004.4254,968.8164,1192.0316,4328.3258,1654.0,3267.0,1613.0
2005年,476264.0,214003.0,40120.0,173327.0,53305.0,94.3403,40.0,236.0,1551.3694,3440.2879,1213.0537,276.8395,136.48,,,1642.5,11.54,131.206527654,29.71,433.5299,645.4,2449.97306,95.23,1885.2366,,32359.0,,4836.2221,1032.4992,1427.9402,5250.8284,2182.48,4159.7,1977.08
2006年,573178.0,268002.0,42918.0,210490.0,57786.0,106.0256,56.0,241.0,1818.1813,4106.9478,1367.8454,374.2727,150.2472,,,2073.7,13.13,155.7558,29.9743,488.9744,742.1,3003.0966,107.1422,2358.3663,,33644.0,,5757.2683,1210.551,1777.5039,6196.7083,2814.5,5287.5,2473.0
2007年,693917.0,351782.0,43063.0,245161.0,67948.0,114.2555,51.0,255.0,2226.5261,5189.4786,1703.5547,384.314,173.62,,,2611.0,13.81,174.52,28.6,492.94,913.5,3710.242,131.21,3042.78,,34170.0,,7098.8733,1506.9098,2186.6235,7695.1502,3478.0,6348.0,2870.0
2008年,828328.0,411982.0,45296.0,289838.0,93706.0,119.3184,55.0,254.0,2665.22881729,6370.4937,1902.0347,405.19925,196.535647,,,3311.52483,15.395983,220.82,28.935845,575.16,1088.89077,4616.0218,152.203819,3820.04,,35971.0,,8510.56428,1837.39492,2626.53787,9123.80695,4156.06,7574.25,3418.2
2009年,976686.0,581992.0,49080.0,314573.0,128489.0,136.1,55.0,282.0,3039.00244054,,,,229.12517,115.23112,,4162.71821,16.45557,270.2857,31.53482,730.79148,1358.27095,5802.10681,181.1405,4801.02943,,38688.0,,,,,,3769.3,6867.84,3098.53
2010年,1222286.0,814825.0,45563.0,391177.0,135110.0,141.6,46.0,273.0,3906.57532061,,,,255.38288,121.0841,,5063.14351,17.36832,324.49233,33.55874,893.78851,1696.29766,7062.57745,204.45992,5844.29662,,42108.0,,,,,,4923.7919566,9050.34401177,4126.55205517
2011年,1633347.0,960513.0,45472.0,526412.0,172113.0,150.0,55.0,283.0,4763.5589398,,,,288.3,131.8086,,6420.64432,19.32154,411.81427,35.27765,1028.4,1882.96556,8687.0,233.72866,7246.8,,44208.0,,,,,,5488.0,10120.0,4632.0
2012年,2050649.0,1255138.0,46751.0,652777.0,217105.0,151.7843,77.0,212.0,6437.0682977,,,,324.7,,,7625.02329,21.21675,498.80659,38.37665,1161.97203,2221.39496,10298.40896,265.0944,8637.63025,,51723.0,,,,,,6011.7,11080.3,5068.6
2013年,2377061.0,1313000.0,45730.0,825136.0,207688.0,154.455,71.0,188.0,7469.12536746,,,,353.3,,,8837.7,22.31915,554.95124,39.56483,1269.11851,2500.57943,11846.6,291.4,10022.5,,52477.0,,,,,,6603.0,12185.0,5582.0
2014年,2361243.0,1302687.0,47470.0,928177.0,233228.0,157.0,70.0,202.0,8577.17898723,,,,371.058,,,9816.51092,23.53976,613.54285,40.7023,1398.5282,2636.08029,13015.62968,306.81989,11003.55864,,53140.0,,,,,,6605.0,12119.0,5514.0
