,人文社科学校数,普通高校数,理工农医学校数,高等学校专利申请受理数,高等学校专利申请授权数,高等学校出版科技著作,高等学校发明专利申请受理数,高等学校发明专利申请授权数,高等学校发表科技论文中国外发表数,高等学校发表科技论文数量,高等学校固定资产购建费,高等学校基础研究机构研究与试验发展折合全时人员,高等学校基础研究经费支出,高等学校应用研究机构研究与试验发展折合全时人员,高等学校来源于企业的科技经费筹集额,高等学校来源于政府的科技经费筹集额,高等学校来源于金融机构贷款科技经费筹集额,高等学校构应用研究经费支出,高等学校用于劳务费的科技经费内部支出,高等学校的科学家和工程师人员,高等学校的科技经费内部支出,高等学校研究与试验发展人员,高等学校研究与试验发展企业资金经费支出,高等学校研究与试验发展政府资金经费支出,高等学校研究与试验发展机构数,高等学校研究与试验发展经费支出,高等学校研究与试验发展项目(课题)人员全时当量,高等学校研究与试验发展项目(课题)数,高等学校研究与试验发展项目(课题)经费支出,高等学校科技活动人员,高等学校科技经费筹集额,高等学校科研和开发机构研究与试验发展折合全时人员,高等学校科研和开发机构研究与试验发展折合全时科学家和工程师人员,高等学校试验发展机构研究与试验发展折合全时人员,高等学校试验发展经费支出
2002年,,1396.0,,6778.0,2251.0,,4677.0,881.0,,541390.0,38.3,5.6,27.8,9.5,89.6,137.3,1.3,67.1,38.2,37.6136,204.2,,0.0,0.0,3702.0,130.5,,,,38.3004,247.7,18.1,17.8,3.1,35.6
2003年,,1552.0,,10770.0,3954.0,,7852.0,2042.0,,612738.0,45.1,5.8,32.9,10.0,112.6,164.8,1.5,89.7,49.1,40.3785,253.9,,,,3145.0,162.3,,,,41.0995,307.8,18.9,18.6,3.1,39.7
2004年,,1731.0,,14888.0,6399.0,,10622.0,3562.0,,668520.0,81.37001852,7.487854658,47.9364702229,10.396404925,148.62113845,210.60161372,1.2994,108.803117057,58.27523428,36.3793,318.16686385,,74.548,108.8314,3681.0,200.9392,,,,43.6807,391.62544401,21.20749,20.64088,3.323189978,44.1995786303
2005年,815.0,1792.0,786.0,20094.0,8843.0,33064.0,14673.0,4715.0,69857.0,728082.0,93.85,7.75073470115,56.7,11.0719274515,172.89,251.5,0.29584,125.03,71.48,39.5054,387.46,38.7,88.9252,133.1229,3936.0,242.3,22.478865,280327.0,193.4537027,47.091,460.92,22.72,22.19,3.89367284734,60.6
2006年,843.0,1867.0,800.0,24490.0,12043.0,34633.0,18059.0,6650.0,90722.0,830948.0,113.0091,8.9624,71.3622,11.3442,197.398,287.7505,0.1287,137.2615,78.918,42.934,440.9338,42.1,101.2189,151.5248,4154.0,276.8113,26.80722,365294.0,287.017956,50.8711,527.9653,24.249,23.6578,3.9352,68.1875
2007年,840.0,1908.0,786.0,29860.0,14111.0,35733.0,21864.0,8251.0,108727.0,905985.0,115.0,9.4,86.8383,12.0,219.2,345.4,,161.8,87.0,45.9606,489.1,44.8,110.3123,177.7,4502.0,314.7,25.152415,375425.0,258.23546708,54.1668,612.7,25.4,24.8,4.0,66.079435
2008年,869.0,2263.0,827.0,40610.0,19248.0,37541.0,29337.0,10216.0,134058.0,964877.0,142.1,10.9,114.8,13.68,256.91,424.07,0.3,208.9,103.4,49.2474,593.0,47.8,134.895063662,225.454249963,5159.0,390.2,26.6,429096.0,323.2283,58.0197,732.7,26.6,26.1,2.0,66.5
2009年,954.0,2305.0,1003.0,56641.0,25570.0,40919.0,36241.0,14408.0,156750.0,1016345.0,,11.3,145.5,14.1,,,,250.0,,,,50.9,171.7,262.2,6082.0,468.2,27.4,476708.0,363.5,,,27.5,,2.1,72.6
2010年,963.0,2358.0,970.0,72744.0,37490.0,38101.0,44132.0,18055.0,182247.0,1062512.0,,12.0038,179.9289,14.8234,,,,337.0342,,,,59.3569,198.505,358.8367,7833.0,597.2984,28.894,547717.0,466.9996,,,28.967,,2.13985,80.3352
2011年,997.0,2409.0,975.0,95592.0,53055.0,37472.0,54362.0,25064.0,218301.0,1109965.0,,12.9330978533,226.67101178,15.0373273,,,,372.42053843,,,,63.1728,242.90777169,405.14501285,8630.0,688.84125123,29.90133,604107.0,535.33884607,,,29.922,,1.96157484663,89.75660102
2012年,1090.0,2442.0,1039.0,113430.0,74550.0,38760.0,66755.0,34441.0,226097.0,1117742.0,,14.0449100823,275.65436,15.4,,,,402.70397107,,,,67.7799,260.48212727,474.07324692,9225.0,780.55532321,31.31065,657027.0,607.26808376,,,31.4,,1.9,102.1974655
2013年,1150.0,2491.0,1070.0,133865.0,84930.0,37866.0,81251.0,35873.0,249637.0,1127210.0,,14.6580283666,307.6,15.9062688069,,,,441.3,,,,71.5144,289.3,516.9,9842.0,856.7,32.43035,711010.0,662.7,,,32.47512,,1.91082282644,107.8
2014年,1540.0,2529.0,1356.0,149961.0,85006.0,39326.0,93415.0,39468.0,278599.0,1152147.0,,15.5,328.6,16.1,,,,476.4,,,,76.3,302.7,536.5,10632.0,898.1,33.5,766731.0,701.8,,,33.5,,1.9,93.1
