,国家监督抽查不合格产品,国家监督抽查产品批次,国家监督抽查产品种类,国家监督抽查企业,国家监督抽查农业生产资料不合格产品,国家监督抽查农业生产资料企业,国家监督抽查农业生产资料批次,国家监督抽查农业生产资料种类,国家监督抽查合格产品,国家监督抽查工业生产资料不合格产品,国家监督抽查工业生产资料企业,国家监督抽查工业生产资料批次,国家监督抽查工业生产资料种类,国家监督抽查建筑与装饰装修材料不合格产品,国家监督抽查建筑与装饰装修材料企业,国家监督抽查建筑与装饰装修材料批次,国家监督抽查建筑与装饰装修材料种类,国家监督抽查抽查产品(类),国家监督抽查无不合格品企业数,国家监督抽查日用消费品不合格产品,国家监督抽查日用消费品企业,国家监督抽查日用消费品批次,国家监督抽查日用消费品种类,国家监督抽查样品合格率,国家监督抽查食品不合格产品,国家监督抽查食品企业,国家监督抽查食品批次,国家监督抽查食品种类
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,185.0,5288.0,0.0,0.0,0.0,0.0,5061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,3851.0,0.0,0.0,0.0,0.0,75.4,0.0,0.0,0.0,0.0
1996年,0.0,0.0,217.0,6779.0,0.0,0.0,0.0,0.0,6420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,5052.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0,0.0
1997年,0.0,0.0,187.0,5441.0,0.0,0.0,0.0,0.0,5162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,4116.0,0.0,0.0,0.0,0.0,78.3,0.0,0.0,0.0,0.0
1998年,0.0,0.0,176.0,5431.0,0.0,0.0,0.0,0.0,5269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,4056.0,0.0,0.0,0.0,0.0,77.8,0.0,0.0,0.0,0.0
1999年,0.0,0.0,207.0,7131.0,0.0,0.0,0.0,0.0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,5440.0,0.0,0.0,0.0,0.0,78.6,0.0,0.0,0.0,0.0
2000年,0.0,9705.0,235.0,8142.0,0.0,0.0,0.0,0.0,7655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,6254.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,0.0,0.0
2001年,0.0,0.0,207.0,8076.0,0.0,0.0,0.0,0.0,7513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,5992.0,0.0,0.0,0.0,0.0,75.8,0.0,0.0,0.0,0.0
2002年,0.0,0.0,222.0,7892.0,0.0,0.0,0.0,0.0,6942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,6033.0,0.0,0.0,0.0,0.0,78.4,0.0,0.0,0.0,0.0
2003年,0.0,0.0,249.0,10134.0,0.0,0.0,0.0,0.0,8738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,7809.0,0.0,0.0,0.0,0.0,78.4,0.0,0.0,0.0,0.0
2004年,0.0,0.0,240.0,10919.0,0.0,0.0,0.0,0.0,9497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,8225.0,0.0,0.0,0.0,0.0,76.9,0.0,0.0,0.0,0.0
2005年,0.0,0.0,249.0,11359.0,0.0,0.0,0.0,0.0,9478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,8427.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0,0.0,0.0
2006年,0.0,0.0,264.0,14843.0,0.0,0.0,0.0,0.0,13625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,11102.0,0.0,0.0,0.0,0.0,77.4,0.0,0.0,0.0,0.0
2007年,0.0,0.0,259.0,13826.0,0.0,0.0,0.0,0.0,13496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,10863.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
2008年,3633.0,23423.0,237.0,20881.0,307.0,1755.0,2027.0,22.0,0.0,673.0,3288.0,3495.0,60.0,603.0,3998.0,4269.0,28.0,0.0,0.0,950.0,4703.0,5213.0,68.0,0.0,1016.0,6707.0,7981.0,48.0
2009年,2599.0,21382.0,149.0,18248.0,521.0,3471.0,4004.0,17.0,0.0,306.0,1877.0,1948.0,23.0,405.0,2439.0,2625.0,19.0,0.0,0.0,861.0,5585.0,7014.0,60.0,0.0,506.0,4876.0,5791.0,30.0
2010年,2028.0,16357.0,132.0,15336.0,83.0,824.0,842.0,10.0,0.0,282.0,1512.0,1566.0,35.0,560.0,3859.0,3925.0,22.0,0.0,0.0,894.0,5548.0,6167.0,42.0,0.0,209.0,3593.0,3857.0,23.0
2011年,2621.0,20965.0,156.0,19328.0,142.0,1094.0,1110.0,11.0,0.0,840.0,3574.0,4409.0,37.0,700.0,5820.0,5858.0,24.0,0.0,0.0,736.0,4951.0,5434.0,55.0,0.0,203.0,3889.0,4154.0,29.0
2012年,2072.0,20355.0,149.0,18791.0,234.0,2448.0,2512.0,11.0,0.0,510.0,3983.0,4277.0,38.0,435.0,2803.0,3258.0,22.0,0.0,0.0,732.0,6204.0,6835.0,55.0,0.0,161.0,3353.0,3473.0,23.0
2013年,1895.0,17020.0,139.0,16021.0,328.0,3504.0,3738.0,16.0,0.0,445.0,2826.0,3261.0,35.0,370.0,3599.0,3600.0,24.0,0.0,0.0,723.0,5296.0,5625.0,60.0,0.0,29.0,796.0,796.0,4.0
2014年,1985.0,25672.0,159.0,24245.0,164.0,1851.0,1854.0,11.0,0.0,385.0,3833.0,4132.0,51.0,349.0,4591.0,4596.0,28.0,0.0,0.0,974.0,7288.0,7639.0,64.0,0.0,113.0,6695.0,7451.0,5.0
