,群众业余文艺团体数,群众文化服务业从业人员数,群众文化服务业机构数,群众文化机构举办展览,群众文化机构举办训练班班次,群众文化机构参加培训人次,群众文化机构参加文艺活动人次,群众文化机构参加研讨和讲座人次,群众文化机构参观展览人次,群众文化机构总支出,群众文化机构拥有计算机台数,群众文化机构收入,群众文化机构组织各类理论研讨和讲座次数,群众文化机构组织文艺活动,群众文化机构藏书,群众文化机构馆办文艺团体数,群众文化机构馆办文艺团体演出场次,群众文化机构馆办老年大学数
1997年,0.0,0.0,45449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,129842.0,45834.0,86960.0,125872.0,0.0,0.0,0.0,0.0,173207.0,0.0,0.0,0.0,267351.0,0.0,0.0,0.0,0.0
1999年,0.0,128216.0,45837.0,94270.0,138195.0,0.0,0.0,0.0,0.0,177528.0,0.0,0.0,0.0,280373.0,0.0,0.0,0.0,0.0
2000年,0.0,128420.0,45321.0,91670.0,143370.0,0.0,0.0,0.0,0.0,188437.0,0.0,0.0,0.0,276574.0,0.0,0.0,0.0,0.0
2001年,0.0,120283.0,43379.0,89462.0,156145.0,0.0,0.0,0.0,0.0,211113.0,0.0,0.0,0.0,284497.0,0.0,0.0,0.0,0.0
2002年,0.0,119072.0,42516.0,92917.0,137350.0,0.0,0.0,0.0,0.0,235593.0,0.0,0.0,0.0,301792.0,0.0,0.0,0.0,0.0
2003年,0.0,123458.0,41816.0,93514.0,154502.0,0.0,0.0,0.0,0.0,265751.0,0.0,0.0,0.0,327306.0,0.0,0.0,0.0,0.0
2004年,0.0,121438.0,41402.0,120702.0,168301.0,0.0,0.0,0.0,0.0,310850.0,0.0,0.0,0.0,424479.0,0.0,0.0,0.0,0.0
2005年,0.0,122500.0,41588.0,111300.0,190194.0,0.0,0.0,0.0,0.0,358640.0,0.0,0.0,0.0,391439.0,0.0,0.0,0.0,0.0
2006年,0.0,123465.0,40088.0,141150.0,218696.0,0.0,0.0,0.0,0.0,412430.4,0.0,0.0,0.0,497779.0,0.0,0.0,0.0,0.0
2007年,0.0,128096.0,40601.0,90900.0,242055.0,0.0,0.0,0.0,0.0,575722.0,0.0,0.0,0.0,546477.0,0.0,0.0,0.0,0.0
2008年,75021.0,131142.0,41156.0,100877.0,299791.0,0.0,0.0,0.0,0.0,653613.1,11852.0,66.0111,11451.0,473613.0,12449.5,6114.0,0.0,650.0
2009年,259608.0,137484.0,41959.0,110251.0,304955.0,1593.322,0.0,0.0,0.0,794200.0,84347.0,80.72,11259.0,555052.0,13922.755,5260.0,74877.0,776.0
2010年,304505.0,141002.0,43382.0,117353.0,358719.0,1805.6,0.0,0.0,0.0,932000.0,115269.0,94.4,12192.0,576799.0,16139.2,5590.0,73854.0,783.0
2011年,267844.0,147732.0,43675.0,107785.0,339883.0,2414.44,28224.0,315.61,7751.64,1267504.8,169267.0,128.56014,17590.0,620586.0,18010.31,7927.0,312335.0,699.0
2012年,303342.0,156228.0,43876.0,114774.0,387201.0,2749.66,31958.3,365.88,8961.78,1467802.7,233992.0,145.36012,20825.0,688482.0,20789.3,8750.0,140435.0,719.0
2013年,342649.0,164355.0,44260.0,138225.0,390758.0,3105.0,31379.0,441.0,9246.0,1635400.0,292218.0,166.76,23637.0,740611.0,23013.0,6022.0,151351.0,724.0
2014年,404610.0,170299.0,44423.0,131728.0,469300.0,3577.655,36382.376,445.372,10262.694,1828632.0,346671.0,190.17263,25555.0,1472004.0,24845.107,6447.0,133351.0,705.0
