,借方经常项目,借方经常项目中专有权利使用费和特许费服务,借方经常项目中保险服务,借方经常项目中其它商业服务,借方经常项目中其它部门经常转移,借方经常项目中别处未提及的政府服务,借方经常项目中各级政府经常转移,借方经常项目中咨询服务,借方经常项目中广告、宣传服务,借方经常项目中建筑服务,借方经常项目中投资收益,借方经常项目中收益,借方经常项目中旅游服务,借方经常项目中服务,借方经常项目中电影、音像服务,借方经常项目中经常转移,借方经常项目中职工报酬,借方经常项目中计算机和信息服务,借方经常项目中货物,借方经常项目中货物和服务,借方经常项目中运输服务,借方经常项目中通讯服务,借方经常项目中金融服务
1996年,17412100.0,0.0,23300.0,635900.0,16100.0,21600.0,7800.0,0.0,0.0,85700.0,1975500.0,1975500.0,447400.0,2258500.0,0.0,23900.0,0.0,0.0,13154200.0,15412700.0,1031200.0,13400.0,0.0
1997年,18146416.0,54343.0,104567.0,525279.0,33354.0,24293.0,0.0,46807.0,24143.0,120910.0,1671450.0,1671450.0,813010.0,2796787.0,4391.0,33354.0,0.0,23123.0,13644825.0,16441612.0,994440.0,28993.0,32488.0
1998年,18619883.693,41965.7,175812.4,543583.8,28988.2,20516.5,9232.0,92605.2,26500.1,111972.9,2202392.3,2222784.6,920544.0,2667315.793,3902.5,38220.2,20392.3,33296.3,13691563.1,16358878.893,676316.593,20748.3,16342.8
1999年,21354708.4974,79162.3,192107.709,658975.9611,33118.9,62173.2,109420.6,52440.0,21896.9,153980.6,2227767.5,2280030.8,1086448.0,3158760.9061,3395.6,42378.6,52263.3,22362.5,15873538.1913,19032299.0974,789787.736,19344.8,16685.6
2000年,27845356.5411,137834.2,247142.166,611721.4113,45568.5,17275.7,9384.5,63973.2,23421.3,99444.4,2653703.4366,2721639.5366,1311368.68,3603060.8246,3742.4,54953.0,67936.1,26501.3,21465703.1799,25068764.0045,1039611.464,24197.0,9744.1033
2001年,30051918.9552,193805.96644,271101.420319,574357.049927,42772.5856611,23503.8092453,20467.2,150211.665074,25805.977692,84700.8973314,2771120.38841,2856283.86673,1390882.62,3926614.83144,5021.95576118,63239.7856611,85163.4783226,34470.5795265,23205780.4713,27132395.3028,1132413.65109,32597.8519841,7741.38704609
2002年,35211300.2415,311400.404065,324573.773937,493197.376448,65078.6230124,44839.9851728,16014.2,263052.660254,39444.6780322,96386.0885904,2233909.06085,2328941.75533,1539841.64,4652840.82073,9602.39048203,81092.8230124,95032.694481,113285.442692,28148424.8424,32801265.6631,1361190.32824,47041.88277,8984.17004685
2003年,47655488.1255,354812.67516,456421.62864,646383.650022,92779.8513108,45407.7691354,10573.6,344953.697737,45788.1365533,118323.863858,2519294.83598,2631318.12471,1518727.2,5530626.95808,6953.51468351,103353.451311,112023.28873,103581.243607,39390189.5914,44920816.5494,1823283.29038,42738.3798314,23251.9084687
2004年,63424825.9429,449660.47956,612357.403496,847813.534695,124155.426352,53098.5648696,18659.2,473430.93415,69833.5381782,133882.615505,2430690.47691,2568907.24253,1973740.285,7272080.46381,17583.0567051,142814.626352,138216.765624,125274.673267,53441023.6102,60713104.074,2454375.89426,47219.8661634,13809.6179642
2005年,77151702.6458,532125.386335,719955.910732,955512.408842,269743.824654,62283.5806672,117191.791692,618354.0149,71520.7683457,161938.163899,5356922.297,5538663.66597,2175907.01703,8396639.60162,15395.4347062,386935.616346,181741.368977,161993.933474,62829463.7619,71226103.3635,2845364.98102,60340.426821,15947.5748377
2006年,91598609.6402,663408.102004,883109.419184,1126110.63742,215294.32534,50637.8523289,135718.555194,838920.837875,95495.9590482,204972.064654,5737657.78524,5970657.0665,2432170.4308,10083314.9873,12147.9584909,351012.880534,232999.281257,173885.095904,75193624.7059,85276939.6932,3436902.57396,76407.3351402,89146.7205291
2007年,111520601.852,819206.740233,1066412.66122,1823806.38939,368578.875194,85659.8761074,185765.239701,1085636.97598,133691.816152,290981.698707,7293875.12007,7543180.9346,2978604.67427,13011612.9041,15371.563897,554344.114895,249305.814524,220807.227119,90411463.898,103423076.802,4327574.35707,108166.543108,55692.3808257
2008年,132559228.249,1031946.63561,1274284.37777,2312079.83282,704131.710081,92007.6379146,236793.124638,1353555.08927,194065.580975,436301.27951,8047082.51288,8320721.59202,3615700.0,15892358.589,25462.1516859,940924.834719,273639.079138,316513.12097,107405223.233,123297581.822,5032873.51146,151007.886926,56561.4841269
2009年,124091309.064,1106527.1082,1130896.3727,1877186.64261,832358.027288,83979.9759,266287.064239,1341019.23583,195336.026475,586763.7104,11473180.0392,11678345.6826,4370167.2774,15885583.106,27844.6148,1098645.09153,205165.6434,323256.945,95428735.1839,111314318.29,4657395.0086,120954.809,64255.3790488
2010年,169771736.726,1303954.6459,1575459.5076,1717624.95408,616964.254876,114737.9908,266522.813188,1509381.76307,204029.626919,507184.1491,16686835.827,16832381.3645,5488003.12,19332109.834,37081.9729,883487.068065,145545.5375,296537.7615,132723758.459,152055868.293,6325671.2806,113712.6597,138730.401802
2011年,215357053.246,1470610.8691,1973777.6691,2785145.1364,2770613.76991,106473.424,335338.774585,1858154.3869,277328.053959,372843.5521,21296700.8182,21458515.533,7258505.311,24765419.8692,39956.1543,3105952.5445,161814.7148,384413.7653,166027165.299,190792585.168,8044471.0015,119057.3365,74683.2090037
2012年,226678644.849,1774898.3437,2060013.1609,1956043.92962,4377230.9274,104018.5364,396111.920126,2001971.69032,277341.193618,361870.3858,20079285.8303,20258091.6809,10197658.2284,28118035.0849,56448.7793,4773342.84752,178805.8506,384317.7448,173529175.236,201647210.321,8586159.9518,164718.5767,192574.563554
2013年,251392500.0,2103307.8371,2209269.6296,2058268.17133,5765816.68763,118878.0576,423695.749868,2360372.99864,313887.941051,389027.2982,26070100.0,26241500.0,12857639.4743,33052824.0475,78273.9755,6189512.4375,171420.2599,598523.7644,185908672.913,218961496.96,9432376.6852,163874.2321,369123.982561
2014年,257949954.535,2261380.07815,2245409.10755,2308482.39694,6679023.33039,202707.487554,457123.603299,2648227.86677,380319.782649,486964.13024,24291577.4119,24707107.6171,16485910.9318,38291373.4665,87348.992506,7136146.93369,415530.205229,846212.689606,187815326.518,226106699.985,9615779.80999,228614.156467,494016.03619
