,借方直接投资金融项目,借方资本和金融项目,借方资本项目,借方金融项目,借方金融项目中其它投资,借方金融项目中其它投资其它资产,借方金融项目中其它投资的短期其它资产,借方金融项目中其它投资的短期贸易信贷资产,借方金融项目中其它投资的贸易信贷资产,借方金融项目中其它投资的资产,借方金融项目中其它投资的长期其它资产,借方金融项目中其它投资的长期贸易信贷资产,借方金融项目中其它投资短期贷款资产,借方金融项目中其它投资货币和存款负债,借方金融项目中其它投资货币和存款资产,借方金融项目中其它投资贷款负债,借方金融项目中其它投资贷款资产,借方金融项目中其它投资长期贷款资产,借方金融项目中证券投资的中长期债务证券负债,借方金融项目中证券投资的中长期债务证券资产,借方金融项目中证券投资的债务证券负债,借方金融项目中证券投资的债务证券资产,借方金融项目中证券投资的股本证券负债,借方金融项目中证券投资的股本证券资产,借方金融项目中证券投资的货币市场工具债务证券负债,借方金融项目中证券投资的货币市场工具债务证券资产,借方金融项目中证券投资负债,借方金融项目中证券投资资产,借方金融项目其它投资中其它负债,借方金融项目其它投资中短期贷款负债,借方金融项目其它投资中负债,借方金融项目其它投资的短期贸易信贷负债,借方金融项目其它投资的贸易信贷负债,借方金融项目其它投资的长期贷款负债,借方金融项目其它投资短期其它负债,借方金融项目其它投资长期其它负债,借方金融项目外国在华直接投资,借方金融项目我国在外直接投资,借方金融项目的其它投资长期贸易信贷负债,借方金融项目的证券投资
1988年,85000.0,1499300.0,0.0,1499300.0,1380300.0,259200.0,259200.0,727400.0,741600.0,1022900.0,0.0,14200.0,0.0,0.0,0.0,148100.0,22100.0,22100.0,0.0,0.0,0.0,34000.0,0.0,0.0,0.0,34000.0,0.0,34000.0,84600.0,12700.0,357400.0,94300.0,124700.0,135400.0,0.0,84600.0,0.0,85000.0,30400.0,34000.0
1989年,78000.0,1475700.0,0.0,1475700.0,1365700.0,66300.0,66300.0,534400.0,544700.0,630300.0,0.0,10300.0,0.0,0.0,0.0,522600.0,19300.0,19300.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,32000.0,0.0,32000.0,62200.0,61900.0,735400.0,123900.0,150600.0,460700.0,0.0,62200.0,0.0,78000.0,26700.0,32000.0
1990年,83000.0,2315100.0,0.0,2315100.0,2208000.0,635800.0,635800.0,545200.0,582300.0,1237600.0,0.0,37100.0,0.0,0.0,0.0,821300.0,19500.0,19500.0,0.0,0.0,0.0,24100.0,0.0,0.0,0.0,24100.0,0.0,24100.0,48500.0,555500.0,970400.0,62800.0,100600.0,265800.0,0.0,48500.0,0.0,83000.0,37800.0,24100.0
1991年,91300.0,1574200.0,0.0,1574200.0,1449900.0,345100.0,345100.0,599200.0,647600.0,1005700.0,0.0,48400.0,0.0,0.0,0.0,269900.0,13000.0,13000.0,0.0,0.0,0.0,33000.0,0.0,0.0,0.0,33000.0,0.0,33000.0,48200.0,0.0,444200.0,111100.0,126100.0,269900.0,0.0,48200.0,0.0,91300.0,15000.0,33000.0
1992年,400000.0,3047400.0,0.0,3047400.0,2555200.0,348700.0,348700.0,0.0,606900.0,970300.0,0.0,606900.0,0.0,0.0,0.0,975700.0,14700.0,14700.0,47200.0,0.0,47200.0,45000.0,0.0,0.0,0.0,45000.0,47200.0,45000.0,429400.0,0.0,1584900.0,0.0,179800.0,975700.0,0.0,429400.0,0.0,400000.0,179800.0,92200.0
1993年,440000.0,2735400.0,0.0,2735400.0,2096200.0,356800.0,356800.0,0.0,590000.0,967400.0,0.0,590000.0,0.0,0.0,0.0,563900.0,20600.0,20600.0,139500.0,0.0,139500.0,59700.0,0.0,0.0,0.0,59700.0,139500.0,59700.0,210800.0,84600.0,1128800.0,0.0,354100.0,479300.0,0.0,210800.0,0.0,440000.0,354100.0,199200.0
1994年,200000.0,2914900.0,0.0,2914900.0,2619900.0,370200.0,370200.0,0.0,530900.0,918900.0,0.0,530900.0,0.0,0.0,0.0,1003900.0,17800.0,17800.0,57000.0,0.0,57000.0,38000.0,0.0,0.0,0.0,38000.0,57000.0,38000.0,184500.0,41400.0,1701000.0,0.0,512600.0,962500.0,0.0,184500.0,0.0,200000.0,512600.0,95000.0
1995年,388700.0,2903700.0,0.0,2903700.0,2413700.0,0.0,0.0,0.0,676100.0,693600.0,0.0,676100.0,0.0,0.0,0.0,1061700.0,17500.0,17500.0,101300.0,0.0,101300.0,0.0,0.0,0.0,0.0,0.0,101300.0,0.0,95900.0,121900.0,1720100.0,0.0,562500.0,939800.0,0.0,95900.0,188700.0,200000.0,562500.0,101300.0
1996年,428400.0,3101000.0,0.0,3101000.0,2511600.0,91400.0,91400.0,0.0,467900.0,597500.0,0.0,467900.0,0.0,0.0,0.0,1042900.0,38200.0,38200.0,98200.0,0.0,98200.0,62800.0,0.0,0.0,0.0,62800.0,98200.0,62800.0,177900.0,192900.0,1914100.0,0.0,693300.0,850000.0,0.0,177900.0,217000.0,211400.0,693300.0,161000.0
1997年,376541.0,7162177.0,2076.0,7160101.0,6554763.0,783490.0,783490.0,1501830.0,1501830.0,4019483.0,0.0,0.0,222907.0,203896.0,1511256.0,1985794.0,222907.0,0.0,134204.0,93577.0,135220.0,93577.0,0.0,0.0,1016.0,0.0,135220.0,93577.0,345590.0,1238952.0,2535280.0,0.0,0.0,746842.0,86876.0,258714.0,104180.0,272361.0,0.0,228797.0
1998年,452691.5,9564822.9,4683.4,9560139.5,8544259.0,1848708.8,1341795.1,2589107.1,2589107.1,4624528.1,506913.7,0.0,227028.7,622352.4,479673.9,2871763.9,240328.7,19200.0,169490.5,386505.7,176683.3,386505.7,0.0,0.0,8170.0,0.0,176683.3,386505.7,858988.2,1155941.9,4277104.5,1209567.2,1209567.2,1715822.0,443167.7,418379.6,171086.4,304041.2,0.0,563189.0
1999年,403662.6,8657442.32,2552.5,8654889.82,6947043.24,997078.85,461583.15,2289817.1,2289817.1,4214641.15,541300.0,0.0,563319.0,494807.3,477871.6,1556919.09,559019.0,0.0,232111.38,1164216.3,237811.38,1164216.3,0.0,0.0,5700.0,0.0,237811.38,1164216.3,1130221.2,320557.0,3081853.59,0.0,0.0,1236362.09,620875.26,509345.94,165955.0,237707.6,0.0,1304183.98
2000年,461268.7903,9006416.76873,4320.0,9002888.46873,7361098.17843,1041490.64404,355345.78,2300207.95,2300207.95,5445410.7928,726085.044045,0.0,1852072.2,6234.94,1388968.1,1459159.29,1852072.2,16100.0,44283.0,1167819.0,44283.0,1167819.0,0.0,0.0,0.0,0.0,44283.0,1167819.0,1045003.34,399308.3,2510397.29,419585.344049,419585.344049,1059850.99,551573.21,493430.13,237333.6,223935.1903,0.0,1180521.5
2001年,969652.774308,6475570.81895,6803.65060828,6470216.86834,5259815.39454,891672.893603,352943.105716,2087817.2,2087817.2,2952779.99667,538729.787888,0.0,24573.5384441,7534.34,400371.686232,1179462.32,42273.5384441,21000.0,110203.12,1575043.9,110203.12,2145194.65575,750138.0,0.0,0.0,1509786.0,711776.12,2145194.65575,672522.6,346901.58,3553737.26,2112226.84,2112494.34,878096.0,296699.6,490355.7,260470.885949,709181.888359,1505.1,2853576.34926
2002年,628404.971862,9603046.92853,4963.14178138,9598083.78675,7706768.73719,775983.506814,726743.24178,244533.404788,244533.404788,1811850.29714,236594.997296,0.0,1052219.71004,381568.46,516592.11377,5621686.04,1049719.71004,6100.0,72615.06,330546.38917,72669.56,1210924.3977,0.0,0.0,1484.5,1090200.0,72615.06,1210924.3977,869101.99,3331596.79,6021756.43,219532.083051,219532.083051,2290089.25,300609.91,612255.2,343502.337084,284902.634778,0.0,1262910.0777
2003年,845608.372356,18831820.1256,4808.25091579,18827011.8746,17394510.9579,5817271.87603,1317271.87603,390289.976279,390289.976279,8092000.0772,4500000.0,0.0,714640.597838,805670.74,1089697.62705,7651875.44,794740.597838,80100.0,81378.4,1704.11435683,86288.43,499604.114357,1000.0,0.0,4910.03,497900.0,87288.43,499604.114357,747879.0,5149469.74,9302510.88072,97085.7007218,97085.7007218,2502405.7,253286.05,494592.95,642828.126694,202780.245662,0.0,586892.544357
2004年,797260.171371,29027129.8468,6934.5308409,29020195.316,26723610.7494,3371009.80967,3371009.80967,1456100.0,1589700.0,7609090.83944,0.0,133600.0,2400309.82003,1297791.52,142371.209733,17220027.32,2506009.82003,105700.0,48084.51,520856.905185,49167.49,1449656.90519,500.0,0.0,1082.98,928800.0,49667.49,1449656.90519,453701.07,14569930.5,19114519.91,143000.0,143000.0,2650096.82,209809.62,243891.45,569351.674495,227908.496876,0.0,1499324.39519
2005年,2083109.81848,38973077.2241,5335.45462922,38967741.7695,33808204.5411,1232029.78151,889853.414686,2198906.97318,2290528.09707,7511127.4729,342176.366822,91621.1238826,1856769.27836,3162952.5578,1981300.31597,22726274.6575,2007269.27836,150500.0,69600.57,2543500.54988,69893.17,3006534.23992,0.0,0.0,292.6,463033.690046,69893.17,3006534.23992,407849.852912,21124375.6675,26297077.0682,0.0,0.0,1601898.99,325410.58,82439.2729125,653667.443347,1429442.37514,0.0,3076427.40992
2006年,3312271.1321,68528993.1823,8236.23342678,68520756.9489,53395077.0297,994358.110212,994358.110212,2598415.23923,2779645.04086,7694946.02665,0.0,181229.801634,1541766.96614,2487716.11309,2084475.90944,42740963.64,1836466.96614,294700.0,0.0,10905378.7871,0.0,11645608.7871,0.0,167800.0,0.0,740230.0,0.0,11813408.7871,471451.25,41779512.13,45700131.0031,0.0,0.0,961451.51,427994.41,43456.84,847274.189934,2464996.94217,0.0,11813408.7871
2007年,3029530.72563,89941008.7542,21562.3923473,89919446.3619,80826772.0489,11747129.9161,11747129.9161,2256738.99418,2426601.06901,21030474.0917,0.0,169862.074831,3143831.1267,6335477.18092,3301011.97986,53166435.23,3555731.1267,411900.0,33000.0,4099163.58734,33000.0,4335963.58734,0.0,1694180.0,0.0,236800.0,33000.0,6030143.58734,294385.546289,51776942.46,59796297.9572,0.0,0.0,1389492.77,243693.865,50691.6812886,1121052.5099,1908478.21573,0.0,6063143.58734
2008年,7200517.68625,94440031.595,26843.8686444,94413187.7263,81976805.9033,10516193.2218,10516193.2218,1600425.52512,1720887.66142,26973050.2851,0.0,120462.1363,3047142.75391,6584189.49814,9851326.64795,44048693.73,4884642.75391,1837500.0,12551.4,3009267.45477,12551.4,4325478.68681,27286.25,870547.8,0.0,1316211.23204,39837.65,5196026.48681,398125.533109,42661168.81,55003755.6181,3694654.57691,3972746.85689,1387524.92,116433.29,281692.243109,1308711.47463,5891806.21162,278092.279983,5235864.13681
2009年,7990374.13297,66493887.0137,26500.516,66467386.4977,50170614.2567,903221.036591,903221.036591,3187166.63443,3427060.89724,14172180.7475,0.0,239894.262806,96692.722041,3490928.37585,5615910.7956,31746803.81,4225988.01811,4129295.29606,169921.6,1813739.89676,170008.96,2542716.42236,68901.025452,5524771.70021,87.36,728976.5256,238909.985452,8067488.12257,185851.27817,29428512.55,35998433.5092,534610.54203,574850.045193,2318291.26,146806.7,39044.5781699,3184296.80368,4806077.3293,40239.5031635,8306398.10803
2010年,8723672.70816,87978721.5488,18493.5457432,87960228.003,75281943.6276,5213.3691,5213.3691,5775266.17232,6209963.62615,19122788.7053,0.0,434697.453831,1307450.54278,4347380.82,8833423.27982,50687998.9,4074188.43025,2766737.88747,190847.5,1095818.63484,190847.5,1456825.42284,317071.022116,1989867.72228,0.0,361006.788,507918.522116,3446693.14512,248361.952029,49056247.28,56159154.9223,814134.322763,875413.250282,1631751.62,202900.55,248361.952029,2167630.63313,6556042.07504,61278.9275198,3954611.66724
2011年,9994013.26519,118400386.033,17424.5995,118382961.434,105158163.542,442834.4492,442834.4492,6953865.38,7095781.0,28368320.9141,0.0,141915.62,725846.780162,12366244.792,15695083.7266,62924787.8327,5134621.73829,4408774.95813,317454.21,875010.307195,317454.21,912138.064031,988710.73921,1012481.61327,0.0,37127.7568366,1306164.94921,1924619.6773,758810.003178,58842231.9227,76789842.6279,727050.0,740000.0,4082555.91,367848.72,390961.283178,3411204.67313,6582808.59206,12950.0,3230784.62651
2012年,11676667.867,139513821.481,27750.8808,139486070.6,124293182.107,1246147.52222,246147.522224,6097756.0,6222200.0,37176845.0401,1000000.0,124444.0,3288042.09356,19331722.3196,20736809.0584,66476577.0343,8971688.45944,5683646.36588,15873.0,1587690.87083,15888.21,2010473.83938,494381.814579,995476.761804,15.21,422782.968545,510270.024579,3005950.60118,510637.713562,62074149.7643,87116337.0674,783445.5,797400.0,4402427.27,503852.34,6785.37356151,3105777.66006,8570890.20692,13954.5,3516220.62576
2013年,16260400.0,140665200.0,140019.5951,140525200.0,118972200.0,5328985.71475,5328985.71475,6541122.2688,6674614.56,28041814.7259,,133492.2912,1718889.12465,4499800.04228,9104273.32248,85582195.4978,6933941.12867,5215052.00402,439845.1068,1501705.26544,439845.1068,1501904.60074,808935.744452,1609400.00953,,199.3353,1248780.85125,3111304.61027,1178043.31606,81830834.1643,91260038.8562,,,3751361.33351,1044876.87677,133166.439293,5323119.31011,10964564.7015,,5292600.0
2014年,22655158.9021,253474756.121,197224.587064,253277531.534,222220708.117,291707.162033,291707.162033,9502266.63796,9696190.4469,40247426.9693,,193923.808938,4594405.31639,1802632.62422,21110354.189,178074232.801,9149175.17131,4554769.85492,875395.003236,2150528.6776,1811800.36741,2170424.2939,2575759.72057,1843680.13315,936405.364176,19895.6163,4387560.08798,4014104.42705,352654.832172,172386885.915,181973281.148,1713245.07442,1743760.89,5687346.88571,290744.053109,61910.7790628,9060375.28366,13594783.6184,30515.815575,8401664.51503
