,中等教育招生数,中等职业教育招生数,九年一贯制普通初中招生数,九年一贯制普通小学招生数,初中阶段教育招生数,初等教育招生数,初级中学招生数,十二年一贯制普通初中招生数,十二年一贯制普通小学招生数,十二年一贯制普通高中招生数,博士招生数,在职人员攻读博士、硕士学位招生数,学前教育招生数,小学招生数,工读学校招生数,成人专科招生数,成人中专招生数,成人初中招生数,成人小学招生数,成人本专科招生数,成人本科招生数,成人高中招生数,扫盲班招生数,技工学校招生数,普通专科招生数,普通中专招生数,普通初中完全中学招生数,普通初中招生数,普通小学招生数,普通本专科招生数,普通本科招生数,普通高中完全中学招生数,普通高中招生数,特殊教育招生数,研究生招生数,硕士招生数,网络专科招生数,网络本专科生招生数,网络本科招生数,职业初中招生数,职业高中招生数,高中招生数,高中阶段教育招生数,高等教育招生数,高级中学招生数
1994年,,,,,,,,,,,,,,,,,,,,,,,,71.4,,122.5412,,1616.4,2537.0,90.0,,,243.4,4.0,5.0864,,,,,,,,,,
1995年,,,,,,,,,,,,,1927.35,,,,,,,,,,,74.1,,138.0928,,1752.3,2531.8,92.59,,,273.6,5.6,5.1053,,,,,28.84,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,72.7,,152.3393,,1760.7,2524.7,96.6,,,282.2,4.8,5.9398,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,73.4,,162.111,,1805.6,2462.0,100.0,,,322.6,4.6,6.3749,,,,,,,,,,
1998年,,,,,,,,,,,,,1720.0,,,,,,,,,,,59.4,43.0492,166.8,,1961.4,2201.4,108.4,65.3135,,359.6,4.9,7.2508,,,,,,,,,,
1999年,,,,,,,,,,,,,1617.5,,,,,,,,,,,51.5,61.1864,163.4,,2149.7,2029.5,154.8554,93.669,,396.3,5.0,9.2225,,,,,,,,,,
2000年,,,,,,,,,,,,,1531.11,,,,,,,,,,,50.38,104.5881,132.587,,2263.3,1946.5,220.61,116.0191,,472.69,5.3,12.8484,,,,,32.27,,,,,
2001年,,,,,,,,,,,,,1398.22,,,,,,,,,,,55.11,130.0955,127.68,,2257.88,1944.21,268.28,138.1835,,557.98,5.6,16.5197,,,,,29.97,,,,,
2002年,,,,,,,,,,,,,1373.61,,,,,,,,,,,73.3,161.7037,155.31,,2252.3,1952.8,320.5,158.7939,,676.7,5.29,20.2611,,,,,29.52,,,,,
2003年,,,,,,,,,,,,,1316.79,,,,,,,,,,,91.6,199.6439,183.9,,2195.3,1829.4,382.1701,182.5262,,752.1,4.9,26.8925,,,,,24.8172,,,,,
2004年,3482.3585,566.2045,,,2094.6444,1747.0128,,,,,5.3284,7.8171,1350.3,,0.3121,145.2146,40.0017,,,221.158,75.9434,,,109.7,237.4271,203.8445,,2078.2,1747.0,447.3422,209.9151,,821.5,5.1,32.6286,27.3002,41.1514,83.9325,42.7811,16.4172,212.6583,821.5096,1387.7141,,
2005年,3520.9758,655.6615,,,1987.5826,1671.744,,,,,5.4794,10.1653,1356.2405,,0.3543,118.3054,47.9465,,,193.025,74.7196,,,118.3693,268.0934,241.134,,1976.5246,1671.744,504.4581,236.3647,,877.7317,4.9288,36.4831,31.0037,48.244,89.1046,40.8606,11.058,248.2117,877.7317,1533.3932,,
2006年,3548.5878,747.82,,,1929.558,1729.3572,,,,,5.5955,10.9245,1391.25,,0.395,106.6754,46.155,,,184.4431,77.7677,,,134.8,292.9676,278.887,,1923.6,1729.4,546.053,253.0854,,871.2,5.0,39.7925,34.197,62.2986,113.2516,50.953,5.9351,288.0187,871.208,1619.0298,,
2007年,3518.6853,810.02,,,1868.4968,1736.0672,,,,,5.8022,12.6884,1433.61,,0.4382,109.0274,52.0001,,,191.1132,82.0858,,,158.5487,283.8223,297.2924,,1863.7499,1736.0672,565.9194,282.0971,,840.1644,6.3,41.8612,36.059,73.6392,123.4385,49.7993,4.7469,302.1829,840.1644,1650.1885,,
2008年,3508.712,812.11,,,1859.5954,1695.715,,,,,5.9764,13.337,1482.71,,0.4759,119.419,55.8314,,,202.5552,83.1362,,,161.3506,310.6011,303.7844,,1856.1663,1695.715,607.6612,297.0601,,837.0063,6.2409,44.6422,38.6658,93.628,147.2194,53.5914,3.4291,290.6581,837.0063,1649.1166,,
2009年,3487.3148,868.52,,,1788.4523,1637.7978,,,,,6.1911,11.5985,1546.9,,0.3919,119.8981,86.8917,,,201.4776,81.5795,,,156.7,313.3851,311.7118,,1786.3912,1637.7978,639.4932,326.1081,,830.3384,6.4018,51.0953,44.9042,107.44,162.5687,55.1287,2.0611,313.1735,830.3384,1698.8625,,
2010年,3423.2365,870.4191,,,1716.5815,1691.7007,,,,,6.3762,12.4871,1700.3851,,0.4047,123.094,116.1091,,,208.4259,85.3319,,,159.0,310.4988,316.6119,,1715.493,1691.7007,661.7551,351.2563,,836.2359,6.4869,53.8177,47.4415,110.7866,166.3655,55.5789,1.0885,278.6747,836.2359,1706.655,,
2011年,3299.3759,813.87,182.4936,128.2216,1634.7296,1736.798,1207.9662,19.621,9.6507,20.3059,6.5559,13.4061,1827.3104,1598.9257,0.5664,128.79,103.9639,,,218.5141,89.7241,,,163.9038,324.8598,299.5725,223.928,1634.0088,1736.798,681.5009,356.6411,295.0612,850.7799,6.4086,56.0168,49.4609,122.7526,187.1519,64.3993,0.7208,246.4262,850.7799,1664.6463,,535.4128
2012年,3169.512,754.13,182.2554,134.263,1570.77,1714.664,1148.4894,21.892,10.6618,21.9291,6.837,14.0629,1911.92,1569.7392,0.4547,145.4734,105.811,,,243.9551,98.4817,21.9291,,157.0564,314.7762,277.3643,217.6027,1570.77,1714.7,688.8336,374.0574,287.824,844.6,6.6,58.9673,52.1303,126.777,196.4468,69.6698,0.5305,213.9032,844.6071,1598.742,,534.854
2013年,2993.5409,674.7581,180.4465,138.195,1496.0867,1695.3556,1086.3869,23.1841,12.0177,22.872,7.0462,16.7576,1970.0271,1545.1429,0.3891,152.6776,86.2591,,,256.4934,103.8158,,,133.4957,318.3999,271.4716,205.7158,,1695.3556,699.833,381.4331,268.9932,822.6961,6.5977,61.1381,54.0919,139.6351,220.0729,80.4378,0.3534,183.5317,822.6961,1497.4542,,530.8309
2014年,2864.1793,619.7618,187.7028,145.4522,1447.8215,1658.4245,1045.2499,25.938,13.6559,24.9581,7.2634,16.2374,1987.7752,1499.3164,0.3528,155.3631,74.1601,,,265.604,110.2409,,,124.4065,337.9835,259.6594,188.6935,,1658.4245,721.3987,383.4152,253.002,796.596,7.0713,62.1323,54.8689,128.0407,206.1852,78.1445,0.2373,161.5358,796.596,1416.3578,,518.6359
