,公共图书馆业从业人员数,其他文化及相关产业从业人员数,其他部门公共图书馆业从业人员数,其他部门其他文化及相关产业从业人员数,其他部门文化及相关产业从业人员数,其他部门文化市场经营机构从业人员数,其他部门文化文物从业人员数,其他部门文物业从业人员数,其他部门文艺科研机构从业人员数,其他部门群众文化服务业从业人员数,其他部门艺术业从业人员数,其他部门艺术教育业从业人员数,其他部门非文化及相关产业从业人员数,文化及相关产业从业人员数,文化市场经营从业人员数,文化文物从业人员数,文化部门公共图书馆业从业人员数,文化部门其他文化及相关产业从业人员数,文化部门其他经济公共图书馆业从业人员数,文化部门其他经济其他文化及相关产业从业人员数,文化部门其他经济文化及相关产业从业人员数,文化部门其他经济文化市场经营机构从业人员数,文化部门其他经济文化文物从业人员数,文化部门其他经济文物业从业人员数,文化部门其他经济文艺科研机构从业人员数,文化部门其他经济群众文化服务业从业人员数,文化部门其他经济艺术业从业人员数,文化部门其他经济艺术教育业从业人员数,文化部门其他经济非文化及相关产业从业人员数,文化部门国有经济公共图书馆业从业人员数,文化部门国有经济其他文化及相关产业从业人员数,文化部门国有经济文化及相关产业从业人员数,文化部门国有经济文化市场经营机构从业人员数,文化部门国有经济文化文物从业人员数,文化部门国有经济文物业从业人员数,文化部门国有经济文艺科研机构从业人员数,文化部门国有经济群众文化服务业从业人员数,文化部门国有经济艺术业从业人员数,文化部门国有经济艺术教育业从业人员数,文化部门国有经济非文化及相关产业从业人员数,文化部门文化及相关产业从业人员数,文化部门文化市场经营机构从业人员数,文化部门文化文物从业人员数,文化部门文物业从业人员数,文化部门文艺科研机构从业人员数,文化部门群众文化服务业从业人员数,文化部门艺术业从业人员数,文化部门艺术教育业从业人员数,文化部门集体经济公共图书馆业从业人员数,文化部门集体经济其他文化及相关产业从业人员数,文化部门集体经济文化及相关产业从业人员数,文化部门集体经济文化市场经营机构从业人员数,文化部门集体经济文化文物从业人员数,文化部门集体经济文物业从业人员数,文化部门集体经济文艺科研机构从业人员数,文化部门集体经济群众文化服务业从业人员数,文化部门集体经济艺术业从业人员数,文化部门集体经济艺术教育业从业人员数,文化部门集体经济非文化及相关产业从业人员数,文化部门非文化及相关产业从业人员数,文物业从业人员数,文艺科研从业人员数,群众文化服务业从业人员数,艺术业从业人员数,艺术教育业从业人员数,非文化及相关产业从业人员数
2005年,50423,0,0,0,0,0,0,0,0,0,0,0,0,1798718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82988,0,122500,0,13464,0
2006年,51311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80894,0,123465,0,13952,0
2007年,51650,0,0,0,0,0,0,0,0,0,0,0,0,1956331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84886,0,128096,1951587,13899,0
2008年,52021,62762,0,0,0,0,0,0,0,0,0,0,0,1994132,1409876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92060,3495,131142,229038,13738,4578
2009年,52688,147776,0,0,0,0,0,0,0,0,0,0,0,1980884,1294915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101986,3478,137484,256776,12796,3275
2010年,53564,135236,35,39378,1533828,1387516,1536514,5079,0,0,101820,0,2686,2102296,1388868,2107926,53529,95858,0,4192,10390,437,11045,491,0,0,5270,0,655,53529,91401,546838,820,549018,96657,3672,141002,147413,12344,2180,568468,1352,571412,97392,3672,141002,163316,12347,0,265,11240,95,11349,244,0,0,10633,3,109,2944,102471,3672,141002,265136,12347,5630
2011年,54475,139710,0,34396,1615806,1465383,1617387,5876,0,0,110151,0,1581,2208572,1468094,2212956,54475,105314,0,3117,11888,206,12502,1168,0,0,7397,0,614,54475,101711,572023,2485,574152,104004,3832,147732,144887,12897,2129,592766,2711,595569,105462,3832,147732,160323,12917,0,486,8855,20,8915,290,0,0,8039,20,60,2803,111338,3832,147732,270474,12917,4384
2012年,54997,179191,0,54430,0,1457882,1673614,12140,8,0,149154,0,0,0,1460181,2288389,54997,124761,0,11442,0,0,28919,1475,127,0,15777,98,0,54997,112778,0,2299,577538,111225,4021,156228,123304,12686,0,0,2299,614775,113015,4148,156228,146543,12784,0,541,0,0,8318,315,0,0,7462,0,0,0,125155,4156,156228,295697,12784,0
2013年,56320,178598,0,38330,0,1313900,1516411,16891,7,0,147283,0,0,0,1313900,2154948,56320,140268,0,31121,0,0,50769,2493,143,0,16914,98,0,56320,108714,0,0,580314,117531,4589,164355,116239,12566,0,0,0,638537,120282,4732,164355,139900,12680,0,433,0,0,7454,258,0,0,6747,16,0,0,137173,4739,164355,287183,12680,0
2014年,56071,177900,0,51184,0,1181884,1401995,18018,8,0,150901,0,0,0,1181884,2040199,56071,126716,0,17179,0,0,37069,3276,139,16,16373,86,0,56071,109191,0,0,593832,126613,4504,170283,114831,12339,0,0,0,638204,130077,4643,170299,137957,12441,0,346,0,0,7303,188,0,0,6753,16,0,0,148095,4651,170299,288858,12441,0
