,京九线货运量,京包线货运量,京哈线货运量,京广线货运量,京沪线货运量,兰新线货运量,包兰线货运量,北同蒲线货运量,南同蒲线货运量,南昆线货运量,大秦线货运量,太焦线货运量,宝成线货运量,成昆线货运量,新石线货运量,沪昆线货运量,滨洲线货运量,滨绥线货运量,焦柳线货运量,石太线货运量,石德线货运量,胶济线货运量,陇海线货运量,青藏线货运量
2005年,3747.0,3119.0,0.0,6789.0,0.0,4231.0,5010.0,0.0,0.0,0.0,881.0,0.0,1224.0,2369.0,3760.0,0.0,4685.0,1646.0,0.0,5120.0,602.0,1819.0,7212.0,834.0
2006年,3929.0,3715.0,0.0,6784.0,0.0,4696.0,6024.0,0.0,0.0,0.0,1007.0,0.0,1182.0,2589.0,3697.0,0.0,5439.0,1685.0,0.0,5366.0,668.0,1569.0,7474.0,871.0
2007年,3778.0,4514.0,1526.0,7012.0,5700.0,2715.0,6860.0,15583.0,6285.0,1573.0,1948.0,5878.0,1005.0,2800.0,4091.0,8960.0,3642.0,963.0,4000.0,5765.0,552.0,1656.0,7380.0,1286.0
2008年,3932.0,5380.0,1496.0,6564.0,5518.0,2718.0,7687.0,14895.0,5824.0,1652.0,2241.0,6189.0,841.0,2777.0,4457.0,8467.0,3964.0,1235.0,4123.0,5901.0,500.0,1638.0,7785.0,1831.0
2009年,3687.0,5975.0,1374.0,6362.0,5317.0,2783.0,8777.0,12350.0,4960.0,1590.0,1139.0,6297.0,732.0,2725.0,5487.0,8290.0,4580.0,1419.0,4114.0,5971.0,379.0,1276.0,8359.0,2130.0
2010年,3697.0,8288.0,1451.0,6954.0,5439.0,3239.0699,10697.0,14471.0,5527.0,2052.0,2074.0,6765.0,719.0,2875.0,5507.0,8800.0,5665.0,1463.0,4067.0,6252.0,413.0,1238.0,8735.0,2620.0
2011年,4170.0,13231.0,1408.0,7413.0,5733.0,5282.0,10039.0,16271.0,5553.0,2033.0,2730.0,6910.0,842.0,3236.0,6313.0,8185.0,7127.0,1623.0,3894.0,5985.0,575.0,1194.0,9207.0,2228.7839
2012年,4163.0,14216.0,1253.0,7085.0,5740.0,5210.0,8808.0,17612.0,5537.0,1614.0,2731.0,6946.0,804.0,3233.0,6382.0,7274.0,7518.0,1429.0,3330.0,5871.0,663.0,1015.0,6278.0,2538.0
2013年,4130.7022,14765.8308,1178.2121,6921.7433,5470.6861,5259.5959,8444.7884,17824.454,5678.7965,1617.4482,2713.0254,6995.7034,755.9025,3481.7896,6537.0009,6737.5138,7258.9489,1252.9931,3155.7931,5772.09,510.3777,1219.1666,6530.2515,2481.2568
2014年,3851.6762,14598.8119,1006.5085,5965.9376,4993.3427,4821.2301,6785.7568,18455.8132,5359.3825,1432.0636,2782.2615,7061.8826,719.1812,3281.6155,5616.712,5997.6589,7091.2375,901.5782,2775.2013,5865.0355,477.6967,1061.5233,6393.5726,2714.5959
