,产权公证办证件数,亲属关系公证办证件数,其他民事公证办证件数,其他民事协议公证办证件数,副本等与原本相符公证办证件数,合伙协议公证办证件数,声明书公证办证件数,夫妻财产协议公证办证件数,委托书公证办证件数,宅基地使用权公证办证件数,房屋买卖公证办证件数,房屋租赁公证办证件数,拆迁协议公证办证件数,收养公证办证件数,死亡公证办证件数,民事法律关系公证办证件数,现场监督公证办证件数,留学协议公证办证件数,签名印鉴属实公证办证件数,继承权公证办证件数,解除收养公证办证件数,计划生育公证办证件数,证据保全公证办证件数,赠与书公证办证件数,赡养协议公证办证件数,遗嘱公证办证件数,遗赠扶养协议公证办证件数
1997年,55388,18364,1781371,564256,9532,5190,66613,144611,44855,87917,322660,41997,129995,21375,6718,4520225,120618,9138,23650,68232,3233,837063,8927,63685,44326,33750,6761
1998年,71535,25136,2187106,594436,16056,7904,79464,88409,52693,37174,435934,42064,122027,20216,7804,5787900,129887,7250,22823,64576,1560,1588895,14111,78019,47201,38288,6958
1999年,70526,29961,2756502,593443,12526,11248,96443,85282,71001,66066,451864,57287,124624,16506,9318,6197295,124686,7608,26991,83423,979,1281153,19388,100753,46813,45952,6952
2000年,53636,44641,1934164,454379,17079,7208,118588,94428,240509,87073,503505,37848,104496,15556,8416,5591412,116975,7628,31594,109315,1886,1383137,28560,94246,30054,58571,7920
2001年,33823,52434,1113615,539264,21690,10918,122778,98596,145027,41257,455893,38081,135045,14310,7898,3923549,106036,8851,32133,124200,1568,582844,39763,100304,29309,59348,8564
2002年,31287,50096,841669,530773,26191,14832,130992,103412,186369,21336,332162,37286,135886,8924,8865,3581641,107190,9634,41419,151032,1030,547718,56804,102583,30519,65450,7985
2003年,42175,49569,648698,492024,37181,26983,176289,163655,373838,26906,352353,23745,287543,6884,14375,3663716,102125,9769,49751,194478,1273,312007,73393,108398,12130,65535,12976
2004年,36383,40898,600715,504835,40544,11923,200202,69860,560125,13882,362682,22901,88747,7040,10940,3462455,88739,7840,48833,232621,2991,192544,106956,113653,9301,72685,14615
2005年,30675,40805,720890,361436,44120,8366,215877,57485,594318,10025,342168,23222,68963,6395,11209,3431118,113544,6406,53103,263560,2008,136691,112962,114659,10506,73398,8327
2006年,27323,44704,601730,363434,49582,12998,255506,62559,699551,9143,351763,15199,86367,4988,10348,3505770,96575,8186,56209,319966,3203,63416,110930,147183,12179,81240,11488
2007年,45327,48454,567522,266351,61500,10241,288493,50413,942776,7091,300506,17596,94459,4253,14852,3716370,100472,11685,61063,396328,2283,35717,120696,158377,11232,90689,7994
2008年,27395,41005,589430,263040,70110,10471,304734,48971,766925,9369,266516,13928,70855,4379,14838,3556872,119218,10420,58837,406923,5437,22516,168412,145840,10877,93169,13257
2009年,24788,50971,638522,237535,99444,9676,408656,47266,1272431,10963,358674,14722,63383,4371,10197,4386266,75751,12469,72805,518995,5909,18831,148985,156738,16143,94813,13228
2010年,17898,65035,590658,223035,115865,10497,425099,52521,1426942,8546,318810,11948,64188,4450,10860,4550897,100459,10017,74381,559626,3227,9662,162472,165773,11928,90917,16083
2011年,18852,75645,591571,211739,113933,8362,401733,48831,1385059,15640,262135,12247,51197,3312,16711,4498533,118238,10546,103034,604971,3340,12122,135725,174666,10196,94724,14004
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
