,集体建筑业企业主营业务税金及附加,集体建筑业企业产值利润率,集体建筑业企业产值利税率,集体建筑业企业从业人员,集体建筑业企业利润总额,集体建筑业企业动力装备率,集体建筑业企业单位数,集体建筑业企业固定资产净价,集体建筑业企业固定资产原价,集体建筑业企业应付职工薪酬,集体建筑业企业建筑业总产值,集体建筑业企业房屋建筑面积竣工率,集体建筑业企业房屋施工面积,集体建筑业企业房屋竣工面积,集体建筑业企业技术装备率,集体建筑业企业按总产值计算劳动生产率,集体建筑业企业本年固定资产折旧,集体建筑业企业税金总额,集体建筑业企业管理费用中的税金,集体建筑业企业自有施工机械设备年末净值,集体建筑业企业自有施工机械设备年末总功率,集体建筑业企业自有施工机械设备年末总台数
1988年,0.0,0.0,0.0,421.3,0.0,0.0,10336.0,0.0,0.0,0.0,354.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,390.1,0.0,0.0,9179.0,0.0,0.0,0.0,404.41,0.0,19250.9,10580.1,0.0,10363.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,389.7,0.0,0.0,9052.0,0.0,0.0,0.0,409.82,0.0,17619.7,10190.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,419.4,0.0,0.0,9187.0,0.0,0.0,0.0,501.85,0.0,19658.8,10690.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,476.3,0.0,0.0,9551.0,0.0,0.0,0.0,742.31,0.0,25989.3,13077.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,455.7,0.0,0.0,14130.0,0.0,0.0,0.0,1163.85,0.0,32724.1,16379.0,0.0,20238.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,601.9,0.0,0.0,15196.0,0.0,0.0,0.0,1519.45,0.0,37004.4,17674.0,0.0,25243.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,631.9,0.0,0.0,15348.0,0.0,0.0,0.0,1899.47,0.0,41829.5,19262.0,0.0,30060.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,1171.4,0.0,0.0,29044.0,0.0,0.0,0.0,3695.68,0.0,74668.4,39827.3,0.0,31549.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,1148.2,0.0,0.0,29872.0,0.0,0.0,0.0,3925.81,0.0,70795.3,39859.3,0.0,34190.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,1057.3,68.7249,0.0,28410.0,0.0,0.0,0.0,4012.01,0.0,71597.63,39337.97,0.0,37365.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,993.1,73.3398,0.0,27197.0,0.0,0.0,0.0,4081.79,0.0,70590.44,39949.08,0.0,40662.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,887.5,75.633,0.0,24756.0,0.0,0.0,0.0,4035.84,0.0,68112.33,38515.52,0.0,44142.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,739.94,78.7341,0.0,19096.0,0.0,0.0,0.0,3775.89,0.0,61239.24,36115.14,0.0,47664.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,579.18,75.7413,0.0,13177.0,0.0,0.0,0.0,3338.5,0.0,52564.4,30071.3,0.0,55670.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,505.57,78.5771,0.0,10425.0,0.0,0.0,0.0,3270.73,0.0,50488.91,26727.64,0.0,62670.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,386.4,0.0,0.0,8959.0,0.0,0.0,0.0,2756.12,0.0,42858.27,23393.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,92.18,2.87,6.41,361.6,80.70378,4.68,8090.0,517.1,737.95,381.48,2815.2,51.4711857636,42257.41,21750.39,6999.52,75922.2,33.5,99.66,7.49,2530800.0,1693.3496,1436300.0
2006年,91.59,2.85,6.25,332.0,82.8666,4.36,7051.0,469.21,682.24,378.45,2904.48,51.426544919,40872.53,21019.33,6677.24,85662.84,31.66,98.66,7.07,2216800.0,1448.02,1228900.0
2007年,103.0,3.12026677723,6.62795472621,316.99,98.40215,4.78,6614.0,442.2,657.71,414.1,3153.65,50.5723343592,42119.61,21300.87,6866.02,97716.2202066,29.73,110.62004,7.62,2176500.0,1516.56,1149800.0
2008年,115.3554,4.37059421572,8.23772117191,266.779,140.57726,4.8,5843.0,405.44972,615.59423,477.70075,3216.43358,48.9829892955,39247.8219,19224.7564,7511.0,110989.501588,36.53826,124.38357,9.02817,2003668.0,1288.418,953468.0
2009年,114.24333,4.15307496767,7.91646130341,246.7903,136.29336,6.8,5352.0,402.48707,598.65147,436.49155,3281.74572,51.6291396051,36380.946,18783.1694,7112.0,124254.659248,29.91638,123.50477,9.26144,1755084.3,1677.5082,836968.0
2010年,137.84,4.0,8.0,246.528,146.0362,4.4,5026.0,388.51,582.17,456.45,3655.26802,46.8,39232.1246,18375.0005,6875.0,138580.0,29.09,147.8368,9.99,1694800.0,1088.15,772800.0
2011年,149.33933,3.98033041062,7.69028153631,220.3973,171.41243,5.66061743951,4847.0,384.46182,589.12909,532.07525,4306.48746,50.4,38202.9794,19253.0823,8077.28406836,158153.094731,26.81755,159.76858,10.42925,1780211.6,1247.5848,848773.0
2012年,165.87024,3.8,7.5,216.2418,188.90809,5.02833540971,4640.0,375.71882,583.05006,615.40638,4919.00209,50.5,39208.9926,19810.7197,8049.53158917,222006.182682,29.5344,178.7142,12.84396,1740645.2,1087.3363,724519.0
2013年,0.0,0.0,0.0,187.0576,0.0,0.0,3728.0,0.0,0.0,0.0,4524.67653,47.5716293596,36030.2989,17500.1766,0.0,246678.552786,0.0,0.0,0.0,0.0,0.0,0.0
2014年,154.1772,3.93925887405,7.44591288475,175.033,184.42809,0.0,3589.0,296.44615,477.19689,618.22847,4681.79665,48.6973144823,35788.891,17428.2288,0.0,234669.466081,22.36579,164.17441,9.99721,0.0,0.0,0.0
