,建筑业企业主营业务税金及附加,建筑业企业产值利润率,建筑业企业产值利税率,建筑业企业从业人员,建筑业企业利润总额,建筑业企业动力装备率,建筑业企业单位数,建筑业企业固定资产净价,建筑业企业固定资产原价,建筑业企业应付职工薪酬,建筑业企业建筑业增加值,建筑业企业建筑业总产值,建筑业企业房屋建筑面积竣工率,建筑业企业房屋施工面积,建筑业企业房屋竣工面积,建筑业企业技术装备率,建筑业企业按增加值计算劳动生产率,建筑业企业按总产值计算劳动生产率,建筑业企业本年固定资产折旧,建筑业企业税金总额,建筑业企业管理费用中的税金,建筑业企业自有施工机械设备年末净值,建筑业企业自有施工机械设备年末总功率,建筑业企业自有施工机械设备年末总台数
2003年,720.29,0.0,5.5,2414.27,519.8716,4.85,48688.0,0.0,0.0,0.0,4654.7,23083.87,47.4,259377.13,122827.61,9957.0,0.0,86666.0,0.0,0.0,38.36,24039576.0,11712.38,8001782.0
2004年,894.1,0.0,5.7,2500.3,719.24681,5.8,59018.0,0.0,0.0,0.0,5615.8,29021.45,47.4,310985.71,147364.04,9297.0,0.0,101938.645414,0.0,0.0,42.09,23245244.3,14584.05,8466386.0
2005年,1101.4,2.62,5.9806784537,2699.92,906.6623,5.09849640633,58750.0,5056.5,7621.45,3772.16,6899.7,34552.1,45.1902505005,352744.7,159406.2,9273.48090312,23427.13,117317.44,445.28,1159.79,58.4,25037702.0,13765.5574,8798527.0
2006年,1335.41,2.85,6.22356447143,2878.16,1193.0744,4.91852347565,60166.0,5520.02,8395.68,4369.28,8116.4,41557.16,43.8061753377,410154.4,179673.0,9109.13587091,25741.0,131800.29,487.45,1401.49,66.07385,26217542.3,14156.2931,8973042.0
2007年,1634.808,3.05840298805,6.41684748451,3133.71,1561.12248,4.97154667966,62074.0,5990.69,9175.82,5375.5,9944.35,51043.71,42.3216481006,482005.5,203992.7,9208.35554874,28852.9789123,148100.556181,541.9,1714.27481,79.46681,28856330.6,15579.3935,9487515.0
2008年,2147.63752,3.54924601882,7.20027753241,3314.9503,2201.83887,5.5,71095.0,6654.68575,10257.999,7501.36749,12488.9453243,62036.80608,42.1458560864,530518.6276,223592.02,9915.0,32444.0,161804.731227,715.77977,2264.98334,117.34582,32869150.6,18195.3677,9448056.0
2009年,2524.60441,3.53968897138,6.9946606101,3672.5571,2718.75516,5.2,70817.0,7591.91589,11631.37932,8151.77586,15619.8170575,76807.74164,41.6928607649,588593.9096,245401.6392,10088.0,37639.8085435,185087.231133,756.31386,2653.68569,129.08128,37049783.7,19022.5552,9734910.0
2010年,3192.7331,3.5,7.0,4160.4378,3409.07409,4.6596987942,71863.0,8299.9,12847.77,10050.61,18983.5420332,96031.1338,39.2,708023.5141,277450.2157,9547.04141954,40319.0,203962.0,916.76,3351.3129,158.5797,39719872.0,19386.387,11209484.0
2011年,3697.53184,3.57898206579,6.86198198165,3852.4733,4168.32736,5.6645192064,72280.0,8889.91294,14059.59762,12556.78501,22070.9788585,116463.32067,37.1,851828.1156,316429.2755,12025.2947373,43950.5373049,233104.048511,956.7844,3864.41075,166.87891,46327126.9,21822.409,10054231.0
2012年,4190.47962,3.5,6.68,4267.2422,4776.14155,5.68875788208,75280.0,9582.57556,15476.93377,15603.95239,26583.3117935,137217.85801,36.4,986427.4519,358736.2346,13374.1655676,57426.5119172,296424.426631,1065.47187,4388.88414,198.40452,57070803.7,24275.3077,10157280.0
2013年,0.0,0.0,0.0,4528.3551,5575.0,5.614395523,78919.0,0.0,0.0,0.0,33071.50946,160366.06329,34.4474389352,1132002.8605,401520.9277,13457.8084656,62737.494438,324842.0,0.0,0.0,0.0,60941735.6,25423.9766,11467280.0
2014年,5325.48236,3.6257178707,6.76476804031,4536.9721,6407.12991,6.52465344786,81141.0,10630.41311,17940.30521,21296.95802,35270.1493261,176713.41617,33.8732899336,1249826.3497,423357.3031,12518.8488734,63396.1417888,317632.69014,1165.46961,5547.12279,221.64043,56797668.0627,29602.1706551,12030587.0
