,九年一贯制普通初中学校数,其他部门办九年一贯制普通初中学校数,其他部门办初级中学学校数,其他部门办普通初中学校数,农村九年一贯制普通初中学校数,农村其他部门办九年一贯制普通初中学校数,农村其他部门办初级中学学校数,农村其他部门办普通初中学校数,农村初级中学学校数,农村地方企业办九年一贯制普通初中学校数,农村地方企业办初级中学学校数,农村地方企业办普通初中学校数,农村教育部门办九年一贯制普通初中学校数,农村教育部门办初级中学学校数,农村教育部门办普通初中学校数,农村普通初中学校数,农村民办九年一贯制普通初中学校数,农村民办初级中学学校数,农村民办普通初中学校数,初级中学学校数,县镇九年一贯制普通初中学校数,县镇其他部门办九年一贯制普通初中学校数,县镇其他部门办初级中学学校数,县镇其他部门办普通初中学校数,县镇初级中学学校数,县镇地方企业办九年一贯制普通初中学校数,县镇地方企业办初级中学学校数,县镇地方企业办普通初中学校数,县镇教育部门办九年一贯制普通初中学校数,县镇教育部门办初级中学学校数,县镇教育部门办普通初中学校数,县镇普通初中学校数,县镇民办九年一贯制普通初中学校数,县镇民办初级中学学校数,县镇民办普通初中学校数,地方企业办九年一贯制普通初中学校数,地方企业办初级中学学校数,地方企业办普通初中学校数,城市九年一贯制普通初中学校数,城市其他部门办九年一贯制普通初中学校数,城市其他部门办初级中学学校数,城市其他部门办普通初中学校数,城市初级中学学校数,城市地方企业办九年一贯制普通初中学校数,城市地方企业办初级中学学校数,城市地方企业办普通初中学校数,城市教育部门办九年一贯制普通初中学校数,城市教育部门办初级中学学校数,城市教育部门办普通初中学校数,城市普通初中学校数,城市民办九年一贯制普通初中学校数,城市民办初级中学学校数,城市民办普通初中学校数,教育部门办九年一贯制普通初中学校数,教育部门办初级中学学校数,教育部门办普通初中学校数,普通初中学校数,民办九年一贯制普通初中学校数,民办初级中学学校数,民办普通初中学校数
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13429,0,0,0,0,0,0,66092,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13647,0,0,0,0,0,0,64762,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13940,0,0,0,0,0,0,63940,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14223,0,0,0,0,0,0,63086,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14473,0,0,0,0,0,0,62704,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14468,0,0,0,0,0,0,65525,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14798,0,0,0,0,0,0,64661,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15289,0,0,0,0,0,0,63711,0,0,0
2004年,9173,1274,1292,2566,5382,424,429,853,32713,0,0,0,4500,31350,35850,38095,458,934,1392,53887,1622,187,914,419,14596,0,232,0,965,13450,14415,16218,470,0,1384,0,0,0,2169,663,631,1294,6578,0,0,0,810,5200,6010,8747,696,747,1443,6275,50000,56275,63060,1624,2595,4219
2005年,9894,1016,970,1986,5881,369,394,763,30524,0,0,0,4947,29169,34116,36405,565,961,1526,51991,1802,156,976,342,15521,0,186,0,1094,14359,15453,17323,552,0,1528,0,0,0,2211,491,390,881,5946,0,0,0,930,4792,5722,8157,790,764,1554,6971,48320,55291,61885,1907,2701,4608
2006年,11059,731,693,1424,6619,332,336,668,28664,0,0,0,5613,27470,33083,35283,674,858,1532,49491,2381,122,881,253,15696,0,131,0,1557,14684,16241,18077,702,0,1583,0,0,0,2059,277,226,503,5131,0,0,0,1016,4236,5252,7190,766,669,1435,8186,46390,54576,60550,2142,2408,4550
2007年,11507,534,537,1071,6741,259,293,552,26124,0,0,0,5851,25096,30947,32865,631,735,1366,47602,2554,87,812,203,16096,0,116,0,1700,15168,16868,18650,767,0,1579,0,0,0,2212,188,128,316,5382,0,0,0,1153,4588,5741,7594,871,666,1537,8704,44852,53556,59109,2269,2213,4482
2008年,11890,383,434,817,6900,228,252,480,24558,0,0,0,6031,23669,29700,31458,641,637,1278,45811,2711,39,751,131,15951,0,92,0,1853,15108,16961,18662,819,0,1570,0,0,0,2279,116,90,206,5302,0,0,0,1235,4580,5815,7585,928,632,1560,9119,43357,52476,57701,2388,2020,4408
2009年,12423,366,271,637,7257,242,124,366,22921,0,0,0,6350,22240,28590,30178,665,557,1222,43744,2864,26,714,101,15789,0,75,0,1967,15000,16967,18653,871,0,1585,0,0,0,2302,98,72,170,5034,0,0,0,1259,4383,5642,7336,945,579,1524,9576,41623,51199,56167,2481,1850,4331
2010年,12702,344,209,553,7359,238,102,340,21311,0,0,0,6408,20731,27139,28670,713,478,1191,42121,3074,32,675,86,15800,0,54,0,2092,15071,17163,18874,950,0,1625,0,0,0,2269,74,53,127,5010,0,0,0,1275,4434,5709,7279,920,523,1443,9775,40236,50011,54823,2583,1676,4259
2011年,13304,348,218,566,5862,47,30,77,15112,6,2,8,5347,14782,20129,20974,462,298,760,40759,4121,216,593,327,18214,10,111,22,2921,17498,20419,22335,974,12,1567,25,17,42,3321,85,77,162,7433,9,3,12,1853,6772,8625,10754,1374,581,1955,10121,39052,49173,54063,2810,1472,4282
2012年,13575,363,192,555,5676,55,26,81,13713,3,1,4,5163,13446,18609,19389,455,240,695,39592,4447,243,591,343,18403,10,100,14,3176,17708,20884,22850,1018,4,1609,20,8,28,3452,65,66,131,7476,7,3,10,1932,6826,8758,10928,1448,581,2029,10271,37980,48251,53167,2921,1412,4333
2013年,14017,364,187,551,5693,46,20,66,12777,2,1,3,5148,12537,17685,18470,497,219,716,38747,4737,246,555,342,18437,8,96,10,3345,17784,21129,23174,1138,2,1693,19,5,24,3587,72,71,143,7533,9,2,11,1980,6860,8840,11120,1526,600,2126,10473,37181,47654,52764,3161,1374,4535
2014年,14639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
