,丝织物出口金额,中式成药出口金额,二极管及类似半导体器件出口金额,亚麻及苎麻机织物出口金额,仲钨酸铵出口金额,伞出口金额,冻鸡出口金额,医用敷料出口金额,医疗仪器及器械出口金额,医药品出口金额,原油出口金额,原电池出口金额,合成有机染料出口金额,合成短纤与棉混纺机织物出口金额,啤酒出口金额,地毯出口金额,塑料制品出口金额,塑料编织袋出口金额,填充用羽毛；羽绒出口金额,大豆出口金额,天然石墨出口金额,天然硫酸钡出口金额,天然碳酸镁；氧化镁出口金额,天然蜂蜜出口金额,家具及其零件出口金额,家用陶瓷器皿出口金额,山羊绒出口金额,平板玻璃出口金额,成品油出口金额,手用或机用工具出口金额,手表出口金额,收音设备出口金额,新的充气橡胶轮胎出口金额,日用钟出口金额,未锻造的锌及锌合金出口金额,未锻造的锑、粉末及废碎料出口金额,未锻造的锡及锡合金出口金额,未锻造的锰出口金额,未锻造铜及铜合金出口金额,未锻造铝及铝合金出口金额,机电产品出口金额,松子仁出口金额,松香及树脂酸出口金额,柳编结品出口金额,棉机织物出口金额,棉纱线出口金额,棉花出口金额,橘、橙出口金额,橡胶或塑料底布鞋出口金额,氧化铝出口金额,氧化锌及过氧化锌出口金额,水泥及水泥熟料出口金额,水海产品出口金额,汽车出口金额,汽车零件出口金额,洗衣粉出口金额,活家禽出口金额,活猪出口金额,滑石出口金额,烟花、爆竹出口金额,烤烟出口金额,焦炭、半焦炭出口金额,煤出口金额,照相机出口金额,牛肉出口金额,猪肉出口金额,猪肉罐头出口金额,玉米出口金额,玩具出口金额,玻璃制品出口金额,生丝出口金额,生铁及镜铁出口金额,电动机及发电机出口金额,电子计算器出口金额,电容器出口金额,电扇出口金额,电线和电缆出口金额,电视机出口金额,电话机出口金额,皮鞋出口金额,石蜡出口金额,稻谷和大米出口金额,竹编结品出口金额,纸及纸板出口金额,纸烟出口金额,纺织机械及零件出口金额,缝纫机出口金额,肠衣出口金额,自动数据处理设备及其部件出口金额,自动数据处理设备的零件出口金额,自行车出口金额,船舶出口金额,花生及花生仁出口金额,苹果出口金额,茶叶出口金额,草编结品出口金额,药材出口金额,萤石出口金额,蓄电池出口金额,蔬菜出口金额,藤编结品出口金额,蘑菇罐头出口金额,谷物及谷物粉出口金额,足球、篮球、排球出口金额,轴承出口金额,辣椒干出口金额,通断保护电路装置及零件出口金额,金属加工机床出口金额,针织或钩编服装出口金额,钢坯及粗锻件出口金额,钢材出口金额,钢铁或铜制标准紧固件出口金额,铜材出口金额,铝材出口金额,锯材出口金额,集装箱出口金额,静止式变流器出口金额,非针织或钩编织物制服装出口金额,食用植物油出口金额,食糖出口金额,高新技术产品出口金额,鲜或冷藏蔬菜出口金额,鲜蛋出口金额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,679.37,130.26,0.0,659.88,0.0,418.01,343.24,174.09,137.61,1185.3,2000.31,0.0,295.26,155.01,41.12,617.02,93.39,0.0,225.84,222.44,0.0,32.58,0.0,75.02,843.85,513.54,266.71,72.18,621.19,0.0,951.16,0.0,225.13,244.78,236.39,27.72,200.58,0.0,0.0,0.0,0.0,0.0,136.56,135.52,2678.28,514.41,149.1,54.22,1045.05,0.0,0.0,156.88,1815.47,0.0,245.26,19.92,105.18,268.5,59.91,143.49,72.4,282.1,770.75,398.86,30.81,128.38,110.48,0.0,3063.83,174.46,295.61,0.0,0.0,0.0,0.0,540.5,0.0,0.0,0.0,2607.57,110.28,514.61,0.0,150.84,0.0,100.0,164.1,0.0,0.0,0.0,503.12,0.0,315.02,41.13,294.35,64.38,430.43,76.65,0.0,1257.39,60.3,0.0,0.0,73.17,193.3,40.62,0.0,0.0,5960.24,145.66,606.47,0.0,183.67,80.32,0.0,0.0,0.0,14268.25,208.57,321.29,0.0,419.57,18.08
1995年,662.82,135.19,0.0,728.57,0.0,454.49,556.56,233.8,205.56,1581.52,2238.8,0.0,392.52,163.91,53.08,550.74,115.48,0.0,281.42,99.67,0.0,35.9,0.0,87.48,1105.68,546.69,139.87,169.74,792.24,0.0,1032.65,0.0,430.55,302.42,179.39,73.18,236.25,0.0,0.0,0.0,0.0,0.0,134.91,182.13,3411.24,576.31,46.8,55.7,1087.63,0.0,0.0,298.07,2087.28,0.0,376.1,26.16,125.34,277.71,83.21,172.43,77.32,682.92,1010.66,571.78,33.91,245.35,118.53,0.0,3430.62,232.38,300.55,0.0,0.0,0.0,0.0,755.85,0.0,0.0,0.0,2736.78,131.79,16.24,0.0,351.48,0.0,144.86,208.12,0.0,0.0,0.0,535.12,0.0,256.87,45.3,274.75,75.21,436.1,113.78,0.0,1571.3,84.65,0.0,0.0,87.1,299.19,58.72,0.0,0.0,6493.91,1071.47,2190.53,0.0,300.23,126.03,0.0,0.0,0.0,13459.51,209.35,187.1,0.0,484.16,16.67
1996年,438.05,126.0,323.13,208.69,68.59,414.41,631.2,229.16,257.75,1516.11,2789.29,326.17,400.77,797.71,31.79,422.17,2687.28,144.82,208.84,66.18,41.21,57.84,263.22,110.66,1295.27,547.07,181.75,112.94,868.57,752.11,965.63,2306.62,467.34,334.08,218.24,62.61,200.39,62.85,117.39,162.17,48202.99,31.99,131.01,129.36,2934.0,458.52,12.48,62.08,1012.26,0.0,23.69,450.88,1733.63,147.49,382.08,28.05,120.62,291.47,74.92,201.92,90.27,611.23,1108.76,695.79,51.24,214.84,72.52,30.27,3924.46,252.11,263.95,512.15,959.01,0.0,281.64,808.71,701.24,794.34,864.71,2981.29,147.02,111.64,115.39,164.35,0.0,123.15,206.49,338.54,0.0,0.0,463.47,1142.65,254.39,69.15,282.5,58.64,334.95,119.41,236.53,1534.29,60.64,188.76,367.42,78.04,341.91,62.84,0.0,254.09,7131.47,636.55,1939.08,272.73,276.34,126.06,193.95,1062.39,629.63,13655.62,318.59,247.79,0.0,537.38,25.31
1997年,479.75,107.52,470.61,279.0,74.12,478.37,557.2,247.94,302.8,1536.25,2734.13,390.58,527.84,934.03,34.18,455.48,3490.44,153.28,186.63,73.25,43.43,98.33,289.76,65.38,1818.72,734.24,151.42,94.44,1201.36,884.24,989.88,2713.11,502.98,394.26,651.68,53.2,205.21,71.57,188.34,370.33,59327.99,22.87,159.42,113.28,3069.47,485.26,3.3,71.11,1101.97,0.0,47.66,445.72,1887.71,189.83,447.89,24.3,113.58,299.16,76.7,197.5,169.82,790.96,1132.53,925.33,53.86,194.72,65.57,858.95,5042.16,324.68,274.5,814.31,1224.79,0.0,376.34,716.69,869.78,654.85,948.04,3640.27,178.96,264.57,114.11,207.47,0.0,149.38,223.55,363.4,0.0,0.0,512.62,1618.48,138.52,77.51,332.48,49.51,317.96,129.63,321.93,1478.02,58.02,142.93,1318.07,78.86,361.59,57.12,0.0,281.89,11087.45,846.55,1935.29,295.28,320.72,220.25,193.36,1030.11,939.08,15283.56,548.13,132.79,0.0,500.16,25.27
1998年,382.17,84.28,589.22,278.05,59.18,606.15,460.0,255.2,326.44,1692.33,1523.01,413.06,497.02,921.23,26.0,441.61,3822.43,146.05,170.74,63.39,42.84,68.66,249.6,83.08,2189.92,722.07,100.05,97.33,737.64,933.18,981.54,2720.04,575.14,401.52,402.32,27.11,266.95,75.68,207.7,447.69,67100.31,49.09,135.68,91.5,2688.17,421.54,56.25,46.12,982.91,0.0,48.01,289.36,1733.25,157.35,530.42,21.29,95.7,288.66,55.78,221.24,163.18,798.39,1067.79,992.67,72.64,180.82,59.25,531.69,5143.8,366.78,212.72,327.49,1290.29,457.1,360.69,729.9,979.83,686.67,1272.89,3760.4,223.52,924.03,87.09,216.82,0.0,167.94,236.34,333.99,0.0,0.0,611.73,1729.17,155.5,64.54,369.8,41.69,234.47,130.08,453.35,1472.38,52.41,130.39,1572.65,80.1,382.13,48.1,1155.82,235.29,10840.96,351.08,1691.28,350.19,303.87,242.71,114.32,1586.59,1056.77,14017.32,225.34,123.21,0.0,507.93,18.75
1999年,315.61,73.87,855.18,274.18,44.18,542.57,473.77,240.01,361.92,1678.24,752.4,490.96,466.82,953.73,30.3,421.29,3918.52,138.04,175.38,61.89,36.76,47.07,232.49,79.76,2707.81,815.66,239.96,109.7,1095.41,911.4,908.13,2337.02,721.83,402.28,539.05,47.24,314.48,70.25,164.64,273.19,76974.22,31.42,141.68,85.26,2711.65,528.02,283.48,39.57,1004.74,0.0,51.14,200.92,1944.7,102.68,780.2,16.56,985.02,235.97,58.48,312.72,191.36,551.22,1083.75,990.31,25.72,67.44,62.38,450.02,5112.14,410.14,239.38,185.51,1491.86,490.9,568.88,650.82,1258.46,803.12,1522.02,3946.26,187.57,652.02,88.43,179.9,0.0,179.72,237.06,329.88,0.0,0.0,775.59,1606.21,193.99,75.93,338.34,375.85,207.06,115.41,634.1,1477.35,52.68,132.78,1186.63,73.11,436.48,34.82,1413.21,227.35,11015.55,317.21,1413.2,364.7,343.62,217.85,137.5,1477.83,1229.05,14416.13,75.77,78.19,0.0,461.16,12.28
