,丝织物出口数量,中式成药出口数量,二极管及类似半导体器件出口数量,亚麻及苎麻机织物出口数量,仲钨酸铵出口数量,伞出口数量,冻鸡出口数量,医用敷料出口数量,医疗仪器及器械出口数量,医药品出口数量,原油出口数量,原电池出口数量,合成有机染料出口数量,合成短纤与棉混纺机织物出口数量,啤酒出口数量,地毯出口数量,塑料制品出口数量,塑料编织袋出口数量,填充用羽毛；羽绒出口数量,大豆出口数量,天然石墨出口数量,天然硫酸钡出口数量,天然碳酸镁；氧化镁出口数量,天然蜂蜜出口数量,家具及其零件出口数量,家用陶瓷器皿出口数量,山羊绒出口数量,平板玻璃出口数量,成品油出口数量,手用或机用工具出口数量,手表出口数量,收音设备出口数量,新的充气橡胶轮胎出口数量,日用钟出口数量,未锻造的锌及锌合金出口数量,未锻造的锑、粉末及废碎料出口数量,未锻造的锡及锡合金出口数量,未锻造的锰出口数量,未锻造铜及铜合金出口数量,未锻造铝及铝合金出口数量,机电产品出口数量,松子仁出口数量,松香及树脂酸出口数量,柳编结品出口数量,棉机织物出口数量,棉纱线出口数量,棉花出口数量,橘、橙出口数量,橡胶或塑料底布鞋出口数量,氧化铝出口数量,氧化锌及过氧化锌出口数量,水泥及水泥熟料出口数量,水海产品出口数量,汽车出口数量,汽车零件出口数量,洗衣粉出口数量,活家禽出口数量,活猪出口数量,滑石出口数量,烟花、爆竹出口数量,烤烟出口数量,焦炭、半焦炭出口数量,煤出口数量,照相机出口数量,牛肉出口数量,猪肉出口数量,猪肉罐头出口数量,玉米出口数量,玩具出口数量,玻璃制品出口数量,生丝出口数量,生铁及镜铁出口数量,电动机及发电机出口数量,电子计算器出口数量,电容器出口数量,电扇出口数量,电线和电缆出口数量,电视机出口数量,电话机出口数量,皮鞋出口数量,石蜡出口数量,稻谷和大米出口数量,竹编结品出口数量,纸及纸板出口数量,纸烟出口数量,纺织机械及零件出口数量,缝纫机出口数量,肠衣出口数量,自动数据处理设备及其部件出口数量,自动数据处理设备的零件出口数量,自行车出口数量,船舶出口数量,花生及花生仁出口数量,苹果出口数量,茶叶出口数量,草编结品出口数量,药材出口数量,萤石出口数量,蓄电池出口数量,蔬菜出口数量,藤编结品出口数量,蘑菇罐头出口数量,谷物及谷物粉出口数量,足球、篮球、排球出口数量,轴承出口数量,辣椒干出口数量,通断保护电路装置及零件出口数量,金属加工机床出口数量,针织或钩编服装出口数量,钢坯及粗锻件出口数量,钢材出口数量,钢铁或铜制标准紧固件出口数量,铜材出口数量,铝材出口数量,锯材出口数量,集装箱出口数量,静止式变流器出口数量,非针织或钩编织物制服装出口数量,食用植物油出口数量,食糖出口数量,高新技术产品出口数量,鲜或冷藏蔬菜出口数量,鲜蛋出口数量
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000.0,,,,,,28.7,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000.0,,,,,,29.4,,,,,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000.0,,,,,,35.8,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,2259.8,,,,,,,,,,,,,,,,,4194.0,,,,,,,,,,,,,,,,,,,200000.0,,,,,1074.0,37.8,,,,,285.0,,,,108.3,2000.1,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,214.0,,33655.0,27300.0,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000.0,,,,,,44.0,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,,,,,,48.0,,,,,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,
1994年,19560.0,,,120657.0,,40454.0,164288.0,,,,1855.0,,75648.0,2674.0,,2718.0,161110.0,,23655.0,83.0,,117.0,,102102.0,,,5303.0,3017.0,379.0,,68474.0,,4119.0,16511.0,278003.0,12787.0,44379.0,,,,,,290227.0,,352404.0,194927.0,108147.0,127428.0,75136.0,,,452.0,57.0,,,43047.0,5230.0,270.0,124.0,,59020.0,404.0,2430.0,4321.0,2.0,10.0,69302.0,,,,13061.0,,,,,5865.0,,,,47154.0,27.0,152.0,,24.0,,,419.0,,,,1342.0,,48.0,107170.0,179667.0,,150724.0,122.0,,154.0,,,,3242.0,,51389.0,,,377496.0,66.0,151.0,,60610.0,39806.0,,,,354390.0,270267.0,950000.0,,86.0,486.0
1995年,18840.0,,,128323.0,,40494.0,248573.0,,,,4885.0,,91707.0,2906.0,,2621.0,209275.0,,23345.0,38.0,,120.0,,86991.0,,,1829.0,5645.0,415.0,,71380.0,,5503.0,21498.0,191535.0,25464.0,43307.0,,,,,,219729.0,,372949.0,179895.0,21619.0,131798.0,71534.0,,,819.0,61.0,,,51377.0,5263.0,253.0,159.0,,56570.0,886.0,2862.0,6150.0,2.0,15.0,63822.0,,,,12710.0,,,,,9491.0,,,,49123.0,28.0,5.0,,49.0,,,452.0,,,,1262.0,,39.0,108946.0,166572.0,,136549.0,123.0,,158.0,,,,4460.0,,35706.0,,,408993.0,443.0,567.0,,87344.0,65436.0,,,,340105.0,495970.0,480000.0,,81.0,358.0
1996年,14709.0,18722.0,2382257.0,13760.0,12425.0,37367.0,300000.0,44110.0,,136157.0,2040.0,747014.0,95292.0,132087.0,6662.0,1549.0,1860000.0,80765.0,21204.0,19.0,158368.0,186.0,193.0,83461.0,,625707.0,2481.0,4129.0,417.0,321064.0,72974.0,14673.0,5745.0,24300.0,226777.0,31192.0,36128.0,45652.0,53003.0,110053.0,,5836.0,176003.0,56078.0,304286.0,142044.0,4493.0,150897.0,63462.0,,26697.0,1180.0,64.0,15004.0,,53549.0,5377.0,240.0,102.0,128169.0,51705.0,769.0,2900.0,6180.0,3.0,13.0,41624.0,16.0,,,12049.0,355.0,147317.0,,15772.0,12259.0,229648.0,1032.0,8571.0,52610.0,28.0,27.0,55112.0,17.0,,,408.0,44526.0,,,1217.0,17207.0,35.0,164976.0,169670.0,24904.0,157623.0,112.0,25685.0,167.0,21140.0,169311.0,124.0,3935.0,66395.0,29347.0,,198.0,,270.0,422.0,240000.0,80705.0,59118.0,382612.0,353120.0,17763.0,,473465.0,660000.0,,95.0,520.0
1997年,15310.0,15169.0,3115436.0,16047.0,14596.0,43933.0,300000.0,47456.0,,137256.0,1983.0,841598.0,127343.0,154918.0,7193.0,1944.0,2330000.0,97410.0,20845.0,19.0,170805.0,293.0,229.0,48217.0,,708576.0,2257.0,3984.0,559.0,377477.0,83198.0,18078.0,7501.0,32122.0,556931.0,28952.0,41087.0,60143.0,84265.0,249419.0,,1829.0,204729.0,53175.0,301954.0,153232.0,994.0,209127.0,60300.0,,55761.0,1168.0,72.0,14829.0,,47965.0,5268.0,227.0,98.0,116621.0,69643.0,1058.0,3072.0,6559.0,3.0,10.0,37146.0,662.0,,,11116.0,554.0,184783.0,,18307.0,13165.0,303428.0,906.0,10013.0,62792.0,36.0,94.0,58428.0,23.0,,,409.0,46613.0,,,1439.0,18666.0,17.0,188443.0,202463.0,21190.0,157675.0,129.0,30451.0,167.0,20899.0,143799.0,834.0,4276.0,77018.0,45932.0,,249.0,,364.0,462.0,280000.0,99500.0,100326.0,387860.0,330101.0,26355.0,,822880.0,380000.0,,93.0,733.0
1998年,12097.0,11211.0,4045163.0,15840.0,12675.0,49120.0,270000.0,48849.0,,151177.0,1560.0,908896.0,131629.0,168232.0,5480.0,2349.0,2640000.0,99430.0,30232.0,17.0,180644.0,177.0,205.0,78678.0,,731084.0,2003.0,3644.0,435.0,403970.0,85477.0,17725.0,7403.0,40117.0,382894.0,18926.0,53573.0,68804.0,122916.0,326898.0,,4896.0,254145.0,51588.0,272064.0,133578.0,44992.0,161159.0,59016.0,,57448.0,817.0,79.0,11531.0,,42140.0,4262.0,219.0,70.0,137406.0,85688.0,1146.0,3229.0,6733.0,4.0,10.0,33457.0,469.0,,,9158.0,245.0,200493.0,38512.0,18388.0,15186.0,363381.0,1021.0,10686.0,64894.0,53.0,374.0,50092.0,25.0,,,408.0,42784.0,,,1761.0,30157.0,21.0,170255.0,216824.0,19358.0,132723.0,132.0,36339.0,201.0,21264.0,137745.0,888.0,4691.0,83201.0,52963.0,,225.0,,164.0,359.0,340000.0,93122.0,109351.0,254427.0,569706.0,70133.0,,309202.0,440000.0,,117.0,578.0
1999年,11442.0,11034.0,4982664.0,18949.0,10507.0,48004.0,300000.0,50342.0,,197988.0,717.0,1097920.0,155715.0,201354.0,6035.0,2701.0,2870000.0,108026.0,32066.0,20.0,205891.0,129.0,210.0,87188.0,,897859.0,5074.0,4418.0,645.0,417660.0,83004.0,16152.0,8634.0,47795.0,527142.0,44359.0,64584.0,73633.0,103038.0,206602.0,,4877.0,261060.0,54607.0,299607.0,173987.0,236322.0,166448.0,63748.0,,68540.0,636.0,109.0,7999.0,,37628.0,4500.0,196.0,71.0,210908.0,109585.0,997.0,3741.0,5951.0,2.0,5.0,38338.0,431.0,,,12089.0,162.0,219045.0,44192.0,23266.0,14008.0,438151.0,1298.0,13422.0,71913.0,45.0,271.0,57336.0,21.0,,,442.0,51356.0,,,2270.0,34968.0,34.0,219196.0,199608.0,17563.0,150886.0,122.0,55240.0,225.0,24747.0,142981.0,738.0,4745.0,108645.0,43447.0,,339.0,,173.0,368.0,380000.0,101974.0,94796.0,310146.0,639617.0,50591.0,,96615.0,370000.0,,130.0,466.0
2000年,13425.0,12322.0,6841553.0,24186.0,9276.0,55879.0,360000.0,57092.0,,193758.0,1031.0,1327192.0,179632.0,218571.0,8442.0,3807.0,3470000.0,127727.0,36882.0,21.0,333460.0,252.0,204.0,102888.0,,1096692.0,3123.0,5592.0,827.0,511285.0,89440.0,20106.0,10906.0,46562.0,593336.0,44979.0,77733.0,92971.0,118739.0,209111.0,,3528.0,281420.0,64861.0,321248.0,210602.0,292475.0,191353.0,73484.0,,135022.0,605.0,120.0,22779.0,,41675.0,4890.0,203.0,75.0,201984.0,93821.0,1520.0,5505.0,9073.0,2.0,5.0,38175.0,1047.0,,,12532.0,333.0,275442.0,41170.0,32734.0,11245.0,534069.0,1944.0,16030.0,82896.0,52.0,295.0,70901.0,65.0,,,600.0,52316.0,,,3286.0,43032.0,40.0,297651.0,227662.0,20533.0,175661.0,120.0,77997.0,245.0,25090.0,204334.0,1378.0,4605.0,146224.0,54075.0,,438.0,,434.0,621.0,510000.0,144484.0,130052.0,422507.0,1107032.0,75247.0,,111505.0,410000.0,,139.0,757.0
2001年,12664.0,12395.0,6123513.0,20508.0,6850.0,61124.0,350000.0,64906.0,,220356.0,755.0,1374096.0,177412.0,219456.0,8345.0,4945.0,3780000.0,123231.0,36132.0,25.0,372375.0,259.0,211.0,106666.0,,1118866.0,2383.0,6123.0,922.0,546421.0,83403.0,16756.0,11073.0,41591.0,562021.0,22007.0,57249.0,116460.0,54125.0,408829.0,,6515.0,302279.0,73535.0,333921.0,246121.0,52366.0,149781.0,72843.0,,92720.0,621.0,154.0,24839.0,,49359.0,4195.0,196.0,77.0,196614.0,133978.0,1385.0,9012.0,8693.0,2.0,10.0,45049.0,600.0,,,11265.0,68.0,245617.0,55306.0,31616.0,12352.0,544667.0,2103.0,14897.0,86809.0,54.0,186.0,79527.0,68.0,,,563.0,51368.0,,,3494.0,68034.0,49.0,303578.0,249654.0,25866.0,160960.0,111.0,75514.0,298.0,24546.0,195765.0,876.0,5411.0,152686.0,67954.0,,455.0,,271.0,474.0,520000.0,123790.0,135630.0,433364.0,915510.0,77172.0,,134007.0,200000.0,,176.0,614.0
2002年,15280.0,11739.0,8849800.0,22000.0,6078.0,61320.0,282423.0,74699.0,,261189.0,766.0,1584982.0,203042.0,196867.0,13042.0,6533.0,4598847.0,136833.0,41792.0,28.0,321795.0,171.0,201.0,76450.0,,1365240.0,4140.0,11359.0,1068.0,662159.0,82413.0,19537.0,13391.0,43688.0,495990.0,20276.0,42578.0,126757.0,81328.0,787341.0,,7015.0,356334.0,89007.0,457883.0,388413.0,149538.0,196641.0,72649.0,,87057.0,518.0,163.0,43491.0,,54951.0,4280.0,188.0,73.0,223475.0,135138.0,1357.0,8384.0,9156.0,1.0,16.0,49060.0,1167.0,,,14701.0,40.0,301744.0,47674.0,41800.0,21285.0,690096.0,3164.0,16880.0,95664.0,62.0,199.0,76892.0,74.0,,,1119.0,55012.0,,,4556.0,50423.0,52.0,438738.0,252272.0,34609.0,144110.0,101.0,108813.0,360.0,31725.0,210279.0,1482.0,8277.0,172097.0,70870.0,,555.0,,133.0,545.0,661783.0,171710.0,188744.0,430721.0,1078009.0,93118.0,,97443.0,325826.0,,240.0,1001.0
2003年,19514.0,11960.0,10595428.0,23906.0,8548.0,68855.0,226984.0,85583.0,,303576.0,813.33,1880848.0,198667.0,182655.0,15133.0,9718.0,5482683.0,184217.0,36675.0,27.0,339611.0,217.0,205.0,84088.0,,1614392.0,4638.0,12427.0,1382.0,790616.0,90781.0,20583.0,15779.0,43522.0,484231.0,25243.0,41220.0,165458.0,67083.0,1249249.0,,6080.0,301173.0,102675.0,559344.0,504060.0,112020.0,265435.0,81845.0,,96960.0,533.0,158.0,132216.0,,80526.0,3908.0,188.0,73.0,258679.0,134545.0,1472.11,9402.89,6121.0,1.0,21.0,52161.0,1639.0,,,13931.0,71.0,326207.0,43850.0,48078.0,35847.0,848022.0,4762.0,19327.0,103739.0,62.0,262.0,78138.0,114.0,,,,64724.0,,,5044.0,70618.0,49.0,609052.0,259914.0,36367.0,163280.0,95.0,158766.0,432.0,37968.0,262402.0,2194.0,9635.0,181869.0,90518.0,,623.0,,147.0,696.0,854814.0,232879.0,273874.0,523188.0,1773053.0,122546.0,,59705.0,103165.0,,296.0,1292.0
2004年,25221.0,12194.0,14303577.0,23774.0,5909.0,76944.0,70000.0,97627.0,,353349.0,549.16,1992596.0,226477.0,219155.0,14080.0,13632.0,6330000.0,235287.0,37590.0,33.0,451735.0,239.0,194.0,81325.0,,1870385.0,4159.0,14464.0,1146.0,944717.0,96582.0,20584.0,19969.0,44910.0,263149.0,21490.0,38915.0,269802.0,126276.0,1683369.0,,9542.0,342893.0,108780.0,530071.0,431031.0,9092.0,333264.0,93228.0,,67063.0,704.0,176.0,401354.0,,116568.0,1926.0,197.0,64.0,285395.0,135206.0,1501.2,8666.36,5631.0,2.0,29.0,54090.0,232.0,,,11288.0,129.0,336168.0,45689.0,58394.0,46822.0,1077072.0,6309.0,19900.0,115311.0,64.0,91.0,84425.0,101.0,,,1170.0,62229.0,112979.0,1327556.0,5175.0,87322.0,40.0,774131.0,280193.0,45942.0,169864.0,83.0,219735.0,470.0,36641.0,298459.0,473.0,12025.0,224557.0,73094.0,,616.0,,606.0,1423.0,1140000.0,390023.0,430988.0,474626.0,1974716.0,168915.0,,65215.0,85191.0,,314.0,1047.0
2005年,29017.0,12269.0,17441555.0,25093.0,8012.0,82014.0,90000.0,121466.0,,398085.0,806.7,2028915.0,231416.0,243350.0,14694.0,17503.0,6730000.0,277736.0,36466.0,40.0,493747.0,308.0,184.0,88499.0,,2009288.0,3662.0,19925.0,1401.0,1102075.0,80524.0,19849.0,22522.0,40614.0,146845.0,29833.0,27014.0,285019.0,144671.0,1318599.0,,11655.0,347462.0,104061.0,610322.0,469532.0,4962.0,426175.0,111575.0,,62205.0,2216.0,176.0,1080886.0,,121108.0,2502.0,176.0,56.0,325592.0,112128.0,1276.4,7172.4,4593.0,2.0,25.0,52059.0,864.0,,,10972.0,223.0,326035.0,47547.0,59299.0,52036.0,1234056.0,8592.0,19806.0,136035.0,73.0,69.0,78409.0,167.0,,,1199.0,63094.0,130496.0,1406387.0,5385.0,136208.0,45.0,824050.0,286563.0,53512.0,203006.0,73.0,258877.0,520.0,32564.0,322765.0,1014.0,13297.0,248260.0,70144.0,,683.0,,707.0,2052.0,1520000.0,463560.0,711484.0,615324.0,2046530.0,211406.0,,225214.0,358278.0,,353.0,921.0
2006年,24682.0,12539.0,20930800.0,26574.0,7699.0,88190.0,50000.0,127020.0,,450451.0,633.72,2131438.0,251793.0,276087.0,17749.0,21890.0,7240000.0,335482.0,31274.0,38.0,465608.0,359.0,210.0,81073.0,,2112483.0,3255.0,26433.0,1235.0,1219045.0,69153.0,19748.0,26619.0,37254.0,341465.0,21170.0,21526.0,326085.0,246757.0,1212155.0,,9948.0,367148.0,109787.0,684652.0,577240.0,12956.0,385510.0,128814.0,,65116.0,3613.0,194.0,346206.0,,175253.0,1899.0,172.0,65.0,345282.0,108060.0,1446.75,6327.3,3510.0,3.0,27.0,57505.0,310.0,,,6712.0,87.0,358571.0,48460.0,66667.0,55036.0,1409157.0,9529.0,69320.0,139163.0,60.0,124.0,77225.0,305.0,,,1283.0,69841.0,142607.0,1432905.0,5599.0,181940.0,32.0,804226.0,286594.0,50927.0,200176.0,64.0,281894.0,568.0,34057.0,318142.0,605.0,16747.0,280975.0,69795.0,,769.0,,904.0,4301.0,2080000.0,559122.0,1240157.0,808174.0,2195830.0,253492.0,,399249.0,154389.0,,375.0,942.0
2007年,25004.0,13404.0,24121500.0,22497.0,5526.0,91340.0,76123.0,150138.0,,532047.0,389.0,2209344.0,284333.0,277157.0,20571.0,32122.0,7660000.0,399722.0,31199.0,46.0,670000.0,311.0,227.0,64354.0,,1954004.0,3075.0,30917.0,1551.0,1310081.0,63833.0,35640.0,32583.0,33443.0,276714.0,8230.0,23582.0,281875.0,126578.0,545586.0,,7882.0,329214.0,125234.0,721696.0,583776.0,21004.0,472579.0,144437.0,3.1893,54425.0,3301.0,183.0,610000.0,,233966.0,1635.0,161.0,66.0,358839.0,120320.0,1529.93,5317.0,2125.0,3.0,13.0,44247.0,492.0,,,13753.0,69.0,390569.0,47513.0,72396.0,54001.0,1617206.0,5103.0,67749.0,131178.0,60.0,134.0,72944.0,422.0,7831.0,,1201.0,68802.0,145137.0,1298127.0,5923.0,1063881.0,29.0,1019235.0,289436.0,57759.0,240556.0,54.0,307493.0,622.0,36037.0,396144.0,986.0,18088.0,326520.0,56064.0,,832.0,,643.0,6265.0,2587757.0,499678.0,1853413.0,747500.0,3130728.0,283933.0,,166348.0,110529.0,,412.0,1006.0
2008年,25617.0,13180.0,25354700.0,19642.0,5421.0,92888.0,73098.0,186106.0,,602816.0,424.0,2252300.0,236214.0,276913.0,24170.0,41757.0,7300000.0,474191.0,29846.0,47.0,600000.0,384.0,233.0,84865.0,,1720000.0,2421.0,27762.0,1703.0,1200000.0,55036.0,29011.0,31227.0,26990.0,71320.0,9453.0,559.0,240547.0,102724.0,841292.0,,4178.0,276517.0,143387.0,805966.0,547247.0,16361.0,748814.0,138050.0,4.4142,32779.0,2604.0,175.0,640000.0,,256178.0,1166.0,164.0,69.0,313849.0,116127.0,1221.0,4543.0,12364.0,2.2729,8.2203,31563.0,27.0,,,13431.0,25.0,370769.0,44739.0,74584.0,48694.0,1690000.0,5138.0,70023.0,112586.0,60.0,97.0,70845.0,361.0,6834.0,,1094.0,67642.0,143236.0,1180000.0,5659.0,2173621.0,23.0,1153325.0,296940.0,53580.0,188296.0,66.0,286100.0,624.0,31642.0,422371.0,181.0,19652.0,334998.0,96476.0,,629.0,,129.0,5923.0,2700000.0,517522.0,1900000.0,690000.0,3030000.0,287078.0,,247623.0,58403.0,,415.0,1216.0
2009年,,13367.0,23178400.0,19980.0,3671.0,42538.0,70000.0,151565.0,,,507.0,2252000.0,237560.0,237282.0,21030.0,45725.0,6560000.0,508453.0,27030.0,35.0,460000.0,177.0,131.0,71831.0,,1630000.0,2125.0,16643.0,2504.0,1060000.0,55942.0,21957.0,30214.0,35662.0,29287.0,4580.0,686.0,94946.0,73142.0,310240.0,,7862.0,193505.0,93775.0,,537527.0,8249.0,985127.0,142355.0,6.8581,16423.0,1561.0,209.0,350000.0,,281003.0,696.0,169.0,40.0,297107.0,99449.0,54.0,2240.0,11778.0,1.0,9.0,36133.0,13.0,,,9227.0,24.0,280481.0,34234.0,68098.0,40470.0,1430000.0,5564.0,71211.0,88241.0,54.0,79.0,41641.0,362.0,8078.0,,986.0,69219.0,131331.0,930000.0,4611.0,1774987.0,24.0,1171805.0,302952.0,38350.0,199552.0,27.0,221729.0,636.0,17905.0,285791.0,132.0,18493.0,266457.0,91025.0,,648.0,,4.0,2460.0,1620000.0,455136.0,1390000.0,560000.0,690000.0,261626.0,,114019.0,63886.0,,424.0,1111.0
2010年,,13910.0,29548600.0,25593.0,5475.0,50163.0,100000.0,157116.0,,686782.0,303.0,2547600.0,272830.0,250072.0,19410.0,56690.0,7426674.0,567830.0,32087.0,16.0,590000.0,257.0,249.0,101138.0,,1890000.0,2740.0,17398.0,2688.0,1350000.0,67138.0,25731.0,36962.0,43163.0,43395.0,5173.0,714.0,102890.0,39538.0,754378.0,,7027.0,249802.0,88320.0,,525104.0,6453.0,814322.0,179274.0,5.704,16581.0,1616.0,243.0,540000.0,,294172.0,696.0,172.0,59.0,301104.0,90784.0,335.0,1910.0,12850.0,2.0,11.0,41932.0,13.0,,3129206.0,8509.0,71.0,352969.0,37446.0,89661.0,52118.0,1740000.0,6723.0,90395.0,100179.0,52.0,62.0,39775.0,380.0,9841.0,,1191.0,74961.0,166724.0,960000.0,5816.0,2034908.0,19.0,1122953.0,302525.0,35675.0,226056.0,60.0,256168.0,655.0,18689.0,329621.0,120.0,22691.0,409997.0,44535.0,,761.0,,14.0,4256.0,2250000.0,508580.0,2180000.0,530000.0,2500000.0,317405.0,,92461.0,94348.0,,421.0,1298.0
