,上海站旅客发送量,乌鲁木齐站旅客发送量,兰州站旅客发送量,北京南站旅客发送量,北京站旅客发送量,北京西站旅客发送量,南京站旅客发送量,南昌站旅客发送量,吉林站旅客发送量,哈尔滨站旅客发送量,天津站旅客发送量,太原站旅客发送量,常州站旅客发送量,广州站旅客发送量,徐州站旅客发送量,成都站旅客发送量,无锡站旅客发送量,本溪站旅客发送量,杭州站旅客发送量,柳州站旅客发送量,武昌站旅客发送量,沈阳站旅客发送量,洛阳站旅客发送量,济南站旅客发送量,深圳站旅客发送量,石家庄站旅客发送量,苏州站旅客发送量,蚌埠站旅客发送量,西安站旅客发送量,贵阳站旅客发送量,郑州站旅客发送量,重庆站旅客发送量,锦州站旅客发送量,镇江站旅客发送量,长春站旅客发送量,鞍山站旅客发送量
1988年,2199.0,0.0,0.0,919.4,2508.0,0.0,0.0,509.2,602.4,0.0,432.7,758.2,579.4,922.3,720.8,1151.7,880.4,1057.6,987.9,448.8,845.2,2696.9,424.4,733.8,655.5,975.1,700.9,461.1,1023.0,457.2,1206.7,644.8,640.3,484.0,0.0,602.1
1989年,2100.3,0.0,0.0,768.8,2150.9,0.0,0.0,479.1,550.5,0.0,973.7,765.8,535.2,964.7,623.5,1008.7,800.2,1053.1,941.3,412.9,786.4,2580.6,370.8,665.0,646.5,942.1,640.5,428.4,977.9,412.2,1090.4,605.5,607.0,442.3,0.0,483.5
1990年,1933.0,0.0,0.0,584.0,2127.0,0.0,0.0,398.0,442.0,0.0,877.0,678.0,479.0,891.0,530.0,851.0,731.0,984.0,869.0,344.0,634.0,2298.0,312.0,606.0,681.0,816.0,611.0,362.0,854.0,336.0,957.0,419.0,540.0,379.0,0.0,412.0
1991年,2066.0,0.0,0.0,636.0,2331.0,0.0,0.0,423.0,421.0,0.0,884.0,709.0,523.0,1029.0,560.0,914.0,770.0,982.0,890.0,363.0,655.0,1612.0,310.0,639.0,846.0,789.0,657.0,365.0,907.0,348.0,983.0,456.0,486.0,359.0,0.0,399.0
1992年,2267.0,0.0,0.0,618.0,2502.0,0.0,0.0,456.0,430.0,0.0,907.0,731.0,585.0,1231.0,599.0,979.0,845.0,988.0,914.0,419.0,690.0,1533.0,316.0,426.0,1019.0,773.0,714.0,386.0,981.0,376.0,1052.0,502.0,502.0,373.0,0.0,399.0
1993年,2394.0,264.0,349.0,687.0,2526.0,0.0,818.0,448.0,508.0,1309.0,950.0,791.0,642.0,1389.0,381.0,972.0,870.0,1033.0,880.0,451.0,713.0,1666.0,361.0,170.0,1014.0,781.0,756.0,407.0,1056.0,439.0,972.0,511.0,537.0,385.0,928.0,375.0
1994年,2502.0,293.0,366.0,708.0,2529.0,0.0,818.0,454.0,513.0,1379.0,960.0,815.0,639.0,1549.0,385.0,975.0,820.0,1074.0,889.0,439.0,750.0,1673.0,345.0,370.0,950.0,745.0,725.0,376.0,1075.0,482.0,893.0,506.0,556.0,377.0,991.0,410.0
1995年,2534.0,297.0,365.0,648.0,2297.0,0.0,768.0,461.0,482.0,1389.0,937.0,787.0,604.0,1560.0,281.0,903.0,813.0,977.0,893.0,413.0,733.0,1503.0,318.0,373.0,789.0,680.0,711.0,360.0,1037.0,511.0,962.0,400.0,518.0,342.0,1040.0,366.0
1996年,2492.0,312.0,368.0,566.0,1541.0,0.0,766.0,508.0,405.0,1286.0,876.0,700.0,439.0,1465.0,371.0,809.0,743.0,854.0,815.0,380.0,719.0,1399.0,298.0,549.0,812.0,657.0,671.0,358.0,959.0,540.0,992.0,440.0,438.0,313.0,952.0,854.0
1997年,2516.0,352.0,387.0,443.0,1656.0,0.0,776.0,666.0,400.0,1301.0,876.0,684.0,460.0,1469.0,619.0,803.0,662.0,682.0,395.0,386.0,747.0,1280.0,303.0,597.0,644.0,722.0,636.0,351.0,1023.0,557.0,1095.0,560.0,401.0,310.0,932.0,682.0
1998年,2430.0,403.0,408.0,403.0,1691.0,0.0,753.0,747.0,396.0,1346.0,925.0,642.0,465.0,1576.0,653.0,845.0,633.0,599.0,1008.0,366.0,748.0,1217.0,318.0,645.0,718.0,732.0,625.0,358.0,1031.0,571.0,1170.0,581.0,416.0,309.0,925.0,293.0
1999年,2536.0,411.0,439.0,366.0,1868.0,0.0,918.0,807.0,438.0,1371.0,1006.0,661.0,516.0,1728.0,674.0,960.0,702.0,569.0,1074.0,360.0,772.0,1168.0,339.0,658.0,817.0,817.0,685.0,406.0,1096.0,627.0,1291.0,695.0,436.0,333.0,973.0,300.0
2000年,2595.0,399.0,444.0,382.0,1997.0,0.0,897.0,795.0,397.0,1252.0,1004.0,679.0,4524.0,1776.0,632.0,1042.0,704.0,574.0,1061.0,335.0,821.0,1168.0,353.0,702.0,758.0,864.0,703.0,412.0,1063.0,598.0,1333.0,651.0,421.0,327.0,1062.0,295.0
2001年,2860.0,398.0,515.0,438.0,2115.0,1652.0,932.0,943.0,443.0,1342.0,1019.0,767.0,560.0,1838.0,680.0,1141.0,768.0,685.0,1025.0,323.0,864.0,1303.0,397.0,728.0,902.0,927.0,776.0,442.0,1211.0,610.0,1440.0,776.0,429.0,342.0,1085.0,309.0
2002年,3118.0,410.0,523.0,436.0,2163.0,2102.0,995.0,1013.0,417.0,1345.0,1005.0,798.0,581.0,2001.0,647.0,1282.0,802.0,617.0,1192.0,271.0,883.0,1235.0,375.0,707.0,966.0,956.0,843.0,433.0,1245.0,614.0,1548.0,754.0,424.0,352.0,1069.0,306.0
2003年,3031.0,359.0,477.0,374.0,1795.0,1896.0,940.0,968.0,373.0,1249.0,855.0,719.0,558.0,2005.0,611.0,1107.0,785.0,585.0,1129.0,246.0,826.0,1077.0,335.0,673.0,940.0,877.0,859.0,406.0,1196.0,553.0,1475.0,708.0,371.0,323.0,793.0,288.0
2004年,3648.0,407.0,552.0,379.0,2278.0,2429.0,1069.0,1148.0,438.0,1448.0,1040.0,879.0,659.0,2336.0,696.0,1344.0,956.0,684.0,1406.0,257.0,973.0,1176.0,418.0,787.0,1189.0,1098.0,1018.0,460.0,1517.0,605.0,1797.0,779.0,415.0,365.0,1147.0,327.0
2005年,3866.0,450.0,560.0,337.0,2478.0,2622.0,969.0,1218.0,449.0,1569.0,1099.0,936.0,694.0,2508.0,714.0,1416.0,1026.0,724.0,1462.0,290.0,1062.0,1182.0,440.0,802.0,1250.0,1178.0,1142.0,444.0,1669.0,694.0,1924.0,801.0,411.0,379.0,1222.0,312.0
2006年,3785.5489,514.1827,608.2628,113.4377,2708.6528,3150.3971,1321.5243,1276.851,460.1736,1827.4441,1075.5135,1044.5863,722.2637,2594.4946,795.0934,1658.5033,1065.1271,774.9672,1453.3046,365.2325,1052.3591,1271.9628,504.2485,854.2758,1319.0997,1312.3669,1191.1615,487.2917,2029.2963,809.6425,2093.6953,912.8945,406.6467,389.606,1316.2618,291.4979
2007年,3439.0,565.0,650.0,0.0,2998.0,3632.0,1659.0,1441.0,495.0,2255.0,905.0,1197.0,731.0,2866.0,884.0,1896.0,1025.0,957.0,1578.0,396.0,998.0,1280.0,539.0,1042.0,1433.0,1405.0,1103.0,506.0,2360.0,917.0,2207.0,667.0,395.0,370.0,1490.0,333.0
2008年,3612.0,587.0,749.0,0.0,3066.0,3865.0,2063.0,1671.0,531.0,2413.0,1342.0,1368.0,816.0,3170.0,247.0,1972.0,1118.0,1050.0,1798.0,433.0,1346.0,1473.0,594.0,1166.0,1724.0,1589.0,1277.0,546.0,2633.0,989.0,2547.0,533.0,465.0,407.0,0.0,419.0
2009年,3367.6698,620.8491,839.1705,966.3495,2785.2689,4089.5441,2207.5079,1764.2717,374.7226,2614.6072,1769.8313,1686.2366,835.3656,2969.0,1125.1611,2190.0,1119.3241,1232.3737,1750.839,489.0,1705.2608,1509.2589,619.0641,1224.9917,1778.0,1681.1702,1336.0253,567.8111,2543.4698,962.0246,2679.104,1061.0,482.1703,415.8066,0.0,477.3278
2010年,3251.8234,665.5141,938.7271,1408.2925,2773.8141,4402.8783,2470.3388,1860.7467,229.0,2804.8844,2101.3444,1991.2452,873.3534,2992.8149,1187.224,2686.738,1186.1502,1179.3843,2235.3661,522.1395,1887.6118,1433.3058,619.8674,1334.5258,1941.8988,1577.8393,1418.3887,592.4141,2811.9418,1041.1892,2992.912,1222.0187,464.5507,448.0533,0.0,484.5062
2011年,2455.1895,865.4563,1006.0583,1908.7445,2748.7523,4682.0131,2247.2448,2105.1528,114.4814,3005.9581,2251.3398,2349.9515,934.4732,3108.8385,1158.159,2888.1263,1230.624,850.41,2230.0,565.1166,1999.5602,1500.4527,614.8408,1287.1365,2105.4347,1593.2589,1455.2293,552.9368,2790.3875,1287.2283,3239.8979,1578.4536,475.6299,479.355,0.0,462.0019
2012年,2254.2463,881.0474,958.9154,2563.402,2811.2949,4453.7764,1910.6643,2074.0786,795.683,2924.9207,2187.6957,2349.9472,965.6568,2790.6214,1032.6143,2667.4983,1237.7015,920.2961,2298.3562,541.1827,2061.7696,1618.8027,596.388,1369.4745,1893.1393,1584.1812,1573.3683,493.8007,2751.0803,1270.6863,3289.5048,1787.5074,466.4026,507.0214,0.0,441.1394
2013年,2433.2942,969.5519,1013.2847,3069.8149,3323.66,4623.2486,2016.0832,2264.8542,863.7864,2679.9739,2409.1915,2334.6598,1048.7253,2926.0,1111.1367,2531.2868,1338.1123,901.4252,2090.6982,0.0,2205.0682,1808.225,627.317,1532.2621,1917.1145,1870.6268,1811.6741,482.0,2800.1071,1458.959,3275.2032,1894.3505,0.0,563.0,2247.0,393.0
2014年,2693.0,1018.7418,1055.0,3474.0,3469.0,5082.0,2076.0,2312.0,885.0,2546.0,2674.0,2004.0,1105.0,2898.0,1214.0,2601.0,1442.0,707.0,1653.0,0.0,2311.0,2026.0,655.0,1704.0,1850.0,2068.0,2090.0,0.0,2850.0,1557.0,3496.0,2393.0,0.0,0.0,2449.0,0.0
