,国家铁路临时营业里程,国家铁路内燃牵引里程,国家铁路内燃牵引里程占营业里程比重,国家铁路半自动闭塞里程,国家铁路复线里程,国家铁路复线里程占营业里程比重,国家铁路无缝线路里程,国家铁路正式营业里程,国家铁路正式营业里程比重,国家铁路电气化铁路里程,国家铁路电气化铁路里程营业里程比重,国家铁路继电集中车站,国家铁路继电集中车站占营业车站比重,国家铁路自动闭塞里程,国家铁路营业里程,国家铁路计算机联锁车站,国家铁路计算机联锁车站占营业车站比重,国家铁路调度集中里程
1989年,0.2982,1.5086,28.4,42306.0,12528.0,23.5546280106,1.2995,5.0205,94.4,0.64,12.0,0.0,0.0,9259.0,5.3187,0.0,0.0,0.1139
1990年,0.3068,1.6097,30.2,38832.0,13024.0,24.4,1.4644,5.031,94.3,0.6941,13.0,0.0,0.0,10370.0,5.3378,0.0,0.0,0.1169
1991年,0.3068,1.6571,31.0,41528.0,13380.0,25.049143499,1.6198,5.0347,94.3,0.78,14.6,0.0,0.0,10937.0,5.3415,0.0,0.0,0.1122
1992年,0.3115,1.6999,31.7,41572.0,13658.0,25.4979930925,1.7915,5.045,94.2,0.84,15.8,0.0,0.0,11287.0,5.3565,0.0,0.0,0.0991
1993年,0.3116,1.9237,35.8,40743.0,14315.0,26.6068175904,1.8943,5.0687,94.2,0.89,16.6,0.0,0.0,12200.0,5.3802,0.0,0.0,0.1325
1994年,0.3233,2.0692,38.3,40607.0,15475.0,28.6574074074,2.0093,5.0759,94.0,0.9,16.6,0.0,0.0,12613.0,5.4,0.0,0.0,0.1114
1995年,0.375,2.4749,45.3,40859.0,16909.0,30.9597920023,2.1854,5.0866,93.1,0.97,17.8,0.0,0.0,12910.0,5.4616,0.0,0.0,0.1226
1996年,0.5386,2.919,51.5,41154.0,18423.0,32.4920634921,2.3365,5.1291,90.5,1.01,17.8,0.0,0.0,15254.0,5.67,0.0,0.0,0.2635
1997年,0.6172,3.094,53.7,41175.0,19046.0,33.0659722222,2.4662,5.1395,89.3,1.2,20.9,0.0,0.0,17344.0,5.76,0.0,0.0,0.2332
1998年,0.6186,3.3974,59.0,41360.0,19673.0,34.1545138889,2.5979,5.1397,89.3,1.3,22.5,0.0,0.0,21042.0,5.76,0.0,0.0,0.2344
1999年,0.6756,3.6859,63.6,40788.0,20925.0,36.1398963731,2.79,5.1166,88.3,1.4,24.2,0.0,0.0,17969.0,5.79,0.0,0.0,0.1401
2000年,0.73939,3.94966,67.3361077061,41694.5,21407.9,36.4974367455,2.99751,5.1262,87.3942989634,1.48639,25.3408438026,0.0,0.0,18317.8,5.86559,0.0,0.0,0.11996
2001年,0.5066,4.0466,68.5,41336.0,22640.0,38.3,3.2502,5.4013,91.4,1.68766,28.6,0.0,0.0,18845.0,5.9079,0.0,0.0,0.1163
2002年,0.5108,4.2121,70.8,39990.0,23058.0,38.7,3.5967,5.4422,91.4,1.74,29.2,0.0,0.0,20682.0,5.953,0.0,0.0,0.1401
2003年,0.4208,4.2386,70.1,39522.0,23702.0,39.2,3.9497,5.6238,93.0,1.81,29.9,0.0,0.0,21920.0,6.0446,0.0,0.0,0.1842
2004年,0.4193,4.2453,69.6,39334.0,23841.0,39.1,4.3198,5.6822,93.1,1.86,30.4,0.0,0.0,22724.0,6.1015,0.0,0.0,0.1842
2005年,0.46114,4.27918,68.8,39389.9,24497.2,39.4,4.79649,5.75886,92.6,1.94082,31.2,0.0,0.0,24148.9,6.22,0.0,0.0,0.18277
2006年,0.4511,3.9976,63.0,39145.0,25244.0,39.8,5.3296,5.8901,92.9,2.34354,37.0,4121.0,73.9,25630.0,6.3412,1299.0,23.3,0.4181
2007年,0.3604,3.959,62.2,38563.0,25793.858,40.533116661,5.7409,6.0032,94.3,2.4046625,37.8,3923.0,70.8,26526.0,6.3636503,1487.0,26.8,0.5322
2008年,0.3836,3.8968,60.9,37337.0,26598.852,41.5770226328,6.2159,6.0139,94.0,2.5007315,39.1,3849.0,63.8,28100.0,6.3974884,1888.0,31.3,0.5541
2009年,0.1702,3.5249,53.8,38615.0,28682.0,43.7953306561,6.8167,6.3789,97.4,3.02427,46.2,3449.0,56.7,31619.0,6.5491,2356.0,38.7,1.1588
2010年,0.17018,3.3521791,50.607318022,37468.0,29683.617,44.812887401,6.29536,6.4537231,97.4308375551,3.2717228,49.392681978,3065.0,51.4,37500.0,6.6239019,2792.0,46.9,1.7976779
2011年,0.0562041,3.1719339,48.0233847266,38269.6,29883.92,45.2445426842,7.5399895,6.5487737,99.1490645131,3.4330439,51.9766152734,2814.0,54.1153846154,34175.3,6.6049778,2601.0,50.0192307692,1.48213
2012年,0.0094741,3.0811408,46.4742007723,33679.9,30661.478,46.2480547642,7.84655,6.6203135,99.8570979861,3.5486468,53.5257992277,2642.0,50.8859784284,37299.562,6.6297876,2863.0,55.1425269646,1.87798
2013年,0.0094741,3.0607804,45.9679809216,32893.183,31854.468,47.8402690141,8.1055197,6.6490311,99.857714311,3.5977248,54.0320190784,2492.0,47.4,38839.647,6.6585052,3058.0,58.2,2.0444097
2014年,0.0094741,3.0137833,44.9890815262,30177.759,32545.762,48.5835839607,8.76952,6.6894475,99.8585727589,3.6851383,55.0109184738,2210.0,42.1514400153,35395.93,6.6989216,3048.0,58.1346557315,1.5476975
