,40吨以下及不明载重量国家铁路货车拥有量,40吨载重量国家铁路货车拥有量,41-49吨载重量国家铁路货车拥有量,50吨载重量国家铁路货车拥有量,51-59吨载重量国家铁路货车拥有量,60吨载重量国家铁路货车拥有量,61-69吨载重量国家铁路货车拥有量,70吨及以上载重量国家铁路货车拥有量,国家铁路其他客车拥有量,国家铁路其他货车拥有量,国家铁路冷藏车拥有量,国家铁路客车公务车拥有量,国家铁路客车拥有量,国家铁路客车行李车拥有量,国家铁路客车餐车拥有量,国家铁路平均每辆车标记载重量,国家铁路平车拥有量,国家铁路敞车拥有量,国家铁路棚车拥有量,国家铁路毒品车拥有量,国家铁路硬卧客车拥有量,国家铁路硬座客车拥有量,国家铁路罐车拥有量,国家铁路货车总标记载重量,国家铁路货车拥有量,国家铁路软卧客车拥有量,国家铁路软座客车拥有量
1988年,0.0,0.0,0.0,101934.0,14750.0,203179.0,0.0,0.0,709.0,6084.0,4417.0,86.0,24917.0,1660.0,1436.0,55.8,18236.0,219173.0,58020.0,1858.0,3250.0,16543.0,32511.0,1890.9,340299.0,861.0,285.0
1989年,0.0,0.0,0.0,96577.0,14750.0,223135.0,0.0,0.0,720.0,6390.0,4682.0,83.0,26304.0,1686.0,1466.0,56.3,18546.0,226791.0,62163.0,1156.0,3828.0,17152.0,33313.0,1978.4,353041.0,1007.0,285.0
1990年,6071.0,5119.0,0.0,92442.0,15500.0,238680.0,6825.0,329.0,670.0,6548.0,5150.0,77.0,27261.0,1686.0,1520.0,56.6,18726.0,232999.0,66668.0,1229.0,4351.0,17503.0,33646.0,2055.3,364966.0,1061.0,330.0
1991年,0.0,0.0,0.0,85520.0,18560.0,260612.0,0.0,0.0,688.0,8251.0,5558.0,85.0,27612.0,1641.0,1503.0,56.9,19302.0,231109.0,70317.0,1393.0,5095.0,17059.0,34124.0,2104.1,370054.0,1122.0,365.0
1992年,5120.0,0.0,0.0,74556.0,20513.0,272237.0,118.0,689.0,693.0,8469.0,5802.0,86.0,28464.0,1662.0,1497.0,57.2,20567.0,228900.0,73068.0,1591.0,5687.0,17187.0,34836.0,2312.2,373233.0,1160.0,445.0
1993年,5425.0,0.0,0.0,69113.0,21709.0,293065.0,96.0,689.0,821.0,8686.0,6150.0,11.0,29395.0,1713.0,1503.0,57.4,21063.0,240234.0,75831.0,2591.0,6199.0,17348.0,35542.0,2237.9,390097.0,1250.0,514.0
1994年,10375.0,0.0,0.0,56020.0,23192.0,322318.0,3236.0,778.0,780.0,10926.0,6687.0,83.0,31018.0,1830.0,1611.0,57.6,24178.0,258006.0,78605.0,1579.0,6900.0,17822.0,35938.0,2397.4,415919.0,1387.0,568.0
1995年,3547.0,6929.0,0.0,48287.0,27951.0,342086.0,3546.0,385.0,844.0,10925.0,7030.0,87.0,32404.0,1949.0,1695.0,57.9,27461.0,268179.0,80437.0,1580.0,7607.0,18076.0,37119.0,2502.9,432731.0,1537.0,574.0
1996年,11160.0,0.0,0.0,38979.0,32381.0,357317.0,3646.0,410.0,1036.0,11145.0,7430.0,84.0,34516.0,2037.0,1766.0,58.1,31215.0,273019.0,82022.0,1900.0,8367.0,18043.0,37162.0,2579.5,448280.0,1692.0,720.0
1997年,4575.0,0.0,0.0,29502.0,0.0,325778.0,72580.0,5251.0,1007.0,15543.0,7802.0,74.0,35171.0,2033.0,1800.0,58.5,31451.0,264358.0,81385.0,1568.0,9031.0,17760.0,35579.0,2560.1,442501.0,1849.0,764.0
1998年,5987.0,0.0,0.0,19560.0,0.0,323976.0,84360.0,5443.0,1133.0,19275.0,8051.0,70.0,35204.0,2092.0,1795.0,59.5,30686.0,257172.0,85373.0,1578.0,9182.0,17273.0,37191.0,2614.0,443546.0,1926.0,750.0
1999年,8005.0,0.0,0.0,15857.0,0.0,315984.0,90956.0,5434.0,1230.0,22447.0,7988.0,69.0,35317.0,2107.0,1774.0,59.5,28559.0,248243.0,89935.0,1578.0,9443.0,17156.0,37486.0,2595.8,440211.0,1975.0,756.0
2000年,4159.0,3606.0,0.0,15799.0,0.0,307521.0,103431.0,5427.0,1375.0,22447.0,7909.0,69.0,35989.0,2144.0,1847.0,59.6,24685.0,252977.0,92569.0,1578.0,10139.0,17571.0,37778.0,2619.9,439943.0,2055.0,764.0
2001年,7837.0,0.0,0.0,15259.0,0.0,305172.0,116236.0,5417.0,1496.0,22760.0,7977.0,72.0,38780.0,2201.0,1951.0,59.6,26681.0,262886.0,89035.0,1778.0,11054.0,17357.0,38804.0,2681.5,453620.0,2340.0,730.0
2002年,16045.0,0.0,7589.0,3607.0,54218.0,233327.0,138624.0,796.0,1647.0,20277.0,7711.0,62.0,39438.0,2237.0,2008.0,60.1,28028.0,257642.0,91835.0,1956.0,11738.0,17148.0,39258.0,2686.2,459017.0,2421.0,676.0
2003年,8525.0,0.0,7589.0,3590.0,54452.0,268063.0,159620.0,2029.0,2190.0,20250.0,7696.0,71.0,40487.0,2226.0,1983.0,60.4,29115.0,308578.0,95678.0,2056.0,11920.0,17210.0,40495.0,3040.9,510327.0,2621.0,746.0
2004年,8731.0,0.0,7589.0,3538.0,54456.0,267065.0,175111.0,3611.0,1933.0,20250.0,7696.0,77.0,41353.0,2362.0,2058.0,60.5,29530.0,323970.0,96107.0,2056.0,12550.0,16965.0,40222.0,3147.0,526894.0,3049.0,772.0
2005年,4892.0,3590.0,7589.0,3512.0,52565.0,265154.0,195911.0,8611.0,1950.0,21042.0,7419.0,78.0,40328.0,2480.0,2108.0,60.8,30290.0,343480.0,99206.0,2056.0,12942.0,16900.0,38331.0,3294.5,541824.0,3109.0,759.0
2006年,4886.0,3564.0,7589.0,3444.0,49878.0,258081.0,196511.0,34530.0,2066.0,21259.0,7393.0,85.0,42659.0,2349.0,2136.0,61.3,32222.0,360500.0,99399.0,2056.0,13315.0,16991.0,35654.0,3422.1,564899.0,3209.0,794.0
2007年,5629.0,3367.0,7589.0,3444.0,50185.0,238911.0,197099.0,64854.0,2292.0,21939.0,7196.0,82.0,44243.0,2411.0,2178.0,61.7,36336.0,366767.0,102192.0,2056.0,13786.0,16748.0,34592.0,3526.3,577521.0,3363.0,1611.0
2008年,5878.0,3115.0,7243.0,3728.0,48246.0,219422.0,198340.0,98989.0,2545.0,22560.0,6588.0,77.0,45076.0,2207.0,2185.0,62.3186844935,37665.0,379050.0,103449.0,2056.0,13975.0,16641.0,33593.0,3645.4,591793.0,3472.0,2113.0
2009年,0.0,0.0,0.0,0.0,47121.0,205182.0,196778.0,125765.0,2744.0,22665.0,6587.0,87.0,49354.0,2448.0,2391.0,62.7,38766.0,388118.0,103850.0,2056.0,15249.0,17938.0,32346.0,3729.7,601412.0,3976.0,2603.0
2010年,5671.0,3132.0,7167.0,3710.0,44640.0,198749.0,196554.0,162661.0,3063.0,23640.0,6153.0,61.0,50391.0,2365.0,2517.0,63.2,39654.0,418778.0,101481.0,2056.0,16486.0,17954.0,30522.0,3934.3,622284.0,4071.0,3874.0
2011年,5642.0,3132.0,7166.0,3709.0,42120.0,192080.0,195194.0,195634.0,3964.0,19845.0,6152.0,74.0,54731.0,2195.0,2617.0,63.6378372425,39543.0,443666.0,101967.0,2056.0,16981.0,18228.0,31448.0,4102.585,651175.0,4104.0,4675.0
2012年,5623.0,3132.0,7166.0,3689.0,40797.0,184444.0,191321.0,228161.0,4078.0,18742.0,6140.0,73.0,57721.0,2105.0,2737.0,64.0017882598,39453.0,458328.0,108444.0,2056.0,17859.0,17946.0,31170.0,4251.85,670801.0,4311.0,6655.0
2013年,6718.0,3127.0,7166.0,3689.0,42745.0,169310.0,191111.0,291626.0,1647.0,34240.0,6107.0,69.0,56841.0,1826.0,2687.0,64.5418956466,39308.0,475536.0,122084.0,2056.0,18018.0,17447.0,36161.0,4617.921,715492.0,4524.0,10623.0
2014年,0.0,0.0,0.0,0.0,43273.0,141193.0,200165.0,304833.0,1462.0,55314.0,1883.0,66.0,58898.0,1784.0,2756.0,64.2,34738.0,451748.0,122627.0,2081.0,18977.0,16906.0,41736.0,4560.9,710127.0,4701.0,12246.0
