,上海港口货物吞吐量,八所港口货物吞吐量,大连港口货物吞吐量,天津港口货物吞吐量,宁波—舟山港口货物吞吐量,广州港口货物吞吐量,日照港口货物吞吐量,汕头港口货物吞吐量,沿海主要港口货物吞吐量,海口港口货物吞吐量,湛江港口货物吞吐量,烟台港口货物吞吐量,秦皇岛港口货物吞吐量,营口港口货物吞吐量,连云港港口货物吞吐量,青岛港口货物吞吐量
2002年,26384.0,343.0,10851.0,12906.0,15398.0,15324.0,3136.0,1380.0,166628.0,1073.0,2627.0,2689.0,11167.0,3127.0,3316.0,12213.0
2003年,31621.0,425.0,12602.0,16182.0,18543.0,17187.0,4507.0,1470.0,201126.0,1329.0,2866.0,2936.0,12562.0,4009.0,3752.0,14090.0
2004年,37896.0,548.0,14516.0,20619.0,22586.0,21520.0,5108.0,1576.0,246074.0,1416.0,3780.0,3431.0,15037.0,5978.0,4352.0,16265.0
2005年,44317.0,486.0,17085.0,24069.0,26881.0,25036.0,8421.0,1736.0,292777.0,2118.0,4647.0,4506.0,16900.0,7537.0,6016.0,18678.0
2006年,47040.0,479.0,20046.0,25760.0,42387.0,30282.0,11007.0,2015.0,342191.0,2127.0,5664.0,6076.0,20489.0,9477.0,7232.0,22415.0
2007年,49227.0,546.0,22286.0,30946.0,47336.0,34325.0,13063.0,2301.0,388200.0,2373.0,6075.0,10129.0,24893.0,12207.0,8507.0,26502.0
2008年,50808.0,554.0,24588.0,35593.0,52048.0,34700.0,15102.0,2806.0,429599.0,2614.0,6682.0,11189.0,25231.0,15085.0,10060.0,30029.0
2009年,49467.4718,652.0002,27202.7975,38111.2693,57684.3335,36395.4117,18130.9577,3101.8024,475480.5847,4855.4976,11838.2448,12351.1392,24942.062,17603.0386,10843.1807,31545.6638
2010年,56320.0,893.0,31399.0,41325.0,63300.0,41095.0,22597.0,3509.0,548358.0,5700.0,13638.0,15033.0,26297.0,22579.0,12739.0,35012.0
2011年,62432.0,997.0,33691.0,45338.0,69393.0,43149.0,25260.0,4005.0,616292.0,6549.0,15539.0,18029.0,28770.0,26085.0,15627.0,37230.0
2012年,63740.0,1095.0,37426.0,47697.0,74401.0,43517.0,28098.0,4563.0,665245.0,7217.0,17092.0,20298.0,27099.0,30107.0,17367.0,40690.0
2013年,68273.4115,1292.9874,40746.2206,50062.8832,80978.3089,45516.5664,30937.2976,5038.0,728098.0,8292.8851,18006.1845,22157.2458,27260.3635,32013.1257,18897.6059,45002.5686
2014年,66953.9401,1399.6111,42336.8202,54001.8291,87346.4661,48217.2533,33501.6627,5161.0,769557.0,8914.9496,20238.1893,23766.7295,27403.1279,33073.2536,19637.5798,46802.1188
