,七台河站货物发送量,万水泉站货物发送量,中云站货物发送量,云岗西站货物发送量,介休站货物发送量,北周庄站货物发送量,双鸭山站货物发送量,口泉站货物发送量,古交站货物发送量,古冶站货物发送量,嘉峰站货物发送量,大同东站货物发送量,大官屯站货物发送量,大新站货物发送量,平顶山东站货物发送量,恒山站货物发送量,新港站货物发送量,新高山站货物发送量,日照站货物发送量,晋城北站货物发送量,本溪站货物发送量,武昌东站货物发送量,湛江站货物发送量,潘集西站货物发送量,灵山站货物发送量,玉门沟站货物发送量,白云鄂博站货物发送量,白羊墅站货物发送量,竣德站货物发送量,长治北站货物发送量,阜新站货物发送量,阳泉站货物发送量,霍林河站货物发送量,鹤岗站货物发送量,黄岛站货物发送量
2000年,1338.0,876.0,238.0,846.0,574.0,62.0,751.0,2089.0,724.0,866.0,153.0,740.0,657.0,2955.0,1984.0,371.0,717.0,942.0,162.0,1293.0,405.0,429.0,210.0,491.0,999.0,918.0,739.0,986.0,418.0,952.0,531.0,1213.0,466.0,822.0,
2001年,1333.0,1075.0,470.0,919.0,634.0,65.0,831.0,2207.0,803.0,849.0,211.0,978.0,683.0,3635.0,2146.0,441.0,852.0,1076.0,226.0,1471.0,391.0,463.0,300.0,706.0,956.0,932.0,794.0,1082.0,478.0,1032.0,571.0,1288.0,572.0,787.0,
2002年,1314.0,1209.0,596.0,1020.0,587.0,101.0,832.0,2337.0,912.0,873.0,249.0,1186.0,670.0,4060.0,2309.0,519.0,1223.0,1160.0,358.0,1381.0,518.0,428.0,421.0,970.0,935.0,1113.0,850.0,1090.0,538.0,1038.0,573.0,1374.0,669.0,803.0,
2003年,1304.0,1217.0,663.0,1158.0,653.0,160.0,1011.0,2595.0,1031.0,843.0,438.0,1401.0,662.0,4785.0,2453.0,614.0,1290.0,1225.0,454.0,1279.0,483.0,469.0,515.0,1193.0,907.0,1108.0,918.0,1052.0,572.0,1155.0,529.0,1494.0,766.0,843.0,1530.0
2004年,1477.0,1218.0,696.0,1147.0,709.0,450.0,1103.0,2499.0,1064.0,813.0,664.0,1722.0,748.0,5523.0,2453.0,579.0,1227.0,1423.0,640.0,1285.0,508.0,505.0,669.0,1334.0,1086.0,1172.0,1027.0,1192.0,742.0,1201.0,575.0,1518.0,1079.0,952.0,1578.0
2005年,1474.0,1523.0,972.0,1173.0,837.0,654.0,1181.0,2638.0,1242.0,798.0,1359.0,2127.0,755.0,5648.0,2595.0,660.0,1270.0,1589.0,1350.0,1235.0,589.0,631.0,906.0,1549.0,1136.0,1311.0,1111.0,978.0,733.0,1249.0,578.0,1667.0,1453.0,1019.0,1671.0
2006年,1350.0,1777.0,1104.0,1053.0,885.0,1186.0,1197.0,2295.0,1274.0,818.0,1252.0,2899.0,629.0,6788.0,2649.0,577.0,1262.0,1636.0,1829.0,1263.0,736.0,671.0,1110.0,1421.0,1449.0,1232.0,1164.0,1141.0,705.0,1337.0,674.0,1684.0,1780.0,836.0,2048.0
2007年,1426.7187,1803.0,1213.0,1101.5544,1008.6325,1876.6745,1280.1523,2366.3174,1369.5024,837.7936,1346.0,3341.4111,578.7907,7325.0835,2820.0455,548.6357,1063.0,1815.1906,2328.0,1247.1304,893.4148,732.4704,1176.0,1202.0,1591.1989,1260.2174,1170.6856,1412.5494,632.6033,1291.5787,646.8847,1606.0,2429.3241,784.7276,1975.2211
2008年,1586.4201,2265.496,1006.3325,1082.7719,919.0513,1491.1313,1213.4452,2092.0637,1395.8106,825.7374,1419.0079,3890.8333,587.9557,7473.219,2972.72,534.3596,1118.8208,1801.2584,2589.2598,1240.9796,1188.1288,815.7076,1221.3774,1548.6364,1709.1568,1262.8025,1123.347,1489.7906,604.5615,1371.1854,741.1329,1717.377,3132.5429,730.8737,2096.9006
2009年,1791.0,3605.0,2058.0,1087.0,841.0,747.0,1343.0,3094.0,1178.0,1075.0,2003.0,9896.0,656.0,14864.0,4275.0,530.0,1244.0,1686.0,3794.0,1467.0,1003.0,830.0,1405.0,3626.0,1703.0,1513.0,1110.0,2461.0,945.0,2034.0,997.0,2801.0,6834.0,736.0,2710.0
2010年,1621.0,3236.0,2278.0,536.0,745.0,830.0,1010.0,1605.0,960.0,856.0,1571.0,5545.0,571.0,7326.0,3041.0,474.0,1168.0,1307.0,3757.0,1181.0,1076.0,852.0,1550.0,2158.0,1571.0,1088.0,1290.0,1664.0,496.0,1442.0,819.0,1760.0,4652.0,661.0,3635.0
2011年,1653.099,3303.9427,2648.2104,1042.1425,772.9432,1533.5275,961.567,1567.5934,900.6914,939.4209,1673.6744,5997.1124,512.8261,7369.2788,2325.9067,477.2895,1258.1362,1691.635,4371.9627,1194.8777,1077.9537,771.4787,1454.2807,2282.6707,1269.5076,884.5879,1327.4034,1662.7225,474.6975,1383.0146,782.177,1858.6216,2589.7895,691.3852,4139.0868
2012年,1383.332,2988.5486,181.4907,1048.1468,830.7718,1434.9976,906.4673,1503.0107,833.164,899.275,1614.3783,6253.6092,470.1487,9015.7926,2025.2047,465.1018,1272.4674,1351.7137,4630.9688,1212.8101,1030.2693,679.2369,1642.6831,2152.5509,1096.5683,958.7799,1266.4264,1565.642,434.4442,1393.1577,638.6556,1836.6248,2753.1061,516.3614,4549.6628
2013年,1146.8921,3390.3962,200.9187,1099.0273,902.3153,1264.3093,711.8726,1366.7273,844.4665,862.1484,1587.9947,6502.3923,581.6121,8790.5317,1962.1788,407.1137,1211.3769,1700.1741,4590.8987,1205.361,1083.8924,672.8239,1797.6499,2070.7619,1187.8535,942.3153,1120.4652,1572.9707,389.2459,1515.3354,683.6258,1803.5447,2452.7362,346.9717,4756.3123
2014年,1108.0364,2959.8969,125.0293,1098.3798,966.6045,1601.9056,722.6488,1399.8508,915.3048,781.1221,1618.8449,7474.4037,563.8424,8679.2903,2046.4078,412.9474,1284.8141,2069.7584,3604.8409,1217.6432,1061.9515,509.6531,1611.9193,1909.0621,1102.378,904.6887,910.5341,1638.0864,370.3586,1696.946,599.5537,1947.4501,2335.9678,313.8722,4441.5549
