,一次货物作业时间,内燃机车万吨公里耗油,内燃机车平均牵引总重,内燃机车日产量,客运密度,客运机车日车公里,旅客列车出发正点率,旅客列车技术速度,旅客列车旅行速度,旅客列车运行正点率,电力机车万吨公里耗电,电力机车平均牵引总重,电力机车日产量,货物列车出发正点率,货物列车技术速度,货物列车旅行速度,货物列车运行正点率,货车中转停留时间,货车周转时间,货车静载重(准轨),货车静载重利用率,货运密度,货运机车平均牵引总重,货运机车日产量,货运机车日车公里
1988年,15.7,25.2,2489.0,98.7,617.3,490.0,98.9,56.2,45.4,93.3,112.6,2597.0,97.9,91.7,43.6,28.3,90.9,4.0,3.92,54.1,97.0,1868.6,2365.0,82.9,412.0
1989年,16.0,24.4,2563.0,103.6,570.5,489.0,99.0,56.4,45.7,94.7,110.2,2639.0,99.5,92.9,43.9,28.9,92.6,4.0,3.97,54.8,97.3,1950.3,2409.0,85.3,415.0
1990年,16.9,24.4,2578.0,105.4,489.0,486.0,99.1,56.6,46.3,92.9,111.0,2634.0,98.6,93.2,44.0,29.2,92.5,4.1,4.09,55.0,97.2,1986.1,2414.0,86.0,418.0
1991年,17.3,24.3,2591.0,106.6,528.8,483.0,99.2,57.2,47.0,92.8,112.6,2639.0,98.5,93.6,44.2,29.5,93.2,4.3,4.2,55.2,97.0,2049.6,2444.0,87.7,419.0
1992年,17.1,24.4,2603.0,106.2,587.7,484.0,99.2,57.5,47.5,92.7,112.4,2693.0,100.8,94.3,44.4,29.9,93.6,4.2,4.15,55.8,97.4,2156.0,2483.0,89.7,422.0
1993年,17.3,24.4,2618.0,103.6,646.7,493.0,99.0,57.9,48.1,90.0,111.2,2759.0,101.8,94.0,44.5,30.0,93.1,4.3,4.18,56.1,97.4,2216.2,2519.0,89.9,420.0
1994年,18.0,24.0,2647.0,103.0,673.0,494.0,99.0,58.0,48.0,89.0,111.0,2791.0,102.0,94.0,44.0,30.0,93.0,5.0,4.0,57.0,98.0,2302.0,2559.0,91.0,421.0
1995年,18.0,24.0,2663.0,104.0,649.0,496.0,99.0,58.0,49.0,93.0,109.0,2840.0,101.0,95.0,44.0,30.0,94.0,5.0,5.0,57.0,98.0,2350.0,2597.0,93.0,424.0
1996年,18.0,25.0,2632.0,102.0,586.0,491.0,99.0,59.0,50.0,93.0,110.0,2865.0,100.0,95.0,44.0,30.0,95.0,5.0,4.0,57.0,98.0,2280.0,2603.0,93.0,422.0
1997年,18.0,25.0,2642.0,102.0,616.0,504.0,99.0,63.0,53.0,94.0,112.0,2856.0,99.0,96.0,45.0,31.0,95.0,5.0,5.0,57.0,97.0,2266.0,2632.0,95.0,428.0
1998年,23.0,26.0,2604.0,99.0,641.0,507.0,100.0,64.0,55.0,94.0,113.0,2861.0,99.0,96.0,46.0,32.0,96.0,5.0,5.0,58.0,97.0,2129.0,2633.0,95.0,430.0
1999年,23.4,26.2,2596.0,98.8,699.0,520.0,99.8,65.7,56.0,97.3,113.6,2870.0,99.5,96.8,46.5,31.6,96.6,4.9,5.5,57.7,96.8,2171.5,2654.0,97.0,438.0
2000年,23.1,25.8,2608.0,101.1,753.0,521.0,99.8,66.6,56.8,97.1,113.2,2869.0,99.6,97.2,46.4,31.8,96.8,4.7,5.39,57.9,97.1,2274.0,2676.0,99.4,443.0
2001年,22.0,25.7,2668.0,100.7,785.0,533.0,99.8,69.5,60.5,96.9,113.1,2985.0,100.7,97.2,46.7,39.5,96.8,4.6,5.08,58.1,97.3,2412.0,2760.0,99.9,437.0
2002年,21.2,25.9,2648.0,99.3,807.0,557.0,99.8,71.4,62.0,97.6,110.8,3028.0,106.8,97.3,47.1,32.4,96.7,4.6,5.1,58.2,96.7,2533.0,2789.0,102.2,445.0
2003年,20.9,25.4,2679.0,101.4,765.0,562.0,99.7,71.7,62.2,96.5,110.0,3071.0,112.8,96.9,47.1,32.8,96.5,4.5,5.1,58.3,96.5,2726.0,2829.0,105.8,450.0
2004年,17.2,25.0,2768.0,103.4,903.0,612.0,99.8,73.7,64.4,95.9,111.2,3198.0,117.1,96.5,46.7,32.2,96.2,4.4,4.94,59.3,98.0,2997.0,2934.0,108.7,455.0
2005年,15.2,24.6,2848.0,105.6,938.0,650.0,99.5,74.2,65.2,98.4,111.8,3335.0,118.3,97.0,46.3,32.1,96.9,4.3,4.9,60.1,98.7,3140.0,3038.0,110.6,458.0
2006年,15.2,24.3,2887.0,108.5,1002.0,671.0,99.8,74.7,65.4,99.4,110.0,3425.0,122.7,97.4,46.2,32.1,97.3,4.4,4.87,60.9,99.2,3242.0,3105.0,114.3,465.0
2007年,15.5,24.6,2920.0,110.4,1084.0,758.0,99.8,78.8,68.9,99.1,109.5,3528.0,132.8,97.2,47.6,33.2,97.0,4.3,4.76,61.3,99.2,3475.0,3193.0,120.4,480.0
2008年,17.6,24.9,2970.0,110.3,1210.0,812.0,99.7,80.1,69.6,98.9,110.6,3654.0,139.5,96.9,47.2,32.8,96.8,4.6,4.73,62.0,99.4,3697.0,3289.0,123.6,483.0
2009年,16.9,25.2,3002.0,110.9,1197.12479577,860.0,99.8,80.3,70.2,99.0,107.9,3736.0,145.2,96.5,47.6,32.8,96.4,4.7,4.68,62.6,99.7,3611.16489289,3391.0,128.6,487.0
2010年,16.2,26.4,3584.0,130.0,1194.0,882.0,99.7,80.6,70.8,99.0,102.4,4522.0,184.4,95.8,47.9,33.4,95.2,4.5,4.48,63.1,99.8,3747.0,3467.0,135.0,489.0
2011年,16.1,26.5,2964.0,109.5,1234.5,888.0,99.9,81.0,71.5,99.2,100.6,3790.0,155.1,95.7,48.4,34.0,95.3,4.5,4.45,63.6,100.0,3929.0,3508.0,138.5,494.0
2012年,16.4,26.8,2988.0,109.9,1200.0,880.0,99.8,80.0,70.8,99.1,102.1,3776.0,152.5,95.2,48.3,33.8,95.0,4.7,4.68,64.0,100.0,3798.476,3530.0,138.3,491.0
2013年,17.2,27.3,2973.0,106.0,1314.0,883.0,99.8,82.1,72.6,99.0,101.9,3768.0,154.3,95.3,48.6,34.3,95.7,4.8,4.7,64.4,99.7,3787.0,3548.0,139.7,493.0
2014年,16.6,27.2,2998.0,107.1,1323.0,922.0,99.8,84.9,75.0,99.1,103.3,3715.0,157.7,95.4,49.9,35.6,95.5,4.7,4.68,64.6,100.5,3493.0,3535.0,143.4,503.0
