,国内航线客货总周转量,国内航线旅客周转量,国内航线旅客运输量,国内航线货物周转量,国内航线货物运输量,国际航线客货总周转量,国际航线旅客周转量,国际航线旅客运输量,国际航线货物周转量,国际航线货物运输量,民用航空客货总周转量,民用航空旅客周转量,民用航空旅客运输量,民用航空货物周转量,民用航空货物运输量,民用航空飞机农林业航空作业通用飞行时间,民用航空飞机工业航空作业通用飞行时间,民用航空飞机播种造林作业通用飞行时间,民用航空飞机航空护林作业通用飞行时间,民用航空飞机通用飞行时间,港、澳地区航线客货总周转量,港、澳地区航线旅客周转量,港、澳地区航线旅客运输量,港、澳地区航线货物周转量,港、澳地区航线货物运输量
2003年,115.0153,1014.8311,8078.0,24.3156,167.6253,55.7794,248.3542,682.0,33.582,51.4163,170.7946,1263.19,8759.0,57.9,219.0,25486.0,28525.0,3043.0,7115.0,63504.0,5.6684,45.0344,341.0,1.6451,10.6906
2004年,153.5884,1384.1737,11046.0,29.924272,206.21652,77.4101,398.10539,1077.0,41.879337,70.48353,230.9985,1782.3,12123.0,71.8,276.7,27765.0,35806.0,3074.0,5962.0,75277.0,8.349,64.3597,469.0,2.601779,16.76399
2005年,175.7488,1592.5225,12602.0,33.6504,229.5618,85.5235,452.4063,1225.0,45.245,77.1551,261.2724,2044.9288,13827.0,78.8954,306.7168,25428.0,36514.0,1929.0,6508.0,84859.0,8.9509,70.9205,509.0,2.6263,16.9247
2006年,202.6659,1846.753856,14553.0,37.862491,257.25815,103.1319,523.906149,1415.0,56.412777,92.17381,305.7979,2370.660005,15967.8448,94.27526,349.43196,27675.0,38316.0,2027.0,6789.0,91901.0,9.5743,75.807292,536.0,2.826371,17.91637
2007年,235.307177,2173.312332,16884.0196,41.573322,284.54222,129.992081,618.413426,1692.1916,74.813352,117.30629,365.299258,2791.725758,18576.2112,116.386674,401.84851,28001.0,44873.0,1698.0,7088.0,109570.0,9.437017,76.786466,541.2343,2.612896,16.68126
2008年,247.866335,2305.534329,17732.0,42.234009,288.16681,128.898836,577.265004,1519.0,77.368263,119.47081,376.765171,2882.799333,19251.11599,119.602272,407.63762,24691.0,50591.0,1555.0,6000.0,110706.0,8.792548,71.821117,500.0,2.408901,15.62213
2009年,297.1215,2809.0274,21578.1367,46.7982,319.4364,129.9511,566.208,1473.502,79.4325,126.0983,427.0726,3375.235362,23051.6387,126.230702,445.5347,26309.0,52916.0,1534.0,7340.0,123838.0,8.9293,74.9114,517.4798,2.2743,15.9019
2010年,345.480056,3280.063471,24837.7134,53.595367,370.40556,192.968914,758.932487,1931.4303,125.302793,192.63149,538.44897,4038.995958,26769.1437,178.89816,563.03705,29619.0,65430.0,1419.0,7748.0,391135.0,11.589537,98.181728,672.374,2.870019,21.6603
2011年,380.607499,3658.911777,27198.6055,55.160387,379.43522,196.835241,878.051163,2118.0527,118.752683,178.04267,577.44274,4536.9629,29316.6582,173.91,557.477,33158.0,56682.0,2010.0,9211.0,502731.0,12.642512,111.616689,760.1877,2.760693,21.00276
2012年,415.833623,4033.756824,29600.2377,57.436621,388.51727,194.488066,991.97979,2335.8128,106.452741,156.51695,610.321689,5025.736614,31936.0505,163.889362,545.03422,31873.0,77075.0,1315.0,7453.0,517037.0,13.664757,123.884929,833.6793,2.712046,20.7678
2013年,461.047394,4511.004202,32741.8329,61.117582,406.72163,210.675691,1145.755359,2654.7972,109.174228,154.531,671.723085,5656.759561,35396.6301,170.29181,561.25263,34118.0,96354.0,1178.0,6574.0,590890.0,14.227573,131.748799,903.8819,2.615645,19.85613
2014年,508.003855,5017.389309,36039.8986,64.053303,425.67162,240.111734,1316.800968,3154.979,123.718188,168.4272,748.115589,6334.190277,39194.8776,187.771491,594.09882,38220.0,84259.0,956.0,7026.0,674944.0,16.173279,149.663862,1005.2388,2.993145,22.3332
